dataset,mass_GeV,sigma_val,blind_lo,blind_hi,integral_density,density_nsigma,density_window_lo,density_window_hi,density_window_width,density_source_lo,density_source_hi,density_source_n_bins,density_source_bin_width_median,density_window_fully_covered,A_up,eps2_up,p0_analytic,Z_analytic,A_hat,sigma_A,extract_success,cls_statistic,cls_calibration,signal_model,global_method,visibility,kernel_str,ls_lo,ls_hi,ls_init,ls_opt,sigma_x,const_opt,lml,n_train,n_train_low,n_train_high,n_full,n_blind,train_domain_lo,train_domain_hi,bin_width_median,const_init,const_lo,const_hi,const_at_lower,const_at_upper,ls_at_lower,ls_at_upper,optimizer_restarts,ls_lo_over_sigma_x,ls_hi_over_sigma_x,ls_opt_over_sigma_x,ls_lo_over_sigma,ls_hi_over_sigma,ls_opt_over_sigma,source_csv
2021,0.055,0.002032396875,0.05042710703125,0.05957289296875,825863093.242175,1.64,0.051666869125,0.058333130875,0.0066662617499999,0.0,1.0,8000,0.000125,True,5574.287648463362,3.985093815217997e-06,0.5,0.0,-13500.421820923491,5584.865886489955,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.52**2 * RBF(length_scale=0.318),0.0399149161083646,0.5442943105686093,0.1473955960828078,0.3181141772999815,0.0362862873712406,56.58177649941451,1673.9768836138255,402,17,385,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.766787686086312,19.639331569216612,267.8090668529538,156.5216819672494,runs/gp_mean/attempt_01/results_single.csv
2021,0.055,0.002032396875,0.05042710703125,0.05957289296875,825863093.242175,1.64,0.051666869125,0.058333130875,0.0066662617499999,0.0,1.0,8000,0.000125,True,5574.256983110107,3.985071892361248e-06,0.5,0.0,-13500.658582370956,5584.864911774046,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.52**2 * RBF(length_scale=0.318),0.0399149161083646,0.5442943105686093,0.1473955960828078,0.3181120037591662,0.0362862873712406,56.57266838050104,1673.9768845043438,402,17,385,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.76672778630122,19.639331569216612,267.8090668529538,156.52061252021272,runs/gp_mean/attempt_02/results_single.csv
2021,0.056,0.002040554,0.0514087535,0.0605912465,908527012.009006,1.64,0.05265349144,0.05934650856,0.00669301712,0.0,1.0,8000,0.000125,True,6357.9594548740915,4.057997778815768e-06,0.5,0.0,-10162.328980112254,5835.664477716403,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.55**2 * RBF(length_scale=0.32),0.0393693106142212,0.5368542356484718,0.1453808142699889,0.3195810946532233,0.0357902823765647,56.95785533343324,1668.0778402972276,401,18,383,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.929269998229538,19.293442180026243,263.0923933639942,156.6148676551678,runs/gp_mean/attempt_01/results_single.csv
2021,0.056,0.002040554,0.0514087535,0.0605912465,908527012.009006,1.64,0.05265349144,0.05934650856,0.00669301712,0.0,1.0,8000,0.000125,True,6357.92617935153,4.057976540555663e-06,0.5,0.0,-10162.418820846358,5835.653663860201,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.55**2 * RBF(length_scale=0.32),0.0393693106142212,0.5368542356484718,0.1453808142699889,0.3195819646625552,0.0357902823765647,56.95877532808519,1668.0778407296011,401,18,383,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.929294306764541,19.293442180026243,263.0923933639942,156.6152940145447,runs/gp_mean/attempt_02/results_single.csv
2021,0.057,0.002048882875,0.05239001353125,0.06160998646875,990644025.7861016,1.64,0.053639832085,0.060360167915,0.0067203358299999,0.0,1.0,8000,0.000125,True,8225.977773911276,4.73058633913256e-06,0.4999026019832914,0.000244140625,-2915.617013540955,5875.010263764517,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.86**2 * RBF(length_scale=0.321),0.0388457919743114,0.5297153451042469,0.1434475935717297,0.3207651238024842,0.0353143563402831,61.74310837173685,1664.528528903252,401,20,381,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.08313663462095,18.959498587400432,258.53861710091496,156.55610563023723,runs/gp_mean/attempt_01/results_single.csv
2021,0.057,0.002048882875,0.05239001353125,0.06160998646875,990644025.7861016,1.64,0.053639832085,0.060360167915,0.0067203358299999,0.0,1.0,8000,0.000125,True,8226.503759960739,4.730888822617022e-06,0.5,0.0,-2914.499163261403,5875.060463894763,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.86**2 * RBF(length_scale=0.321),0.0388457919743114,0.5297153451042469,0.1434475935717297,0.3207621790638114,0.0353143563402831,61.75253305645408,1664.528529923744,401,20,381,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.083053248174812,18.959498587400432,258.53861710091496,156.55466838913932,runs/gp_mean/attempt_02/results_single.csv
2021,0.058,0.0020573835,0.053370887125,0.062629112875,1071669872.1842526,1.64,0.05462589106,0.06137410894,0.00674821788,0.0,1.0,8000,0.000125,True,12898.286601459078,6.738495298522012e-06,0.2310773154808049,0.7353035757915076,4392.395921008839,5974.728185909624,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.95**2 * RBF(length_scale=0.319),0.0383432349203511,0.5228622943684247,0.1415917786595051,0.3187896131775654,0.0348574862912283,63.20457551061244,1662.129952983733,401,21,380,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.14551354948928,18.63689240258374,254.13944185341464,154.94904726200312,runs/gp_mean/attempt_01/results_single.csv
2021,0.058,0.0020573835,0.053370887125,0.062629112875,1071669872.1842526,1.64,0.05462589106,0.06137410894,0.00674821788,0.0,1.0,8000,0.000125,True,12897.63998926926,6.738157486738503e-06,0.2311115794040011,0.7351910338650482,4391.696402873198,5974.692442287392,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.95**2 * RBF(length_scale=0.319),0.0383432349203511,0.5228622943684247,0.1415917786595051,0.3187943946570276,0.0348574862912283,63.21489531584634,1662.1299521903322,401,21,380,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.145650721728906,18.63689240258374,254.13944185341464,154.95137132043084,runs/gp_mean/attempt_02/results_single.csv
2021,0.059,0.002066055875,0.0543513742812499,0.0636486257187499,1150791736.783134,1.64,0.055611668365,0.0623883316349999,0.0067766632699999,0.0,1.0,8000,0.000125,True,15613.336952274887,7.467356885677806e-06,0.1082376523280763,1.2359549635703488,7476.77710940207,6050.047030890116,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.88**2 * RBF(length_scale=0.318),0.0378605893261601,0.516280763538548,0.139809491685398,0.3181617221339209,0.0344187175692365,62.11955421961414,1660.692002406138,401,23,378,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.243857546229265,18.325055863341635,249.88712540920412,153.99473266129402,runs/gp_mean/attempt_01/results_single.csv
2021,0.059,0.002066055875,0.0543513742812499,0.0636486257187499,1150791736.783134,1.64,0.055611668365,0.0623883316349999,0.0067766632699999,0.0,1.0,8000,0.000125,True,15612.022832467495,7.466728384440541e-06,0.1082722086356041,1.23576906409232,7475.512055899288,6049.934042991055,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.88**2 * RBF(length_scale=0.318),0.0378605893261601,0.516280763538548,0.139809491685398,0.3181673639606766,0.0344187175692365,62.106638144380824,1660.6920024987633,401,23,378,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.24402146363102,18.325055863341635,249.88712540920412,153.99746338451595,runs/gp_mean/attempt_02/results_single.csv
