lane,mass_GeV,attempt_row_count,finite_attempt_row_count,branch_multiplicity,selected_lml,selected_const_opt,selected_ls_opt,selected_source,selected_state_reproducing_attempt_count,selected_at_kernel_bound,review_status
functional_mean,0.055,2,2,1,1674.2309572841507,58.44848950875002,0.3219554936026396,runs/functional_mean/attempt_02/results_single.csv,2,False,stable_reproduced
functional_mean,0.056,2,2,1,1668.916966578565,59.1132460681272,0.3242531646846294,runs/functional_mean/attempt_01/results_single.csv,2,False,stable_reproduced
functional_mean,0.057,2,2,1,1664.4267274378583,65.37161377209915,0.3246730721121451,runs/functional_mean/attempt_01/results_single.csv,2,False,stable_reproduced
functional_mean,0.058,2,2,1,1661.5844936000285,66.75432683001793,0.3218839763045802,runs/functional_mean/attempt_02/results_single.csv,2,False,stable_reproduced
functional_mean,0.059,2,2,1,1660.5429974779363,63.76821836388377,0.3199581548586742,runs/functional_mean/attempt_02/results_single.csv,2,False,stable_reproduced
functional_mean,0.06,2,2,1,1665.138368495156,61.527978371451965,0.3179710768007999,runs/functional_mean/attempt_02/results_single.csv,2,False,stable_reproduced
functional_mean,0.061,2,2,1,1659.5093557564871,59.18461317913458,0.31725629199731,runs/functional_mean/attempt_01/results_single.csv,2,False,stable_reproduced
functional_mean,0.062,2,2,1,1657.2053722719645,63.866433348647675,0.3209328506673315,runs/functional_mean/attempt_01/results_single.csv,2,False,stable_reproduced
functional_mean,0.063,2,2,1,1656.962762128139,64.11788808035877,0.3211893556216658,runs/functional_mean/attempt_02/results_single.csv,2,False,stable_reproduced
functional_mean,0.064,2,2,1,1654.7083592122692,67.8076160309111,0.3209669943612037,runs/functional_mean/attempt_02/results_single.csv,2,False,stable_reproduced
functional_mean,0.065,2,2,1,1648.8060879914,66.3402065114918,0.3194736142532246,runs/functional_mean/attempt_02/results_single.csv,2,False,stable_reproduced
functional_mean,0.066,2,2,1,1655.2942340305688,68.849783872659,0.3199316440401317,runs/functional_mean/attempt_02/results_single.csv,2,False,stable_reproduced
functional_mean,0.067,2,2,1,1650.3017362067417,65.245340795724,0.317744825489295,runs/functional_mean/attempt_01/results_single.csv,2,False,stable_reproduced
functional_mean,0.068,2,2,1,1651.6607811013655,64.54925353984656,0.3179118215295283,runs/functional_mean/attempt_01/results_single.csv,2,False,stable_reproduced
functional_mean,0.069,2,2,1,1658.0763822918827,65.12313492476676,0.3193190342653028,runs/functional_mean/attempt_01/results_single.csv,2,False,stable_reproduced
functional_mean,0.07,2,2,1,1652.1071452559993,66.58561663610328,0.3197434650060405,runs/functional_mean/attempt_01/results_single.csv,2,False,stable_reproduced
functional_mean,0.071,3,3,2,1658.816350950451,69.10476512141547,0.3220513308641718,runs/functional_mean/repairs/m071/attempt_03/results_single.csv,2,False,resolved_reproduced_max_lml
functional_mean,0.072,2,2,1,1652.8109806328264,69.67151138637183,0.3215720616367243,runs/functional_mean/attempt_01/results_single.csv,2,False,stable_reproduced
functional_mean,0.073,2,2,1,1653.5084416988536,67.92870101965039,0.3187004228526485,runs/functional_mean/attempt_02/results_single.csv,2,False,stable_reproduced
functional_mean,0.074,2,2,1,1655.0670288582207,70.69334644337388,0.3208127446303913,runs/functional_mean/attempt_02/results_single.csv,2,False,stable_reproduced
functional_mean,0.075,2,2,1,1655.3818742629653,69.66361519371436,0.3197924248118472,runs/functional_mean/attempt_01/results_single.csv,2,False,stable_reproduced
