scope_key,scope_label,dataset_set,mass_MeV,n_fit_bins,dimuon_factor,signal_yield_per_eps2_fitted_window,eps2_current_ee_raw,eps2_fixed_ee_raw,eps2_current_display,eps2_fixed_display,fixed_over_current,p0_current,log_p0_current,Z_current,p0_fixed,log_p0_fixed,Z_fixed,signed_r_fixed,Ahat_fixed_window,sigma_A_fixed_window,eps2_hat_fixed_unbounded_ee_raw,eps2_fixed_asimov_ee_raw,eps2_profiled_asimov_ee_raw,eps2_fixed_asimov_display,eps2_profiled_asimov_display,fixed_over_profiled_asimov,fixed_cls_at_limit,inherited_2016_numerical_exception,fixed_background_uncertainty_omitted,conditional_on_frozen_gp,gp_reoptimized,prior_2021_fixed_limit_relative_delta,prior_2021_fixed_r_delta,checkpoint_completed,checkpoint_status,status_profiled,status_p0_profiled,eps2_profiled_calibrated,eps2_profiled_calibrated_ee_raw,eps2_profiled_mc_low,eps2_profiled_mc_low_ee_raw,eps2_profiled_mc_high,eps2_profiled_mc_high_ee_raw,p0_profiled_calibrated,p0_profiled_mc_se,eps2_profiled_asymptotic,eps2_profiled_asymptotic_ee_raw,p0_profiled_asymptotic,status_fixed,status_p0_fixed,eps2_fixed_calibrated,eps2_fixed_calibrated_ee_raw,eps2_fixed_mc_low,eps2_fixed_mc_low_ee_raw,eps2_fixed_mc_high,eps2_fixed_mc_high_ee_raw,p0_fixed_calibrated,p0_fixed_mc_se,eps2_fixed_asymptotic,eps2_fixed_asymptotic_ee_raw,p0_fixed_asymptotic,ratio_fixed_over_profiled_calibrated,checkpoint_path,ntoys_per_proposal,nvalidation,sigma_reference,gp_backend,signed_r_profiled_asymptotic,limiting_truth_profiled,p0_limiting_truth_profiled,p0_profiled_weighted_estimate_unclipped,log_p0_profiled_calibrated,signed_r_fixed_asymptotic,limiting_truth_fixed,p0_limiting_truth_fixed,p0_fixed_weighted_estimate_unclipped,log_p0_fixed_calibrated,numerical_audit_passed
individual_2015_full,2015 full,2015,19,16,1.0,265796818.52123833,6.028720311142007e-06,1.1952205443670581e-06,6.028720311142007e-06,1.1952205443670581e-06,0.1982544358805476,0.5,-0.6931471805599453,0.0,0.5,-0.6931471805599453,0.0,-6.281151736539158,-5707.480326957091,906.2953505373649,-2.1473094970476625e-05,5.63319055530681e-06,1.6242399804934887e-05,5.63319055530681e-06,1.6242399804934887e-05,0.3468200895778524,0.09999999999960837,False,True,True,False,,,True,completed_point,resolved,bounded_atom,6.6274480572224025e-06,6.6274480572224025e-06,6.332434091598875e-06,6.332434091598875e-06,6.922462022845931e-06,6.922462022845931e-06,1.0,0.0,6.028734063384577e-06,6.028734063384577e-06,0.5,resolved,bounded_atom,1.646671310398952e-05,1.646671310398952e-05,1.5955652950058184e-05,1.5955652950058184e-05,1.6977773257920856e-05,1.6977773257920856e-05,1.0,0.0,1.1952205443670581e-06,1.1952205443670581e-06,0.5,2.4846234873232342,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p13_calibration_20260905/refined_v1/attempt1_batch002/individual_2015_full/m019/result.json,,500,2624.471283628719,eigenfeature_rtol_1e-15,-3.2106186896115254,gp,gp,1.0,0.0,-6.281151736539158,gp,gp,1.0,0.0,True
individual_2015_full,2015 full,2015,20,18,1.0,379009431.6061488,1.3250739100729953e-05,1.4642929267698412e-06,1.3250739100729953e-05,1.4642929267698412e-06,0.11050650953418717,0.4833791450286052,-0.7269539539094306,0.0416743648887986,0.5,-0.6931471805599453,0.0,-4.131744117464654,-4565.5758313209635,1103.4387495598749,-1.2046074452483085e-05,4.801999179414914e-06,1.3069826831673178e-05,4.801999179414914e-06,1.3069826831673178e-05,0.3674110790647843,0.09999999999905043,False,True,True,False,,,True,completed_point,resolved,resolved,1.3966575879665653e-05,1.3966575879665653e-05,1.350927900834539e-05,1.350927900834539e-05,1.4423872750985916e-05,1.4423872750985916e-05,0.9916734528537294,0.016020663872344458,1.3247666341930427e-05,1.3247666341930427e-05,0.4848575274371633,resolved,bounded_atom,1.4587312585428571e-05,1.4587312585428571e-05,1.3845190830108424e-05,1.3845190830108424e-05,1.5329434340748716e-05,1.5329434340748716e-05,1.0,0.0,1.4642929267698412e-06,1.4642929267698412e-06,0.5,1.0444444444444445,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p13_calibration_20260905/study_results/v4p9p13_calibration_20260905/chunked_v1/attempt1_remaining_2015_batch001/individual_2015_full/m020/result.json,,500,3011.392845161942,eigenfeature_rtol_1e-15,0.03796566847057856,gp,stress,0.9916734528537294,-0.008361406480086485,-4.131744117464654,gp,gp,1.0,0.0,True
individual_2015_full,2015 full,2015,21,18,1.0,492318919.8096628,2.62940119494728e-05,1.8729931810284704e-05,2.62940119494728e-05,1.8729931810284704e-05,0.7123268920040269,0.005940912807469,-5.125892486122727,2.515634723312826,9.23613411572798e-10,-20.802727517578322,6.010701123451329,6.010701123451329,7597.686365354237,1266.276425991758,1.5432448479314193e-05,4.221730197203135e-06,1.136778194058442e-05,4.221730197203135e-06,1.136778194058442e-05,0.3713767751060586,0.09999999999989903,False,True,True,False,,,True,completed_point,resolved,resolved,2.5807121270591234e-05,2.5807121270591234e-05,2.518821728028221e-05,2.518821728028221e-05,2.642602526090026e-05,2.642602526090026e-05,0.00845171107381642,0.0006316145382802757,2.6294102151615193e-05,2.6294102151615193e-05,0.005939157409582324,resolved,resolved,2.8398631356340985e-05,2.8398631356340985e-05,2.7605012041217918e-05,2.7605012041217918e-05,2.919225067146405e-05,2.919225067146405e-05,0.1069548014692061,0.005817661335139938,1.8729931810284704e-05,1.8729931810284704e-05,9.23613411572798e-10,1.100418410041841,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p13_calibration_20260905/derived/individual_2015_full/m021/result.json,256,500,3402.2651895790996,eigenfeature_rtol_1e-15,2.5157388880992775,stress,stress,0.00845171107381642,-4.773386364169414,6.010701123451329,gp,stress,0.1069548014692061,-2.2353489499387202,True
individual_2015_full,2015 full,2015,22,20,1.0,612933316.5056059,1.6849498786461963e-05,2.936626744084558e-05,1.6849498786461963e-05,2.936626744084558e-05,1.7428570317142278,0.0770457924519072,-2.5633553267290545,1.425227031378324,3.3075467292246185e-30,-67.88134604465279,11.359991684426843,11.359991684426843,16169.361917111364,1427.6319549872383,2.638029534647343e-05,3.8142603878194705e-06,1.0060638541528098e-05,3.8142603878194705e-06,1.0060638541528098e-05,0.37912706753900804,0.09999999999986905,False,True,True,False,,,True,completed_point,limited_mc,resolved,2.8478229094353735e-05,2.8478229094353735e-05,2.7970457982183605e-05,2.7970457982183605e-05,2.8986000206523865e-05,2.8986000206523865e-05,0.14994218080414828,0.007269879504554926,1.6865840283127078e-05,1.6865840283127078e-05,0.07702342293369148,resolved,resolved,5.6668105858745306e-05,5.6668105858745306e-05,5.5998958379220075e-05,5.5998958379220075e-05,5.733725333827053e-05,5.733725333827053e-05,0.005263959906073947,0.0004110983718725127,2.936626744084558e-05,2.936626744084558e-05,3.3075467292246185e-30,1.9898746397113811,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p13_calibration_20260905/refined_v1/attempt1_batch001/individual_2015_full/m022/result.json,,500,3748.779684726695,eigenfeature_rtol_1e-15,1.425381870113801,stress,gp,0.14994218080414828,-1.8975055205008646,11.359991684426843,stress,gp,0.005263959906073947,-5.246871701615417,True
individual_2015_full,2015 full,2015,23,20,1.0,719405630.3758705,5.967122211967021e-06,8.348390130942852e-07,5.967122211967021e-06,8.348390130942852e-07,0.1399064714009077,0.5,-0.6931471805599453,0.0,0.5,-0.6931471805599453,0.0,-5.592080528319587,-8665.507762534015,1547.5102983432882,-1.2045371062784864e-05,3.5474241136084486e-06,9.271116714597163e-06,3.5474241136084486e-06,9.271116714597163e-06,0.382631804000818,0.09999999999995442,False,True,True,False,,,True,completed_point,resolved,bounded_atom,1.158050037389344e-05,1.158050037389344e-05,1.1208205855964243e-05,1.1208205855964243e-05,1.1952794891822639e-05,1.1952794891822639e-05,1.0,0.0,5.96785478800438e-06,5.96785478800438e-06,0.5,resolved,bounded_atom,1.576357085115533e-05,1.576357085115533e-05,1.5181213284234626e-05,1.5181213284234626e-05,1.6345928418076034e-05,1.6345928418076034e-05,1.0,0.0,8.348390130942852e-07,8.348390130942852e-07,0.5,1.3612167300380227,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p13_calibration_20260905/derived/individual_2015_full/m023/result.json,256,500,4054.6687374838334,eigenfeature_rtol_1e-15,-1.2388229223996416,stress,gp,1.0,0.0,-5.592080528319587,stress,gp,1.0,0.0,True
individual_2015_full,2015 full,2015,24,22,1.0,829316244.2441415,5.086191137630236e-06,9.02099793623158e-07,5.086191137630236e-06,9.02099793623158e-07,0.1773625428562768,0.5,-0.6931471805599453,0.0,0.5,-0.6931471805599453,0.0,-4.745003449201367,-7939.832877835214,1671.517874236661,-9.573950749115939e-06,3.32180143550202e-06,8.868983998910428e-06,3.32180143550202e-06,8.868983998910428e-06,0.3745413720342837,0.0999999999753867,False,True,True,False,,,True,completed_point,resolved,bounded_atom,5.0758129720934775e-06,5.0758129720934775e-06,4.7597308868129195e-06,4.7597308868129195e-06,5.3918950573740355e-06,5.3918950573740355e-06,1.0,0.0,5.08387474038182e-06,5.08387474038182e-06,0.5,resolved,bounded_atom,9.983134227270989e-06,9.983134227270989e-06,9.47300549200446e-06,9.47300549200446e-06,1.0493262962537517e-05,1.0493262962537517e-05,1.0,0.0,9.02099793623158e-07,9.02099793623158e-07,0.5,1.966804979253112,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p13_calibration_20260905/derived/individual_2015_full/m024/result.json,256,500,4471.4533714878735,eigenfeature_rtol_1e-15,-1.6021946542633738,gp,gp,1.0,0.0,-4.745003449201367,stress,gp,1.0,0.0,True
individual_2015_full,2015 full,2015,25,22,1.0,917968056.1605799,6.982118142580113e-06,1.1026242622272805e-06,6.982118142580113e-06,1.1026242622272805e-06,0.1579211694375349,0.5,-0.6931471805599453,0.0,0.5,-0.6931471805599453,0.0,-3.482075054066192,-6127.58149505426,1758.4457957670088,-6.67515765274338e-06,3.155637599089377e-06,8.047059515911103e-06,3.155637599089377e-06,8.047059515911103e-06,0.392147913514231,0.10000000002016722,False,True,True,False,,,True,completed_point,resolved,bounded_atom,7.911313771521417e-06,7.911313771521417e-06,7.616238089660317e-06,7.616238089660317e-06,8.20638945338252e-06,8.20638945338252e-06,1.0,0.0,6.981853503664723e-06,6.981853503664723e-06,0.5,resolved,bounded_atom,8.981443170567795e-06,8.981443170567795e-06,8.546003674513324e-06,8.546003674513324e-06,9.416882666622263e-06,9.416882666622263e-06,1.0,0.0,1.1026242622272805e-06,1.1026242622272805e-06,0.5,1.135265700483092,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p13_calibration_20260905/derived/individual_2015_full/m025/result.json,256,500,4490.7181910075005,eigenfeature_rtol_1e-15,-0.3835725896719329,gp,gp,1.0,0.0,-3.482075054066192,gp,gp,1.0,0.0,True
individual_2015_full,2015 full,2015,26,24,1.0,1007997705.006175,8.504925358416046e-06,9.318982769855262e-07,8.504925358416046e-06,9.318982769855262e-07,0.10957159971584779,0.3834249031797314,-0.9586114969595555,0.2964979839594137,0.5,-0.6931471805599453,0.0,-4.0807791567726035,-7559.780009848728,1850.9971382275025,-7.499798831191204e-06,3.025973480979747e-06,7.620808348809716e-06,3.025973480979747e-06,7.620808348809716e-06,0.3970672588101983,0.09999999999939983,False,True,True,False,,,True,completed_point,resolved,resolved,9.772554743288815e-06,9.772554743288815e-06,9.429033696723486e-06,9.429033696723486e-06,1.0116075789854147e-05,1.0116075789854147e-05,0.909910907785889,0.0147465541610352,8.504848094067744e-06,8.504848094067744e-06,0.3839056926344714,resolved,bounded_atom,9.012467152144131e-06,9.012467152144131e-06,8.590116547811304e-06,8.590116547811304e-06,9.434817756476954e-06,9.434817756476954e-06,1.0,0.0,9.318982769855262e-07,9.318982769855262e-07,0.5,0.9222222222222224,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p13_calibration_20260905/study_results/v4p9p13_calibration_20260905/chunked_v1/attempt1_remaining_2015_batch001/individual_2015_full/m026/result.json,,500,4669.9675274819965,eigenfeature_rtol_1e-15,0.2952389032830797,gp,stress,0.909910907785889,-0.09440858779609504,-4.0807791567726035,gp,gp,1.0,0.0,True
individual_2015_full,2015 full,2015,27,24,1.0,1075273836.6436706,7.721166893556462e-06,4.949955960545426e-06,7.721166893556462e-06,4.949955960545426e-06,0.6410891033421785,0.443594676918176,-0.8128440233115195,0.1418615650756263,0.0717997576612377,-2.6338741781253296,1.4625172701031768,1.4625172701031768,2793.2434114079424,1910.4355929771982,2.5977042463217498e-06,2.9218671278374134e-06,7.3213812418547925e-06,2.9218671278374134e-06,7.3213812418547925e-06,0.3990868705393615,0.09999999999805402,False,True,True,False,,,True,completed_point,resolved,resolved,8.24106183897546e-06,8.24106183897546e-06,7.976917329496426e-06,7.976917329496426e-06,8.505206348454495e-06,8.505206348454495e-06,0.8458681528160962,0.02168708835254297,7.721172665126943e-06,7.721172665126943e-06,0.44360692850195427,resolved,resolved,1.3283061698264243e-05,1.3283061698264243e-05,1.283447951275632e-05,1.283447951275632e-05,1.3731643883772166e-05,1.3731643883772166e-05,0.8661896076295871,0.021528235787286947,4.949955960545426e-06,4.949955960545426e-06,0.0717997576612377,1.611814345991561,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p13_calibration_20260905/derived/individual_2015_full/m027/result.json,256,500,4785.902815385863,eigenfeature_rtol_1e-15,0.1418305444011273,gp,stress,0.8458681528160962,-0.16739177925654486,1.4625172701031768,gp,stress,0.8661896076295871,-0.1436514479304903,True
individual_2015_full,2015 full,2015,28,26,1.0,1143174129.2279308,7.527736631736017e-06,9.651459179539154e-06,7.527736631736017e-06,9.651459179539154e-06,1.282119666467844,0.4715599882342036,-0.7517089565090043,0.0713490273140018,8.527070697691016e-06,-11.672264667199562,4.300333304985918,4.300333304985918,8498.067667639849,1977.7608437234321,7.433747362161893e-06,2.8425966656263887e-06,7.230349251890213e-06,2.8425966656263887e-06,7.230349251890213e-06,0.39314790566766267,0.09999999999988074,False,True,True,False,,,True,completed_point,resolved,resolved,7.314484906953117e-06,7.314484906953117e-06,7.024697100517899e-06,7.024697100517899e-06,7.604272713388333e-06,7.604272713388333e-06,0.5290583060001516,0.014904497293487353,7.502830306383853e-06,7.502830306383853e-06,0.4609313724716886,resolved,resolved,1.6689388097554997e-05,1.6689388097554997e-05,1.6087391304849245e-05,1.6087391304849245e-05,1.729138489026075e-05,1.729138489026075e-05,0.22804512838770685,0.009800587110374008,9.651459179539154e-06,9.651459179539154e-06,8.527070697691016e-06,2.28169014084507,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p13_calibration_20260905/derived/individual_2015_full/m028/result.json,256,500,5024.889338145034,eigenfeature_rtol_1e-15,0.0980875859786121,gp,stress,0.5290583060001516,-0.6366566339155864,4.300333304985918,gp,stress,0.22804512838770685,-1.4782117380885262,True
