scenario,lane,region,injected_mass_MeV,sigma_MeV,side,search_lo_MeV,search_hi_MeV,search_grid_clipped,status,echo_mass_MeV,echo_ratio,echo_depth,offset_sigma,local_minimum,boundary,negative_fit,Asimov_signed_r,yield_ratio_at_echo,ratio90_lo_MeV,ratio90_hi_MeV,toy_q16_mass,toy_median_mass,toy_q84_mass,toy_ratio_fixed_q16,toy_ratio_fixed_median,toy_ratio_fixed_q84,toys_fixed_ratio_below90,toy_count
one_120,one,120,121,2.9391708749999998,left,97.486632999999998,115.12165825,False,dip,112,0.18855696561280888,0.81144303438719112,-3.062088045493442,True,False,True,-7.0686543047209618,0.20122185899530512,105,115,111,112,112,0.16859140717787802,0.20329135062563083,0.21754867391847121,20,20
one_120,one,120,121,2.9391708749999998,right,126.87834175,144.51336699999999,False,dip,131,0.19471289156390398,0.80528710843609597,3.4023200505482691,True,False,True,-6.9938508567134452,0.20764997671917237,127,139,130,131,131.96000000000001,0.16064451063563603,0.19578313133283881,0.2252526403771189,20,20
one_160,one,160,148,3.5257560000000003,left,119.79395199999999,140.948488,False,dip,137,0.16269142749813748,0.83730857250186252,-3.1198982572815588,True,False,True,-8.6240737446482978,0.17464339995368772,129,140,137,137.5,138,0.14681248624528784,0.16220003096418412,0.17541676384503016,20,20
one_160,one,160,148,3.5257560000000003,right,155.051512,176.20604800000001,False,dip,160,0.15752694554015889,0.84247305445984111,3.4035253715798821,True,False,True,-8.6009845018438718,0.16922771878121576,156,170,159,159.5,160,0.14220972450251784,0.15245313819304729,0.16403837803295482,20,20
one_210,one,210,203,5.1079478750000007,left,162.13641699999999,192.78410424999998,False,dip,189,0.13171515351503862,0.8682848464849614,-2.7408267160517958,True,False,True,-10.326112201453626,0.14288759272344081,177,192,188,188,189,0.11947314965588096,0.12662279974428298,0.13716167726406958,20,20
one_210,one,210,203,5.1079478750000007,right,213.21589575000002,243.86358300000001,False,dip,219,0.13357652211539522,0.86642347788460472,3.1323733897734809,True,False,True,-10.46060656892702,0.1448180090893576,214,232,219,219,220,0.12257056764462203,0.12994786836300809,0.13704042865466018,20,20
one_65,one,65,66,2.1315715000000002,left,53,61.736857000000001,True,dip,61,0.07117149027939515,0.92882850972060482,-2.3456872077713555,True,True,True,-18.189676806561842,0.079313037984057713,57,61,61,61,61,0.067953702709812214,0.072366558578535731,0.075888686652258286,20,20
one_65,one,65,66,2.1315715000000002,right,70.263142999999999,83.052571999999998,False,dip,72,0.077598798133398469,0.92240120186660157,2.8148246493256264,True,False,True,-18.237202854578364,0.086357588437361202,71,76,72,72,72,0.075185591753542627,0.077683228961704417,0.083005226542049115,20,20
one_75,one,75,82,2.3129235000000001,left,63.496611999999999,77.374153000000007,False,dip,75,0.15071456791615068,0.84928543208384932,-3.0264727735266641,True,False,True,-10.818568950480064,0.1638407620439814,71,77,75,75,75,0.13706944736199642,0.15128138829545024,0.16428999648678075,20,20
one_75,one,75,82,2.3129235000000001,right,86.625846999999993,100.503388,False,dip,89,0.13294596331275293,0.86705403668724701,3.0264727735266641,True,False,True,-9.898708379391584,0.14514989963728325,87,94,89,89,89,0.12579154487766189,0.13251042021644804,0.13974161412929514,20,20
one_92,one,92,86,2.3651314999999999,left,67.078947999999997,81.269737000000006,False,dip,79,0.23325632189862172,0.76674367810137833,-2.9596663018525611,True,False,True,-5.6081115836245079,0.24934026694672101,75,81,79,79,79,0.21066225108042089,0.23852526812802816,0.28626282515971774,20,20
one_92,one,92,86,2.3651314999999999,right,90.730262999999994,104.921052,False,dip,93,0.24038766013924664,0.75961233986075338,2.9596663018525611,True,False,True,-5.5037278737075788,0.25678141715293212,91,99,93,93.5,94,0.19890388645178753,0.23759146747069104,0.25839612957491909,20,20
one_extra145,one,extra 145,145,3.4543968749999996,left,117.364825,138.09120625,False,dip,135,0.14340155017083331,0.85659844982916666,-2.8948613497110118,True,False,True,-10.202371677311234,0.15385463631997509,126,138,134,134,135,0.1298551091087958,0.14353668424719276,0.15096333518471061,20,20
one_extra145,one,extra 145,145,3.4543968749999996,right,151.90879375,172.635175,False,dip,156,0.13085391276733876,0.86914608723266129,3.1843474846821129,True,False,True,-10.113919922860063,0.14065730665988901,152,166,156,156,157,0.11800657960549392,0.13519442501356216,0.14229489631322426,20,20
one_extra244,one,extra 244,244,6.6254039999999996,left,190.996768,230.74919199999999,False,dip,227,0.078333170354489071,0.92166682964551094,-2.5658812655047152,True,False,True,-19.190469238982367,0.088198138051687636,214,230,226,226,227,0.073980475793317763,0.077760466009292539,0.082028984647381648,20,20
one_extra244,one,extra 244,244,6.6254039999999996,right,257.25080800000001,250,True,outside_scan,,,,,,,,,,,,,,,,,,,
one_extra84,one,extra 84,84,2.3386840000000002,left,65.290527999999995,79.322631999999999,False,dip,78,0.14081907383911624,0.85918092616088382,-2.5655454092985623,True,False,True,-9.9550165152870473,0.15304728023822897,73,79,78,78,78,0.12907460515892663,0.13678039649933246,0.14750345028344666,20,20
one_extra84,one,extra 84,84,2.3386840000000002,right,88.677368000000001,102.70947200000001,False,dip,91,0.13856310967420629,0.86143689032579374,2.9931363108483229,True,False,True,-9.9570043011763136,0.15065199932833565,89,96,91,91,91,0.13338186265204149,0.13884278829239011,0.15084294704209295,20,20
ten_120,ten,120,123,2.9783278750000002,left,99.173377000000002,117.04334425,False,dip,115,0.46694627899771607,0.53305372100228388,-2.6860709551664117,True,False,True,-2.5201725156255899,0.47496638452102119,109,117,112.08,114.5,115,0.37112600112187616,0.51209579435850627,0.56137806802842194,20,20
ten_120,ten,120,123,2.9783278750000002,right,128.95665575000001,146.82662300000001,False,dip,132,0.45724140895620718,0.54275859104379287,3.0218298245622131,True,False,True,-2.3366284180155308,0.46538134009502391,129,138,131,132,133,0.35101112853187588,0.44960791081473972,0.62428177741353807,20,20
ten_160,ten,160,160,3.8266499999999999,left,129.38679999999999,152.3467,False,dip,149,0.39618707715736151,0.60381292284263854,-2.8745769798648948,True,False,True,-3.0322811816198301,0.4071494776308156,142,152,146,149,151,0.30690294356405151,0.42713075274512746,0.51767130136271988,20,20
ten_160,ten,160,160,3.8266499999999999,right,167.6533,190.61320000000001,False,dip,172,0.3891934799892604,0.61080652001073954,3.1359021598526127,True,False,True,-3.0236144338676869,0.40014424713266289,168,180,170,172,173,0.33256942144140184,0.40531776958698307,0.67059726706737066,20,20
ten_210,ten,210,208,5.2775459999999992,left,165.77963199999999,197.444908,False,dip,194,0.39195358459497054,0.60804641540502946,-2.6527480764734221,True,False,True,-2.9541181287666487,0.41208027045935558,185,197,189.03999999999999,193,195,0.31641216519220111,0.40900914496858598,0.55724375629272305,20,20
ten_210,ten,210,208,5.2775459999999992,right,218.555092,250,True,dip,224,0.38848318319277347,0.61151681680722647,3.0317120873981964,True,False,True,-3.0852245338412398,0.40842592493290192,219,234,222.03999999999999,224,225.96000000000001,0.30199623061752573,0.37110690545459823,0.47743830637839951,20,20
ten_65,ten,65,65,2.121696875,left,50,60.756606249999997,True,dip,60,0.20769458822417705,0.79230541177582292,-2.3566043099347072,True,True,True,-5.7971107966387372,0.23061223705084616,58,60,60,60,60,0.19806308539978301,0.21858695056718269,0.25539284551649699,20,20
ten_65,ten,65,65,2.121696875,right,69.243393749999996,81.973574999999997,False,dip,70,0.26003000552335859,0.73996999447664136,2.3566043099347072,True,True,True,-6.7701478324093767,0.28490609664598399,70,73,70,70,70,0.23196463375642778,0.24810411486656544,0.28954336938069819,20,20
ten_75,ten,75,78,2.2634634999999999,left,59.892291999999998,73.473072999999999,False,dip,72,0.22277713009823433,0.7772228699017657,-2.6508048395743957,True,False,True,-6.8672657733364826,0.23420784860080468,69,73,72,72,73,0.20167858028155028,0.2210875500864449,0.25813423134319036,20,20
ten_75,ten,75,78,2.2634634999999999,right,82.526927000000001,96.107708000000002,False,dip,84,0.218166492043848,0.78183350795615203,2.6508048395743957,True,False,True,-6.2045883920094687,0.2297046754468256,83,88,84,84,85,0.19353071745977268,0.22297197591822843,0.25268821547268272,20,20
ten_92,ten,92,93,2.4631078750000004,left,73.295136999999997,88.073784250000003,False,dip,86,0.37454898453937191,0.62545101546062809,-2.8419380535657615,True,False,True,-3.7042429328618578,0.39330111179728561,83,88,85,86,87,0.30849664376940988,0.4077395426021172,0.50687125272696265,20,20
ten_92,ten,92,93,2.4631078750000004,right,97.926215749999997,112.704863,False,dip,100,0.34776219123675806,0.65223780876324189,2.8419380535657615,True,False,True,-3.0223200010708355,0.36706587483509862,98,105,99,100,101,0.28521311181081593,0.32632554301905714,0.42579833993783461,20,20
