mass_MeV,muon_central_eps2,electron_Rb_central_eps2
1,3.3666516203953376e-07,3.1445919303831992e-09
1.0077134175324267,3.3673707864274324e-07,3.1778698809970585e-09
1.015486331874883,3.3680953704302951e-07,3.2115878725294438e-09
1.0233192019511064,3.3688254129408363e-07,3.2457522453824129e-09
1.0312124902247048,3.3695609547992859e-07,3.2803694359522532e-09
1.0391666627264615,3.370302037151507e-07,3.3154459781176426e-09
1.0471821890818491,3.3710487014513497e-07,3.3509885047510696e-09
1.0552595425387581,3.3718009894630028e-07,3.3870037492537974e-09
1.0633991999954371,3.3725589432633784e-07,3.4234985471148134e-09
1.0716016420286503,3.3733226052445163e-07,3.4604798374940825e-09
1.0798673529220513,3.3740920181159977e-07,3.4979546648305007e-09
1.0881968206947754,3.3748672249073919e-07,3.5359301804749417e-09
1.0965905371302536,3.3756482689707152e-07,3.5744136443487676e-09
1.1050489978052471,3.3764351939829125e-07,3.613412426628213e-09
1.1135727021191089,3.3772280439483587e-07,3.6529340094550501e-09
1.122162153323266,3.3780268632013861e-07,3.6929859886739098e-09
1.1308178585509354,3.3788316964088245e-07,3.7335760755967238e-09
1.1395403288470634,3.3796425885725661e-07,3.7747120987946563e-09
1.1483300791984996,3.3804595850321612e-07,3.8164020059180041e-09
1.1571876285644023,3.3812827314674137e-07,3.8586538655444423e-09
1.1661134999068781,3.3821120739010234e-07,3.9014758690561022e-09
1.1751082202218592,3.3829476587012367e-07,3.944876332545926e-09
1.1841723205702173,3.3837895325845141e-07,3.9888636987537074e-09
1.1933063361091181,3.3846377426182414e-07,4.0334465390323317e-09
1.202510806123618,3.3854923362234411e-07,4.0786335553446624e-09
1.2117862740585044,3.386353361177517e-07,4.1244335822915416e-09
1.2211332875503813,3.3872208656170233e-07,4.170855589171401e-09
1.2305523984600022,3.3880948980404592e-07,4.2179086820719711e-09
1.2400441629048533,3.3889755073110749e-07,4.2656021059945784e-09
1.249609141291987,3.3898627426597166e-07,4.3139452470115351e-09
1.2592478983511093,3.3907566536876854e-07,4.3629476344571611e-09
1.2689610031679222,3.3916572903696272e-07,4.4126189431529294e-09
1.2787490292177235,3.392564703056441e-07,4.4629689956672569e-09
1.288612554399265,3.3934789424782216e-07,4.5140077646105308e-09
1.2985521610688735,3.3944000597472125e-07,4.5657453749658495e-09
1.3085684360748326,3.3953281063608013e-07,4.6181921064560806e-09
1.3186619707920324,3.396263134204527e-07,4.6713583959477764e-09
1.3288333611568839,3.3972051955551253e-07,4.7252548398925307e-09
1.339083207702505,3.3981543430835857e-07,4.7798921968063318e-09
1.3494121155941756,3.3991106298582508e-07,4.8352813897875499e-09
1.3598206946650686,3.4000741093479299e-07,4.8914335090740901e-09
1.370309559452255,3.4010448354250453e-07,4.94835981464039e-09
1.3808793292329857,3.4020228623688078e-07,5.0060717388348137e-09
1.3915306280612572,3.4030082448684137e-07,5.0645808890581258e-09
1.4022640848046535,3.4040010380262746e-07,5.123899050483627e-09
1.4130803331814781,3.4050012973612711e-07,5.1840381888196507e-09
1.4239800117981674,3.4060090788120451e-07,5.2450104531150249e-09
1.4349637641869966,3.4070244387403037e-07,5.3068281786082142e-09
1.4460322388440734,3.4080474339341672e-07,5.3695038896207793e-09
1.4571860892676276,3.4090781216115416e-07,5.4330503024958538e-09
1.4684259739965928,3.4101165594235182e-07,5.4974803285823538e-09
1.4797525566494887,3.4111628054578015e-07,5.562807077265589e-09
1.4911665059636021,3.4122169182421819e-07,5.6290438590450449e-09
1.5026684958344694,3.4132789567480138e-07,5.6962041886600097e-09
1.5142592053556643,3.414348980393749e-07,5.7643017882638289e-09
1.525939318858893,3.4154270490484876e-07,5.833350590647533e-09
1.5377095259543985,3.4165132230355641e-07,5.9033647425135974e-09
1.5495705215716746,3.4176075631361623e-07,5.9743586078005882e-09
1.5615230060004972,3.4187101305929707e-07,6.0463467710595259e-09
1.5735676849322691,3.41982098711386e-07,6.1193440408827397e-09
1.5857052695016856,3.4209401948756014e-07,6.1933654533860319e-09
1.5979364763287214,3.4220678165276114e-07,6.2684262757449598e-09
1.6102620275609394,3.4232039151957382e-07,6.3445420097861227e-09
1.622682650916129,3.4243485544860761e-07,6.4217283956342315e-09
1.63519907972527,3.4255017984888119e-07,6.5000014154158962e-09
1.6478120529758309,3.426663711782116e-07,6.5793772970209562e-09
1.6605223153553985,3.4278343594360568e-07,6.6598725179222854e-09
1.6733306172956466,3.42901380701656e-07,6.7415038090549318e-09
1.6862377150166414,3.4302021205893966e-07,6.8242881587555641e-09
1.6992443705714899,3.4313993667242094e-07,6.9082428167630825e-09
1.7123513518913331,3.4326056124985803e-07,6.9933852982814493e-09
1.7255594328306865,3.4338209255021266e-07,7.0797333881055884e-09
1.7388693932131269,3.4350453738406424e-07,7.1673051448113941e-09
1.7522820188773371,3.4362790261402697e-07,7.2561189050108389e-09
1.7657981017235016,3.4375219515517163e-07,7.3461932876731606e-09
1.7794184397600616,3.4387742197545044e-07,7.4375471985131831e-09
1.7931438371508301,3.4400359009612644e-07,7.5301998344477656e-09
1.806975104262472,3.4413070659220628e-07,7.6241706881214854e-09
1.8209130577123489,3.4425877859287738e-07,7.7194795525026029e-09
1.834958520416732,3.4438781328194872e-07,7.8161465255503624e-09
1.8491123216393901,3.4451781789829648e-07,7.914192014954804e-09
1.8633752970405497,3.446487997363125e-07,8.0136367429501339e-09
1.8777482887262329,3.4478076614635821e-07,8.1145017512028523e-09
1.892232145297978,3.449137245352219e-07,8.2168084057757508e-09
1.9068277219029408,3.4504768236658055e-07,8.3205784021689686e-09
1.9215358802843843,3.4518264716146612e-07,8.4258337704393248e-09
1.9363574888325568,3.453186264987355e-07,8.532596880399062e-09
1.9512934226359635,3.4545562801554591e-07,8.6408904468953596e-09
1.9663445635330326,3.455936594078336e-07,8.7507375351716973e-09
1.9815118001641803,3.4573272843079779e-07,8.8621615663124992e-09
1.9967960280242769,3.4587284289938922e-07,8.9751863227722301e-09
2.0121981495155192,3.4601401068880238e-07,9.0898359539902966e-09
2.0277190740007089,3.4615623973497339e-07,9.2061349820931013e-09
2.043359717856942,3.4629953803508203e-07,9.3241083076845338e-09
2.0591210045297141,3.464439136480588e-07,9.4437812157263378e-09
2.0750038645874418,3.4658937469509587e-07,9.5651793815096869e-09
2.0910092357764034,3.467359293601646e-07,9.6883288767194064e-09
2.1071380630761074,3.4688358589053622e-07,9.8132561755923144e-09
2.1233912987550823,3.4703235259730875e-07,9.93998816117101e-09
2.1397699024271017,3.4718223785593773e-07,1.0068552131654738e-08
2.1562748411078423,3.473332501067728e-07,1.0198975806848769e-08
2.1729070892719742,3.4748539785559976e-07,1.0331287334713722e-08
2.1896676289106987,3.4763868967418647e-07,1.0465515298016582e-08
2.2065574495897256,3.4779313420083528e-07,1.0601688721084799e-08
2.2235775485076976,3.4794874014094027e-07,1.0739837076665124e-08
2.2407289305550675,3.4810551626754944e-07,1.0879990292888868e-08
2.2580126083734267,3.4826347142193344e-07,1.1022178760345096e-08
2.2754296024152945,3.4842261451415805e-07,1.1166433339263568e-08
2.2929809410043673,3.4858295452366376e-07,1.1312785366809009e-08
2.3106676603962306,3.4874450049985066e-07,1.1461266664488503e-08
2.3284908048395421,3.4890726156266803e-07,1.1611909545673731e-08
2.3464514266376861,3.490712469032103e-07,1.176474682323982e-08
2.3645505862109006,3.4923646578431949e-07,1.1919811817322603e-08
2.3827893521588894,3.4940292754119256e-07,1.2077138363196226e-08
2.4011688013239119,3.495706415819943e-07,1.223676081927274e-08
2.4196900188543595,3.4973961738847794e-07,1.2398714075225799e-08
2.4383540982688285,3.4990986451660981e-07,1.2563033560240251e-08
2.4571621415206799,3.5008139259720157e-07,1.2729755251389588e-08
2.4761152590631004,3.5025421133654814e-07,1.2898915682143266e-08
2.4952145699146673,3.5042833051707161e-07,1.3070551951005897e-08
2.5144612017254135,3.5060375999797179e-07,1.3244701730290239e-08
2.5338562908434086,3.5078050971588341e-07,1.342140327502633e-08
2.55340098238185,3.5095858968553942e-07,1.3600695432008517e-08
2.5730964302866699,3.5113801000044092e-07,1.3782617648982794e-08
2.5929437974046676,3.5131878083353391e-07,1.3967209983976465e-08
2.6129442555521658,3.5150091243789249e-07,1.4154513114772434e-08
2.6330989855841955,3.5168441514740894e-07,1.4344568348530237e-08
2.6534091774642157,3.5186929937749139e-07,1.4537417631556216e-08
2.6738760303343696,3.5205557562576664e-07,1.4733103559225055e-08
2.6945007525862863,3.5224325447279238e-07,1.493166938605506e-08
2.7152845619324224,3.5243234658277447e-07,1.5133159035939494e-08
2.7362286854779594,3.5262286270429249e-07,1.5337617112536521e-08
2.7573343597932536,3.5281481367103256e-07,1.5545088909820048e-08
2.7786028309868458,3.5300821040252702e-07,1.5755620422794104e-08
2.80003535477903,3.5320306390490198e-07,1.5969258358373071e-08
2.8216331965759975,3.5339938527163253e-07,1.6186050146430678e-08
2.8433976315445437,3.5359718568430473e-07,1.6406043951019971e-08
2.8653299446873599,3.5379647641338657e-07,1.6629288681767243e-08
2.8874314309188986,3.5399726881900575e-07,1.6855834005442334e-08
2.9097033951418281,3.5419957435173591e-07,1.7085730357708269e-08
2.9321471523240765,3.544034045533903e-07,1.7319028955052879e-08
2.9547640275764682,3.5460877105782457e-07,1.7555781806905173e-08
2.97755535623096,3.5481568559174628e-07,1.7796041727939485e-08
3.0005224839194833,3.5502415997553426e-07,1.8039862350570146e-08
3.0236667666533883,3.5523420612406491e-07,1.828729813763969e-08
3.046989570903508,3.5544583604754825e-07,1.8538404395303613e-08
3.0704922736808369,3.5565906185237167e-07,1.8793237286114678e-08
3.0941762626178271,3.5587389574195249e-07,1.9051853842309829e-08
3.1180429360503217,3.5609035001760003e-07,1.9314311979303028e-08
3.1420937031001119,3.563084370793854e-07,1.9580670509386863e-08
3.166329983758132,3.565281694270215e-07,1.9850989155646529e-08
3.1907532089682995,3.5674955966075087e-07,2.0125328566089227e-08
3.2153648207120025,3.5697262048224426e-07,2.0403750327992374e-08
3.2401662720932309,3.5719736469550692e-07,2.0686316982474047e-08
3.2651590274243718,3.5742380520779568e-07,2.0973092039289013e-08
3.2903445623126686,3.5765195503054472e-07,2.1264139991854014e-08
3.3157243637473361,3.5788182728030124e-07,2.1559526332505593e-08
3.3412999301873585,3.581134351796714e-07,2.1859317567994244e-08
3.367072771649962,3.5834679205827522e-07,2.2163581235218612e-08
3.3930444097997636,3.5858191135371219e-07,2.2472385917203133e-08
3.4192163780386151,3.5881880661253727e-07,2.2785801259323239e-08
3.4455902215961389,3.5905749149124612e-07,2.3103897985781801e-08
3.4721674976209567,3.5929797975727178e-07,2.3426747916340661e-08
3.4989497752726275,3.5954028528999118e-07,2.3754423983311196e-08
3.5259386358142963,3.5978442208174266e-07,2.4087000248808182e-08
3.553135672706047,3.600304042388543e-07,2.4424551922270511e-08
3.5805424916989881,3.6027824598268271e-07,2.4767155378253441e-08
3.6081607109300577,3.6052796165066332e-07,2.5114888174496312e-08
3.6359919610175595,3.6077956569737174e-07,2.5467829070269892e-08
3.6640378851574349,3.6103307269559624e-07,2.5826058045007897e-08
3.6923001392202832,3.6128849733742185e-07,2.6189656317227048e-08
3.7207803918491269,3.6154585443532618e-07,2.6558706363739954e-08
3.7494803245579256,3.6180515892328661e-07,2.6933291939165542e-08
3.7784016318308589,3.6206642585789928e-07,2.7313498095741555e-08
3.8075460212223731,3.6232967041951113e-07,2.7699411203443855e-08
3.8369152134579916,3.6259490791336265e-07,2.8091118970417147e-08
3.8665109425359123,3.6286215377074406e-07,2.8488710463722088e-08
3.8963349558293885,3.631314235501629e-07,2.8892276130403601e-08
3.9263890141898905,3.6340273293852589e-07,2.9301907818885437e-08
3.9566748920510695,3.6367609775233171e-07,2.9717698800695796e-08
3.987194377533529,3.6395153393887798e-07,3.0139743792529651e-08
4.0179492725503891,3.642290575774808e-07,3.0568138978652276e-08
4.0489413929136804,3.6450868488070782e-07,3.1002982033649877e-08
4.0801725684415491,3.6479043219562428e-07,3.144437214553239e-08
4.1116446430662927,3.6507431600505394e-07,3.1892410039193965e-08
4.1433594749432281,3.653603529288496e-07,3.2347198000236609e-08
4.1753189365604015,3.6564855972518668e-07,3.2808839899162787e-08
4.2075249148491398,3.6593895329185909e-07,3.3277441215942473e-08
4.2399793112954596,3.662315506675981e-07,3.3753109064960581e-08
4.2726840420523322,3.6652636903340253e-07,3.4235952220350659e-08
4.3056410380528183,3.6682342571388348e-07,3.4726081141720734e-08
4.3388522451240714,3.6712273817862448e-07,3.5223608000277521e-08
4.3723196241022189,3.674243240435565e-07,3.5728646705355002e-08
4.4060451509481426,3.6772820107234801e-07,3.6241312931353833e-08
4.4400308168641303,3.6803438717781035e-07,3.6761724145097611e-08
4.4742786284114437,3.6834290042331939e-07,3.7289999633612853e-08
4.5087906076287956,3.6865375902425176e-07,3.7826260532339151e-08
4.5435687921517207,3.6896698134943826e-07,3.8370629853775638e-08
4.5786152353328893,3.6928258592263232e-07,3.8923232516571359e-08
4.613932006363342,3.6960059142399605e-07,3.9484195375066028e-08
4.6495211903946503,3.6992101669160208e-07,4.0053647249287725e-08
4.6853848886620293,3.7024388072295184e-07,4.0631718955415345e-08
4.7215252186084022,3.7056920267651207e-07,4.1218543336712693e-08
4.7579443140094115,3.7089700187326751e-07,4.1814255294941139e-08
4.7946443250994006,3.7122729779829172e-07,4.2418991822258965e-08
4.831627418698373,3.7156011010233439e-07,4.3032892033614493e-08
4.8688957783399145,3.7189545860342842e-07,4.3656097199640383e-08
4.9064516044001207,3.7223336328851331e-07,4.4288750780057668e-08
4.9442971142275027,3.7257384431507813e-07,4.4930998457596546e-08
4.9824345422739125,3.7291692201282205e-07,4.5582988172442714e-08
5.0208661402264561,3.7326261688533489e-07,4.6244870157216455e-08
5.059594177140446,3.7361094961179546e-07,4.6916796972493817e-08
5.0986209395733653,3.7396194104869015e-07,4.7598923542877405e-08
5.1379487317198684,3.7431561223155069e-07,4.8291407193625531e-08
5.1775798755478251,3.746719843767115e-07,4.8994407687848811e-08
5.2175167109354161,3.7503107888308763e-07,4.9708087264282262e-08
5.2577615958092752,3.7539291733397225e-07,5.0432610675642362e-08
5.2983169062837092,3.7575752149885553e-07,5.116814522757783e-08
5.3391850368009903,3.7612491333526415e-07,5.1914860818223703e-08
5.3803684002727223,3.7649511499062099e-07,5.2672929978367449e-08
5.4218694282222994,3.7686814880412762e-07,5.3442527912236983e-08
5.4636905709284775,3.7724403730866737e-07,5.4223832538920447e-08
5.5058342975700327,3.7762280323273069e-07,5.5017024534426918e-08
5.5483030963715443,3.7800446950236305e-07,5.5822287374398341e-08
5.5910994747503144,3.7838905924313468e-07,5.6639807377483116e-08
5.6342259594643957,3.7877659578213343e-07,5.7469773749380453e-08
5.6776850967617802,3.7916710264998068e-07,5.831237862756736e-08
5.7214794525307413,3.7956060358287107e-07,5.9167817126717785e-08
5.7656116124513108,3.7995712252463475e-07,6.0036287384824754e-08
5.810084182147957,3.803566836288248e-07,6.091799061003696e-08
5.8548997873434105,3.8075931126082846e-07,6.1813131128220153e-08
5.9000610740137072,3.811650300000029e-07,6.2721916431255202e-08
5.945570708544393,3.8157386464183607e-07,6.3644557226083529e-08
5.9914313778879604,3.8198584020013286e-07,6.4581267484512299e-08
6.037645789722494,3.8240098190922649e-07,6.5532264493790455e-08
6.0842166726115217,3.8281931522621644e-07,6.6497768907967687e-08
6.1311467761651253,3.8324086583323192e-07,6.7478004800048869e-08
6.1784388712022791,3.8366565963972261e-07,6.8473199714955921e-08
6.226095749914438,3.8409372278477607e-07,6.9483584723309268e-08
6.2741202260303943,3.8452508163946182e-07,7.0509394476042416e-08
6.3225151349824102,3.8495976280920484e-07,7.1550867259862042e-08
6.3712833340736168,3.8539779313618467e-07,7.2608245053566442e-08
6.4204277026467178,3.8583919970176513e-07,7.36817735852363e-08
6.4699511422539908,3.8628400982895141e-07,7.4771702390310724e-08
6.5198565768285981,3.8673225108487687e-07,7.5878284870562514e-08
6.5701469528572138,3.8718395128331922e-07,7.700177835398639e-08
6.6208252395540024,3.8763913848724654e-07,7.8142444155614916e-08
6.6718944290359126,3.8809784101139396e-07,7.9300547639275447e-08
6.7233575364993383,3.8856008742487038e-07,8.0476358280303452e-08
6.7752176003981441,3.8902590655379735e-07,8.1670149729227129e-08
6.8274776826230621,3.8949532748397809e-07,8.2882199876437744e-08
6.8801408686824592,3.8996837956359978e-07,8.411279091786114e-08
6.933210267884518,3.9044509240596753e-07,8.5362209421646341e-08
6.9866890135208202,3.909254958922709e-07,8.6630746395886876e-08
7.040580263051325,3.9140962017438453e-07,8.7918697357389797e-08
7.0948871982908015,3.9189749567770145e-07,8.9226362401510529e-08
7.1496130255966879,3.9238915310400149e-07,9.0554046273068255e-08
7.2047609760583917,3.9288462343435314e-07,9.1902058438359651e-08
7.2603343056880627,3.9338393793205153e-07,9.327071315828733e-08
7.316336295612837,3.9388712814559099e-07,9.4660329562621205e-08
7.3727702522685474,3.9439422591167464e-07,9.6071231725408616e-08
7.4296395075949482,3.9490526335825915e-07,9.7503748741553162e-08
7.4869474192324414,3.9542027290763753e-07,9.8958214804578809e-08
7.5446973707203062,3.9593928727955845e-07,1.0043496928559753e-07
7.6028927716964727,3.9646233949438476e-07,1.0193435681350067e-07
7.6615370580988369,3.9698946287628869e-07,1.0345672735639116e-07
7.7206336923681143,3.975206910564874e-07,1.0500243630427709e-07
7.7801861636522709,3.9805605797651813e-07,1.0657184455304511e-07
7.8401979880125285,3.9859559789155146e-07,1.0816531858973494e-07
7.9006727086309612,3.991393453737477e-07,1.0978323057913346e-07
7.9616138960196814,3.9968733531565267e-07,1.1142595845170991e-07
8.0230251482316497,4.0023960293363505e-07,1.1309388599291265e-07
8.0849100910731213,4.0079618377136751e-07,1.1478740293384892e-07
8.1472723783176981,4.0135711370334836e-07,1.1650690504336789e-07
8.2101156919220681,4.0192242893846894e-07,1.1825279422157028e-07
8.2734437422433924,4.0249216602362282e-07,1.2002547859476581e-07
8.3372602682583583,4.0306636184736065e-07,1.2182537261190035e-07
8.4015690377839451,4.0364505364359024e-07,1.2365289714247692e-07
8.4663738476998827,4.0422827899532196e-07,1.2550847957599263e-07
8.5316785241728095,4.0481607583846023e-07,1.2739255392291503e-07
8.597486922882192,4.0540848246564305e-07,1.293055609172226e-07
8.6638029292479608,4.0600553753012794e-07,1.3124794812053261e-07
8.7306304586599115,4.0660728004972681e-07,1.3322017002784126e-07
8.7979734567088759,4.0721374941079001e-07,1.3522268817490156e-07
8.8658358994196806,4.0782498537223904e-07,1.3725597124726347e-07
8.9342217934858823,4.0844102806965077e-07,1.3932049519100246e-07
9.0031351765063459,4.0906191801939097e-07,1.4141674332516324e-07
9.072580117223616,4.096876961228018e-07,1.4354520645594379e-07
9.1425607157641551,4.1031840367043919e-07,1.4570638299264853e-07
9.2130811038804055,4.1095408234636474e-07,1.4790077906543548e-07
9.2841454451947438,4.1159477423249128e-07,1.5012890864488826e-07
9.3557579354453093,4.1224052181298278e-07,1.5239129366343883e-07
9.4279228027337147,4.1289136797870901e-07,1.5468846413867012e-07
9.5006443077746852,4.1354735603175753e-07,1.5702095829852879e-07
9.5739267441476237,4.1420852969000115e-07,1.5938932270847646e-07
9.647774438550103,4.1487493309172351e-07,1.6179411240060983e-07
9.7221917510533107,4.1554661080030338e-07,1.6423589100477985e-07
9.7971830753595004,4.1622360780895751e-07,1.667152308817423e-07
9.8727528390613735,4.1690596954554394e-07,1.6923271325836917e-07
9.9489055039035019,4.1759374187742569e-07,1.71788928364954e-07
10.025645566045771,4.1828697111639677e-07,1.7438447557464424e-07
