scope,mass_MeV,factor,offset_base_bins,signed_r,epsilon2_hat,max_score,min_lambda
combined,72,1,0,-3.4903391175841327,-4.8782378338729323e-06,1.2924746606302051e-07,2348.5765261026413
2015,72,1,0,-0.83258718261656406,-1.1022927430460573e-05,8.9619253129669119e-09,2348.5765261026413
2016,72,1,0,-1.432070706565765,-3.4393581562530988e-06,7.4520219439655477e-09,265516.72122138395
2021,72,1,0,-3.1860635741071506,-5.5223775025027587e-06,1.6923474788210768e-07,1054213.6022861933
combined,73,1,0,-3.004738344064279,-4.1846280380537569e-06,3.7287713361422448e-08,2121.2516528310398
2015,73,1,0,-0.61981225869773238,-8.5362215997987824e-06,8.5567014584952972e-09,2121.2516528310398
2016,73,1,0,-2.8260669477407467,-6.7423377456096764e-06,7.9192909341330164e-08,256158.09042485335
2021,73,1,0,-1.6042391766874016,-2.7732829511850804e-06,1.0783080373055753e-08,1068820.3379933063
combined,74,1,0,-1.4524193186634,-2.0422985936325318e-06,7.2022413588612721e-08,1868.7515432057914
2015,74,1,0,-0.23744765850542335,-3.4239495284121654e-06,7.2022419694839357e-08,1868.7515432057914
2016,74,1,0,-2.2640952344699832,-5.7636136262871309e-06,1.812400673983916e-09,248601.95542776512
2021,74,1,0,-0.21585776594079742,-3.6663697687849328e-07,3.1180147352927179e-10,1094111.7604184132
combined,75,1,0,-0.6659011197396435,-9.2375505091905685e-07,2.0394796962364126e-13,1688.8214161048752
2015,75,1,0,-0.29558443554882607,-4.436584750787495e-06,4.418687638008123e-14,1688.8214161048752
2016,75,1,0,-2.5988057867744216,-6.6215800371956525e-06,9.407476242451196e-09,239081.66985857429
2021,75,1,0,0.93108444859010087,1.5493411033674499e-06,1.8113843758271742e-11,1104704.3068627305
combined,76,1,0,0.16556856318006546,2.2573273890005372e-07,6.6080474425689317e-13,1488.6849302250282
2015,76,1,0,-0.3339628049438379,-5.2842533623263139e-06,2.674083177112152e-12,1488.7351869329875
2016,76,1,0,-2.4598906099689324,-6.2383747639554187e-06,1.5318157242649733e-08,231434.88866856723
2021,76,1,0,1.8081414431996399,2.939096670270837e-06,6.7449636917404909e-09,1122669.6229942667
combined,77,1,0,0.88328590524801154,1.1797885829060616e-06,5.8397731095283234e-12,1345.9062045057199
2015,77,1,0,-0.64134232244137901,-1.0685929115528536e-05,2.7323476814444803e-11,1346.1403924695239
2016,77,1,0,-2.2860686439530928,-5.6420324414040455e-06,4.2737010708115974e-08,223760.96828567493
2021,77,1,0,2.5944349044406341,4.1399894546212752e-06,6.3838557551321173e-08,1129972.2858499899
combined,78,1,0,1.5294371553481299,2.0034202157720505e-06,1.2523759806981616e-11,1186.6719555220702
2015,78,1,0,-0.95918466524551949,-1.6833397459187517e-05,6.6283423194590796e-11,1187.0306089931166
2016,78,1,0,-1.4760740528111678,-3.6711572501722978e-06,4.1329956124158684e-08,214233.51937757104
2021,78,1,0,2.8086451222337065,4.3449130753980646e-06,1.3257727538018571e-07,1139503.0416380907
combined,79,1,0,1.8651950705511977,2.4413157570142921e-06,2.2369661678567354e-11,1073.0820990240156
2015,79,1,0,-1.303807111022995,-2.3939939581491291e-05,1.3836887191587266e-10,1073.4716393902579
2016,79,1,0,-0.57212364777550528,-1.4769808323817399e-06,1.5712566359127322e-08,206705.68779879157
2021,79,1,0,2.6171803020229776,3.9880287756730512e-06,4.8801327090508551e-08,1130637.0806124082
combined,80,1,0,1.6570492558578911,2.1799296697205667e-06,1.3385292874090737e-11,970.48446065072335
2015,80,1,0,-1.6584509833770782,-3.1784848788323141e-05,1.1501599672669727e-10,970.79398938130441
2016,80,1,0,-0.15144936786437777,-3.9924096487696775e-07,1.119782400138547e-08,199223.09924846524
2021,80,1,0,2.1373989640479936,3.2550735037858857e-06,1.2301702878581011e-08,1120392.5051481323
combined,72,2,0,-3.4724801913401673,-4.939721105784816e-06,1.7849028388638999e-07,4757.2656796147667
2015,72,2,0,-0.8455285746448209,-1.120476454532068e-05,7.0839156762758648e-09,4757.2656796147667
2016,72,2,0,-1.462150975757887,-3.5157628939957726e-06,8.0654563583415495e-09,532884.90833574918
2021,72,2,0,-3.149639304372434,-5.6072598238732089e-06,5.7170718381627239e-08,2123026.4815720231
combined,73,2,0,-3.1891730140950916,-4.4549787159026581e-06,3.2972963692756707e-08,4296.5159769477814
2015,73,2,0,-0.64190574655992572,-8.8483511894978137e-06,7.9723714296875414e-09,4296.5159769477814
2016,73,2,0,-2.8863334614106755,-6.8433367157947851e-06,6.5855894071376042e-08,517957.52966965135
2021,73,2,0,-1.775891493260507,-3.0946788548255695e-06,1.5638426442698972e-08,2176232.7315726797
combined,74,2,0,-1.8251585838619644,-2.5891321792756748e-06,7.5114411357546373e-09,3881.8895738449392
2015,74,2,0,-0.2656942876494201,-3.8076665032297934e-06,2.061250004015136e-09,3881.8895738449392
2016,74,2,0,-2.3111554138271848,-5.9321846344659779e-06,5.056879359699451e-10,495303.09986002487
2021,74,2,0,-0.63031209916794961,-1.0805600695901579e-06,4.9554087500069954e-09,2176143.473588231
combined,75,2,0,-1.1298931030530264,-1.5827109592797351e-06,3.8880010322372982e-13,3335.0366443591406
2015,75,2,0,-0.28592516210707236,-4.3235316266818881e-06,1.2545520178264269e-14,3335.0366443591406
2016,75,2,0,-2.6949788200457521,-6.8746700825670141e-06,1.0844281472799366e-08,480068.87813477893
2021,75,2,0,0.45312796927145299,7.6420156806345219e-07,8.2880369234317186e-12,2219155.564016128
combined,76,2,0,-0.21617675850462967,-2.9754487999937131e-07,6.1728400169158704e-13,3014.931219259287
2015,76,2,0,-0.35706843817187428,-5.6542639000839284e-06,2.3747670496732098e-12,3014.931219259287
2016,76,2,0,-2.5445007035066665,-6.4602068055332771e-06,1.7338711633119175e-08,464778.86423383059
2021,76,2,0,1.4287822324601411,2.3530224946859822e-06,4.3682302497405345e-09,2252882.6574656107
combined,77,2,0,0.74775419133394405,9.9934289564517882e-07,4.6513903839695558e-12,2725.7125645130636
2015,77,2,0,-0.6333750931673382,-1.0559596627100055e-05,2.1674662065152006e-11,2726.1077406189188
2016,77,2,0,-2.3334389861514344,-5.7649611517691339e-06,4.478701964849563e-08,449429.21411319269
2021,77,2,0,2.4612210614246655,3.9289640921084632e-06,1.3432433365601071e-07,2278408.0160430647
combined,78,2,0,1.5561920789028769,2.0454751923862025e-06,3.0389024630039785e-11,2464.3431962007789
2015,78,2,0,-1.0552117597730111,-1.8418196397937995e-05,1.6676171554763641e-10,2465.0642758117783
2016,78,2,0,-1.5562646705154493,-3.8485586298113183e-06,7.0369726268282307e-08,434166.39862999978
2021,78,2,0,2.9189134283175968,4.5475888403786539e-06,1.0081149792728894e-07,2274698.8675027229
combined,79,2,0,2.2709877395995672,2.9831296526352174e-06,9.4546592777078331e-12,2118.8074689212922
2015,79,2,0,-1.2004778407496004,-2.2181833479048647e-05,5.7913895901151591e-11,2119.7657565793211
2016,79,2,0,-0.44111391022595808,-1.1311290388081861e-06,3.8354592835077028e-09,419069.90663231374
2021,79,2,0,3.0170329619675234,4.6305930297494558e-06,9.8520523184042474e-08,2275078.524228442
combined,80,2,0,2.0188710600376076,2.6604790960414806e-06,4.234079753473452e-11,1916.1384075791611
2015,80,2,0,-1.6340111275678098,-3.1610732979814801e-05,3.0566260633690945e-10,1916.9007909483771
2016,80,2,0,-0.075493786874546873,-2.0061096480458537e-07,1.950227956903916e-08,396582.78880970215
2021,80,2,0,2.5038269047854538,3.811543538370596e-06,1.5386751615886762e-08,2256601.7017432279
combined,72,2,1,-3.569479768076508,-5.0894712495740253e-06,1.2416836703277312e-07,4880.1122037796858
2015,72,2,1,-0.74208444536532336,-9.7458652222802142e-06,1.2416836703277312e-07,4880.1122037796858
2016,72,2,1,-1.3934741810963214,-3.3749139388701854e-06,7.412626623626295e-09,529165.35528070282
