scope,mass_MeV,factor,offset_base_bins,signed_r,epsilon2_hat,max_score,min_lambda
2021,72,2,1,-3.3314775947127422,-5.9300824731307332e-06,8.386774386082152e-08,2092389.4295485318
combined,73,2,1,-2.9607083195051001,-4.1685245050342636e-06,1.0931706939665276e-07,4188.4793118354846
2015,73,2,1,-0.5138909355443787,-7.1306386162021015e-06,1.0931706950767506e-07,4188.4793118354846
2016,73,2,1,-2.7352881883185463,-6.5342584185702844e-06,7.2578069998385786e-08,514192.44799890096
2021,73,2,1,-1.6176475841790436,-2.8417834775155268e-06,1.5938959374572903e-08,2150965.2974275784
combined,74,2,1,-1.1671415752569227,-1.659782730990579e-06,8.4583931081461117e-08,3784.6480580397701
2015,74,2,1,-0.17346013312207659,-2.5037600506941526e-06,8.4583931081461117e-08,3784.6480580397701
2016,74,2,1,-2.0700642978657817,-5.2785728115446637e-06,9.0824325837957076e-10,499097.64348401444
2021,74,2,1,0.0052912613461315343,9.1300275285873671e-09,3.5503444628659508e-10,2199077.1697118934
combined,75,2,1,-0.24031002611198143,-3.3558174269164286e-07,4.553024623987767e-13,3420.187749680771
2015,75,2,1,-0.2080361217104589,-3.125496307168257e-06,2.8421709430404007e-14,3420.187749680771
2016,75,2,1,-2.3751452841922944,-6.0165439932517642e-06,4.1397495431638731e-09,483885.2539890419
2021,75,2,1,1.3125440437367564,2.2106978842916142e-06,2.5277824278191474e-10,2237177.6766777583
combined,76,2,1,0.53043027437323031,7.3817107731521292e-07,7.3718808835110394e-13,3091.6077461519353
2015,76,2,1,-0.18307828976436291,-2.8729557434610383e-06,2.6245672302138701e-13,3091.9298748374404
2016,76,2,1,-2.268202441257539,-5.7171183371177475e-06,9.1652540556985684e-09,468605.37825343409
2021,76,2,1,2.1697658877722339,3.6422969682689896e-06,3.2840000052658525e-08,2236746.8284915891
combined,77,2,1,0.92530462633002675,1.2383866193625311e-06,3.1246116805050406e-12,2657.9725589147529
2015,77,2,1,-0.50516909370226837,-8.4788223008997345e-06,1.3167023027449432e-11,2658.4677551967206
2016,77,2,1,-2.1830834357018336,-5.4310571604030488e-06,4.8063354407545944e-08,445613.17253814312
2021,77,2,1,2.5499073231638878,4.0668098251791917e-06,7.0511325223066024e-08,2266499.880024706
combined,78,2,1,1.4059057138904989,1.8587081417505901e-06,1.0110134951446526e-11,2403.3911744600991
2015,78,2,1,-0.8741561430463467,-1.5356275744981529e-05,5.1076920470904952e-11,2404.0554658918213
2016,78,2,1,-1.3927774870990957,-3.4690383441804527e-06,3.4553796268710357e-08,430368.80975690228
2021,78,2,1,2.6190218226093522,4.1019210564013867e-06,1.199284773711895e-07,2282934.9901831308
combined,79,2,1,1.589592825463763,2.1001146194845967e-06,1.8136603330276557e-11,2173.4728056901968
2015,79,2,1,-1.2361880821144045,-2.2721957896767926e-05,1.088840129170876e-10,2174.1405314138046
2016,79,2,1,-0.55916671567343468,-1.4456542319130398e-06,1.4016506177938481e-08,415302.79953334888
2021,79,2,1,2.2930337443777806,3.5368788386682485e-06,4.3744462274730722e-08,2265984.7637392911
combined,80,2,1,1.3332442200602102,1.7520503431287049e-06,1.0500489366904731e-11,1965.7505443126779
2015,80,2,1,-1.6084065806947436,-3.0856433200088266e-05,8.9624307975100237e-11,1966.2453472626705
2016,80,2,1,-0.21584725380803027,-5.6968054070331502e-07,1.1441385838750762e-08,400319.87823386746
2021,80,2,1,1.7938669124373341,2.7268481628871627e-06,1.0015731910506531e-08,2246193.3491128166
combined,72,4,0,-3.8446574945613432,-5.6249480697158986e-06,9.5261694088577542e-08,10275.83262949454
2015,72,4,0,-0.77701217235944353,-1.0145004345774854e-05,6.2734830219568494e-08,10275.83262949454
2016,72,4,0,-1.4881428721444205,-3.6423328232676184e-06,1.250897530002959e-08,1058326.7457181695
2021,72,4,0,-3.6130472953344959,-6.6591321856198084e-06,9.5261694976755962e-08,4181959.5333252782
combined,73,4,0,-3.8493147920792863,-5.6115143467400905e-06,5.9220590334363443e-08,8379.2378734602789
2015,73,4,0,-0.53527176055556513,-7.5035309216257762e-06,4.5564986062007762e-08,8379.2378734602789
2016,73,4,0,-2.844636323071414,-6.8660509297138552e-06,5.2615386159082789e-08,1028379.8337193246
2021,73,4,0,-2.6266778154104236,-4.845861308522789e-06,4.8242699030032199e-08,4395721.3690396901
combined,74,4,0,-2.4437410395641304,-3.6056543867073127e-06,2.1130179994610643e-08,7571.1519991738996
2015,74,4,0,-0.23245478021639648,-3.3947273395295312e-06,6.8509073414269039e-10,7571.1519991738996
2016,74,4,0,-2.2985598907868652,-5.928521484582129e-06,4.3657744086544881e-10,998186.80801004916
2021,74,4,0,-1.3580021958693258,-2.4616412986670028e-06,1.8532461565357039e-08,4395544.1560058333
combined,75,4,0,-1.2884155427315749,-1.8434070369371779e-06,3.9149239405844583e-13,6841.8812805989401
2015,75,4,0,-0.18352905765346533,-2.7845777405096501e-06,3.397282455352979e-14,6841.8812805989401
2016,75,4,0,-2.6467393508202255,-6.7831059642670419e-06,1.0056989130369232e-08,967762.78437663161
2021,75,4,0,0.25041634713995564,4.3467408927790026e-07,1.0199930899901233e-09,4532549.7003464531
combined,76,4,0,-0.13670186976362533,-1.9538968027761132e-07,5.1070259132757201e-13,6184.8425202437766
2015,76,4,0,-0.25102235589759292,-3.9872198062084478e-06,1.6566747973456586e-12,6184.8425202437766
2016,76,4,0,-2.4315733082182298,-6.2010080535243844e-06,1.4513487966993921e-08,937204.13744400081
2021,76,4,0,1.5165884787159249,2.6330437826305049e-06,4.1987535323584346e-09,4531808.2261430454
combined,77,4,0,0.84730232753385415,1.1568497016370673e-06,3.8875569430274481e-12,5591.4355196545866
2015,77,4,0,-0.52255921693332941,-8.7391137627238274e-06,1.70210512351332e-11,5592.3354212188251
2016,77,4,0,-2.1674122710501789,-5.3769708985706508e-06,3.708518303557895e-08,906506.71969659196
2021,77,4,0,2.5063726234292267,4.1184331137404029e-06,1.0288273399883252e-08,4530874.4434573976
combined,78,4,0,1.8705278323837542,2.547358186767232e-06,2.588418368532075e-11,5054.9192931355174
2015,78,4,0,-0.95803660384429368,-1.6772142138733883e-05,1.3562750922346822e-10,5056.6796733008314
2016,78,4,0,-1.3929521781737135,-3.4584958311493529e-06,6.2089001273690769e-08,875956.25484133663
2021,78,4,0,3.2538355346815111,5.3227227357244146e-06,1.2188876674645854e-07,4564947.3749375399
combined,79,4,0,2.4338603102283169,3.3131092164396385e-06,6.135092434078615e-12,4570.668653945866
2015,79,4,0,-1.2090026407821515,-2.2068029632389776e-05,4.1621150970172494e-11,4572.6872492652565
2016,79,4,0,-0.31383469858679741,-8.0800319278708405e-07,3.2220559553763906e-09,845716.52862743649
2021,79,4,0,3.1813393260755634,5.1219986050066528e-06,1.1502199837032379e-07,4566441.7653262448
combined,80,4,0,2.1185997823896354,2.8378845958198327e-06,6.5258909387466701e-13,4133.6131028281088
2015,80,4,0,-1.4933311104861251,-2.8368163534059917e-05,5.1320059313297861e-12,4135.1351073622927
2016,80,4,0,0.011640507762734979,3.0587633706028353e-08,7.7408659482358644e-09,815612.31259567221
2021,80,4,0,2.5867132946417626,4.0411948715909707e-06,4.3310194763890308e-08,4491473.9566429295
combined,72,4,2,-3.1319257524456154,-4.6263991927101083e-06,1.7376745020669659e-07,9762.7237819345009
2015,72,4,2,-0.84120730984373193,-1.1191314867173379e-05,5.5300071188923994e-09,9762.7237819345009
2016,72,4,2,-1.3599989701652166,-3.2862420330033952e-06,6.414599185156078e-09,1073145.2934637356
2021,72,4,2,-2.8168337107502688,-5.3103762870699777e-06,6.5627268952539453e-08,4298926.1160466699
combined,73,4,2,-3.0398053437289327,-4.3986377691920289e-06,1.5743901982112618e-07,8815.9266417551098
2015,73,4,2,-0.67307193139612587,-9.3140021894791321e-06,7.3302993675028461e-09,8815.9266417551098
2016,73,4,2,-2.7561137189428164,-6.566136139373193e-06,5.7307951883966979e-08,1043400.1615446712
2021,73,4,2,-1.6450182896098979,-3.0226832816987155e-06,1.3165265122516701e-07,4298859.2894053441
combined,74,4,2,-1.7036247930966071,-2.4923649464579477e-06,1.3477846616538613e-09,7964.3124247234509
2015,74,4,2,-0.34365820631983096,-4.9449111343691368e-06,1.3248603325521913e-09,7964.3124247234509
2016,74,4,2,-2.3045683499609741,-5.8568508797766691e-06,2.4338200343976268e-09,1013313.4908342345
2021,74,4,2,-0.42163648623911515,-7.6028140544833892e-07,3.023571948368442e-10,4472931.3575763125
combined,75,4,2,-1.2758493222478153,-1.8528483206379505e-06,8.5920159875740865e-13,7196.5182897147579
2015,75,4,2,-0.30553097566907123,-4.5622650567618695e-06,2.2870594307278225e-14,7196.5182897147579
2016,75,4,2,-2.5406314742796074,-6.4102008640769121e-06,1.7738039925774274e-09,982988.86713924387
2021,75,4,2,0.26617954832300994,4.7609628177062453e-07,9.6335717181261771e-11,4472708.5087293936
combined,76,4,2,-0.69500740305073994,-1.0077846355949646e-06,5.2424731222799892e-13,6504.9606259461452
2015,76,4,2,-0.38178430407687208,-5.9676232902299515e-06,4.2676973066591017e-13,6504.9606259461452
2016,76,4,2,-2.6302690932847588,-6.6021413994544262e-06,2.7899230481409631e-08,952483.02367373346
2021,76,4,2,1.0601207780432429,1.8955185738870271e-06,4.6731661207388697e-08,4472047.6532373037
combined,77,4,2,0.11023175661925856,1.5362053961831927e-07,4.1585845877989414e-11,5317.5945221870343
2015,77,4,2,-0.7210555392243525,-1.2269314703754522e-05,1.6684387205145867e-10,5317.7177158743216
2016,77,4,2,-2.3973208367846102,-6.0238285557149553e-06,4.334193459687441e-08,891230.41062334948
2021,77,4,2,1.8099227180497175,3.0461351673225816e-06,7.9121471152632239e-08,4576332.9215932488
combined,78,4,2,1.0894350882188675,1.4831893769302417e-06,5.8628657484405267e-12,4807.7995186438429
2015,78,4,2,-0.8851110632092114,-1.5708496548171747e-05,2.9545477175929591e-11,4808.8624880084135
2016,78,4,2,-1.5975503853567912,-4.0203530574758012e-06,6.2820682211750523e-08,860744.00920693192
2021,78,4,2,2.4136029902988243,3.9235127761131555e-06,9.7943457788574051e-08,4575349.3272167128
combined,79,4,2,1.7471310857563942,2.3757579453363996e-06,8.4758866591982951e-12,4347.3108112118325
2015,79,4,2,-1.1489180509858223,-2.133228037965614e-05,4.9933390755541041e-11,4348.826220417719
2016,79,4,2,-0.68358919071725843,-1.787143134029864e-06,4.0844897464253904e-08,830596.56220350403
2021,79,4,2,2.569806735786142,4.1066668799742893e-06,1.7226091691968648e-08,4531097.2785006948
combined,80,4,2,1.9631131601842287,2.6839239642135052e-06,4.0613734597627626e-11,3931.2901808076317
2015,80,4,2,-1.5386264626947455,-2.9908100911155099e-05,2.7667179658408259e-10,3932.811879106921
2016,80,4,2,-0.15663389401848907,-4.1809230562046837e-07,2.02624039769006e-08,800628.62906470464
2021,80,4,2,2.5134735798335672,4.0146052906931228e-06,1.4961359484644277e-08,4532097.3646255247
