dataset,mass_MeV,rebin_factor,bin_width_MeV,observed_r,stress_r,max_score,baseline_replay_error,status
2015,19,5,0.25000000000000022,-3.210618689611525,2.4349458014670198,1.1413092693146609e-13,1.3322676295501878e-15,exact_fit
2015,20,5,0.2499999999999985,0.037965668470578501,2.8420797246653087,0,0,archived_baseline
2015,21,5,0.2499999999999985,2.5157388880992775,0.204177308859673,0,0,archived_baseline
2015,22,5,0.2499999999999985,1.425381870113801,-1.80278238565564,0,0,archived_baseline
2015,23,5,0.2499999999999985,-1.2388229223996416,-1.7577564146466855,0,0,archived_baseline
2015,24,5,0.2499999999999985,-1.6021946542633738,-0.1865734731215008,0,0,archived_baseline
2015,25,5,0.2499999999999985,-0.38357258967193292,0.97778300846297383,0,0,archived_baseline
2015,26,5,0.2499999999999985,0.29523890328307972,1.601691425236315,0,0,archived_baseline
2015,27,5,0.2499999999999985,0.1418305444011273,1.1424075152769877,0,0,archived_baseline
2015,28,5,0.2499999999999985,0.098087585978612099,0.15550100106152259,0,0,archived_baseline
2015,29,5,0.2499999999999985,0.51573122800736948,-0.65666193170394094,0,0,archived_baseline
2015,30,5,0.2499999999999985,1.1304780179625209,-1.1228528248997709,0,0,archived_baseline
2015,31,5,0.2499999999999985,0.68152642717804446,-1.1301280954129336,0,0,archived_baseline
2015,32,5,0.2499999999999985,-0.0202055444115131,-0.67751034915687181,0,0,archived_baseline
2015,33,5,0.2499999999999985,-0.96409012559575757,0.034056708446195197,0,0,archived_baseline
2015,34,5,0.2499999999999985,-1.470860325624459,0.49738321738171137,0,0,archived_baseline
2015,35,5,0.2499999999999985,-1.7135461529836604,0.77746500098035165,0,0,archived_baseline
2015,36,5,0.2499999999999985,-0.64158877439745121,0.90431647759348399,0,0,archived_baseline
2015,37,5,0.2499999999999985,0.3166513617554132,0.65823467873871067,0,0,archived_baseline
2015,38,5,0.2499999999999985,1.6047401578546161,0.058683649755324301,0,0,archived_baseline
2015,39,5,0.2499999999999985,2.2239547905804233,-0.30209098876534202,0,0,archived_baseline
2015,40,5,0.2499999999999985,1.7812702782769714,-0.55873266525940879,0,0,archived_baseline
2015,41,5,0.2499999999999985,0.70393383417858657,-0.70992612346380279,0,0,archived_baseline
2015,42,5,0.2499999999999985,-0.57412964814606893,-0.65758134222564912,0,0,archived_baseline
2015,43,5,0.2499999999999985,-1.6568782066491885,-0.41918446336698478,0,0,archived_baseline
2015,44,5,0.2499999999999985,-2.225332307293157,-0.096461913930448603,0,0,archived_baseline
2015,45,5,0.2499999999999985,-2.4317810994584859,0.31564483295475232,0,0,archived_baseline
2015,46,5,0.2499999999999985,-1.707394067564753,0.41743571442696642,0,0,archived_baseline
2015,47,5,0.2499999999999985,-0.4411904837657204,0.52719423453076775,0,0,archived_baseline
2015,48,5,0.2499999999999985,1.0224635772332509,0.51636428415557856,0,0,archived_baseline
2015,49,5,0.2499999999999985,2.2511674659892806,0.3728235005932104,0,0,archived_baseline
2015,50,5,0.2499999999999985,3.0248073568306686,0.14563270191717789,0,0,archived_baseline
2015,51,5,0.2499999999999985,3.1392368271805537,-0.089603557079729501,0,0,archived_baseline
2015,52,5,0.2499999999999985,2.1860540505127295,-0.15989203942428229,0,0,archived_baseline
2015,53,5,0.2499999999999985,0.80002571465796879,-0.2555650056527245,0,0,archived_baseline
2015,54,5,0.2499999999999985,-0.59022339019647807,-0.3608810600818031,0,0,archived_baseline
2015,55,5,0.25000000000000022,-1.869622623988584,-0.4071282545519318,6.7412745385908579e-08,2.2870594307278225e-14,exact_fit
2015,56,5,0.2499999999999985,-2.7012409897714709,-0.39427646548092249,0,0,archived_baseline
2015,57,5,0.2499999999999985,-2.8598984622824686,-0.32466158749100771,0,0,archived_baseline
2015,58,5,0.2499999999999985,-2.7387055478675624,-0.15411525817589039,0,0,archived_baseline
2015,59,5,0.2499999999999985,-2.0663487660448538,-0.0233849645903807,0,0,archived_baseline
2015,60,5,0.2499999999999985,-0.95583741539281397,0.038489116253630599,0,0,archived_baseline
2015,61,5,0.2499999999999985,0.1074931146267232,0.080886814720828898,0,0,archived_baseline
2015,62,5,0.2499999999999985,1.131370902442731,0.15853873665458459,0,0,archived_baseline
