lower_factor,upper_factor,rows,delta_lml_min,delta_lml_median,delta_lml_max,nested_order_violations,tolerance
8,10,142,1.4771327191001546,4.27104235352499,9.230619776518324,0,0.0001
10,12,142,-5.5424734455300495e-06,1.0959795417875284e-06,3.1507668635240407,0,0.0001
12,15,142,-4.4349189920467325e-06,4.9769823817769065e-08,7.933645974844694e-06,0,0.0001
15,20,142,-8.443377737421542e-06,-7.485527930839453e-08,5.375071850721724e-06,0,0.0001
