mass_MeV,mass_GeV,dataset_set,includes_2016,sigma_mass_res_min_GeV,v4_k8_eps2_obs_ee,v4p1_k12_eps2_obs_ee,v4_k8_p0_local_asymptotic,v4p1_k12_p0_local_asymptotic,v4_k8_Z_local_asymptotic,v4p1_k12_Z_local_asymptotic,minimal_visible_factor,v4_k8_eps2_obs_minimal_visible,v4p1_k12_eps2_obs_minimal_visible,observed_limit_ratio_k12_over_k8,observed_limit_fractional_change,delta_Z_k12_minus_k8,p0_ratio_k12_over_k8
95,0.095,2016+2021,True,0.002492646875,2.379141799225093e-06,2.1723584044773607e-06,0.3152420775239943,0.3799535341822501,0.4810455085972144,0.3056028262092564,1.0,2.379141799225093e-06,2.1723584044773607e-06,0.9130848800962249,-0.0869151199037751,-0.17544268238795802,1.2052754415480287
96,0.096,2016+2021,True,0.002507674,1.955643210232719e-06,1.7172073200005812e-06,0.5,0.5,0.0,0.0,1.0,1.955643210232719e-06,1.7172073200005812e-06,0.8780780210906853,-0.12192197890931467,0.0,1.0
97,0.097,2016+2021,True,0.002522872875,1.714619414983526e-06,1.4963664112757086e-06,0.4998622584051908,0.4998622584051908,0.0003452669830012,0.0003452669830012,1.0,1.714619414983526e-06,1.4963664112757086e-06,0.8727105258458103,-0.12728947415418967,0.0,1.0
98,0.098,2016+2021,True,0.0025382435,1.663086249789227e-06,1.3942226325713348e-06,0.5,0.5,0.0,0.0,1.0,1.663086249789227e-06,1.3942226325713348e-06,0.8383345318067738,-0.16166546819322625,0.0,1.0
99,0.099,2016+2021,True,0.002553785875,1.8034105101943256e-06,1.436313698054227e-06,0.4998622584051908,0.5,0.0003452669830012,0.0,1.0,1.8034105101943256e-06,1.436313698054227e-06,0.7964430116909199,-0.2035569883090801,-0.0003452669830012,1.0002755591015187
100,0.1,2016+2021,True,0.0025695,1.9421012186263783e-06,1.4685446486129382e-06,0.5,0.5,0.0,0.0,1.0,1.9421012186263783e-06,1.4685446486129382e-06,0.7561627759296808,-0.24383722407031916,0.0,1.0
101,0.101,2016+2021,True,0.002585385875,2.210642855022487e-06,1.5784097171009358e-06,0.3832529237038172,0.4998622584051908,0.2969484740236521,0.0003452669830012,1.0,2.210642855022487e-06,1.5784097171009358e-06,0.7140048486415868,-0.28599515135841325,-0.2966032070406509,1.304262087747283
102,0.102,2016+2021,True,0.0026014435,2.3296668078831795e-06,1.6299528408600426e-06,0.3303629876870514,0.5,0.4389110697735929,0.0,1.0,2.3296668078831795e-06,1.6299528408600426e-06,0.69965062615159,-0.30034937384841,-0.4389110697735929,1.5134867362128457
103,0.103,2016+2021,True,0.002617672875,2.535928854583893e-06,1.760280788075115e-06,0.2480495503253655,0.4998622584051908,0.6806403310571124,0.0003452669830012,1.0,2.535928854583893e-06,1.760280788075115e-06,0.694136503432763,-0.305863496567237,-0.6802950640741112,2.015170992043822
104,0.104,2016+2021,True,0.002634074,2.7031954716037058e-06,1.90647831205877e-06,0.2007826087199346,0.5,0.8388291018347903,0.0,1.0,2.7031954716037058e-06,1.90647831205877e-06,0.7052683877602559,-0.2947316122397441,-0.8388291018347903,2.490255521569771
105,0.105,2016+2021,True,0.002650646875,2.6859917934042443e-06,1.9692010351980644e-06,0.2118175268507044,0.4946957633126934,0.8001307380660031,0.0132961414103418,1.0,2.6859917934042443e-06,1.9692010351980644e-06,0.7331373982726453,-0.26686260172735465,-0.7868345966556614,2.335480782293197
106,0.106,2016+2021,True,0.0026673915,2.5520090632994548e-06,1.9737766543846426e-06,0.248216279479558,0.4934016300987747,0.6801135602261337,0.0165404147323772,1.0,2.5520090632994548e-06,1.9737766543846426e-06,0.7734207071477935,-0.22657929285220646,-0.6635731454937565,1.9877891616670094
107,0.107,2016+2021,True,0.002684307875,2.375329541378126e-06,1.934727097750637e-06,0.3153375027201024,0.4999026019832914,0.480776990314367,0.000244140625,1.0,2.375329541378126e-06,1.934727097750637e-06,0.8145089193089987,-0.1854910806910013,-0.480532849689367,1.5852938444400992
108,0.108,2016+2021,True,0.002701396,2.142352231281438e-06,1.8443197650917344e-06,0.4284757390501976,0.5,0.1802561510917413,0.0,1.0,2.142352231281438e-06,1.8443197650917344e-06,0.860885403512084,-0.13911459648791602,-0.1802561510917413,1.166927212981417
109,0.109,2016+2021,True,0.002718655875,1.9927124963482864e-06,1.827759289090679e-06,0.5,0.5,0.0,0.0,1.0,1.9927124963482864e-06,1.827759289090679e-06,0.9172217730556266,-0.08277822694437342,0.0,1.0
110,0.11,2016+2021,True,0.0027360875,1.846676421043999e-06,1.811367733064056e-06,0.5,0.5,0.0,0.0,1.0,1.846676421043999e-06,1.811367733064056e-06,0.9808798728474685,-0.01912012715253153,0.0,1.0
111,0.111,2016+2021,True,0.002753690875,1.73857791337927e-06,1.7419032918027803e-06,0.5,0.5,0.0,0.0,1.0,1.73857791337927e-06,1.7419032918027803e-06,1.001912700258021,0.0019127002580210384,0.0,1.0
112,0.112,2016+2021,True,0.002771466,1.6249286599879415e-06,1.660434835265581e-06,0.5,0.5,0.0,0.0,1.0,1.6249286599879415e-06,1.660434835265581e-06,1.021850913305882,0.021850913305881958,0.0,1.0
113,0.113,2016+2021,True,0.002789412875,1.61399725460376e-06,1.668309176672111e-06,0.5,0.5,0.0,0.0,1.0,1.61399725460376e-06,1.668309176672111e-06,1.0336505665752727,0.033650566575272656,0.0,1.0
114,0.114,2016+2021,True,0.0028075315,1.6118653630227051e-06,1.688410972702622e-06,0.5,0.5,0.0,0.0,1.0,1.6118653630227051e-06,1.688410972702622e-06,1.0474888358766965,0.0474888358766965,0.0,1.0
115,0.115,2016+2021,True,0.002825821875,1.5928857071824276e-06,1.6758270479492894e-06,0.5,0.5,0.0,0.0,1.0,1.5928857071824276e-06,1.6758270479492894e-06,1.052069863137621,0.052069863137621075,0.0,1.0
