upper_factor,mass_MeV,mass_GeV,A_up,A_up_ratio_to_k8,eps2_up,eps2_up_ratio_to_k8,A_eps2_ratio_difference,p0_analytic,Z_analytic,delta_Z_to_k8,lml,delta_lml_to_k8,ls_lo,ls_hi,ls_opt,sigma_x,ls_lo_over_sigma_x,ls_hi_over_sigma_x,ls_opt_over_sigma_x,ls_opt_over_ls_hi,at_upper_boundary,n_train,blind_lo,blind_hi,sigma_val,row_source,row_source_sha256,row_source_kind,optimizer_repair_applied,review_status,branch_multiplicity,selected_repair_reproduced,repair_reproduction_pending,delta_lml_selected_minus_raw
8,93,0.0929999999999999,23748.05437870627,1.0,1.3416430000536968e-05,1.0,0.0,0.0065301708356475,2.4821196401368857,0.0,2174.198804165335,0.0,0.0363577902121137,0.3231803574410108,0.3231803574410108,0.0403975446801263,0.9,8.0,8.0,1.0,True,650,0.0843737471694974,0.1016262528305025,0.0038338901468898,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,fb065cd988534049027c8e3c255b341b97f9ed630b9a27e698ba7452a7f67dcc,reviewed_v4,True,resolved_reproduced_max_lml,3,False,False,0.0
8,94,0.094,18222.23271586877,1.0,1.0623975313196389e-05,1.0,0.0,0.0526614595480218,1.6195781838976615,0.0,2179.0320556822116,0.0,0.0363990884650147,0.3235474530223533,0.3235474530223533,0.0404434316277941,0.9000000000000001,8.0,8.0,1.0,True,650,0.08527088635276,0.1027291136472399,0.0038796060654398,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,a56e71628b94169ba0cb858d13f8e09a16131ff7ee7c63d0dd39a221afff32ff,reviewed_v4,True,resolved_reproduced_max_lml,3,False,False,0.0
8,95,0.095,14477.275454457504,1.0,8.717244772003145e-06,1.0,0.0,0.1586559822738929,0.9999969899609088,0.0,2180.568826972775,0.0,0.0364417928173733,0.323927047265542,0.323927047265542,0.0404908809081927,0.9,8.0,8.0,1.0,True,650,0.0861674623109374,0.1038325376890625,0.0039255723062499,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,a56e71628b94169ba0cb858d13f8e09a16131ff7ee7c63d0dd39a221afff32ff,reviewed_v4,True,resolved_reproduced_max_lml,3,False,False,0.0
8,96,0.096,10654.390793937217,1.0,6.632908457952732e-06,1.0,0.0,0.416678298062636,0.2103985860503299,0.0,2172.3415721071415,0.0,0.0364858207431833,0.3243184066060749,0.3243184066060748,0.0405398008257593,0.8999999999999999,8.0,7.999999999999998,0.9999999999999997,True,648,0.0870634846233599,0.10493651537664,0.0039717846118399,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv,f9f25a337aa644e5c7e03555e6341f63a6ff30e907db7d718d5fc5055fceb719,reviewed_v4,False,resolved_reproduced_max_lml,3,False,False,0.0
8,97,0.097,8086.733329983444,1.0,5.208178897996635e-06,1.0,0.0,0.5,0.0,0.0,2172.8425067499693,0.0,0.0365310907456133,0.3247208066276741,0.3247208066276741,0.0405901008284592,0.9,8.0,8.0,1.0,True,648,0.0879589634692975,0.1060410365307025,0.00401823845809,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv,f9f25a337aa644e5c7e03555e6341f63a6ff30e907db7d718d5fc5055fceb719,reviewed_v4,False,resolved_reproduced_max_lml,3,False,False,0.0
8,98,0.098,6721.526642353302,1.0,4.480987893413601e-06,1.0,0.0,0.5,0.0,0.0,2166.621809787319,0.0,0.0365775223059226,0.325133531608202,0.325133531608202,0.0406416914510251,0.8999999999999999,8.0,8.0,1.0,True,646,0.0888539096279599,0.10714609037204,0.0040649290542399,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,fb065cd988534049027c8e3c255b341b97f9ed630b9a27e698ba7452a7f67dcc,reviewed_v4,True,resolved_reproduced_max_lml,3,False,False,0.0
8,99,0.099,6125.4334990637235,1.0,4.230685844611252e-06,1.0,0.0,0.5,0.0,0.0,2171.6699336681313,0.0,0.0366250358354543,0.3255558740929274,0.3255558740929274,0.0406944842616158,0.9000000000000001,8.0,8.0,1.0,True,646,0.0897483344784975,0.1082516655215025,0.0041118513428899,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,a56e71628b94169ba0cb858d13f8e09a16131ff7ee7c63d0dd39a221afff32ff,reviewed_v4,True,resolved_reproduced_max_lml,3,False,False,0.0
8,100,0.1,5703.106890651477,1.0,4.085168339159202e-06,1.0,0.0,0.5,0.0,0.0,2171.0506099106897,0.0,0.0366735526304778,0.3259871344931362,0.3259871344931362,0.0407483918116419,0.9000000000000001,8.0,8.0,1.0,True,646,0.0906422499999999,0.10935775,0.004159,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv,f9f25a337aa644e5c7e03555e6341f63a6ff30e907db7d718d5fc5055fceb719,reviewed_v4,False,resolved_reproduced_max_lml,3,False,False,0.0
8,101,0.101,5605.134915755522,1.0,4.16462802654931e-06,1.0,0.0,0.5,0.0,0.0,2163.6463611315417,0.0,0.0367229948296929,0.326426620708382,0.326426620708382,0.0408033275885476,0.9,8.0,8.0,1.0,True,644,0.0915356687714975,0.1104643312285024,0.0042063694348899,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,fb065cd988534049027c8e3c255b341b97f9ed630b9a27e698ba7452a7f67dcc,reviewed_v4,True,resolved_reproduced_max_lml,3,False,False,0.0
8,102,0.1019999999999999,5510.202466174465,1.0,4.250235876823564e-06,1.0,0.0,0.5,0.0,0.0,2165.8625511529463,0.0,0.0367732853742021,0.3268736477706858,0.3268736477706858,0.0408592059713357,0.9,8.0,8.0,1.0,True,644,0.0924286039719599,0.1115713960280398,0.0042539537902399,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,fb065cd988534049027c8e3c255b341b97f9ed630b9a27e698ba7452a7f67dcc,reviewed_v4,True,resolved_reproduced_max_lml,3,False,False,0.0
