lower_factor,upper_factor,rows,A_up_outside_5pct_rows,A_up_outside_10pct_rows,A_up_max_abs_deviation_mass_MeV,max_abs_delta_Z,max_abs_delta_Z_mass_MeV,delta_lml_min,delta_lml_median,delta_lml_max,lower_boundary_rows,upper_boundary_rows,max_abs_A_eps2_ratio_difference,A_up_upper_over_lower_min,A_up_upper_over_lower_p05,A_up_upper_over_lower_median,A_up_upper_over_lower_p95,A_up_upper_over_lower_max,eps2_up_upper_over_lower_min,eps2_up_upper_over_lower_p05,eps2_up_upper_over_lower_median,eps2_up_upper_over_lower_p95,eps2_up_upper_over_lower_max
8,10,142,119,105,122,1.5616219515703083,121,1.4771327191001546,4.27104235352499,9.230619776518324,142,56,0.0030929060583881895,0.6113376020118914,0.6263457104412066,0.921079310604462,1.336121038365198,1.507663300270954,0.6119741588774815,0.6259436990474079,0.9197676536018979,1.3331119879154556,1.505785448833555
10,12,142,45,37,85,1.3767249496165648,86,-5.5424734455300495e-06,1.0959795417875284e-06,3.1507668635240407,56,0,4.440892098500626e-16,0.7784297955980488,0.8525302974513805,0.9999999971217225,1.2805150132892926,1.475538884999994,0.7784297955980489,0.8525302974513804,0.9999999971217224,1.2805150132892926,1.4755388849999937
12,15,142,0,0,116,0.0025424112879641747,118,-4.4349189920467325e-06,4.9769823817769065e-08,7.933645974844694e-06,0,0,4.440892098500626e-16,0.9991772681244145,0.9998161090648651,0.9999965466022704,1.0000970682094312,1.0004102151564747,0.9991772681244144,0.999816109064865,0.9999965466022703,1.0000970682094315,1.0004102151564747
15,20,142,0,0,116,0.0019397273399158754,169,-8.443377737421542e-06,-7.485527930839453e-08,5.375071850721724e-06,0,0,4.440892098500626e-16,0.9994408501835994,0.9999093103260258,1.0000000006335266,1.0000909240061973,1.0008932112753322,0.9994408501835994,0.9999093103260258,1.0000000006335263,1.0000909240061975,1.0008932112753322
