upper_factor,rows,upper_boundary_threshold,upper_boundary_rows,upper_boundary_fraction,ls_opt_over_sigma_x_min,ls_opt_over_sigma_x_median,ls_opt_over_sigma_x_max,delta_lml_to_k8_min,delta_lml_to_k8_median,delta_lml_to_k8_max,minimum_local_asymptotic_p0,minimum_local_asymptotic_p0_mass_MeV,maximum_local_asymptotic_Z,max_abs_delta_Z_to_k8,max_abs_delta_Z_to_k8_mass_MeV,p0_zero_rows,max_abs_A_eps2_ratio_difference,A_up_ratio_to_k8_min,A_up_ratio_to_k8_p05,A_up_ratio_to_k8_median,A_up_ratio_to_k8_p95,A_up_ratio_to_k8_max,eps2_up_ratio_to_k8_min,eps2_up_ratio_to_k8_p05,eps2_up_ratio_to_k8_median,eps2_up_ratio_to_k8_p95,eps2_up_ratio_to_k8_max
8,142,0.999,142,1.0,7.999999999999998,8.0,8.000000000000002,0.0,0.0,0.0,0.0033036224135542,92,2.7160173856964613,0.0,39,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,142,0.999,56,0.39436619718309857,8.880476738930225,9.668281273544007,10.0,1.4771327191001546,4.27104235352499,9.230619776518324,0.0016668123929499,116,2.935172340728705,1.5616219515703083,121,0,0.0030929060583881895,0.6113376020118914,0.6263457104412066,0.921079310604462,1.336121038365198,1.507663300270954,0.6119741588774815,0.6259436990474079,0.9197676536018979,1.3331119879154556,1.505785448833555
12,142,0.999,0,0.0,8.87946948349124,9.715735494496712,11.67109629613771,1.4771320796944565,4.391842620862917,12.381386640042365,0.0003087814073845,90,3.4237813777746164,2.5781125060985355,121,0,0.003983543771256759,0.4802940685062869,0.5884263899152921,0.9210700312225075,1.7492478888659515,2.013231945358335,0.48037584404569483,0.588217776974694,0.9197583930662271,1.7482928938171107,2.012714639314398
15,142,0.999,0,0.0,8.880257371351615,9.715760221354081,11.670766918841034,1.4771332446634915,4.391844558480898,12.381389219626726,0.0003088483151978,90,3.4237224956436916,2.578035591714187,121,0,0.00398348724523645,0.48021938845814915,0.5882829903659293,0.9210854976543699,1.7490744194981078,2.013608287121522,0.4803011512824278,0.5880744233907957,0.919773828087286,1.748119523280714,2.0130908843754307
20,142,0.999,0,0.0,8.880252413385588,9.715719636370753,11.670752123603382,1.4771333077242161,4.391842667127548,12.381387492163412,0.0003088657703122,90,3.4237071362458793,2.5780386042289734,121,0,0.003983543776023835,0.4802492591081733,0.5883047816217412,0.9210700328209462,1.749074424034051,2.0135119087937094,0.4803310270182705,0.5880962071633689,0.9197583946608812,1.7481195278141186,2.0129945308123207
