lower_factor,upper_factor,mass_MeV,mass_GeV,A_up_upper_over_lower,eps2_up_upper_over_lower,A_eps2_ratio_difference,delta_Z_upper_minus_lower,delta_lml_upper_minus_lower,lower_at_upper_boundary,upper_at_upper_boundary
8,10,39,0.039,0.9246353646846517,0.9235801628836934,0.0010552018009583053,-0.0001220703125,1.4771327191001546,True,False
8,10,40,0.04,0.7651504593793388,0.7650700808609073,8.037851843145649e-05,-0.0001220703125,2.4900758038256754,True,False
8,10,41,0.041,0.6196208154544244,0.6196536474243126,-3.283196988823622e-05,-0.4980596802505172,2.8841567813910842,True,False
8,10,42,0.042,0.6485968439725963,0.6493401850978254,-0.0007433411252291133,-0.9202814033408979,2.646221999361842,True,False
8,10,43,0.043,0.7136653850030097,0.7144091417442402,-0.0007437567412305057,-0.6188763493525584,2.5691617879820114,True,False
8,10,44,0.044,0.8510349578229032,0.8517261358354139,-0.0006911780125107292,-0.15682320613821538,2.702048004932294,True,False
8,10,45,0.045,1.1150826714646707,1.1155216078153691,-0.00043893635069847114,0.5996772719178991,3.5435836613460197,True,False
8,10,46,0.046,1.1454810540435056,1.1475005568972934,-0.0020195028537877135,0.3251211637441484,2.65966198096703,True,False
8,10,47,0.047,1.1910389446838985,1.1926240587497132,-0.0015851140658147411,0.1502029436849049,2.911723498360516,True,False
8,10,48,0.048,1.1317011513255477,1.1326014266688185,-0.0009002753432707511,0.0,3.191558496837388,True,False
8,10,49,0.049,1.0482358964991672,1.048722315645397,-0.00048641914622993276,0.0,3.6160817447216687,True,False
8,10,50,0.05,0.9794270641210656,0.9794903904666489,-6.332634558325889e-05,0.0,3.9687675996096914,True,False
8,10,51,0.051,0.9049837096003035,0.9059176133514016,-0.0009339037510981418,0.0,4.114419961925705,True,False
8,10,52,0.052,0.8089385126715405,0.8095731735185104,-0.0006346608469699477,-0.33997482206260143,3.572216947731704,True,False
8,10,53,0.053,0.7052448614301027,0.7055254217376823,-0.0002805603075796137,-0.725142113234853,3.8995037898694136,True,False
8,10,54,0.054,0.6554731668580352,0.6556289022185519,-0.00015573536051660675,-0.9641776366902222,4.188702994541018,True,False
8,10,55,0.055,0.6113376020118914,0.6119741588774815,-0.0006365568655901654,-1.0772928051856603,4.4899549559318075,True,False
8,10,56,0.056,0.699424151621624,0.6999122003804076,-0.0004880487587836102,-0.7073228503108256,3.514278122244832,True,False
8,10,57,0.057,0.7090256869409691,0.7093931371307853,-0.0003674501898162097,-0.4238444472328608,4.8470074249585196,True,False
8,10,58,0.058,0.8180282748470157,0.8181236728752924,-9.53980282767386e-05,0.0,5.030855360235364,True,False
8,10,59,0.059,0.9005886331983859,0.9013264668630336,-0.0007378336646477468,-0.000244140625,5.26610115090898,True,False
8,10,60,0.06,0.9636435370328821,0.9642438924096776,-0.0006003553767954806,0.0,4.72472041520723,True,False
8,10,61,0.061,1.015060918727413,1.0154097769797759,-0.00034885825236274925,0.000244140625,4.9587151158925735,True,False
8,10,62,0.062,1.021987127003521,1.0221119667675478,-0.000124839764026774,0.0,4.353381712508963,True,False
8,10,63,0.063,1.0217553896144171,1.0217656764262535,-1.0286811836346388e-05,0.0,3.888171006480661,True,False
8,10,64,0.064,1.1001358532246195,1.1006548895192583,-0.0005190362946387861,0.0,5.197439471413418,True,False
8,10,65,0.065,1.275524030053711,1.2758277227144592,-0.00030369266074825596,0.5598052432088294,6.994735842949012,True,True
8,10,66,0.066,1.1703489483637408,1.1704907104896847,-0.00014176212594385618,0.8171658237737072,7.059920721894741,True,True
8,10,67,0.067,0.9815081559178876,0.9815227179372146,-1.4562019326924691e-05,0.33694916498652416,6.08841152220657,True,False
8,10,68,0.068,0.8760147113549903,0.8763690258174807,-0.00035431446249034604,-0.011009761573436805,6.044497561632397,True,False
8,10,69,0.069,0.7860444901808122,0.7862739426018022,-0.00022945242098992846,-0.3516772283105385,6.786463415709022,True,False
8,10,70,0.07,0.732782906013291,0.7328717302657715,-8.882425248046832e-05,-0.620128254906277,6.45985480581885,True,False
8,10,71,0.071,0.649494027718964,0.649703591104024,-0.0002095633850599521,-0.8572679007983453,6.697844325655296,True,False
8,10,72,0.072,0.6170037056935732,0.6171087576068869,-0.00010505191331366959,-0.4732791799586286,7.421557146921259,True,True
8,10,73,0.073,0.7115549773652554,0.7116796123506334,-0.00012463498537795825,0.0,7.916537464355315,True,True
8,10,74,0.074,0.7442945949620238,0.744291502429567,3.0925324567832035e-06,0.0,6.78378158985015,True,True
8,10,75,0.075,0.7587775069966916,0.75887488154358,-9.737454688840685e-05,0.0,7.043137054639374,True,True
8,10,76,0.076,0.7587190740705657,0.7588240310223195,-0.0001049569517538318,0.0,7.431390366766664,True,True
8,10,77,0.077,0.7554881516962102,0.7555222657529477,-3.411405673747758e-05,0.0,8.307349953855919,True,True
8,10,78,0.078,0.7451070455316948,0.7451350741205526,-2.802858885775361e-05,0.0,8.660685840573024,True,True
8,10,79,0.079,0.7587515571047528,0.7588368499889541,-8.529288420122683e-05,0.0,7.859767980113247,True,True
8,10,80,0.08,0.8227155139749218,0.8227969027772166,-8.138880229480172e-05,0.0,7.167105806094241,True,True
8,10,81,0.081,0.9282477122625621,0.9282793781603167,-3.166589775460693e-05,0.0,6.4850829866409185,True,False
8,10,82,0.082,1.0064214841669514,1.0064159763754008,5.507791550618535e-06,0.0,6.095429585565398,True,False
8,10,83,0.083,1.1048672427343424,1.1049182633218089,-5.1020587466421574e-05,0.2436775393254205,6.719896148755652,True,False
8,10,84,0.084,1.1146992959275943,1.1147596890762312,-6.039314863692802e-05,0.0,6.163231444888879,True,False
8,10,85,0.085,1.2538477433002584,1.2538643762097603,-1.6632909501934634e-05,0.1875092186251038,7.593543033081005,True,True
8,10,86,0.086,1.3661413418589115,1.3657903077047768,0.0003510341541346218,0.5994237556556291,8.58076681467719,True,True
8,10,87,0.087,1.41296102731723,1.4128392825192897,0.00012174479794024862,1.0694692032220094,8.582845494430785,True,True
8,10,88,0.088,1.3188812319962009,1.3188024704249761,7.876157122477245e-05,1.2080296956924026,8.460736612128585,True,True
8,10,89,0.089,1.1708653777797704,1.1708632774463765,2.100333393872944e-06,0.9742914915839509,7.3947511318979195,True,True
8,10,90,0.09,1.046790824630938,1.0464954614286994,0.0002953632022386632,0.7186153006239291,7.575876684225477,True,True
8,10,91,0.091,0.961557861926518,0.961327617153376,0.00023024477314204095,0.449720299781295,7.699110718034717,True,True
8,10,92,0.092,0.8968449098250496,0.8967604779949364,8.443183011319633e-05,0.1675854753282171,6.998188593895975,True,True
8,10,93,0.093,0.8484069614035279,0.8481206743507006,0.0002862870528272943,-0.08338561856346116,6.860969414117335,True,True
8,10,94,0.094,0.802620989961031,0.8022772203230386,0.00034376963799243043,-0.22815940692517644,7.428629598983207,True,True
8,10,95,0.095,0.74402237276306,0.7438875603664203,0.00013481239663970523,-0.42010061173894997,7.273190068354779,True,True
8,10,96,0.096,0.7106190752684907,0.7101571655505419,0.0004619097179487941,-0.2103985860503299,6.961446803787112,True,True
8,10,97,0.097,0.7460178396095747,0.7455881364228137,0.00042970318676094355,0.0,6.746977075848918,True,True
8,10,98,0.098,0.7689919324217864,0.7687707193801127,0.00022121304167377343,0.0,7.6188248089133594,True,True
8,10,99,0.099,0.7750829626229719,0.7750653338352513,1.7628787720602723e-05,0.0,7.64723050589464,True,True
8,10,100,0.1,0.7777871850040755,0.7772213160306252,0.0005658689734503453,0.0,8.384974171641261,True,True
8,10,101,0.101,0.7712902057218349,0.7709360333995773,0.00035417232225765094,0.0001726334915006,8.340530329232479,True,True
8,10,102,0.102,0.7661406647709333,0.7660642543884538,7.641038247951926e-05,0.0001726334915006,8.848472316787593,True,True
8,10,103,0.103,0.7596538570945124,0.7589766147392277,0.0006772423552846574,0.0,9.230619776518324,True,True
8,10,104,0.104,0.754989565525829,0.7545283310485226,0.00046123447730639366,0.0,9.098607314273522,True,True
8,10,105,0.105,0.7471886311024729,0.7470317946526414,0.00015683644983155443,0.0,8.868020747026549,True,True
8,10,106,0.106,0.7368049292184471,0.7361020413955888,0.0007028878228583224,0.0,8.358733023079822,True,True
8,10,107,0.107,0.741909238519138,0.74135372907599,0.0005555094431480834,0.0,7.672957347997908,True,True
8,10,108,0.108,0.7433479002179619,0.7431875782119342,0.0001603220060277799,0.0,7.16259056490162,True,True
8,10,109,0.109,0.7672787380133563,0.7662969882207006,0.0009817497926557506,-0.1462148093409801,6.341374278641979,True,True
8,10,110,0.11,0.8202541669191167,0.8196605165417449,0.0005936503773718016,-0.16796804177049374,6.183025066928167,True,True
8,10,111,0.111,0.8860603490433203,0.8857856197035991,0.0002747293397211692,0.03597762223224543,6.69707308123634,True,True
8,10,112,0.112,0.953208108465808,0.9518040645960049,0.0014040438698030844,0.23776010051746388,5.839391888147475,True,False
8,10,113,0.113,0.9966446640006043,0.9957466873827756,0.0008979766178286441,0.3985844239838048,5.629235633747157,True,False
