dataset,study,study_label,mode,lslb,n_groups,n_nonzero_groups,n_toy_rows,rms_pull_mean_nonzero,median_abs_pull_mean_nonzero,pull_width_median_nonzero,pull_width_rmse_nonzero,cov1_abs_resid_mean_all,cov2_abs_resid_mean_all,sigma_ratio_median_all,success_rate_min,refit_ok_rate_min,fallback_rate_max,pilot_score_lower_is_better,rank_within_dataset
2015,profiled_lslb1p1,"profiled bkg, lslb=1.1",profiled,1.1,25,20,250,0.34205994244794047,0.25133456041247215,0.8076879997319544,0.2085512566792389,0.09191600000000005,0.05017999999999999,1.0172822217343112,1.0,1.0,0.0,0.22218322007340185,1.0
2015,profiled_lslb1p0,"profiled bkg, lslb=1.0",profiled,1.0,25,20,250,0.3756991721889563,0.3159963350351198,0.7766260129049152,0.20214582148020857,0.12253200000000004,0.04945999999999999,1.0225978922860421,1.0,1.0,0.0,0.2484281686480651,2.0
2015,profiled_lslb0p9,"profiled bkg, lslb=0.9",profiled,0.9,25,20,250,0.4247350458246227,0.30070645259182693,0.8940303930886448,0.22139665563901093,0.11822800000000004,0.048019999999999986,1.031396123492358,1.0,1.0,0.0,0.2646159743501228,3.0
2015,profiled_lslb0p75,"profiled bkg, lslb=0.75",profiled,0.75,25,20,250,0.7875802840151593,0.45934916153092953,1.0363886475670365,0.2214617058955806,0.15146000000000004,0.08361999999999999,1.0451328713045749,1.0,1.0,0.0,0.41266598754985756,4.0
2015,profiled_lslb0p5,"profiled bkg, lslb=0.5",profiled,0.5,25,20,250,2.091870804218323,1.2670801500576943,1.1162725672431215,0.41257151535633285,0.288388,0.27234,1.0438047143026943,1.0,1.0,0.0,1.0431855858312535,5.0
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,25,20,250,6.528989657741927,4.388415731196515,11.718502786900057,17.114839628116126,0.6147,0.8505000000000001,1.0028813938397185,1.0,1.0,0.0,7.249964020282898,6.0
2015,fixed_lslb0p75,"fixed bkg, lslb=0.75",fixed,0.75,25,20,250,8.692670988237479,4.588452560050543,19.971466714878147,23.62192134217793,0.6467,0.8745,0.9988483943784126,1.0,1.0,0.0,9.571759724306915,7.0
2015,fixed_lslb0p5,"fixed bkg, lslb=0.5",fixed,0.5,25,20,250,18.364685974860926,15.176180327777832,34.65005953364696,35.34695606113258,0.6667000000000001,0.9265000000000001,1.0260956856815637,1.0,1.0,0.0,17.529015657581066,8.0
2016,profiled_lslb1p1,"profiled bkg, lslb=1.1",profiled,1.1,25,20,250,0.42074787236122996,0.24422719021211464,0.9130969493074634,0.11158754696800259,0.04761200000000001,0.04837999999999999,1.0157152207273028,1.0,1.0,0.0,0.21331324752915767,1.0
2016,profiled_lslb0p9,"profiled bkg, lslb=0.9",profiled,0.9,25,20,250,0.3647267933233007,0.2812568590492365,1.0279042166491088,0.13510108981046864,0.09545999999999999,0.048739999999999985,1.0296705411227642,1.0,1.0,0.0,0.21768420931559287,2.0
2016,profiled_lslb1p0,"profiled bkg, lslb=1.0",profiled,1.0,25,20,250,0.44046064404582563,0.3136475783687957,0.9474534881172849,0.1248892741901259,0.067308,0.05053999999999999,1.0221507819380673,1.0,1.0,0.0,0.23982076653194165,3.0
2016,profiled_lslb0p75,"profiled bkg, lslb=0.75",profiled,0.75,25,20,250,0.7973207086386869,0.5494593864643643,1.0088504414098443,0.12183314277594907,0.18454,0.08617999999999998,1.048631831428375,1.0,1.0,0.0,0.413967967149885,4.0
2016,profiled_lslb0p5,"profiled bkg, lslb=0.5",profiled,0.5,25,20,250,2.3173858991020913,1.7991263812869742,1.2183729506177539,0.3258301607202992,0.337468,0.33706,1.053104897778471,1.0,1.0,0.0,1.2066270310570206,5.0
2016,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,25,20,250,9.964641734925376,4.300809989846142,12.486213745097947,13.207147638234973,0.6107,0.8225000000000001,1.0000706039198348,1.0,1.0,0.0,7.284074958201577,6.0
2016,fixed_lslb0p75,"fixed bkg, lslb=0.75",fixed,0.75,25,20,250,5.947108320998496,4.660067871946769,20.09810694944815,21.073748028098816,0.6307,0.8505000000000001,0.9996321383918014,1.0,1.0,0.0,8.121731470794016,7.0
2016,fixed_lslb0p5,"fixed bkg, lslb=0.5",fixed,0.5,25,20,250,27.384512836277885,13.84145792390698,37.921618526726675,41.50086499169767,0.6547,0.9185000000000001,1.0204579497765747,1.0,1.0,0.0,21.504014581078003,8.0
