dataset,study,study_label,mode,lslb,n_groups,n_nonzero_groups,n_toy_rows,rms_pull_mean_all,rms_pull_mean_nonzero,median_abs_pull_mean_nonzero,max_abs_pull_mean_all,pull_width_median_all,pull_width_median_nonzero,pull_width_rmse_all,pull_width_rmse_nonzero,cov1_abs_resid_mean_all,cov2_abs_resid_mean_all,delta_z_rms_nonzero,recovery_bias_rms_nonzero,sigma_ratio_median_all,success_rate_min,refit_ok_rate_min,fallback_rate_max,ls_low_bound_frac_mean,max_def_delta_vs_deltaZ,pilot_score_lower_is_better,rank_within_dataset
2015,profiled_lslb0p5,"profiled bkg, lslb=0.5",profiled,0.5,35,28,350,1.8586913743432856,2.0719382907514996,1.1541070561032654,4.622290830978498,0.9436857090366745,0.9574898987444969,0.37108748962673976,0.38412096390937384,0.2898371428571429,0.2695857142857143,2.3378870901398505,0.7006212388979707,1.0459657127582278,1.0,1.0,0.0,0.0,1.5751384064842382,1.1336028360259647,1
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,35,28,350,5.993163590814771,6.030081213160502,4.388415731196515,12.681969260715935,11.685478090274316,11.718502786900059,16.275207284236224,16.27211918718165,0.6169857142857144,0.8544999999999999,6.000760763536297,3.5179870657947623,1.002764850344189,1.0,1.0,0.0,0.0,0.4209464953615587,10.10481418015397,2
2016,profiled_lslb0p5,"profiled bkg, lslb=0.5",profiled,0.5,40,32,400,1.9649753147173052,2.187848659360721,1.578875452197498,4.630966603941274,1.1452454304896145,1.197514012186636,0.2997549574063011,0.32905915993282936,0.313755,0.3177,2.4888323994981745,0.7373230126324486,1.0533753602573723,1.0,1.0,0.0,0.0,1.3513474782710002,1.1641023686820975,1
2016,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,40,32,400,31.726217660186396,31.78143757073206,3.929946191120844,87.66533964629204,12.202819012183829,12.202819012183829,13.330754552978737,13.33529061140597,0.6376999999999999,0.8644999999999999,31.724531987775798,17.728726344385276,1.0006366342181143,1.0,1.0,0.0,0.0,0.28093329956301716,20.373101681962115,2
