dataset,study,study_label,mode,lslb,mass_GeV,inj_nsigma,n_toys,pull_mean_correct,pull_mean_err,pull_width_correct,pull_width_err,cov_1sigma,cov_2sigma,delta_z_mean,sigma_ratio_mean,success_rate,refit_ok_rate,fallback_rate,ls_lo_mean,refit_ls_opt_mean
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.045,0.0,10,7.858637062355965,7.604241773918394,24.046723884181308,5.667867174608373,0.0,0.0,7.858637062355962,1.002764850344189,1.0,1.0,0.0,0.0499034166704954,0.14114817732834056
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.045,1.0,10,7.46334288036339,7.5940411897248925,24.01446680466553,5.660264108052747,0.0,0.0,7.460327651540358,1.003084046831407,1.0,1.0,0.0,0.0499034166704954,0.14114817732834056
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.045,2.0,10,7.083706694630993,7.5700695806873775,23.938661920927906,5.642396725606769,0.0,0.0,7.077050045858518,1.003399003526598,1.0,1.0,0.0,0.0499034166704954,0.14114817732834056
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.045,3.0,10,6.615863410656223,7.6037231234018545,24.04508376723942,5.667480595337857,0.0,0.0,6.604942567370976,1.0037132554367556,1.0,1.0,0.0,0.0499034166704954,0.14114817732834056
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.045,5.0,10,5.85777228779843,7.575939999660669,23.957225815702973,5.646772277566997,0.0,0.1,5.836414707396221,1.0043494072889205,1.0,1.0,0.0,0.0499034166704954,0.14114817732834056
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.075,0.0,10,-3.5330198093510665,3.677570260279886,11.629498277782696,2.7410990313391403,0.1,0.2,-3.5330198093510674,0.9957727051145886,1.0,1.0,0.0,0.05068301270191531,0.14335320788995304
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.075,1.0,10,-3.9468496055339366,3.6754896692237646,11.622918871165977,2.7395482503275184,0.1,0.1,-3.9436266621097316,0.9970140991260102,1.0,1.0,0.0,0.05068301270191531,0.14335320788995304
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.075,2.0,10,-4.258554729558265,3.716159283400837,11.7515274835258,2.7698615909670594,0.1,0.2,-4.2546405275641925,0.9982736993459496,1.0,1.0,0.0,0.05068301270191531,0.14335320788995304
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.075,3.0,10,-4.5182767328347655,3.7190089942608626,11.760539060516399,2.7719856400334715,0.1,0.1,-4.516275010995983,0.9995603214117308,1.0,1.0,0.0,0.05068301270191531,0.14335320788995304
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.075,5.0,10,-5.135213427415771,3.695272631326152,11.685478090274314,2.7542935996799316,0.0,0.1,-5.144211277583009,1.002030249929263,1.0,1.0,0.0,0.05068301270191531,0.14335320788995304
