dataset,study,study_label,mode,lslb,n_groups,n_nonzero_groups,n_toy_rows,rms_pull_mean_nonzero,median_abs_pull_mean_nonzero,pull_width_median_nonzero,pull_width_rmse_nonzero,cov1_abs_resid_mean_all,cov2_abs_resid_mean_all,sigma_ratio_median_all,success_rate_min,refit_ok_rate_min,fallback_rate_max,pilot_score_lower_is_better,rank_within_dataset
2015,profiled_lslb1p1_lsuh12,"profiled bkg, lslb=1.1, lsub=12",profiled,1.1,15,12,150,0.48815564343955564,0.34074026233189103,0.8152109567052787,0.18301086077210632,0.11679333333333339,0.05276666666666665,1.0059267860452845,1.0,1.0,0.0,0.2808011333268691,1.0
2015,profiled_lslb1p1,"profiled bkg, lslb=1.1",profiled,1.1,15,12,150,0.39396825508298416,0.39179348272190984,0.7394261961175568,0.2655573580903191,0.10832666666666677,0.04729999999999999,1.0172822217343112,1.0,1.0,0.0,0.2824166236785726,2.0
2015,profiled_lslb1p1_noopt,"profiled bkg, lslb=1.1, refit_optimize=false",profiled,1.1,15,12,150,0.39396825508298416,0.39179348272190984,0.7394261961175568,0.2655573580903191,0.10832666666666677,0.04729999999999999,1.0172822217343112,1.0,1.0,0.0,0.2824166236785726,3.0
2015,profiled_lslb1p0,"profiled bkg, lslb=1.0",profiled,1.0,15,12,150,0.4268260200399021,0.34874896341253414,0.7337039673106412,0.259554852498539,0.13063333333333338,0.046699999999999985,1.0225978922860421,1.0,1.0,0.0,0.2857462064334143,4.0
2015,profiled_lslb1p1_lock_initial,"profiled bkg, lslb=1.1, kernel locked to initial fit",profiled,1.1,15,12,150,0.48596765210891496,0.3556053330469958,0.7727004719243074,0.21370414020794798,0.10602000000000006,0.04609999999999999,1.0315999549503776,1.0,1.0,0.0,0.2901253950415795,5.0
2015,profiled_lslb1p1_const1em4_1e4,"profiled bkg, lslb=1.1, const=[1e-4,1e4]",profiled,1.1,15,12,150,0.476089790860165,0.3918913224969575,0.8120838562279946,0.2039206799536631,0.09935333333333339,0.05276666666666665,1.0376449705738344,1.0,1.0,0.0,0.29160895360788186,6.0
2015,profiled_lslb0p9,"profiled bkg, lslb=0.9",profiled,0.9,15,12,150,0.44795295619226594,0.3360693843294619,0.7421723555025223,0.28009094766411513,0.12140666666666672,0.04609999999999999,1.031396123492358,1.0,1.0,0.0,0.29370830681421883,7.0
2015,profiled_lslb0p9_noopt,"profiled bkg, lslb=0.9, refit_optimize=false",profiled,0.9,15,12,150,0.44795295619226594,0.3360693843294619,0.7421723555025223,0.28009094766411513,0.12140666666666672,0.04609999999999999,1.031396123492358,1.0,1.0,0.0,0.29370830681421883,8.0
2015,profiled_lslb1p1_lsuh6,"profiled bkg, lslb=1.1, lsub=6",profiled,1.1,15,12,150,0.5486316464055205,0.36335718748756807,0.7125903158984885,0.27570201010583884,0.17243333333333333,0.05336666666666665,1.0393695544844919,1.0,1.0,0.0,0.33668824500318745,9.0
2015,profiled_lslb0p75,"profiled bkg, lslb=0.75",profiled,0.75,15,12,150,0.7366385430194256,0.4305006331681298,0.865901269616637,0.207316790423001,0.13243333333333335,0.0697,1.0413813212412482,1.0,1.0,0.0,0.3843399532072663,10.0
2015,profiled_lslb0p5,"profiled bkg, lslb=0.5",profiled,0.5,15,12,150,2.0632265721928373,1.2670801500576943,0.9343653659644862,0.1393794309341051,0.2809,0.2575666666666667,1.0438047143026943,1.0,1.0,0.0,0.9644324284513843,11.0
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,15,12,150,4.862541812272293,4.388415731196515,11.718502786900057,15.22262627995375,0.6360333333333335,0.8678333333333332,1.0028813938397185,1.0,1.0,0.0,6.281042996268082,12.0
2015,fixed_lslb0p75,"fixed bkg, lslb=0.75",fixed,0.75,15,12,150,3.521246345464291,3.5904435581222263,12.901988410789237,23.624245941579904,0.6560333333333332,0.8878333333333334,0.9988483943784126,1.0,1.0,0.0,7.823378347606455,13.0
2015,fixed_lslb0p5,"fixed bkg, lslb=0.5",fixed,0.5,15,12,150,15.205489492177048,15.176180327777832,34.65005953364696,35.463306487539604,0.6693666666666666,0.9211666666666665,1.0260956856815637,1.0,1.0,0.0,16.61047765271099,14.0
2016,profiled_lslb1p1,"profiled bkg, lslb=1.1",profiled,1.1,15,12,150,0.5144069863815479,0.28369477921125963,0.9363842275900671,0.09898006356783454,0.04781999999999999,0.04909999999999999,1.0157152207273028,1.0,1.0,0.0,0.24621982868504003,1.0
2016,profiled_lslb1p1_noopt,"profiled bkg, lslb=1.1, refit_optimize=false",profiled,1.1,15,12,150,0.5144069863815479,0.28369477921125963,0.9363842275900671,0.09898006356783454,0.04781999999999999,0.04909999999999999,1.0157152207273028,1.0,1.0,0.0,0.24621982868504003,2.0
2016,profiled_lslb1p1_lsuh12,"profiled bkg, lslb=1.1, lsub=12",profiled,1.1,15,12,150,0.45186367138643974,0.41304088089022606,1.0577566446464441,0.06598520123589742,0.09423333333333334,0.057566666666666655,1.0058280823133363,1.0,1.0,0.0,0.25196831535195163,3.0
2016,profiled_lslb0p9,"profiled bkg, lslb=0.9",profiled,0.9,15,12,150,0.4085466421930812,0.37358738422462556,1.031171321614858,0.13353623789639305,0.11884666666666667,0.04909999999999999,1.0296705411227642,1.0,1.0,0.0,0.25243105603308597,4.0
2016,profiled_lslb0p9_noopt,"profiled bkg, lslb=0.9, refit_optimize=false",profiled,0.9,15,12,150,0.4085466421930812,0.37358738422462556,1.031171321614858,0.13353623789639305,0.11884666666666667,0.04909999999999999,1.0296705411227642,1.0,1.0,0.0,0.25243105603308597,5.0
2016,profiled_lslb1p0,"profiled bkg, lslb=1.0",profiled,1.0,15,12,150,0.5409078156257923,0.39339897747522906,0.9474534881172849,0.11104613509474819,0.07192666666666667,0.052099999999999994,1.0221507819380673,1.0,1.0,0.0,0.28321521305337394,6.0
2016,profiled_lslb1p1_lsuh6,"profiled bkg, lslb=1.1, lsub=6",profiled,1.1,15,12,150,0.6197658390643338,0.5365680501548493,0.9794327701623451,0.13459523908484802,0.14320666666666668,0.05089999999999999,1.036265315333007,1.0,1.0,0.0,0.35273143728813233,7.0
2016,profiled_lslb0p75,"profiled bkg, lslb=0.75",profiled,0.75,15,12,150,0.8627467000975267,0.6775829772320707,0.9775923569811252,0.1397300512212466,0.20987333333333333,0.08970000000000003,1.048631831428375,1.0,1.0,0.0,0.46767070985240256,8.0
2016,profiled_lslb0p5,"profiled bkg, lslb=0.5",profiled,0.5,15,12,150,2.430479590794012,1.8130248657139225,1.2404473963254081,0.37211875104857356,0.35834,0.3599666666666666,1.0526542521898201,1.0,1.0,0.0,1.2591605840859559,9.0
2016,profiled_lslb1p1_lock_initial,"profiled bkg, lslb=1.1, kernel locked to initial fit",profiled,1.1,15,12,150,2.982085455031542,2.4023797829761078,1.3616986851759423,0.54344132847729,0.40731333333333336,0.46723333333333333,1.0271831664428013,1.0,1.0,0.0,1.5967797502128134,10.0
2016,profiled_lslb1p1_const1em4_1e4,"profiled bkg, lslb=1.1, const=[1e-4,1e4]",profiled,1.1,15,12,150,3.0991984514018798,2.518087086185911,1.296911168199147,0.40618548260082143,0.43833999999999995,0.4805666666666666,1.0251231903437446,1.0,1.0,0.0,1.625958816158472,11.0
2016,fixed_lslb0p75,"fixed bkg, lslb=0.75",fixed,0.75,15,12,150,3.9643997942551885,3.310266657465715,20.09810694944815,19.469007493729535,0.6093666666666666,0.8145,0.9996321383918014,1.0,1.0,0.0,6.850773536282493,12.0
2016,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,15,12,150,12.543861409757186,6.094278939136526,11.460986743621127,12.665606824179669,0.6627,0.9011666666666667,0.9979000896389187,1.0,1.0,0.0,8.292984245650766,13.0
2016,fixed_lslb0p5,"fixed bkg, lslb=0.5",fixed,0.5,15,12,150,15.07185652056658,13.84145792390698,37.921618526726675,38.37421991383714,0.6827000000000001,0.9478333333333332,1.0204579497765747,1.0,1.0,0.0,17.03422308356615,14.0
