dataset,study,study_label,mode,lslb,mass_GeV,inj_nsigma,n_toys,n_success,success_rate,refit_ok_rate,fallback_rate,pull_mean_correct,pull_mean_err,pull_width_correct,pull_width_err,pull_q16,pull_q84,cov_1sigma,cov_2sigma,Ahat_mean,Ainj_mean,sigma_A_mean,sigma_A_median,sigmaA_ref_mean,sigma_ratio_mean,pull_mean_ratio_of_means,delta_z_mean,delta_z_width,recovery_bias_mean,recovery_bias_sem,ls_opt_mean,ls_lo_mean,ls_low_bound_frac,abs_definition_delta_ratio,abs_definition_delta_deltaZ
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.03,0.0,10,10,1.0,1.0,0.0,-2.093521367477105,6.215310271830074,19.6545368236233,4.632618756354915,-17.99434225820691,17.4840431934986,0.0,0.0,-4381.965180073592,0.0,2095.9720512048316,2095.9422257017673,2097.2116973205784,0.9994348302144008,-2.0906601199928683,-2.093521367477105,19.654536823623296,,,0.13838946953518744,0.048928066176569994,0.0,0.002861247484236884,0.0
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.03,1.0,10,10,1.0,1.0,0.0,-2.463854625432874,6.208374355867845,19.632603531523138,4.627449029828991,-18.35103197796052,17.138572863983086,0.0,0.0,-3062.4245829332476,2097.211697320578,2096.5389590125938,2096.500193229547,2097.211697320578,0.9997051412223102,-2.46102571005113,-2.4635329547193665,19.627153723831494,-2.36692244694155,6.200689109492937,0.13838946953518744,0.048928066176569994,0.0,0.0028289153817437906,0.00032167071350741594
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.03,2.0,10,10,1.0,1.0,0.0,-2.825925388348374,6.212003539431091,19.644080017629843,4.630154063545739,-18.619010883258493,16.731568369417317,0.0,0.0,-1725.9924288984796,4194.423394641156,2097.095351075658,2097.075979457561,2097.211697320578,0.9999704408988457,-2.823150516500306,-2.8258128674656477,19.633188027014125,-1.3647964749648702,3.1028653491803793,0.13838946953518744,0.048928066176569994,0.0,0.002774871848068017,0.00011252088272639682
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.03,3.0,10,10,1.0,1.0,0.0,-3.2388808428358855,6.216062156693397,19.656914492329605,4.633179178243462,-19.080690727830756,16.352376008820716,0.0,0.0,-496.3398584693256,6291.635091961733,2097.6450953282006,2097.627401539556,2097.211697320578,1.0002326112319853,-3.2359978175283284,-3.2394982429015036,19.640562627422266,-1.0477302223430685,2.07022748573386,0.13838946953518744,0.048928066176569994,0.0,0.00288302530755713,0.0006174000656180567
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.03,5.0,10,10,1.0,1.0,0.0,-4.030652401659341,6.237503631440962,19.724718388924895,4.649160709934596,-19.889189466078523,15.731414941236968,0.0,0.0,2032.500630784493,10486.058486602888,2098.762778981688,2098.711724394412,2097.211697320578,1.0007655192492417,-4.027876776011833,-4.034343790288297,19.697522014350216,-0.7874124360258665,1.2467864922968603,0.13838946953518744,0.048928066176569994,0.0,0.0027756256475086616,0.003691388628955572
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.045,0.0,10,10,1.0,1.0,0.0,7.858637062355963,7.604241773918395,24.04672388418131,5.667867174608374,-14.560911964839146,26.014339853731837,0.0,0.0,13959.781956525903,0.0,1773.9441251048374,1774.056846097305,1769.1519014915593,1.002764850344189,7.869347043667963,7.858637062355962,24.04672388418131,,,0.14114817732834056,0.0499034166704954,0.0,0.010709981311999961,8.881784197001252e-16
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.045,1.0,10,10,1.0,1.0,0.0,7.463342880363392,7.5940411897248925,24.01446680466553,5.660264108052747,-14.94144287398184,25.720869880241363,0.0,0.0,15031.784701346234,1769.1519014915593,1774.5088400743741,1774.6186094219113,1769.1519014915593,1.003084046831407,7.473973924693891,7.460327651540358,24.006365491716295,7.662770506300187,7.647515582609448,0.14114817732834056,0.0499034166704954,0.0,0.010631044330499329,0.003015228823033844
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.045,2.0,10,10,1.0,1.0,0.0,7.083706694630993,7.5700695806873775,23.938661920927906,5.642396725606769,-15.181572204571442,25.083045654409613,0.0,0.0,16130.752381957212,3538.3038029831187,1775.0661397781303,1775.184635369962,1769.1519014915593,1.003399003526598,7.094072889333607,7.077050045858518,23.922485092897546,3.641736308781219,3.8126122257254527,0.14114817732834056,0.0499034166704954,0.0,0.01036619470261435,0.006656648772475293
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.045,3.0,10,10,1.0,1.0,0.0,6.615863410656223,7.6037231234018545,24.04508376723942,5.667480595337857,-15.784635026000155,24.806711089322874,0.0,0.0,17073.499807823708,5307.455704474677,1775.6219899052987,1775.726931562126,1769.1519014915593,1.0037132554367556,6.626435226777386,6.604942567370976,24.020807166935672,2.2723637387580573,2.553343121641786,0.14114817732834056,0.0499034166704954,0.0,0.010571816121163202,0.010920843285246562
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.045,5.0,10,10,1.0,1.0,0.0,5.85777228779843,7.575939999660669,23.957225815702973,5.646772277566997,-16.453800196047368,24.052319956744647,0.0,0.1,19271.79342910257,8845.759507457795,1776.7474985799586,1776.8602641789107,1769.1519014915593,1.0043494072889205,5.868044800950975,5.836414707396221,23.916841555818955,1.2118324377190401,1.5271259986259078,0.14114817732834056,0.0499034166704954,0.0,0.01027251315254496,0.02135758040220903
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.06,0.0,10,10,1.0,1.0,0.0,-10.82980094973319,8.54444925462558,27.019920996344833,6.368656454546736,-32.73444660995207,10.791555786588185,0.1,0.1,-10402.77420394689,0.0,963.5445328740723,963.9380868767976,970.28795031604,0.9932886079348586,-10.796360571853768,-10.82980094973319,27.019920996344837,,,0.14252652286544537,0.0503907354085479,0.0,0.033440377879422556,0.0
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.06,1.0,10,10,1.0,1.0,0.0,-11.195036617175811,8.542602595582892,27.014081347708192,6.367280036163164,-33.063256471313956,10.485305922483938,0.1,0.1,-9791.299600560142,970.28795031604,964.1206016016982,964.5228383216698,970.28795031604,0.9938821758021976,-11.162076127196022,-11.188618747381442,26.99695516720517,-10.715339388527918,8.432106590276746,0.14252652286544537,0.0503907354085479,0.0,0.03296048997978929,0.006417869794368869
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.06,2.0,10,10,1.0,1.0,0.0,-11.498304681020258,8.516484400964385,26.931488364342158,6.347812683290981,-33.17405731787338,10.049981028547414,0.1,0.1,-9120.460874981936,1940.57590063208,964.7010662201419,965.0670096042344,970.28795031604,0.9944804249002086,-11.465766093690542,-11.486680409095381,26.8972795325955,-5.512445990485693,4.2050615496874055,0.14252652286544537,0.0503907354085479,0.0,0.03253858732971615,0.011624271924876695
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.06,3.0,10,10,1.0,1.0,0.0,-12.156226242015626,8.552384157449055,27.045013362279114,6.374570781916118,-34.59508201349857,9.358222723806616,0.1,0.1,-8791.327706856187,2910.8638509481198,965.260452659642,965.6510884833077,970.28795031604,0.9950570324434589,-12.123351294006227,-12.140538663337347,26.993734407557294,-3.894766593858293,2.8154009065577,0.14252652286544537,0.0503907354085479,0.0,0.03287494800939861,0.015687578678278413
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.06,5.0,10,10,1.0,1.0,0.0,-12.681969260715935,8.532414201032427,26.98186281522828,6.359686055231022,-34.535883848415644,8.925395405019913,0.0,0.1,-7373.408957088211,4851.4397515802,966.4202874015602,966.7583524614739,970.28795031604,0.9962525355576848,-12.649619288868287,-12.661856346490032,26.896556839897993,-2.444652396298717,1.6872379886299194,0.14252652286544537,0.0503907354085479,0.0,0.03234997184764765,0.02011291422590311
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.075,0.0,10,10,1.0,1.0,0.0,-3.5330198093510665,3.677570260279886,11.629498277782696,2.7410990313391403,-15.195315869275756,9.978016941079824,0.1,0.2,-1629.1869192319996,0.0,463.70074510824224,463.5327331152632,465.76278347876206,0.9957727051145886,-3.513444686942861,-3.5330198093510674,11.629498277782696,,,0.14335320788995304,0.05068301270191531,0.0,0.01957512240820547,8.881784197001252e-16
2015,fixed_lslb1p0,"fixed bkg, lslb=1.0",fixed,1.0,0.075,1.0,10,10,1.0,1.0,0.0,-3.9468496055339357,3.6754896692237646,11.622918871165977,2.7395482503275184,-15.644131768754054,9.570986671338247,0.1,0.1,-1357.7047425068372,465.76278347876206,464.27902369549184,464.11547499089613,465.76278347876206,0.9970140991260102,-3.92752511511604,-3.9436266621097316,11.6070169948006,-3.769134196353563,3.6583192949124754,0.14335320788995304,0.05068301270191531,0.0,0.019324490417895746,0.00322294342420415
