dataset,study,study_label,mode,lslb,mass_GeV,inj_nsigma,n_toys,n_success,success_rate,refit_ok_rate,fallback_rate,pull_mean_correct,pull_mean_err,pull_width_correct,pull_width_err,cov_1sigma,cov_2sigma,delta_z_mean,delta_z_width,sigma_ratio_mean,sigma_ratio_median,ls_lo_mean,ls_hi_mean,refit_ls_opt_mean,refit_const_opt_mean
2015,fixed_lslb0p5,"fixed bkg, lslb=0.5",fixed,0.5,0.045,0.0,10,10,1.0,1.0,0.0,20.205632047484578,15.961315361110385,50.47411099334176,11.89686205258481,0.0,0.0,20.205632047484578,50.47411099334176,1.0070098364753157,1.0052848046588907,0.0249517083352477,0.3992273333639637,0.09980683334099091,1.0
2015,fixed_lslb0p5,"fixed bkg, lslb=0.5",fixed,0.5,0.045,1.0,10,10,1.0,1.0,0.0,19.575902123110488,16.03021324515386,50.691985232885315,11.94821550332718,0.0,0.1,19.568885137957633,50.674968208860754,1.0073303200299897,1.005599451375913,0.0249517083352477,0.3992273333639637,0.09980683334099091,1.0
2015,fixed_lslb0p5,"fixed bkg, lslb=0.5",fixed,0.5,0.045,2.0,10,10,1.0,1.0,0.0,18.993952403898167,15.96404943228428,50.48275688553628,11.898899908918194,0.0,0.1,18.979300944048397,50.448744535945266,1.0076435587057415,1.005926535358781,0.0249517083352477,0.3992273333639637,0.09980683334099091,1.0
2015,fixed_lslb0p5,"fixed bkg, lslb=0.5",fixed,0.5,0.045,3.0,10,10,1.0,1.0,0.0,18.13757404504883,16.044009411434164,50.735612541309486,11.958498558537729,0.1,0.1,18.11466914174608,50.68460088004598,1.0079575628205486,1.0062365371295385,0.0249517083352477,0.3992273333639637,0.09980683334099091,1.0
2015,fixed_lslb0p5,"fixed bkg, lslb=0.5",fixed,0.5,0.045,5.0,10,10,1.0,1.0,0.0,17.40230139480449,16.08422573040427,50.862787708362866,11.988474032878388,0.0,0.0,17.360933211877207,50.777891249315,1.0086063758161636,1.0068902851868622,0.0249517083352477,0.3992273333639637,0.09980683334099091,1.0
2015,fixed_lslb0p5,"fixed bkg, lslb=0.5",fixed,0.5,0.075,0.0,10,10,1.0,1.0,0.0,16.64629832052363,10.964866456148725,34.67395224100874,8.172728920051924,0.0,0.0,16.64629832052363,34.67395224100874,1.0257548849626064,1.0235734273872237,0.0253415063509576,0.40546410161532254,0.10136602540383062,1.0
2015,fixed_lslb0p5,"fixed bkg, lslb=0.5",fixed,0.5,0.075,1.0,10,10,1.0,1.0,0.0,16.267317078983723,10.922962800936697,34.54144124825235,8.141495779531986,0.0,0.0,16.2429830042223,34.494951908507865,1.0270000834091468,1.0248718230223304,0.0253415063509576,0.40546410161532254,0.10136602540383062,1.0
2015,fixed_lslb0p5,"fixed bkg, lslb=0.5",fixed,0.5,0.075,2.0,10,10,1.0,1.0,0.0,15.437214643554967,11.013890884953808,34.82898109702157,8.209269571840677,0.0,0.0,15.386160952411126,34.73636652451435,1.0282485389952583,1.0260956856815637,0.0253415063509576,0.40546410161532254,0.10136602540383062,1.0
2015,fixed_lslb0p5,"fixed bkg, lslb=0.5",fixed,0.5,0.075,3.0,10,10,1.0,1.0,0.0,14.915146012000696,10.976079652586526,34.70941148160308,8.181086743211916,0.0,0.0,14.835016760267303,34.57101658390154,1.029491434519366,1.027441802112466,0.0253415063509576,0.40546410161532254,0.10136602540383062,1.0
2015,fixed_lslb0p5,"fixed bkg, lslb=0.5",fixed,0.5,0.075,5.0,10,10,1.0,1.0,0.0,13.438647879918614,10.938542184764705,34.59070758569084,8.15310796662765,0.0,0.0,13.294057459964742,34.36064960267246,1.0318256947324476,1.0296893921621346,0.0253415063509576,0.40546410161532254,0.10136602540383062,1.0
