mass_GeV,datasets,n_datasets,eps2_up,p0_analytic,Z_analytic,cls_statistic,cls_calibration,signal_model,global_method
0.088,2015+2016+2021,3,1.3626388383509547e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.089,2015+2016+2021,3,1.4997582472325642e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.09,2015+2016+2021,3,1.8354868974911066e-06,0.49986225840519083,0.00034526698300124393,tilde_q_mu,asymptotic,default,sidak_approx
0.091,2016+2021,2,2.3811802500516244e-06,0.31701467627711294,0.47606320099430327,tilde_q_mu,asymptotic,default,sidak_approx
0.092,2016+2021,2,2.7959659847239403e-06,0.18224048367563073,0.9068597518091174,tilde_q_mu,asymptotic,default,sidak_approx
0.093,2016+2021,2,2.883044738555966e-06,0.15784636526340284,1.0033485258627188,tilde_q_mu,asymptotic,default,sidak_approx
0.094,2016+2021,2,2.5906040409466183e-06,0.2361481748924787,0.7187477609350739,tilde_q_mu,asymptotic,default,sidak_approx
0.095,2016+2021,2,2.3791417992556556e-06,0.31524212155465126,0.4810453846907412,tilde_q_mu,asymptotic,default,sidak_approx
0.096,2016+2021,2,1.9556432107945713e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.097,2016+2021,2,1.7146255792100837e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.098,2016+2021,2,1.6630478811723318e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.099,2016+2021,2,3.3330219973185896e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.1,2016+2021,2,1.9421012175601963e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.101,2016+2021,2,2.210642851379719e-06,0.3832530769507151,0.29694807257565503,tilde_q_mu,asymptotic,default,sidak_approx
0.102,2016+2021,2,2.329680705953422e-06,0.3303571327910983,0.43892722981749077,tilde_q_mu,asymptotic,default,sidak_approx
0.103,2016+2021,2,2.5360892562627015e-06,0.2480525155839131,0.6806309608499702,tilde_q_mu,asymptotic,default,sidak_approx
0.104,2016+2021,2,2.70319292497294e-06,0.2007845429103018,0.8388222092814869,tilde_q_mu,asymptotic,default,sidak_approx
0.105,2016+2021,2,2.685991794237606e-06,0.2118174621169629,0.800130961546868,tilde_q_mu,asymptotic,default,sidak_approx
0.106,2016+2021,2,2.552007784198691e-06,0.24821863772344077,0.6801061108487815,tilde_q_mu,asymptotic,default,sidak_approx
