mass_GeV,mass_MeV,dataset_set,wide_support_eps2_obs_ee_channel,narrow_support_eps2_obs_ee_channel,N_eff_BR,wide_support_eps2_obs_minimal_visible,narrow_support_eps2_obs_minimal_visible,wide_over_narrow_observed_ratio_ee_channel,wide_over_narrow_observed_ratio_minimal_visible,wide_relative_change,wide_tightening_percent,source_wide_table,source_narrow_table,source_narrow_sha256,input_fraction_match_validated,ratio_interpretation
0.029000000000000001,29,2015,8.3979586448133704e-06,7.2666589727194427e-06,1,8.3979586448133704e-06,7.2666589727194427e-06,1.1556836059516571,1.1556836059516571,0.15568360595165709,-15.568360595165709,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.029999999999999999,30,2015,1.023124658847981e-05,1.0941691650079663e-05,1,1.023124658847981e-05,1.0941691650079663e-05,0.93506990652632027,0.93506990652632027,-0.064930093473679729,6.4930093473679733,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.031,31,2015,8.5877736955787795e-06,1.0993393392893981e-05,1,8.5877736955787795e-06,1.0993393392893981e-05,0.78117587433283608,0.78117587433283608,-0.21882412566716392,21.88241256671639,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.032000000000000001,32,2015,6.4990281535513353e-06,8.2991867917508813e-06,1,6.4990281535513353e-06,8.2991867917508813e-06,0.78309216512769131,0.78309216512769131,-0.21690783487230869,21.69078348723087,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.033000000000000002,33,2015,5.0392149996478564e-06,5.188411159345457e-06,1,5.0392149996478564e-06,5.188411159345457e-06,0.97124434530812653,0.97124434530812653,-0.028755654691873467,2.8755654691873467,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.034000000000000002,34,2015,4.5030849404918069e-06,4.1813036789712276e-06,1,4.5030849404918069e-06,4.1813036789712276e-06,1.0769571612650126,1.0769571612650126,0.076957161265012619,-7.6957161265012619,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.035000000000000003,35,2015,4.3090932589142466e-06,3.9506336523424271e-06,1,4.3090932589142466e-06,3.9506336523424271e-06,1.090734711976971,1.090734711976971,0.090734711976971028,-9.0734711976971028,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.035999999999999997,36,2015,5.3977858635976168e-06,4.3335261844996505e-06,1,5.3977858635976168e-06,4.3335261844996505e-06,1.2455874578316055,1.2455874578316055,0.24558745783160552,-24.558745783160553,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.036999999999999998,37,2015,7.5823118482130796e-06,5.6172236549238138e-06,1,7.5823118482130796e-06,5.6172236549238138e-06,1.3498326422460951,1.3498326422460951,0.34983264224609512,-34.983264224609513,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.037999999999999999,38,2015,1.2192184480002685e-05,9.8199715236530846e-06,1,1.2192184480002685e-05,9.8199715236530846e-06,1.2415702480028297,1.2415702480028297,0.24157024800282967,-24.157024800282969,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
