mass_GeV,mass_MeV,dataset_set,dataset,band_lml,reviewed_lml,delta_lml,band_ls_opt,reviewed_ls_opt,delta_ls_opt,band_const_opt,reviewed_const_opt,delta_const_opt,band_sigma_val,reviewed_sigma_val,delta_sigma_val,band_integral_density,reviewed_integral_density,delta_integral_density,band_state_sha256,coordinate_closure_pass,lml_closure_pass,metadata_json_closure_pass,fixed_reviewed_state_closure_pass,reviewed_selected_attempt,reviewed_row_source,review_status,branch_multiplicity,interpolated
0.019,19,2015,2015,1136.0402568150648,1136.0402570998406,-2.847757514246041e-07,0.36262370238950181,0.36262370238950181,0,49.776513438328138,49.776513438328138,0,0.00091893429023309997,0.00091893429023300001,9.9963440303163509e-17,282453695.05657667,282453695.05657667,0,e909a220efc26c8fe70dd4d638bab27f5914adeec07510ade7665d69253917c9,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.02,20,2015,2015,1125.642635398955,1125.6426354131447,-1.4189708963385783e-08,0.36306753376968848,0.36306753376968848,0,50.587434054954329,50.587434054954329,0,0.00097215337409879991,0.00097215337409859999,1.9992688060632702e-16,379153831.15514982,379153831.15514982,0,e1092c305c354145dc00de9883b29055e0eccc96cfab187dd8faad042f80ae5e,True,True,True,True,attempt_03,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,resolved_reproduced_max_lml,3,False
0.021000000000000001,21,2015,2015,1120.2755873813135,1120.2755873813137,-2.2737367544323206e-13,0.3589892049000028,0.3589892049000028,0,47.963893413347407,47.963893413347407,0,0.0010253724579645,0.0010253724579645,0,472707141.1161992,472707141.1161992,0,10b61e71bf72b2ea9aa39a77a33752d65d305e476bafa628d60acf1cebcc5ba9,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.021999999999999999,22,2015,2015,1110.6608250129177,1110.660825103447,-9.0529283625073731e-08,0.36380622753581182,0.36380622753581182,0,47.160458741359982,47.160458741359982,0,0.0010785915418301997,0.00107859154183,1.9971004017182992e-16,557319166.63764083,557319166.63764083,0,3cf40bdb1595310c0228000bd55b8c6425bb46ef11536672b0e3f8620e3c09ff,True,True,True,True,attempt_03,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,resolved_reproduced_max_lml,3,False
0.023,23,2015,2015,1107.0416201565347,1107.0416203525954,-1.9606068235589191e-07,0.35020633447603938,0.35020633447603938,0,46.555580493978368,46.555580493978368,0,0.0011318106256958998,0.0011318106256958001,9.9746599868666408e-17,630016895.05618072,630016895.05618072,0,1f9790410d346ff75881ec048c7061459dd27584dec811a380f4aef92bcb905f,True,True,True,True,attempt_01,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv,resolved_reproduced_max_lml,3,False
0.024,24,2015,2015,1097.6890328535821,1097.6890328535819,2.2737367544323206e-13,0.34842893700304761,0.34842893700304761,0,46.602833398653488,46.602833398653488,0,0.0011850297095615998,0.0011850297095615,9.9746599868666408e-17,691123382.26357746,691123382.26357746,0,d1042ab0a6b2181ce628bb596c4a9a11734396eb10cd73d26e2067ca3719d160,True,True,True,True,attempt_01,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv,resolved_reproduced_max_lml,3,False
0.025000000000000001,25,2015,2015,1098.3909831440674,1098.3909832462257,-1.0215831025561783e-07,0.35671563497104802,0.35671563497104802,0,50.580618615587305,50.580618615587305,0,0.0012382487934272999,0.0012382487934272,9.9963440303163509e-17,738967301.35860705,738967301.35860705,0,508b43006dc6809282276b8fb42c5b7ed9bd5074000698589894cdac20aba907,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.025999999999999999,26,2015,2015,1088.5043977893056,1088.5043978500817,-6.0776073951274157e-08,0.36027664175219631,0.36027664175219631,0,52.900920880039315,52.900920880039315,0,0.0012914678772929999,0.0012914678772928,1.9992688060632702e-16,775313630.78009462,775313630.7800945,1.1920928955078125e-07,5aaecaedb9e5a87742e9d072eae446b6e837aacb18f091d5eb0884f60394e72b,True,True,True,True,attempt_01,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv,resolved_reproduced_max_lml,3,False
0.027,27,2015,2015,1087.073070961299,1087.0730711468225,-1.8552350411482621e-07,0.35452345844435101,0.35452345844435101,0,50.955811007673915,50.955811007673915,0,0.0013446869611586998,0.0013446869611586001,9.9746599868666408e-17,800922607.86220169,800922607.86220181,-1.1920928955078125e-07,504196692d0311568f7937c10e261523e600133d46b878ba55b1ce7dd24ed850,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.028000000000000001,28,2015,2015,1077.8999410759343,1077.8999410759343,0,0.3536367860898344,0.3536367860898344,0,49.81984023244658,49.81984023244658,0,0.0013979060450244,0.0013979060450244,0,816392166.02914715,816392166.02914715,0,bc028c41cb84f3730368cf1626644037b73bd19525e0114d8382c5d8286a34b7,True,True,True,True,attempt_03,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,resolved_reproduced_max_lml,3,False
