ensemble,mass_MeV,strength_sigma,method,n,Atrue,mean_Ahat,std_Ahat,mean_sigma_A,pull_mean,pull_std,mean_r,std_r,exclusion_count,exclusion_fraction,exclusion_low,exclusion_high,false_positive_count,false_positive_fraction,false_positive_low,false_positive_high,kappa_reference,mean_signal_response
gp_uncertainty,65,0,fixed,500,0.0,-64.32958877930918,8850.35744357269,3336.413247816071,-0.020546320037860413,2.652708652636578,-0.019757368513096254,2.6526652628632514,0,0.0,0.0,0.007350610051907784,123,0.246,0.20884689606606244,0.28618667474771736,2.60724763435522,
gp_uncertainty,65,0,profiled,500,0.0,-265.29366540342,7024.83862654572,6939.757615074543,-0.03840548434111906,1.0122663764819442,-0.03837770823749529,1.0122641825043794,0,0.0,0.0,0.007350610051907784,25,0.05,0.032615180149330056,0.07292762165047895,2.60724763435522,
gp_uncertainty,65,2,fixed,500,13879.563691916272,14156.579027893227,8501.546986202176,3338.812168927889,0.08180680380939913,2.546202143989202,4.241588285043959,2.5467480681995105,146,0.292,0.2524773343164491,0.33400254388728434,419,0.838,0.8027236639142744,0.8692172546862147,2.60724763435522,1.0245933469043462
gp_uncertainty,65,2,profiled,500,13879.563691916272,13968.37330454845,6726.434664815911,6942.179405157577,0.01263379553488017,0.9689201147444922,2.012078319968946,0.9686965382284719,28,0.056,0.03753044447502217,0.0799213006043601,326,0.652,0.6084444426340192,0.69374590999588,2.60724763435522,1.025512565516871
gp_uncertainty,65,5,fixed,500,34698.909229790675,34743.88037607062,8599.21111161611,3342.272441078786,0.012273546692369984,2.5730143951746096,10.406983518512037,2.5741332742430494,153,0.306,0.2658573921886108,0.34845460867731126,499,0.998,0.9889075231010312,0.9999493656659926,2.60724763435522,1.0031499761083387
gp_uncertainty,65,5,profiled,500,34698.909229790675,34565.56900329676,7154.637507609266,6945.636807618318,-0.0193693663054013,1.0301150228830853,4.977116029342626,1.0295574784854071,52,0.104,0.07865193527463432,0.1341407484224808,500,1.0,0.9926493899480923,1.0,2.60724763435522,1.0038028123027054
gp_uncertainty,71,0,fixed,500,0.0,58.62677229965253,8529.598333484584,3646.84957916007,0.01517076926494585,2.3389063440541924,0.015734452632221653,2.33889787258067,0,0.0,0.0,0.007350610051907784,122,0.244,0.20696234991895915,0.2840953841188915,2.3224457010761763,
gp_uncertainty,71,0,profiled,500,0.0,8.349437351913307,6889.5352765325015,6846.080641853589,0.0010659693919198006,1.0063510996449712,0.0010970008027737102,1.0063497180956422,0,0.0,0.0,0.007350610051907784,25,0.05,0.032615180149330056,0.07292762165047895,2.3224457010761763,
gp_uncertainty,71,2,fixed,500,13692.18204264978,14469.009509680773,8913.198438224048,3649.1015806717487,0.2118958626985955,2.442487687951433,3.9663391579772913,2.442968132560479,137,0.274,0.2353416620119253,0.315354454511171,411,0.822,0.7855972579914287,0.8545411932400965,2.3224457010761763,1.0524533410740682
gp_uncertainty,71,2,profiled,500,13692.18204264978,14104.678933886276,7066.342187262639,6848.3080432668885,0.060072243411408065,1.0318332195502484,2.059587650112279,1.0316491146873763,40,0.08,0.057766119928834334,0.10734546435635237,338,0.676,0.6330279213981825,0.7168755832823714,2.3224457010761763,1.0295166579458046
gp_uncertainty,71,5,fixed,500,34230.455106624446,33951.77751053421,9022.271659671196,3652.1113478507523,-0.0773225893980632,2.470547952991415,9.305012175612115,2.4713576523926144,161,0.322,0.2812023914634841,0.36491803195153,500,1.0,0.9926493899480923,1.0,2.3224457010761763,0.9901460740928154
gp_uncertainty,71,5,profiled,500,34230.455106624446,33590.49891530767,6883.7217807620755,6851.244710199376,-0.0935706405571628,1.0047820069210383,4.903436974107077,1.0042648943246182,61,0.122,0.09461889645641552,0.1539420968464539,500,1.0,0.9926493899480923,1.0,2.3224457010761763,0.9810605606425832
gp_uncertainty,78,0,fixed,500,0.0,-75.84720363387852,7765.912816779436,3752.7135039684363,-0.02089546728328465,2.0694129616358627,-0.020468041807822683,2.069415287575317,0,0.0,0.0,0.007350610051907784,96,0.192,0.1583829738148515,0.22930678137129687,2.101323250544005,
gp_uncertainty,78,0,profiled,500,0.0,120.10894214807391,6675.567221628071,6674.179672191123,0.01785620089377094,1.000187201172599,0.017890039304584385,1.0001922200593263,0,0.0,0.0,0.007350610051907784,30,0.06,0.0408441817627769,0.08454855370760009,2.101323250544005,
gp_uncertainty,78,2,fixed,500,13348.376251323518,12583.868265790039,7578.577162671995,3754.6067540767067,-0.20426685801231625,2.018468479911141,3.352462081268527,2.0187204856819827,144,0.288,0.24866274725184667,0.3298651431307428,406,0.812,0.7749441736423816,0.8453170755343652,2.101323250544005,0.9484086476936611
gp_uncertainty,78,2,profiled,500,13348.376251323518,12826.068348921981,6569.99442944502,6675.958356472074,-0.0783722897146899,0.9841261977690138,1.921255190250172,0.9839812725122222,39,0.078,0.05605117377556037,0.10508772643006573,301,0.602,0.5575958628067891,0.645190743177359,2.101323250544005,0.9518730344085173
gp_uncertainty,78,5,fixed,500,33370.940628308796,33528.85599252112,7786.379506861151,3757.74711087934,0.041340103915605234,2.0720520972428544,8.930299631213863,2.0728203296324743,125,0.25,0.2126192633142715,0.29036600680586877,500,1.0,0.9926493899480923,1.0,2.101323250544005,1.0070049738918028
gp_uncertainty,78,5,profiled,500,33370.940628308796,33648.930866537434,6564.126950002867,6678.921203676277,0.04148416098273954,0.9827987584295609,5.038833243946412,0.9824342477806765,43,0.086,0.06293676656618727,0.11409366934605586,500,1.0,0.9926493899480923,1.0,2.101323250544005,1.004731101164905
gp_uncertainty,100,0,fixed,500,0.0,-315.8461994184077,6782.108391865547,3608.2056103836762,-0.08813058917463275,1.8796971994047509,-0.08776077494476306,1.8796410181035155,0,0.0,0.0,0.007350610051907784,87,0.174,0.14177996798943102,0.21013083400902074,1.921445987715171,
gp_uncertainty,100,0,profiled,500,0.0,-367.2231082040533,5774.75273087349,5934.108661310197,-0.06202063871674388,0.9731569063376241,-0.06198171373701321,0.9731503485260928,0,0.0,0.0,0.007350610051907784,21,0.042,0.02618357677614715,0.06348694053291891,1.921445987715171,
gp_uncertainty,100,2,fixed,500,11868.275962796915,11835.42261090815,6983.268980946422,3610.1009598234714,-0.009724472135739813,1.934403940736131,3.279309713004506,1.9346451804535443,128,0.256,0.21828587053111023,0.2966270102687218,396,0.792,0.7537447673454118,0.8267608401098797,1.921445987715171,1.0238444782053207
gp_uncertainty,100,2,profiled,500,11868.275962796915,11839.654488734719,6023.7888371957015,5935.868240979564,-0.004965434980130919,1.014818688203895,1.9946568952754906,1.0147005861055456,36,0.072,0.05093433312513291,0.09828743733685696,319,0.638,0.5941580108071098,0.6801994530750499,1.921445987715171,1.028529976485486
gp_uncertainty,100,5,fixed,500,29670.689906992287,29739.96240644284,7327.319305342628,3612.912931795513,0.018481057801058662,2.0281326798112285,8.238401177918046,2.0287842156790026,120,0.24,0.20319657817464948,0.2799095090032706,500,1.0,0.9926493899480923,1.0,1.921445987715171,1.0129797689260405
