mass_GeV,mass_MeV,dataset_set,eps2_observed_2015,eps2_observed_2016,eps2_observed_2021,best_active_individual_dataset,best_active_individual_eps2,combined_observed_eps2,combined_over_best_active_individual_epsilon
0.213,213.0,2021,,,3.9019616100468033e-05,2021,3.9019616100468033e-05,3.9019616100468033e-05,1.0
0.214,214.0,2021,,,3.719077108087365e-05,2021,3.719077108087365e-05,3.719077108087365e-05,1.0
0.215,215.0,2021,,,3.24064753784842e-05,2021,3.24064753784842e-05,3.24064753784842e-05,1.0
0.216,216.0,2021,,,3.0186680853203212e-05,2021,3.0186680853203212e-05,3.0186680853203212e-05,1.0
0.217,217.0,2021,,,2.8303997415928455e-05,2021,2.8303997415928455e-05,2.8303997415928455e-05,1.0
0.218,218.0,2021,,,2.7695510129377252e-05,2021,2.7695510129377252e-05,2.7695510129377252e-05,1.0
0.219,219.0,2021,,,2.6985600336071497e-05,2021,2.6985600336071497e-05,2.6985600336071497e-05,1.0
0.22,220.0,2021,,,2.6920784947858533e-05,2021,2.6920784947858533e-05,2.6920784947858533e-05,1.0
0.221,221.0,2021,,,2.7143635510929957e-05,2021,2.7143635510929957e-05,2.7143635510929957e-05,1.0
0.222,222.0,2021,,,2.8533420640651935e-05,2021,2.8533420640651935e-05,2.8533420640651935e-05,1.0
0.223,223.0,2021,,,2.98613013333524e-05,2021,2.98613013333524e-05,2.98613013333524e-05,1.0
0.224,224.0,2021,,,3.2574376331770946e-05,2021,3.2574376331770946e-05,3.2574376331770946e-05,1.0
0.225,225.0,2021,,,3.592690140955023e-05,2021,3.592690140955023e-05,3.592690140955023e-05,1.0
0.226,226.0,2021,,,4.025033381081979e-05,2021,4.025033381081979e-05,4.025033381081979e-05,1.0
0.227,227.0,2021,,,4.396195812725724e-05,2021,4.396195812725724e-05,4.396195812725724e-05,1.0
0.228,228.0,2021,,,5.1062161321958227e-05,2021,5.1062161321958227e-05,5.1062161321958227e-05,1.0
0.229,229.0,2021,,,5.938439162099906e-05,2021,5.938439162099906e-05,5.938439162099906e-05,1.0
0.23,230.0,2021,,,6.947934305390984e-05,2021,6.947934305390984e-05,6.947934305390984e-05,1.0
0.231,231.0,2021,,,7.590164012485025e-05,2021,7.590164012485025e-05,7.590164012485025e-05,1.0
0.232,232.0,2021,,,8.43881805784839e-05,2021,8.43881805784839e-05,8.43881805784839e-05,1.0
0.233,233.0,2021,,,9.089903274972218e-05,2021,9.089903274972218e-05,9.089903274972218e-05,1.0
0.234,234.0,2021,,,9.171733674132394e-05,2021,9.171733674132394e-05,9.171733674132394e-05,1.0
0.235,235.0,2021,,,9.069295151370238e-05,2021,9.069295151370238e-05,9.069295151370238e-05,1.0
0.236,236.0,2021,,,8.558381348848107e-05,2021,8.558381348848107e-05,8.558381348848107e-05,1.0
0.237,237.0,2021,,,9.16145813247054e-05,2021,9.16145813247054e-05,9.16145813247054e-05,1.0
0.238,238.0,2021,,,9.132090487787148e-05,2021,9.132090487787148e-05,9.132090487787148e-05,1.0
0.239,239.0,2021,,,9.52348756339618e-05,2021,9.52348756339618e-05,9.52348756339618e-05,1.0
0.24,240.0,2021,,,9.807702299556784e-05,2021,9.807702299556784e-05,9.807702299556784e-05,1.0
0.241,241.0,2021,,,0.0001040637673108,2021,0.0001040637673108,0.0001040637673108,1.0
0.242,242.0,2021,,,0.0001120525334008,2021,0.0001120525334008,0.0001120525334008,1.0
0.243,243.0,2021,,,0.0001173062968827,2021,0.0001173062968827,0.0001173062968827,1.0
0.244,244.0,2021,,,0.0001194394519408,2021,0.0001194394519408,0.0001194394519408,1.0
0.245,245.0,2021,,,0.0001310848520779,2021,0.0001310848520779,0.0001310848520779,1.0
0.246,246.0,2021,,,0.0001367724207198,2021,0.0001367724207198,0.0001367724207198,1.0
0.247,247.0,2021,,,0.0001634611188915,2021,0.0001634611188915,0.0001634611188915,1.0
0.248,248.0,2021,,,0.0001711852327815,2021,0.0001711852327815,0.0001711852327815,1.0
0.249,249.0,2021,,,0.0001581318158377,2021,0.0001581318158377,0.0001581318158377,1.0
0.25,250.0,2021,,,0.0001438430636496,2021,0.0001438430636496,0.0001438430636496,1.0
