dataset,mass_GeV,toy,injection_toy,strength,inj_nsigma,sigmaA_ref,sigmaA_ref_prefit,sigmaA_ref_matched,sigmaA_ref_mode,sigmaA_ref_matched_ok,sigmaA_ref_error,integral_density,A_per_eps2_unit,sigma_val,sigma_x,kernel_ls_policy,kernel_ls_res_lower_factor,kernel_ls_res_upper_factor,ls_lo,ls_hi,ls_init,initial_ls_opt,initial_const_opt,refit_ls_opt,refit_const_opt,ls_opt,const_opt,f_win,f_full,f_train,f_train_frac,n_train,n_train_low,n_train_high,n_blind,blind_nsigma,train_exclude_nsigma,signal_model,inj_shape_mode,inj_background_mode,extract_background_mode,A_hat,sigma_A,Zhat,pull_param,Nsig_win,Nsig_train,success,nll,toy_mode,refit_gp_on_toy,refit_ok,refit_restarts,refit_optimize,refit_kernel_lock_mode,refit_lock_const_opt,refit_lock_ls_opt,refit_tail_alpha_scale,refit_tail_alpha_threshold,refit_tail_alpha_n_bins,refit_tail_alpha_max,refit_tail_alpha_mean,refit_fallback_used,refit_error,source_model,source_label,source_root,container,function_tag,toy_hist,toy_index,qmu_tilde,tmu_tilde,sqrt_qmu_tilde,sqrt_tmu_tilde,qmu_A_test,qmu_branch,qmu_ok,qmu_nll_fixed,qmu_nll_unbounded,qmu_nll_null,study,study_label,mode,lslb,phase,source_csv,pull_correct,delta_z,recovery,recovery_bias,sigma_ratio_refit,eps_width_ratio_vs_ref,eps2_sigma,eps_sigma,eps2_95_exp_proxy,eps_95_exp_proxy,eps2_95_obs_proxy,eps_95_obs_proxy,eps2_bias_proxy
2015,0.045,0,0,0.0,0.0,22335.16111347955,22161.03413176541,22335.16111347955,matched_refit_bonly,1.0,,393658000.0,972102858.2704358,0.0023026304707412,0.0499034166704954,resolution_scaled_local,1.1,8.0,0.054893758337545,0.3992273333639637,0.1480374572850532,0.1641213206703469,21.113156272459985,0.1480374572850532,1.0,0.1480374572850532,1.0,0.9773923766036258,1.0,0.0226076233963742,0.0226076233963742,558,159,399,42,2.25,2.25,default,full,fixed_hist,profiled,-12400.838093509788,22344.01029004698,-0.554996078704532,-0.554996078704532,0,0,True,-43811187.65376789,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_0,0,0.0,0.0,0.0,0.0,0.0,boundary,True,-43811187.5145053,-43811187.65376789,-43811187.5145053,profiled_lslb1p1,"profiled bkg, lslb=1.1",profiled,1.1,highstat,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/funcform_mod2_highstat_20260630/runs/highstat/profiled_lslb1p1/2015/injection_extraction/inj_extract_toys_2015.csv,-0.554996078704532,-0.554996078704532,,,1.0003961993612882,1.0001980800627885,2.2985232581047457e-05,0.004794291666247211,3.7807343177259056e-05,0.006148767614510981,3.7807343177259056e-05,0.006148767614510981,-1.275671395059299e-05
2015,0.045,0,0,22335.16111347955,1.0,22335.16111347955,22161.03413176541,22335.16111347955,matched_refit_bonly,1.0,,393658000.0,972102858.2704358,0.0023026304707412,0.0499034166704954,resolution_scaled_local,1.1,8.0,0.054893758337545,0.3992273333639637,0.1480374572850532,0.1641213206703469,21.113156272459985,0.1480374572850532,1.0,0.1480374572850532,1.0,0.9773923766036258,1.0,0.0226076233963742,0.0226076233963742,558,159,399,42,2.25,2.25,default,full,fixed_hist,profiled,7926.332194720791,22467.962073647384,0.352783762440901,-0.6413055563975175,21804,482,True,-44061571.449622616,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_0,0,0.4108857661485672,0.4108857661485672,0.6410037177338109,0.6410037177338109,22335.16111347955,interior,True,-44061571.24417973,-44061571.449622616,-44061571.37057067,profiled_lslb1p1,"profiled bkg, lslb=1.1",profiled,1.1,highstat,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/funcform_mod2_highstat_20260630/runs/highstat/profiled_lslb1p1/2015/injection_extraction/inj_extract_toys_2015.csv,-0.6413055563975175,-0.6472162375590991,0.3548813529684884,-0.6451186470315116,1.0059458250376214,1.0029685065033804,2.3112741499003876e-05,0.004807571268218899,3.801707668342833e-05,0.006165798949319409,4.617087658977087e-05,0.006794915495410584,-1.4822329546890674e-05
2015,0.045,0,0,44670.3222269591,2.0,22335.16111347955,22161.03413176541,22335.16111347955,matched_refit_bonly,1.0,,393658000.0,972102858.2704358,0.0023026304707412,0.0499034166704954,resolution_scaled_local,1.1,8.0,0.054893758337545,0.3992273333639637,0.1480374572850532,0.1641213206703469,21.113156272459985,0.1480374572850532,1.0,0.1480374572850532,1.0,0.9773923766036258,1.0,0.0226076233963742,0.0226076233963742,558,159,399,42,2.25,2.25,default,full,fixed_hist,profiled,32677.52491499988,22589.107918548,1.4466053742728036,-0.530910620959577,43747,991,True,-44313653.144718,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_0,0,0.2782825976610183,0.2782825976610183,0.5275249734951117,0.5275249734951117,44670.3222269591,interior,True,-44313653.0055767,-44313653.144718,-44313652.10226105,profiled_lslb1p1,"profiled bkg, lslb=1.1",profiled,1.1,highstat,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/funcform_mod2_highstat_20260630/runs/highstat/profiled_lslb1p1/2015/injection_extraction/inj_extract_toys_2015.csv,-0.530910620959577,-0.5533946257271964,0.7315265099045689,-0.2684734900954311,1.0113698219492668,1.0056688430836798,2.3237363954199777e-05,0.004820514905505404,3.822206238085691e-05,0.006182399403213684,7.183735796093544e-05,0.008475692181818276,-1.2336963326387896e-05
2015,0.045,0,0,67005.48334043864,3.0,22335.16111347955,22161.03413176541,22335.16111347955,matched_refit_bonly,1.0,,393658000.0,972102858.2704358,0.0023026304707412,0.0499034166704954,resolution_scaled_local,1.1,8.0,0.054893758337545,0.3992273333639637,0.1480374572850532,0.1641213206703469,21.113156272459985,0.1480374572850532,1.0,0.1480374572850532,1.0,0.9773923766036258,1.0,0.0226076233963742,0.0226076233963742,558,159,399,42,2.25,2.25,default,full,fixed_hist,profiled,50663.06666182928,22748.168573775176,2.227127273895592,-0.7184058191589731,65753,1576,True,-44566760.631075114,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_0,0,0.5061527043581009,0.5061527043581009,0.7114440978447294,0.7114440978447294,67005.48334043864,interior,True,-44566760.37799876,-44566760.631075114,-44566758.154863566,profiled_lslb1p1,"profiled bkg, lslb=1.1",profiled,1.1,highstat,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/funcform_mod2_highstat_20260630/runs/highstat/profiled_lslb1p1/2015/injection_extraction/inj_extract_toys_2015.csv,-0.7184058191589731,-0.7728727261044082,0.7561032938815246,-0.24389670611847536,1.0184913580071009,1.0092033283769435,2.340098928857044e-05,0.004837456903019441,3.849120210555764e-05,0.006204127827951132,9.060818358627145e-05,0.009518833100032348,-1.68114068789858e-05
2015,0.045,0,0,111675.80556739777,5.0,22335.16111347955,22161.03413176541,22335.16111347955,matched_refit_bonly,1.0,,393658000.0,972102858.2704358,0.0023026304707412,0.0499034166704954,resolution_scaled_local,1.1,8.0,0.054893758337545,0.3992273333639637,0.1480374572850532,0.1641213206703469,21.113156272459985,0.1480374572850532,1.0,0.1480374572850532,1.0,0.9773923766036258,1.0,0.0226076233963742,0.0226076233963742,558,159,399,42,2.25,2.25,default,full,fixed_hist,profiled,92782.6572452246,22998.492845622804,4.034292936847097,-0.8214950626979457,108290,2491,True,-45056289.26794725,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_0,0,0.7296017110347748,0.7296017110347748,0.8541672617437259,0.8541672617437259,111675.80556739777,interior,True,-45056288.90314639,-45056289.26794725,-45056281.0832207,profiled_lslb1p1,"profiled bkg, lslb=1.1",profiled,1.1,highstat,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/funcform_mod2_highstat_20260630/runs/highstat/profiled_lslb1p1/2015/injection_extraction/inj_extract_toys_2015.csv,-0.8214950626979457,-0.9657070631529026,0.8308214726888994,-0.1691785273111006,1.0296989902500826,1.0147408488131748,2.365849729784942e-05,0.004864000133413796,3.8914765088589224e-05,0.006238170011196331,0.0001343600736337193,0.01159137928090179,-1.943533872103599e-05
2015,0.06,0,0,0.0,0.0,8963.834707742713,9562.86591203063,8963.834707742713,matched_refit_bonly,1.0,,91763142.85714284,302134385.5336591,0.0031009167287268,0.0503907354085479,resolution_scaled_local,1.1,8.0,0.0554298089494027,0.4031258832683839,0.1494830782802046,0.1633519631925341,21.07117446645456,0.1494830782802046,1.0,0.1494830782802046,1.0,0.9760167185561468,1.0,0.0239832814438531,0.0239832814438531,544,212,332,56,2.25,2.25,default,full,fixed_hist,profiled,23106.28043334714,9012.387966844386,2.563835524874504,2.563835524874504,0,0,True,-12246663.870147508,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_0,0,0.0,0.0,0.0,0.0,0.0,muhat_gt_test,True,-12246660.53764654,-12246663.870147508,-12246660.53764654,profiled_lslb1p1,"profiled bkg, lslb=1.1",profiled,1.1,highstat,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/funcform_mod2_highstat_20260630/runs/highstat/profiled_lslb1p1/2015/injection_extraction/inj_extract_toys_2015.csv,2.563835524874504,2.563835524874504,,,1.005416572335915,1.0027046286598635,2.9829070765731716e-05,0.0054615996526413135,4.906445523760594e-05,0.007004602432515777,0.00012554128654078444,0.011204520808173121,7.64768313031785e-05
2015,0.06,0,0,8963.834707742713,1.0,8963.834707742713,9562.86591203063,8963.834707742713,matched_refit_bonly,1.0,,91763142.85714284,302134385.5336591,0.0031009167287268,0.0503907354085479,resolution_scaled_local,1.1,8.0,0.0554298089494027,0.4031258832683839,0.1494830782802046,0.1633519631925341,21.07117446645456,0.1494830782802046,1.0,0.1494830782802046,1.0,0.9760167185561468,1.0,0.0239832814438531,0.0239832814438531,544,212,332,56,2.25,2.25,default,full,fixed_hist,profiled,31390.052829439624,9083.616501115606,3.455677903793544,2.468864479135885,8834,248,True,-12334912.14112218,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_0,0,0.0,0.0,0.0,0.0,8963.834707742713,muhat_gt_test,True,-12334909.04729876,-12334912.14112218,-12334906.178724336,profiled_lslb1p1,"profiled bkg, lslb=1.1",profiled,1.1,highstat,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/funcform_mod2_highstat_20260630/runs/highstat/profiled_lslb1p1/2015/injection_extraction/inj_extract_toys_2015.csv,2.468864479135885,2.455677903793544,3.501855383648001,2.501855383648001,1.0133627847096989,1.0066592197510034,3.006482193369431e-05,0.005483139787903853,4.945223140128725e-05,0.007032228053845186,0.00015334657223904218,0.012383318304842293,7.422597094364333e-05
2015,0.06,0,0,17927.669415485427,2.0,8963.834707742713,9562.86591203063,8963.834707742713,matched_refit_bonly,1.0,,91763142.85714284,302134385.5336591,0.0031009167287268,0.0503907354085479,resolution_scaled_local,1.1,8.0,0.0554298089494027,0.4031258832683839,0.1494830782802046,0.1633519631925341,21.07117446645456,0.1494830782802046,1.0,0.1494830782802046,1.0,0.9760167185561468,1.0,0.0239832814438531,0.0239832814438531,544,212,332,56,2.25,2.25,default,full,fixed_hist,profiled,39264.21169254659,9132.921941158233,4.299194928580231,2.336222997911146,17664,420,True,-12423298.355371963,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_0,0,0.0,0.0,0.0,0.0,17927.669415485427,muhat_gt_test,True,-12423295.63054252,-12423298.355371963,-12423289.10535238,profiled_lslb1p1,"profiled bkg, lslb=1.1",profiled,1.1,highstat,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/funcform_mod2_highstat_20260630/runs/highstat/profiled_lslb1p1/2015/injection_extraction/inj_extract_toys_2015.csv,2.336222997911145,2.2991949285802313,2.1901459014316296,1.1901459014316296,1.0188632698982576,1.0093875716979368,3.0228012362865546e-05,0.00549800076053701,4.9720655770593337e-05,0.007051287525735519,0.0001796767732220854,0.0134043565016037,7.061937766326891e-05
2015,0.06,0,0,26891.50412322814,3.0,8963.834707742713,9562.86591203063,8963.834707742713,matched_refit_bonly,1.0,,91763142.85714284,302134385.5336591,0.0031009167287268,0.0503907354085479,resolution_scaled_local,1.1,8.0,0.0554298089494027,0.4031258832683839,0.1494830782802046,0.1633519631925341,21.07117446645456,0.1494830782802046,1.0,0.1494830782802046,1.0,0.9760167185561468,1.0,0.0239832814438531,0.0239832814438531,544,212,332,56,2.25,2.25,default,full,fixed_hist,profiled,46161.812835705285,9220.874156766728,5.0062295668387895,2.089857033601923,26323,667,True,-12510028.947084451,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_0,0,0.0,0.0,0.0,0.0,26891.50412322814,muhat_gt_test,True,-12510026.778864471,-12510028.947084451,-12510016.46440724,profiled_lslb1p1,"profiled bkg, lslb=1.1",profiled,1.1,highstat,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/funcform_mod2_highstat_20260630/runs/highstat/profiled_lslb1p1/2015/injection_extraction/inj_extract_toys_2015.csv,2.089857033601923,2.0062295668387895,1.7165946770464202,0.7165946770464202,1.0286751660873432,1.0142362476698135,3.051911532836597e-05,0.005524410858034182,5.0199477539213026e-05,0.007085158963581059,0.00020298517504984163,0.014247286585516612,6.378058782829387e-05
2015,0.06,0,0,44819.17353871357,5.0,8963.834707742713,9562.86591203063,8963.834707742713,matched_refit_bonly,1.0,,91763142.85714284,302134385.5336591,0.0031009167287268,0.0503907354085479,resolution_scaled_local,1.1,8.0,0.0554298089494027,0.4031258832683839,0.1494830782802046,0.1633519631925341,21.07117446645456,0.1494830782802046,1.0,0.1494830782802046,1.0,0.9760167185561468,1.0,0.0239832814438531,0.0239832814438531,544,212,332,56,2.25,2.25,default,full,fixed_hist,profiled,65955.21484644208,9329.77696417421,7.069323854118505,2.265439076291925,43720,1063,True,-12684445.269968454,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_0,0,0.0,0.0,0.0,0.0,44819.17353871357,muhat_gt_test,True,-12684442.760968251,-12684445.269968454,-12684420.488048106,profiled_lslb1p1,"profiled bkg, lslb=1.1",profiled,1.1,highstat,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/funcform_mod2_highstat_20260630/runs/highstat/profiled_lslb1p1/2015/injection_extraction/inj_extract_toys_2015.csv,2.265439076291925,2.0693238541185046,1.4715848071020714,0.4715848071020714,1.0408242976764628,1.020207967855801,3.0879560258244197e-05,0.005556938029008799,5.079235668943951e-05,0.0071268756611463,0.000269089968627735,0.016403961979586976,6.995576246773758e-05
