phase,dataset,best_study,comparison_study,mass_GeV,inj_nsigma,pull_mean_delta_alt_minus_best,pull_width_delta_alt_minus_best,eps95_exp_ratio_alt_over_best,eps95_obs_ratio_alt_over_best,sigma_ratio_delta_alt_minus_best
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.075,2.0,-0.11403183422225563,-0.011703863194115094,1.0774874019506906,1.0597906593099602,0.005155468460168899
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.075,3.0,-0.19996529338608293,-0.03638416860511562,1.0802796863412363,1.0511162187440433,0.008449282243185863
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.075,5.0,-0.1434454225748363,-0.051278302244538776,1.0839834464251936,1.06807997417485,0.014152219158521051
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.09,0.0,-0.043924353478567546,2.7857337907333246e-05,1.0699708111104522,1.0347309992042624,0.00039996980729561926
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.09,1.0,-0.060231522343832444,0.013736931801830776,1.0702724230009106,1.052365696289311,0.004438754752778884
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.09,2.0,-0.06696485839026907,0.03940994773086448,1.0720705194986537,1.060685779255141,0.007885400861660008
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.09,3.0,-0.04988604659603479,0.06780538836268968,1.0762730879635534,1.0638758173989853,0.011941665035669402
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.09,5.0,-0.09065526384326247,-0.0037488392209685806,1.0766252567701249,1.0388911635797404,0.01261101952094501
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.105,0.0,0.1139088467792089,-0.008753194171114531,1.0448736064511719,1.0620657723387086,0.0027193973217269907
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.105,1.0,0.061476096561373914,0.04498852846384538,1.0463472095670805,1.0400901669977682,0.0036806375798701385
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.105,2.0,0.10812969018769897,-0.018583424597910847,1.0531231033064734,1.0721038606493916,0.012107479990584036
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.105,3.0,0.04898897267642449,0.08465205956535382,1.0483332901101488,1.049446313344816,0.014403355840420407
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.105,5.0,-0.0003293825778715731,0.047619952296247825,1.0545403407969707,1.0711869277850496,0.024885951029268938
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.06,0.0,0.8649400756179481,-0.04902905182711004,0.8164830397703866,0.9959309272050612,8.244913794608344e-05
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.06,1.0,0.9145787097795086,-0.007481641633331204,0.8141983124771545,0.9711203014115257,-0.006287689541121022
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.06,2.0,1.0100499162154748,-0.054673575976549094,0.8116448042819849,0.9439619072343642,-0.011762859544240944
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.06,3.0,1.0986415070286177,-0.05232243343224252,0.8079524910574329,0.9192249565546163,-0.01822467199619293
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.06,5.0,1.2264439634346027,-0.1103930843698111,0.8043056132440224,0.8980858690784453,-0.031276178341833605
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.09,0.0,0.09463419634933604,0.06702063299049099,0.8276907647604888,0.8457161124049825,0.0003318205893151349
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.09,1.0,0.13537458375249223,0.06151396750829419,0.8254458331717872,0.8510807749736321,-0.006540841263320107
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.09,2.0,0.24039646009339766,0.0688761039105984,0.8233625569199298,0.8659506668924731,-0.012012525229545545
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.09,3.0,0.23075247335061772,0.05703038851771469,0.821871595442648,0.8617675563903777,-0.017760339585155327
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.09,5.0,0.4551452022586486,0.08660844303917503,0.8172986828887459,0.8586090303498526,-0.029777178836911
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.105,0.0,0.17212711666330627,-0.05978545873695318,0.8310081404028025,0.8472210982657297,0.0002064996132516983
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.105,1.0,0.23748854505262967,-0.08608947022251201,0.8280505653657706,0.9406697817084642,-0.005925337450272128
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.105,2.0,0.2854460310647685,-0.06431647820942932,0.8256998511847513,0.9071008671045223,-0.014228940723461703
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.105,3.0,0.28250808372455616,-0.04387051705286704,0.8219154991558727,0.8991791389882596,-0.02170600240281595
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.105,5.0,0.40897185104861256,-0.07435328378654438,0.8186592444195082,0.8905072970435324,-0.03655566267943522
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.12,0.0,-0.060032517879578334,-0.05802275221022646,0.8392074520146597,0.8313178662494407,0.0003122760853736528
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.12,1.0,0.022211468337839685,-0.09004085746646384,0.835658433212297,0.8466204362386028,-0.006663654257771379
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.12,2.0,0.04793644801747674,-0.07025886343484677,0.8332675694536179,0.8338203392149975,-0.014811477617774127
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.12,3.0,0.02614263277673659,-0.08058456543256387,0.8271690870804631,0.8596509893665643,-0.024596325954363563
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.12,5.0,0.18698597353694854,-0.11769534848508278,0.8257826627841417,0.8466325777010753,-0.037347506984044765
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.15,0.0,0.11880637547364913,-0.03467946030872493,0.8561311658659715,0.8448564044252573,0.0006322078661420427
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.15,1.0,0.1691110280078423,-0.016689284747754884,0.8512701439439029,0.9005288056490356,-0.010517386927598738
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.15,2.0,0.1922263960532177,-0.037184731061031706,0.8518069545736073,0.877947380635074,-0.017531498817943136
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.15,3.0,0.2573899935736985,0.015456126047869834,0.8481428509473325,0.8746456788864022,-0.025367692183210222
highstat,2016,profiled_lslb0p9,profiled_lslb1p1,0.15,5.0,0.2074110546563943,-0.10983455486215321,0.8445561410506933,0.8676163091301582,-0.04727077594980811
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.06,0.0,-0.13631606457944934,-0.053259247160350465,1.2111749343804221,1.1762600922920494,-4.343946968887735e-05
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.06,1.0,-0.14114216307002014,-0.0639103302356232,1.2135864485167362,1.1479578225012352,0.004667824990209901
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.06,2.0,-0.11726704204138295,-0.0480348962159548,1.2168255890423634,1.1998756441064342,0.008622746710690299
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.06,3.0,-0.11553523657576781,-0.0566726098810556,1.2177558846138337,1.1904140197603037,0.012903519485355952
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.06,5.0,-0.1543511866956718,-0.03528710041848959,1.2238510710745638,1.200587341994974,0.02113158755938671
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.09,0.0,0.04914145001708131,-0.05250836225474875,1.1866951984095964,1.2258178767958876,0.0011041686399697603
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.09,1.0,0.04518980413852772,-0.03413451408543189,1.1890223033735172,1.2441137807818359,0.00545077426279561
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.09,2.0,0.043974591086654496,-0.0977988998391206,1.1917931768344738,1.221387402121671,0.008865122844654127
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.09,3.0,0.041903492885930926,-0.042346953409276966,1.1924621622805687,1.1871144729796832,0.013453316729244769
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.09,5.0,0.017585360993061044,-0.013009731811180703,1.1998384515930283,1.2135396151751947,0.024274339678935997
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.105,0.0,0.0711362192913112,0.020244449160196964,1.1759276528222111,1.1812121366077828,0.001814745343098556
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.105,1.0,0.08481725956146091,0.022563968747233654,1.1783352162238356,1.1859487074762027,0.005879273248204697
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.105,2.0,0.10229585274842679,0.04256989860968008,1.1819215004761539,1.1694509537447426,0.009777910144059376
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.105,3.0,0.12209018024595941,0.10471674094699512,1.185320363196309,1.2106019399847774,0.014171117707653336
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.105,5.0,0.07514173766694393,-0.026527342117219632,1.1876288311183387,1.1855986628398327,0.023244673775597358
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.15,0.0,-0.021233991010301934,-0.05283116491941442,1.1519336374295412,1.1691542973296314,0.0008016232263734491
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.15,1.0,0.007195964149954312,-0.06667114443205457,1.1555465847164696,1.1800076973016114,0.00591483702417861
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.15,2.0,-0.07396165891237004,-0.12472593566693402,1.157849087879011,1.1843956021441193,0.012803903668830774
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.15,3.0,0.03688413767192999,-0.07699884938643387,1.1603562308465027,1.1913870804585411,0.02064418810356572
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.15,5.0,0.06853957156362007,-0.20012020586643864,1.1702224436133386,1.174888326347825,0.035049672109491725
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.22,0.0,-0.03793501357402389,-0.10762384245121936,1.11662810235908,1.1240961743591884,0.00287646117965501
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.22,1.0,-0.05623108264275872,-0.13646102319774767,1.122121618458006,1.0945742592902612,0.013351980105986927
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.22,2.0,-0.0620247210448073,-0.10800196948854979,1.1213172080212477,1.0806272544373032,0.016319621159567532
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.22,3.0,-0.01447233026270852,-0.07816163356275241,1.1213189721193573,1.0969510002527212,0.026741793262714753
highstat,2021,profiled_lslb1p1,profiled_lslb0p9,0.22,5.0,-0.10213793187485021,-0.21140795522914446,1.1316303150100044,1.1114960746956535,0.04154061784208407
