phase,dataset,best_study,comparison_study,mass_GeV,inj_nsigma,pull_mean_delta_alt_minus_best,pull_width_delta_alt_minus_best,eps95_exp_ratio_alt_over_best,eps95_obs_ratio_alt_over_best,sigma_ratio_delta_alt_minus_best
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.045,0.0,-0.1306681478618733,0.03531146264430385,1.0985365407275618,1.0939564688479737,-0.000681213296686356
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.045,1.0,-0.16814530226112,0.056875527785671176,1.0990506430450506,1.042649088366563,0.0012013756448354673
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.045,2.0,-0.20758902692123488,0.023562111060373092,1.099808311857453,1.061405629097449,0.003765525253335289
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.045,3.0,-0.2281734043744707,0.054884693619910774,1.100925064648225,1.0504705300937542,0.004614374653040043
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.045,5.0,-0.27936270161634474,0.044747578092365625,1.1036990043222812,1.0625373263559694,0.009290716512942998
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.06,0.0,0.01927268651190084,-0.06559897676556203,1.0861633156524741,1.089334406517835,0.000340750528523448
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.06,1.0,-0.02265169990569238,-0.07312949376718081,1.0874843226145159,1.0872188962412996,0.0024691850021749673
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.06,2.0,-0.01958302843386056,-0.0921144574275018,1.0894222586834335,1.0853764056324957,0.004824097878448397
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.06,3.0,-0.06430832533145303,-0.0015972162129094247,1.0896069443255156,1.0728627941666378,0.007262431244177581
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.06,5.0,-0.06020054858534507,-0.05622582508514151,1.0937823258621486,1.080554793421604,0.012670733127514655
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.075,0.0,-0.0746469247167571,-0.03471853750163634,1.0759642255420472,1.081771000746346,0.000244861179771072
highstat,2015,profiled_lslb1p1,profiled_lslb1p0,0.075,1.0,-0.09600723404446632,-0.054503940210810176,1.0771357748758186,1.0593861923114047,0.0028812937120612503
