phase,dataset,study,study_label,mode,lslb,n_groups,n_nonzero_groups,n_toy_rows,n_source_toys_median,rms_pull_mean_nonzero,median_abs_pull_mean_nonzero,pull_width_median_nonzero,pull_width_rmse_nonzero,cov1_abs_resid_mean_all,cov2_abs_resid_mean_all,sigma_ratio_median_all,eps_width_ratio_median_all,eps_95_exp_proxy_median_nonzero,eps_95_obs_proxy_median_nonzero,success_rate_min,refit_ok_rate_min,fallback_rate_max,score_lower_is_better,rank_within_dataset
pilot,2021,profiled_lslb1p1,"profiled bkg, lslb=1.1",profiled,1.1,15,12,375,25.0,0.3034213553469285,0.24815276544069065,0.8272350140671216,0.18798456662758228,0.08566000000000006,0.026833333333333303,1.0150441876785234,1.0074940137184556,0.006857580797912166,0.012572737553073057,1.0,1.0,0.0,0.20259597739970506,1.0
pilot,2021,profiled_lslb0p9,"profiled bkg, lslb=0.9",profiled,0.9,15,12,375,25.0,0.34486015098543765,0.21963460742191582,0.8533296378930937,0.19965203316053154,0.08976666666666668,0.018833333333333296,1.0227601199316347,1.0113160336569547,0.008116793364581949,0.015155138594255007,1.0,1.0,0.0,0.21284264773339576,2.0
pilot,2021,profiled_lslb1p0,"profiled bkg, lslb=1",profiled,1.0,15,12,375,25.0,0.3504499912716524,0.2225022795188284,0.829749179522407,0.2062041357018167,0.08868666666666672,0.02876666666666664,1.0194193134284153,1.0096629702174955,0.007401719648406239,0.013667695966475555,1.0,1.0,0.0,0.21689878621546968,3.0
