phase,dataset,best_study,comparison_study,mass_GeV,inj_nsigma,pull_mean_delta_alt_minus_best,pull_width_delta_alt_minus_best,eps95_exp_ratio_alt_over_best,eps95_obs_ratio_alt_over_best,sigma_ratio_delta_alt_minus_best
pilot,2021,profiled_lslb1p1,profiled_lslb0p9,0.06,0.0,-0.13631606457944934,-0.053259247160350465,1.2111749343804221,1.1762600922920494,-4.343946968887735e-05
pilot,2021,profiled_lslb1p1,profiled_lslb0p9,0.06,1.0,-0.14114216307002014,-0.0639103302356232,1.2135864485167362,1.1479578225012352,0.004667824990209901
pilot,2021,profiled_lslb1p1,profiled_lslb0p9,0.06,2.0,-0.11726704204138295,-0.0480348962159548,1.2168255890423634,1.1998756441064342,0.008622746710690299
pilot,2021,profiled_lslb1p1,profiled_lslb0p9,0.06,3.0,-0.11553523657576781,-0.0566726098810556,1.2177558846138337,1.1904140197603037,0.012903519485355952
pilot,2021,profiled_lslb1p1,profiled_lslb0p9,0.06,5.0,-0.1543511866956718,-0.03528710041848959,1.2238510710745638,1.200587341994974,0.02113158755938671
pilot,2021,profiled_lslb1p1,profiled_lslb0p9,0.105,0.0,0.0711362192913112,0.020244449160196964,1.1759276528222111,1.1812121366077828,0.001814745343098556
pilot,2021,profiled_lslb1p1,profiled_lslb0p9,0.105,1.0,0.08481725956146091,0.022563968747233654,1.1783352162238356,1.1859487074762027,0.005879273248204697
pilot,2021,profiled_lslb1p1,profiled_lslb0p9,0.105,2.0,0.10229585274842679,0.04256989860968008,1.1819215004761539,1.1694509537447426,0.009777910144059376
pilot,2021,profiled_lslb1p1,profiled_lslb0p9,0.105,3.0,0.12209018024595941,0.10471674094699512,1.185320363196309,1.2106019399847774,0.014171117707653336
pilot,2021,profiled_lslb1p1,profiled_lslb0p9,0.105,5.0,0.07514173766694393,-0.026527342117219632,1.1876288311183387,1.1855986628398327,0.023244673775597358
pilot,2021,profiled_lslb1p1,profiled_lslb0p9,0.18,0.0,0.08113427487623742,-0.04998077214186547,1.1398906680058558,1.20759859303364,-0.0003751689675843828
pilot,2021,profiled_lslb1p1,profiled_lslb0p9,0.18,1.0,0.06424471478344487,-0.08933935480410171,1.1431165970222206,1.1718951660815162,0.0058029412405065095
pilot,2021,profiled_lslb1p1,profiled_lslb0p9,0.18,2.0,0.10836987500930094,-0.03324106010392436,1.1418811332758712,1.1573342899301842,0.014286287936383424
pilot,2021,profiled_lslb1p1,profiled_lslb0p9,0.18,3.0,0.20197965201157608,-0.028798105998532275,1.1496823150961808,1.195542942480388,0.023470577798465397
pilot,2021,profiled_lslb1p1,profiled_lslb0p9,0.18,5.0,0.14538924864757,-0.037366447063522545,1.1552299076127484,1.1570956109276633,0.03302103059389694
pilot,2021,profiled_lslb1p1,profiled_lslb1p0,0.06,0.0,-0.06439627684229415,-0.03680844314387821,1.0901697263191537,1.0862427924260476,-2.8114524672995245e-05
pilot,2021,profiled_lslb1p1,profiled_lslb1p0,0.06,1.0,-0.07513764010889992,-0.027528774536690337,1.0909433031564517,1.0842989487880064,0.0012725437876974777
pilot,2021,profiled_lslb1p1,profiled_lslb1p0,0.06,2.0,-0.019276064310582097,-0.021314886543648215,1.0916959707793688,1.1129065607010113,0.003189037983125642
pilot,2021,profiled_lslb1p1,profiled_lslb1p0,0.06,3.0,-0.025150560147143564,-0.03577119613182167,1.09248868464302,1.077496666511943,0.0043751257498918505
pilot,2021,profiled_lslb1p1,profiled_lslb1p0,0.06,5.0,-0.08620822505252976,-0.10356341611658937,1.0941314648745928,1.0844777465902438,0.008301937511870472
pilot,2021,profiled_lslb1p1,profiled_lslb1p0,0.105,0.0,0.05406290557922988,-0.00986722439903076,1.076870963210288,1.0930089173570758,0.0004960543853120836
pilot,2021,profiled_lslb1p1,profiled_lslb1p0,0.105,1.0,0.061366269801232054,0.011958014042639409,1.077603402670765,1.0785058239296357,0.0027433323027488132
pilot,2021,profiled_lslb1p1,profiled_lslb1p0,0.105,2.0,0.12791120565102565,0.004368531219201555,1.0786532556132538,1.0839863121799094,0.0034458252782318954
pilot,2021,profiled_lslb1p1,profiled_lslb1p0,0.105,3.0,0.11411351305533435,0.07149635327904347,1.0800417256256978,1.0899168642531953,0.005988372794081709
pilot,2021,profiled_lslb1p1,profiled_lslb1p0,0.105,5.0,0.07640582899715237,-0.0479561192026593,1.0816800048743165,1.0929834924894588,0.009144757732676645
pilot,2021,profiled_lslb1p1,profiled_lslb1p0,0.18,0.0,0.036287971149133125,-0.01682533692656185,1.06315236461682,1.0918015124642377,-0.0006506156865975221
pilot,2021,profiled_lslb1p1,profiled_lslb1p0,0.18,1.0,0.027871060865317404,-0.029212920493936423,1.0672859910907266,1.0810238419389395,0.003997380824993568
pilot,2021,profiled_lslb1p1,profiled_lslb1p0,0.18,2.0,0.1322394033876837,-0.011986234426438314,1.064835340536577,1.0628291350528993,0.005402737550323167
pilot,2021,profiled_lslb1p1,profiled_lslb1p0,0.18,3.0,0.12789010089085823,0.03361129026100396,1.0641549263188474,1.081728074172339,0.010371116320181395
pilot,2021,profiled_lslb1p1,profiled_lslb1p0,0.18,5.0,0.05329956573888235,0.014501125841481444,1.068746169881545,1.0853465779970055,0.010421479586057547
