scenario,mass_GeV,mass_MeV,inj_nsigma,n_generated,raw_n,raw_pull_mean,raw_pull_width,raw_pull_median,raw_pull_mad_scaled,raw_pull_trimmed_mean_10pct,raw_pull_mean_ci90_low,raw_pull_mean_ci90_high,raw_pull_width_ci90_low,raw_pull_width_ci90_high,raw_max_leave_one_out_mean_change,accepted_n,accepted_pull_mean,accepted_pull_width,accepted_pull_median,accepted_pull_mad_scaled,accepted_pull_trimmed_mean_10pct,accepted_pull_mean_ci90_low,accepted_pull_mean_ci90_high,accepted_pull_width_ci90_low,accepted_pull_width_ci90_high,accepted_max_leave_one_out_mean_change,n_excluded,sample_size_eligible,accepted_nominal_Z_residual_mean,accepted_upper_boundary_fraction,accepted_lower_boundary_fraction,accepted_constant_lower_boundary_fraction,accepted_constant_upper_boundary_fraction,accepted_pull_identity_max_abs_residual,accepted_ls_at_lower_fraction,accepted_ls_at_upper_fraction,accepted_const_at_lower_fraction,accepted_const_at_upper_fraction,accepted_min_y_train,accepted_max_y_train,accepted_max_n_zero_train,accepted_median_recovery,accepted_recovery_q16,accepted_recovery_q84
2021_10pct,0.065,65.0,0.0,20,20,-1.3267307155839163,1.2233997046153475,-1.1983601026064123,0.837670286932994,-1.2827388145561063,-1.799753135327447,-0.8537082958403858,0.9712882547862661,1.6765596757262442,0.15028776632594054,20,-1.3267202137434164,1.2233973815090342,-1.1983429202692877,0.8376517533673824,-1.282723446667889,-1.7997417352675298,-0.8536986922193031,0.9712864104128629,1.6765564921171976,0.15028831905438733,0,True,-1.3267202137434164,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,4267.0,1158680.0,0,,,
2021_10pct,0.065,65.0,1.0,20,20,-1.3469338603301757,1.229897522855833,-1.2137328215520986,0.8501583445872929,-1.3047588645502584,-1.822468634536089,-0.8713990861242624,0.9764470385548987,1.685464353405255,0.15114899681847338,20,-1.3469338702186469,1.2298975162197905,-1.2137328215520986,0.8501581979806,-1.3047588769108474,-1.822468641858762,-0.8713990985785318,0.9764470332863752,1.6854643443111532,0.15114899629802747,0,True,-1.3470971405172654,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,4267.0,1158680.0,0,-0.21386011374304403,-1.1883050191881688,0.43086766454031494
2021_10pct,0.065,65.0,3.0,20,20,-1.3227839893082103,1.2983127264787393,-1.2167953316110807,1.0573915321984455,-1.2508925317622235,-1.8247712181312583,-0.8207967604851623,1.030763615121862,1.7792212598096329,0.158283232704459,20,-1.402056816437447,1.2355840965417608,-1.2903825199027306,0.8932268214211867,-1.349983565673769,-1.8797902807646834,-0.9243233521102105,0.9809617545633147,1.6932572931116365,0.15411097864502565,0,True,-1.4035555503261463,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,4267.0,1158680.0,0,0.5697391065324312,0.23067277005564027,0.7967559989272778
2021_10pct,0.065,65.0,5.0,20,20,-1.2361778521913418,1.5266117809325004,-1.1441671762603391,0.9718249692319264,-1.2605705778758,-1.8264359631761864,-0.6459197412064972,1.2120160621620282,2.0920846578140893,0.203738224634876,20,-1.4343760965726475,1.2251416545684328,-1.280457951132333,0.8599804037706712,-1.383714533076365,-1.9080720340379593,-0.9606801591073356,0.9726712333201618,1.6789468620541945,0.15102295623529471,0,True,-1.4386153113533846,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,4267.0,1158680.0,0,0.7437535713278514,0.5423292273222832,0.8775506539605091
2021_10pct,0.09,90.0,0.0,20,20,-0.060879402047898726,0.9341824379634678,0.0850830109510757,0.9485823915444284,0.01551400478304954,-0.4220771656408904,0.30031836154509295,0.7416712840443277,1.2802133263172735,0.11352214321797041,20,-0.06087450352576462,0.9341874828468912,0.0850888055374294,0.9485921746915749,0.015528855973566034,-0.4220742177020001,0.30032521065047085,0.7416752893060565,1.280220239877972,0.11352240103492482,0,True,-0.06087450352576462,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4267.0,1158680.0,0,,,
2021_10pct,0.09,90.0,1.0,20,20,-0.08310799707566753,0.9239189030816134,0.057972638303367005,0.923013842112152,-0.007051359720037453,-0.4403374074913439,0.2741214133400089,0.7335228017079937,1.266148071398206,0.1126464318780859,20,-0.08312069093038069,0.9239127763748218,0.0579761937897916,0.9230434718020027,-0.007064751171845948,-0.4403477324802967,0.27410635061953526,0.7335179375590777,1.2661396752955154,0.11264569067332308,0,True,-0.08324235153780205,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4267.0,1158680.0,0,1.0579829671004721,0.29926919837191807,1.8651131769893292
2021_10pct,0.09,90.0,3.0,20,20,-0.0807172296043885,0.9558985272871156,0.01077345138001375,1.0093542762940124,0.0009673224025917859,-0.4503114290314629,0.2888769698226859,0.7589122416973134,1.3099732809233966,0.11531768503176873,20,-0.11179997226103158,0.9343352486930547,0.0107961875908926,0.936327267500217,-0.03788183036838744,-0.47305681948858624,0.2494568749665231,0.7417926043832922,1.2804227397299768,0.11368923598983874,0,True,-0.11290674235729532,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4267.0,1158680.0,0,1.0036000090675616,0.7696911939245522,1.289182487267085
2021_10pct,0.09,90.0,5.0,20,20,-0.16229717029989627,0.9260864605040622,-0.021932989183872702,0.8979870464300542,-0.08858221697826844,-0.5203646577994822,0.19577031719968963,0.7352436808761484,1.269118514627503,0.11055479904030557,20,-0.16229448578808564,0.9260891058153862,-0.02200145704079905,0.8979083030676623,-0.0885906070910803,-0.5203629960863192,0.19577402451014791,0.7352457810563345,1.2691221397896466,0.11055494033040089,0,True,-0.16536178588087905,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4267.0,1158680.0,0,0.9955971003718982,0.8414392010236715,1.1555245011418014
2021_10pct,0.12,120.0,0.0,20,20,-0.3618236577961106,0.6880788709780558,-0.33812626976141374,0.568231951427841,-0.33885234670113806,-0.6278664983302029,-0.09578081726201831,0.546283380015781,0.942950439213779,0.08805930979659143,20,-0.3618216753625928,0.6880786264727292,-0.3381114766787149,0.5682395060732889,-0.33885286236518114,-0.6278644213597151,-0.09577892936547056,0.5462831858967608,0.9429501041411372,0.08805941413519774,0,True,-0.3618216753625928,0.95,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,4267.0,1158680.0,0,,,
2021_10pct,0.12,120.0,1.0,20,20,-0.3697966248290028,0.6869755730132484,-0.32711401438463467,0.5997207458731294,-0.34479227545795693,-0.6354128797827303,-0.10418036987527518,0.545407443598023,0.9414384682110654,0.08719994064214154,20,-0.37450211237367964,0.6863781541550977,-0.3634342012243281,0.5533907012393771,-0.3506760285718353,-0.6398873778046725,-0.1091168469426867,0.544933137516437,0.9406197591960842,0.08695124183776282,0,True,-0.3746189453291847,0.95,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,4267.0,1158680.0,0,0.6365094831387356,0.20223548323557217,1.2024213869591913
