scenario,background_toy_index,mass_GeV,inj_nsigma,strength,role,attempt,optimizer_seed,optimizer_restarts,fit_ok,refit_fallback_used,error,gp_lml,gp_ls,gp_const,gp_const_lo,gp_const_hi,gp_ls_lo,gp_ls_hi,gp_ls_init,gp_const_init,sigma_A,sigmaA_reference,A_hat,Zhat,pull,amplitude_nll,n_blind,integral_density,A_per_eps2_unit,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,n_zero_train,min_y_train,max_y_train,training_counts_sha256,ls_at_lower,ls_at_upper,const_at_lower,const_at_upper,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative
2021_10pct,-1,0.065,0.0,0.0,reference_bonly,0,2974518411,12,True,False,,1845.2078020304918,0.4143028888165573,115.77762853617146,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,5736.486598818726,5738.0877086700775,-6736.258972972612,-1.174283048854287,-1.174283048854287,-196527977.81022426,16,1548353109.452468,3099298779.2062125,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,4417.199496517762,1156661.8724927919,18c73080d40712450d2684be1a7264298f9d946ae67144b9b0f9981da5e085e8,False,False,False,False,True,-0.390571318428151,-1.4009220737989326e-06
2021_10pct,-1,0.065,0.0,0.0,reference_bonly,1,3938925134,12,True,False,,1845.207801916272,0.41430606559391225,115.79800953160661,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,5736.483877234999,5738.084951070485,-6736.10873364696,-1.174257415832533,-1.174257415832533,-196527977.81023878,16,1548353109.452468,3099298779.2062125,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,4417.199496517762,1156661.8724927919,18c73080d40712450d2684be1a7264298f9d946ae67144b9b0f9981da5e085e8,False,False,False,False,True,-0.414844015622958,-1.4879873168455836e-06
2021_10pct,-1,0.065,0.0,0.0,reference_bonly,2,3556428660,12,True,False,,1845.2078019345292,0.41430049105015,115.77692769305926,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,5736.5037600327605,5738.1048575390605,-6736.180557328416,-1.1742658663035457,-1.1742658663035457,-196527977.8102302,16,1548353109.452468,3099298779.2062125,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,4417.199496517762,1156661.8724927919,18c73080d40712450d2684be1a7264298f9d946ae67144b9b0f9981da5e085e8,False,False,False,False,True,-0.4015102468831048,-1.4401393588117939e-06
2021_10pct,-1,0.09,0.0,0.0,reference_bonly,0,3534439122,12,True,False,,1830.9047985457487,0.39802022814265037,85.75652311796803,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,5586.273355392341,5586.851354984974,-2910.0369644604984,-0.5209263455844827,-0.5209263455844827,-248280831.35332435,18,1715348006.0543957,4754171337.8311,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.39802022814265037. Increasing the bound and calling fit again may find a better value.,398,71,327,0.04,0.3,0.0006250000000000006,0,4417.199496517762,1156661.8724927919,fb8ee6183c71050e50202df4529e3905897dca5a6c3589f9fa04d1a9f13364af,False,True,False,False,True,-0.468571313461491,-3.356249595198653e-06
2021_10pct,-1,0.09,0.0,0.0,reference_bonly,1,235926540,12,True,False,,1830.9047985610969,0.39802022814265037,85.75002261965062,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,5586.267429049704,5586.845445758418,-2910.1299520697307,-0.5209435439729353,-0.5209435439729353,-248280831.3533214,18,1715348006.0543957,4754171337.8311,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.39802022814265037. Increasing the bound and calling fit again may find a better value.,398,71,327,0.04,0.3,0.0006250000000000006,0,4417.199496517762,1156661.8724927919,fb8ee6183c71050e50202df4529e3905897dca5a6c3589f9fa04d1a9f13364af,False,True,False,False,True,-0.4250480293929039,-3.0445195558511916e-06
2021_10pct,-1,0.09,0.0,0.0,reference_bonly,2,1229669303,12,True,False,,1830.9047984433173,0.39802022814265037,85.75242739738843,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,5586.269793717645,5586.847804077461,-2910.0957258928665,-0.5209371966183192,-0.5209371966183192,-248280831.35332254,18,1715348006.0543957,4754171337.8311,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.39802022814265037. Increasing the bound and calling fit again may find a better value.,398,71,327,0.04,0.3,0.0006250000000000006,0,4417.199496517762,1156661.8724927919,fb8ee6183c71050e50202df4529e3905897dca5a6c3589f9fa04d1a9f13364af,False,True,False,False,True,-0.4387597240988273,-3.14272674911533e-06
2021_10pct,-1,0.12,0.0,0.0,reference_bonly,0,2031275074,12,True,False,,1809.9119524058524,0.3606116126040492,55.38002804943066,1e-08,1e+18,0.026444851590963617,0.3606116126040493,0.09765408633176671,1.0,4566.731687868486,4566.9680981144775,-979.9063578492962,-0.2145749793999099,-0.2145749793999099,-170857300.95925495,22,1004523258.0192318,3712114132.412231,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.3606116126040493. Increasing the bound and calling fit again may find a better value.,394,117,277,0.04,0.3,0.0006250000000000006,0,4417.199496517762,1156661.8724927919,b3f07f22fd8d0a40280e1069d4c975f82c46ad32dae449dfd8226d569b2584fd,False,True,False,False,True,-0.09263155624683792,-1.4937305016527179e-06
2021_10pct,-1,0.12,0.0,0.0,reference_bonly,1,80297678,12,True,False,,1809.911952365418,0.3606116126040492,55.382388564183856,1e-08,1e+18,0.026444851590963617,0.3606116126040493,0.09765408633176671,1.0,4566.733949097405,4566.970348733237,-979.8604645902464,-0.21456482368190324,-0.21456482368190324,-170857300.9592565,22,1004523258.0192318,3712114132.412231,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.3606116126040493. Increasing the bound and calling fit again may find a better value.,394,117,277,0.04,0.3,0.0006250000000000006,0,4417.199496517762,1156661.8724927919,b3f07f22fd8d0a40280e1069d4c975f82c46ad32dae449dfd8226d569b2584fd,False,True,False,False,True,-0.097643570343861,-1.5745477523051893e-06
2021_10pct,-1,0.12,0.0,0.0,reference_bonly,2,2477995397,12,True,False,,1809.9119523726358,0.3606116126040492,55.38004957382682,1e-08,1e+18,0.026444851590963617,0.3606116126040493,0.09765408633176671,1.0,4566.73170325203,4566.968113406647,-979.9059590506765,-0.21457489135016902,-0.21457489135016902,-170857300.95925498,22,1004523258.0192318,3712114132.412231,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.3606116126040493. Increasing the bound and calling fit again may find a better value.,394,117,277,0.04,0.3,0.0006250000000000006,0,4417.199496517762,1156661.8724927919,b3f07f22fd8d0a40280e1069d4c975f82c46ad32dae449dfd8226d569b2584fd,False,True,False,False,True,-0.07973234542575394,-1.2857243614853382e-06
2021_10pct,-1,0.18,0.0,0.0,reference_bonly,0,2220183195,12,True,False,,1777.0514701559227,0.36088211163409106,55.858448598934366,1e-08,1e+18,0.02646468818650001,0.360882111634091,0.09772733781538258,1.0,2586.0909006538327,2585.9062983193985,463.822973169403,0.17935292725098573,0.17935292725098573,-46926998.15760655,32,215435866.3868975,1194182192.1876762,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.360882111634091. Increasing the bound and calling fit again may find a better value.,384,208,176,0.04,0.3,0.0006250000000000006,0,4417.199496517762,1156661.8724927919,8f97df39e70c0807b0b910cd6a4fb41f52d2208f273d9baff7a1f4ca07121f36,False,True,False,False,True,-0.005218972854788232,-5.652755408352505e-07
