scenario,toy_index,status,accepted_rows,raw_primary_rows,excluded_rows,success_marker_sha256
2021_10pct,3,pass,20,20,0,ea515924aec2d28b64a0a5c660fe86c249be3218d8ef152e342024f27b628fcf
2021_10pct,4,pass,20,20,0,c5e23e8755dc82d4afb8e6d10943f8624be4dd977298841ba693eb4b2634f85c
2021_10pct,5,pass,20,20,0,6dac8e190568343105d77efffadee46586329645f263ba1613616e9a4b304254
2021_10pct,6,pass,20,20,0,a8b8a3c88421cd1688d916602543bb9790ab38ed72e0929b10d3d236a2c3e9d6
2021_10pct,7,pass,20,20,0,57e9c6a1189be2e637d33e56c7ab1cf4ec39ae113bd03f96a2c552b3b3f7b048
2021_10pct,8,pass,20,20,0,12c1c3f160d16810e38db0074de9c2b8e04a5199ea8c968f65f2a020ebc63232
2021_10pct,9,pass,20,20,0,2b30a79e6ecaebcc8cc4102d689045448e0d40f831c6cfeeac8cbcc94e26ab91
2021_10pct,10,pass,20,20,0,458e48ff69ec1b8555c853684462f0a434256674e8d53da8d9b9ec80bd8d6fee
2021_10pct,11,pass,20,20,0,02441c092376485c141ba388609c5e92d378fb958b9210571c9ff28a5b155cf2
2021_10pct,12,pass,20,20,0,0e2d2ca27a50b4d5fa3df9a9aa12ef21e9bae2b23d5248bf1cb2d61d02d4f43a
2021_10pct,13,pass,20,20,0,3d486ae4f08c7fbf012ace751440641549d5daeb424ec187325b177965df1a79
2021_10pct,14,pass,20,20,0,6c46430c0d6d29e0c30d349fbed8857d16dc7a80cccfebd4f67baa98e8b2e57b
2021_10pct,15,pass,20,20,0,68b768734aef0096dc66b0dc910d702e78f9897ccadc4d512c252750946123aa
2021_10pct,16,pass,20,20,0,f059a9e140fc15926112602e5bed45c8101a09762b8cb60ae022d60e0c5ef444
2021_10pct,17,pass,20,20,0,2319e3f0e17b10dc6b2cc03b6b44e28e21ddb8b0d0dce97c28e94b555db9a055
2021_10pct,18,pass,20,20,0,ed96726b1953c1aaf7ec5eeb7a3a545f9b8ef6533b0682876ac4ff91870539de
2021_10pct,19,pass,20,20,0,bd7b0fe68cb50423d068e841fdaf81990048a9cd27d953ce788f4698d4c6ab96
2021_10pct_x10,0,pass,20,20,0,56110e8ed5d0505233dbe7d51c60828701ab27a2ab9a20738b32a10aa6bbb805
2021_10pct_x10,1,pass,20,20,0,3f1f1c2d66d6f97ceb5a2940fdcc317dde1245b27d961f9162a027f42bf32fe7
2021_10pct_x10,2,pass,20,20,0,0be451cd186a1c39ebbd5362c3c84d2b5c327bb01517b7da4f584b77ebf823e2
2021_10pct_x10,3,pass,20,20,0,7a246f6d2604b01bcb4808e1e56ef999c11e3e5ff1876cd34e011ef310c53f45
2021_10pct_x10,4,pass,20,20,0,6c1238f5cf327fd1823a566e4f5a30d5a0638362463820f8867ac8d095cfc28a
2021_10pct_x10,5,pass,20,20,0,0b7c04377118aa210843b4fa2a7a560d349a0336a046d859847176df980f6f79
2021_10pct_x10,6,pass,20,20,0,939c0f98256ac965de3cc2db042e323981296399814495e938c5b31ad5f2b0d9
2021_10pct_x10,7,pass,20,20,0,10e0d9b713f68143bb63bc0cdf702b0fbe7a33843f6ceb62d14f59f22fb6ca44
2021_10pct_x10,8,pass,20,20,0,dc7789f3a5f4e22c0bfb8f9dd2ce1f83d4947e1af2a02418cc2b58225b53622a
2021_10pct_x10,9,pass,20,20,0,640f4e4c4e3bac760abcf827b63efa5f95a3750fb4bdc9a8c1c82515da719deb
2021_10pct_x10,10,pass,20,20,0,67595444dc1bfdedf3d5327b70f0b4f2738ef0a6ec0776862b296e98a63e716a
2021_10pct_x10,11,pass,20,20,0,250bda1f3e0d72502a02f82d0b25197ad79880408b4622d44cc2843d5b3b53c7
2021_10pct_x10,12,pass,19,20,1,506f547a6a4c20c8e96ece958e58efaa94bb123ba06b1bc4804983f641003d4e
2021_10pct_x10,13,pass,20,20,0,21a30373f9acc6213812339b6c7263c5ea360cb80efa3bfee65c027d383739a5
2021_10pct_x10,14,pass,20,20,0,53ba6d306da6e5adb00afa8859177b7472c962b2f327632735ee71113c14218b
2021_10pct_x10,15,pass,20,20,0,3931a796bc4bdb454189685ddaedb1d608970d9fa71b7ffe5185abf92d364b7f
2021_10pct_x10,16,pass,20,20,0,b0ef6eee6bbe59af52f7687c4e6b3077670a6e5e5d0b50de3392d7ca59de3c24
2021_10pct_x10,17,pass,20,20,0,90e6c0e30b9aeab5845a4a2bb91f95438fe276af504b0d3b36d59957eeb0cbec
2021_10pct_x10,18,pass,20,20,0,c6b2855ae165a5cccd8a465a6752291b3123cf16c854a7a3e20cf2cd7dfa6f11
2021_10pct_x10,19,pass,20,20,0,bac4d3b5537563f559245c827c9a0f09a15eeccb3c11bc99c20e4907dfab92ff
