dataset,mass_MeV,rank,sigma_MeV,low_MeV,high_MeV,n_bins,observed_original,observed_gp_fill,observed_poly_fill,reference_original,reference_gp_fill
2015,51,1,2.6219449739355,45.0,56.99999999999999,48,2869109.0,2851014.3655067915,2873183.8064950006,2824854.8646141514,2823071.4043083885
2015,21,2,1.0253724579645,18.75,23.25,18,2111754.0,2105448.2682713587,2087533.9004009066,2137774.060760738,2140057.384132545
