truth_model,study_scenario,factor,mass_mev,anchor_nsigma,injection_rows,injection_toys,sigma_A_over_anchor_median,sigmaA_ref_over_anchor_median,Ahat_minus_Ainj_over_anchor_sigma_median,pull_mean,pull_width,refit_ls_ratio_median,refit_ls_ratio_max,refit_bound_rows,Nsig_win_median,Nsig_train_median,refit_bound_row_fraction,response_rows,paired_response_mean,paired_response_median,paired_response_std,paired_response_candidate_prefit_sigma_units_median,paired_response_anchor_prefit_sigma_units_median,paired_response_anchor_fitted_sigma_units_median
gengamma,2021_10pct,6,60,0.0,10,10,1.4560250079470838,1.455514844833755,0.9436257908153457,0.7114017437734783,0.9667780445008253,6.000000000000006,6.000000000000006,10,0.0,0.0,1.0,,,,,,,
gengamma,2021_10pct,6,60,1.0,10,10,1.4560966115928875,1.455514844833755,0.8502210669183492,0.6535525244636069,0.9593321292939981,6.000000000000006,6.000000000000006,10,6706.0,241.5,1.0,10.0,0.9171616228818212,0.9242184551210457,0.029056049660027873,0.6385677730818193,0.9242184551210457,0.9247553140024409
gengamma,2021_10pct,6,60,3.0,10,10,1.4626442464450737,1.455514844833755,0.6987641502857456,0.5401039319823799,0.9500968590559777,6.000000000000006,6.000000000000006,10,19911.5,720.0,1.0,10.0,0.91838680655986,0.9131332302219948,0.013154893696488734,1.8928461289230327,2.7393996906659845,2.756382759347284
gengamma,2021_10pct,6,60,5.0,10,10,1.4558805227713996,1.455514844833755,0.46742306354004615,0.2752150816018828,1.1569044589482862,6.000000000000006,6.000000000000006,9,33197.0,1214.5,0.9,10.0,0.4595886945698321,0.9230694805904591,1.4766793671389848,3.194895543723086,4.615347402952295,4.6149146252347215
gengamma,2021_10pct,6,120,0.0,10,10,1.8124817037081737,1.8125537602622888,-0.32784527384671125,-0.08773901521755058,1.4365663867823466,6.000000000000021,6.000000000000021,10,0.0,0.0,1.0,,,,,,,
gengamma,2021_10pct,6,120,1.0,10,10,1.8123203224516082,1.8125537602622888,-0.39335510870253565,-0.09780061428540916,1.4424021132975744,6.000000000000021,6.000000000000021,10,4968.0,94.0,1.0,10.0,0.9817843283849331,0.9825869048162511,0.03945737447941166,0.5417677496778954,0.9825869048162511,0.9825070567413883
gengamma,2021_10pct,6,120,3.0,10,10,1.8119743007569244,1.8125537602622888,-0.38787565985126204,-0.12224687647168017,1.4324398193191294,6.000000000000021,6.000000000000021,10,14941.5,295.0,1.0,10.0,0.979198426268154,0.9830986007054945,0.009940318500617487,1.624612209251939,2.9492958021164837,2.946105422863627
gengamma,2021_10pct,6,120,5.0,10,10,1.8115620015197549,1.8125537602622888,-0.41612141559092186,-0.1558923508970117,1.421167608986283,6.000000000000021,6.000000000000021,10,24966.0,470.5,1.0,10.0,0.9753147687318693,0.9774726300678107,0.011585467579554472,2.6873010118859826,4.887363150339054,4.881184962979137
gengamma,2021_10pct,6,220,0.0,10,10,1.64977814135804,1.645509094098906,0.9563771137890947,0.13282888577914048,1.2014868813524282,6.000000000000001,6.000000000000001,9,0.0,0.0,0.9,,,,,,,
gengamma,2021_10pct,6,220,1.0,10,10,1.6458327612332238,1.645509094098906,0.9245969903846947,0.09998663409523507,1.1927016469028549,6.000000000000001,6.000000000000001,10,1925.0,42.5,1.0,10.0,0.9651329792246897,0.9552784248672692,0.04351779164779363,0.5805321804235326,0.9552784248672692,0.9554910444184948
