dataset,mass_GeV,mass_MeV,attempt_01_lml,attempt_02_lml,delta_lml_attempt_02_minus_attempt_01,attempt_01_ls_opt_over_sigma_x,attempt_02_ls_opt_over_sigma_x,delta_ls_opt_over_sigma_x_attempt_02_minus_attempt_01,attempt_01_const_opt,attempt_02_const_opt,attempt_01_A_up,attempt_02_A_up,attempt_01_eps2_up,attempt_02_eps2_up,attempt_01_p0_analytic,attempt_02_p0_analytic,abs_delta_lml,material_branch_difference
2016,0.039,39,1627.979563013835,1627.979562892409,-1.2142618288635276e-07,10.033921045036758,10.03388892068932,-3.2124347438156065e-05,76.91903603701246,76.9156619181539,1597.1769188232456,1597.1701917408695,3.144025316624666e-05,3.144012074436497e-05,0.5,0.5,1.2142618288635276e-07,False
2016,0.04,40,1623.6898161902027,1623.689816132775,-5.742776920669712e-08,10.103537921468446,10.103525974916318,-1.1946552127994892e-05,81.19151333595362,81.19832374224127,1508.977316937002,1508.9773557178091,2.3903656312269137e-05,2.390365692659453e-05,0.5,0.5,5.742776920669712e-08,False
2016,0.041,41,1620.1045829803206,1620.1045829038449,-7.647577149327844e-08,9.92634316564176,9.92634010935514,-3.0562866193406535e-06,68.58202600878147,68.58195713923901,1667.5516811814186,1667.5516883206064,2.1886663665650105e-05,2.188666375935215e-05,0.5,0.5,7.647577149327844e-08,False
2016,0.042,42,1609.0487691386572,1609.0487690772368,-6.142045094748028e-08,10.015872123387418,10.015732113963484,-0.00014000942393366245,67.82894563126722,67.82376999948005,2055.57286284654,2055.5643133208955,2.293598647449973e-05,2.293589107928991e-05,0.4999827823003121,0.5,6.142045094748028e-08,False
2016,0.043,43,1608.239588343047,1608.23958818911,-1.5393698049592786e-07,10.20968169647658,10.209691756158977,1.005968239731203e-05,75.55147644626119,75.55027921591075,2317.5663064476603,2317.556897514297,2.2476164931357217e-05,2.247607368186955e-05,0.5,0.5,1.5393698049592786e-07,False
2016,0.044,44,1599.84272145736,1599.842721441689,-1.567104845889844e-08,10.572077139405332,10.572077310506495,1.7110116345975257e-07,99.61135509878405,99.61072953854408,2433.4774868198047,2433.477492159086,2.0894735391218868e-05,2.0894735437063902e-05,0.499975650495596,0.5,1.567104845889844e-08,False
2016,0.045,45,1590.749715546741,1590.7497156600896,1.133485056925565e-07,10.476517800075396,10.476409882183466,-0.00010791789192943213,89.07330550087151,89.0578642668303,2502.5212805400733,2502.542381064608,1.9323368234669425e-05,1.932353116363578e-05,0.5,0.5,1.133485056925565e-07,False
2016,0.046,46,1590.4999341203427,1590.4999340091451,-1.1119755072286353e-07,10.437798086846351,10.437797063697976,-1.0231483749123527e-06,83.98440266639464,83.98425560872997,2827.600202418693,2827.6002011438422,1.987599953997692e-05,1.9875999531015635e-05,0.457533578835806,0.4575334610588315,1.1119755072286353e-07,False
2016,0.047,47,1589.5818142644396,1589.5818142896426,2.5203007680829614e-08,10.384274755538266,10.384309577007256,3.482146899003169e-05,77.42116872508565,77.422857804243,3536.004336589614,3535.9818406566055,2.2876042943647904e-05,2.287589740708161e-05,0.2645857090443775,0.2645907660527956,2.5203007680829614e-08,False
2016,0.048,48,1589.2120285578833,1589.2120286597394,1.0185613064095378e-07,10.429583301766394,10.429580011159242,-3.290607152095504e-06,77.49526812943272,77.49297660148122,4303.137406295061,4303.137403646917,2.5868324210014304e-05,2.5868324194094977e-05,0.1347726155837495,0.134772170335862,1.0185613064095378e-07,False
2016,0.049,49,1583.3921210069188,1583.3921210443891,3.747027221834287e-08,10.547496316373731,10.54766081247097,0.00016449609723778735,81.71701581666619,81.7364283479574,4590.144462562342,4590.01093516408,2.586434870690101e-05,2.5863596312457064e-05,0.1145690748415665,0.1145838394035037,3.747027221834287e-08,False
2016,0.05,50,1583.7474228904553,1583.7474230082994,1.1784413800342008e-07,10.6316917863699,10.63167702580762,-1.4760562280002887e-05,83.5889360422827,83.58902914374887,4398.228766278693,4398.241156693737,2.3390206730855885e-05,2.3390272624283616e-05,0.1480050229602987,0.1480040126261754,1.1784413800342008e-07,False
2016,0.051,51,1583.587048650449,1583.5870487101151,5.96660356677603e-08,10.622305504710727,10.622197953680804,-0.00010755102992376919,80.07972600755237,80.07632926930766,4037.9438490926223,4037.9941877642086,2.038926478079844e-05,2.0389518961773224e-05,0.2169439161205095,0.2169392097948582,5.96660356677603e-08,False
2016,0.052,52,1576.8509102029589,1576.8509101293223,-7.36365564080188e-08,10.671757519719147,10.671817082460072,5.956274092433489e-05,83.87874779301154,83.88486961456849,3068.0335153793526,3068.0203843150193,1.47845710206801e-05,1.4784507743290122e-05,0.5,0.5,7.36365564080188e-08,False
2016,0.053,53,1575.3317124806658,1575.3317126924312,2.1176538211875595e-07,10.697214077323084,10.697207413967869,-6.663355215152933e-06,83.19289283594954,83.19337780752888,2626.848278567649,2626.8482860505187,1.2160140708911249e-05,1.2160140743550764e-05,0.5,0.5,2.1176538211875595e-07,False
2016,0.054,54,1575.000096571799,1575.0000967293363,1.57537215272896e-07,10.640786369493537,10.640809417524595,2.3048031058792162e-05,79.426278736643,79.42582434318828,2314.3073370532065,2314.3073089911113,1.0327448201365498e-05,1.0327448076140197e-05,0.5,0.5,1.57537215272896e-07,False
