truth_model,study_scenario,factor,mass_mev,anchor_nsigma,injection_rows,injection_toys,sigma_A_over_anchor_median,sigmaA_ref_over_anchor_median,Ahat_minus_Ainj_over_anchor_sigma_median,pull_mean,pull_width,refit_ls_ratio_median,refit_ls_ratio_max,refit_bound_rows,Nsig_win_median,Nsig_train_median,refit_bound_row_fraction,response_rows,paired_response_mean,paired_response_median,paired_response_std,paired_response_candidate_prefit_sigma_units_median,paired_response_anchor_prefit_sigma_units_median,paired_response_anchor_fitted_sigma_units_median
sigpowexpq,2021_10pct,6,60,0.0,10,10,1.9013578072697177,1.9061210847359225,-1.598010504792899,-0.5671898719476688,1.2256748717973331,6.000000000000006,6.000000000000006,10,0.0,0.0,1.0,,,,,,,
sigpowexpq,2021_10pct,6,60,1.0,10,10,1.9010013536329302,1.9061210847359225,-1.7113539471117605,-0.6187564486693986,1.228590265917863,6.000000000000006,6.000000000000006,10,4759.5,174.0,1.0,10.0,0.9160900513165565,0.9094910590710205,0.030352244231211536,0.47783649708635517,0.9094910590710205,0.9094071326261868
sigpowexpq,2021_10pct,6,60,3.0,10,10,1.9074044911578412,1.9061210847359225,-1.6390864832415208,-0.6627082663511167,1.2302887549313617,6.000000000000006,6.000000000000006,9,14181.5,498.0,0.9,10.0,0.8807267261072325,0.9249124699520338,0.15080445433302878,1.4496333192025297,2.7747374098561015,2.7725604227611673
sigpowexpq,2021_10pct,6,60,5.0,10,10,1.8994532794192107,1.9061210847359225,-1.969739764755154,-0.7893616895867128,1.1906877039551493,6.000000000000006,6.000000000000006,10,23691.5,838.5,1.0,10.0,0.9309810739521062,0.931992883193571,0.01640515913058161,2.4395550818929412,4.659964415967854,4.680573282664602
sigpowexpq,2021_10pct,6,120,0.0,10,10,2.014568009257551,2.0147381233254773,-0.09836436071290522,0.03849257734076599,0.7893656097057521,6.000000000000021,6.000000000000021,10,0.0,0.0,1.0,,,,,,,
sigpowexpq,2021_10pct,6,120,1.0,10,10,2.0145095677052165,2.0147381233254773,-0.11350386671269302,0.02536888801883964,0.7890804767801813,6.000000000000021,6.000000000000021,10,4446.0,83.0,1.0,10.0,0.9735630813653244,0.9741150375402143,0.02923285031432706,0.48356909253175184,0.9741150375402143,0.9738413515765163
sigpowexpq,2021_10pct,6,120,3.0,10,10,2.0145802770609125,2.0147381233254773,0.9173423944637077,0.07541719306774211,0.7743352422114513,6.000000000000021,6.000000000000021,9,13364.5,253.0,0.9,10.0,1.07650312374784,0.9856462162146156,0.2850842378845009,1.467449742107429,2.956938648643847,2.95644287687944
sigpowexpq,2021_10pct,6,120,5.0,10,10,2.0142489246220174,2.0147381233254773,-0.2690272638360688,-0.026332194311589098,0.7902116543326881,6.000000000000021,6.000000000000021,10,22150.0,430.5,1.0,10.0,0.9738754682355228,0.9772530478642611,0.014212629895321932,2.4251797288818597,4.886265239321306,4.882677451600621
sigpowexpq,2021_10pct,6,220,0.0,10,10,1.9123259376983333,1.9135805961259469,-1.4785622263319267,-0.6422841207017033,0.5477504258819941,6.000000000000001,6.000000000000001,10,0.0,0.0,1.0,,,,,,,
sigpowexpq,2021_10pct,6,220,1.0,10,10,1.9122299840855035,1.9135805961259469,-1.5672977899830318,-0.6621537111822346,0.5593846574445387,6.000000000000001,6.000000000000001,10,1614.0,34.5,1.0,10.0,0.9615591035010389,0.956583983048158,0.05381617092349145,0.5016225630568971,0.956583983048158,0.9561290832789215
sigpowexpq,2021_10pct,6,220,3.0,10,10,1.9120186565308086,1.9135805961259469,-1.5616728978936578,-0.669291074443928,0.5491707727502079,6.000000000000001,6.000000000000001,10,4954.0,108.5,1.0,10.0,0.982257806751714,0.9919082719428076,0.0217269089352263,1.555218360369372,2.9757248158284226,2.971102755269353
