dataset,mass_GeV,mass_MeV,attempt_label,attempt_source,attempt_source_sha256,lml,selected_max_lml,delta_lml_from_selected_max,abs_delta_lml_from_selected_max,const_opt,ls_opt,ls_opt_over_sigma_x,within_lml_reproduction_tolerance,is_selected_maximum,selected_attempt,selected_source,branch_multiplicity,reproducing_attempts,review_status,interpolated
2016,0.039,39,attempt_01,study_results/v4p1_2021_ls_exposure_ensembles_20260804/observed_2016_10pct_k12_wide_support/attempt_01/results_single.csv,a3f290bbd862045e39c700f807abbe382c5906a54b3be33a1b003d4c1e987a9f,1627.979563013835,1627.979563013835,0.0,0.0,76.91903603701246,0.4403449326309957,10.033921045036758,True,True,attempt_01,study_results/v4p1_2021_ls_exposure_ensembles_20260804/observed_2016_10pct_k12_wide_support/attempt_01/results_single.csv,2,attempt_01|attempt_02,resolved_reproduced_max_lml,False
2016,0.039,39,attempt_02,study_results/v4p1_2021_ls_exposure_ensembles_20260804/observed_2016_10pct_k12_wide_support/attempt_02/results_single.csv,533efee361126f7783ddb4110318811ef7b432af5fdc3fbdb0046a6719e8a5fe,1627.979562892409,1627.979563013835,-1.2142618288635276e-07,1.2142618288635276e-07,76.9156619181539,0.4403435228338142,10.03388892068932,True,False,attempt_01,study_results/v4p1_2021_ls_exposure_ensembles_20260804/observed_2016_10pct_k12_wide_support/attempt_01/results_single.csv,2,attempt_01|attempt_02,resolved_reproduced_max_lml,False
2016,0.04,40,attempt_01,study_results/v4p1_2021_ls_exposure_ensembles_20260804/observed_2016_10pct_k12_wide_support/attempt_01/results_single.csv,a3f290bbd862045e39c700f807abbe382c5906a54b3be33a1b003d4c1e987a9f,1623.6898161902027,1623.6898161902027,0.0,0.0,81.19151333595362,0.4405966091182324,10.103537921468446,True,True,attempt_01,study_results/v4p1_2021_ls_exposure_ensembles_20260804/observed_2016_10pct_k12_wide_support/attempt_01/results_single.csv,2,attempt_01|attempt_02,resolved_reproduced_max_lml,False
2016,0.04,40,attempt_02,study_results/v4p1_2021_ls_exposure_ensembles_20260804/observed_2016_10pct_k12_wide_support/attempt_02/results_single.csv,533efee361126f7783ddb4110318811ef7b432af5fdc3fbdb0046a6719e8a5fe,1623.689816132775,1623.6898161902027,-5.742776920669712e-08,5.742776920669712e-08,81.19832374224127,0.4405960881511811,10.103525974916318,True,False,attempt_01,study_results/v4p1_2021_ls_exposure_ensembles_20260804/observed_2016_10pct_k12_wide_support/attempt_01/results_single.csv,2,attempt_01|attempt_02,resolved_reproduced_max_lml,False
2016,0.041,41,attempt_01,study_results/v4p1_2021_ls_exposure_ensembles_20260804/observed_2016_10pct_k12_wide_support/attempt_01/results_single.csv,a3f290bbd862045e39c700f807abbe382c5906a54b3be33a1b003d4c1e987a9f,1620.1045829803206,1620.1045829803206,0.0,0.0,68.58202600878147,0.4302683213368362,9.92634316564176,True,True,attempt_01,study_results/v4p1_2021_ls_exposure_ensembles_20260804/observed_2016_10pct_k12_wide_support/attempt_01/results_single.csv,2,attempt_01|attempt_02,resolved_reproduced_max_lml,False
2016,0.041,41,attempt_02,study_results/v4p1_2021_ls_exposure_ensembles_20260804/observed_2016_10pct_k12_wide_support/attempt_02/results_single.csv,533efee361126f7783ddb4110318811ef7b432af5fdc3fbdb0046a6719e8a5fe,1620.1045829038449,1620.1045829803206,-7.647577149327844e-08,7.647577149327844e-08,68.58195713923901,0.4302681888587129,9.92634010935514,True,False,attempt_01,study_results/v4p1_2021_ls_exposure_ensembles_20260804/observed_2016_10pct_k12_wide_support/attempt_01/results_single.csv,2,attempt_01|attempt_02,resolved_reproduced_max_lml,False
2016,0.042,42,attempt_01,study_results/v4p1_2021_ls_exposure_ensembles_20260804/observed_2016_10pct_k12_wide_support/attempt_01/results_single.csv,a3f290bbd862045e39c700f807abbe382c5906a54b3be33a1b003d4c1e987a9f,1609.0487691386572,1609.0487691386572,0.0,0.0,67.82894563126722,0.4316703460958355,10.015872123387418,True,True,attempt_01,study_results/v4p1_2021_ls_exposure_ensembles_20260804/observed_2016_10pct_k12_wide_support/attempt_01/results_single.csv,2,attempt_01|attempt_02,resolved_reproduced_max_lml,False
2016,0.042,42,attempt_02,study_results/v4p1_2021_ls_exposure_ensembles_20260804/observed_2016_10pct_k12_wide_support/attempt_02/results_single.csv,533efee361126f7783ddb4110318811ef7b432af5fdc3fbdb0046a6719e8a5fe,1609.0487690772368,1609.0487691386572,-6.142045094748028e-08,6.142045094748028e-08,67.82376999948005,0.4316643118817659,10.015732113963484,True,False,attempt_01,study_results/v4p1_2021_ls_exposure_ensembles_20260804/observed_2016_10pct_k12_wide_support/attempt_01/results_single.csv,2,attempt_01|attempt_02,resolved_reproduced_max_lml,False
2016,0.043,43,attempt_01,study_results/v4p1_2021_ls_exposure_ensembles_20260804/observed_2016_10pct_k12_wide_support/attempt_01/results_single.csv,a3f290bbd862045e39c700f807abbe382c5906a54b3be33a1b003d4c1e987a9f,1608.239588343047,1608.239588343047,0.0,0.0,75.55147644626119,0.4376372604389717,10.20968169647658,True,True,attempt_01,study_results/v4p1_2021_ls_exposure_ensembles_20260804/observed_2016_10pct_k12_wide_support/attempt_01/results_single.csv,2,attempt_01|attempt_02,resolved_reproduced_max_lml,False
2016,0.043,43,attempt_02,study_results/v4p1_2021_ls_exposure_ensembles_20260804/observed_2016_10pct_k12_wide_support/attempt_02/results_single.csv,533efee361126f7783ddb4110318811ef7b432af5fdc3fbdb0046a6719e8a5fe,1608.23958818911,1608.239588343047,-1.5393698049592786e-07,1.5393698049592786e-07,75.55027921591075,0.437637691646523,10.209691756158977,True,False,attempt_01,study_results/v4p1_2021_ls_exposure_ensembles_20260804/observed_2016_10pct_k12_wide_support/attempt_01/results_single.csv,2,attempt_01|attempt_02,resolved_reproduced_max_lml,False
