truth_model,study_scenario,background_toy_index,mass_mev,factor_previous,factor_current,lml_previous,lml_current,delta_lml,lml_tolerance,regression_beyond_tolerance
sigpowexpq,2021_10pct,0,50,6,9,1626.17705082237,1660.8017793941196,34.624728571749756,0.0016608017793941195,False
sigpowexpq,2021_10pct,0,70,6,9,1582.249656362112,1627.181848405069,44.93219204295701,0.001627181848405069,False
sigpowexpq,2021_10pct,0,90,6,9,1550.6094017305577,1602.2912372295718,51.68183549901414,0.0016022912372295718,False
sigpowexpq,2021_10pct,0,110,6,9,1529.4860252029512,1585.790776608737,56.30475140578574,0.0015857907766087369,False
sigpowexpq,2021_10pct,0,130,6,9,1516.9673383590189,1574.9437995809176,57.97646122189872,0.0015749437995809174,False
sigpowexpq,2021_10pct,0,150,6,9,1498.8733296533053,1556.9889376277,58.11560797439461,0.0015569889376277,False
sigpowexpq,2021_10pct,0,170,6,9,1494.2475471172634,1552.0635075222804,57.815960405016995,0.0015520635075222803,False
sigpowexpq,2021_10pct,0,190,6,9,1477.0950068253487,1533.1226478998092,56.02764107446046,0.0015331226478998092,False
sigpowexpq,2021_10pct,0,210,6,9,1483.443139341816,1539.0345249447005,55.59138560288443,0.0015390345249447004,False
sigpowexpq,2021_10pct,0,230,6,9,1478.6736366361458,1532.429299543487,53.755662907341275,0.001532429299543487,False
sigpowexpq,2021_10pct,0,250,6,9,1477.0061329745624,1529.0186614779393,52.01252850337687,0.0015290186614779393,False
sigpowexpq,2021_10pct,1,50,6,9,1651.417117200123,1683.5083178830084,32.09120068288553,0.0016835083178830083,False
sigpowexpq,2021_10pct,1,70,6,9,1599.6091922020153,1646.3899523053135,46.780760103298235,0.0016463899523053134,False
sigpowexpq,2021_10pct,1,90,6,9,1569.774088966978,1620.8399977623385,51.06590879536043,0.0016208399977623385,False
sigpowexpq,2021_10pct,1,110,6,9,1553.0698374373535,1608.5198712530082,55.450033815654706,0.0016085198712530082,False
sigpowexpq,2021_10pct,1,130,6,9,1533.2792036489843,1591.3749279669391,58.09572431795482,0.001591374927966939,False
sigpowexpq,2021_10pct,1,150,6,9,1514.2242443399252,1572.0733509826516,57.84910664272638,0.0015720733509826516,False
sigpowexpq,2021_10pct,1,170,6,9,1513.4825149886474,1570.8607222738206,57.378207285173175,0.0015708607222738205,False
sigpowexpq,2021_10pct,1,190,6,9,1501.037115944133,1556.7661343656428,55.72901842150986,0.0015567661343656428,False
sigpowexpq,2021_10pct,1,210,6,9,1502.5898856510817,1557.3430388134998,54.75315316241813,0.0015573430388134998,False
sigpowexpq,2021_10pct,1,230,6,9,1499.1550419254363,1551.643300302513,52.48825837707659,0.0015516433003025128,False
sigpowexpq,2021_10pct,1,250,6,9,1494.3755209872545,1545.8891117226538,51.51359073539925,0.0015458891117226536,False
sigpowexpq,2021_10pct,2,50,6,9,1649.0363387803743,1685.32628168451,36.289942904135614,0.00168532628168451,False
sigpowexpq,2021_10pct,2,70,6,9,1602.4741569433938,1648.7178732273048,46.243716283911,0.0016487178732273048,False
sigpowexpq,2021_10pct,2,90,6,9,1568.3436372301449,1621.9557391065664,53.61210187642155,0.0016219557391065663,False
sigpowexpq,2021_10pct,2,110,6,9,1544.7445078369096,1603.002236864823,58.257729027913456,0.001603002236864823,False
sigpowexpq,2021_10pct,2,130,6,9,1532.205784263212,1592.1321049764183,59.92632071320622,0.0015921321049764182,False
sigpowexpq,2021_10pct,2,150,6,9,1514.7602080901008,1575.571380333087,60.81117224298623,0.001575571380333087,False
sigpowexpq,2021_10pct,2,170,6,9,1504.2782788347322,1564.154784042521,59.876505207788796,0.001564154784042521,False
sigpowexpq,2021_10pct,2,190,6,9,1509.4201785323064,1566.8328890253083,57.412710493001896,0.0015668328890253082,False
sigpowexpq,2021_10pct,2,210,6,9,1500.7354205494762,1558.3002783960358,57.56485784655956,0.0015583002783960357,False
sigpowexpq,2021_10pct,2,230,6,9,1495.9066653558375,1550.7271373276226,54.82047197178508,0.0015507271373276226,False
sigpowexpq,2021_10pct,2,250,6,9,1498.4500337872953,1550.9154227147508,52.46538892745548,0.0015509154227147507,False
sigpowexpq,2021_10pct,3,50,6,9,1613.0505452557857,1689.251720471124,76.20117521533825,0.0016892517204711239,False
sigpowexpq,2021_10pct,3,70,6,9,1600.506450967164,1646.3255434574603,45.81909249029627,0.0016463255434574602,False
sigpowexpq,2021_10pct,3,90,6,9,1569.94197861659,1623.091212768074,53.14923415148405,0.001623091212768074,False
sigpowexpq,2021_10pct,3,110,6,9,1550.765614620423,1606.4270969297631,55.661482309340045,0.0016064270969297632,False
sigpowexpq,2021_10pct,3,130,6,9,1536.4989032499925,1595.670506425315,59.17160317532239,0.0015956705064253149,False
sigpowexpq,2021_10pct,3,150,6,9,1525.417121265228,1583.3186391457273,57.90151788049934,0.0015833186391457272,False
sigpowexpq,2021_10pct,3,170,6,9,1515.5406240181246,1574.4041274035244,58.86350338539978,0.0015744041274035243,False
sigpowexpq,2021_10pct,3,190,6,9,1507.8111849396676,1565.6027045558085,57.79151961614093,0.0015656027045558084,False
sigpowexpq,2021_10pct,3,210,6,9,1509.037208508979,1564.464992871069,55.42778436209005,0.0015644649928710688,False
sigpowexpq,2021_10pct,3,230,6,9,1500.0130100023396,1554.3127488665375,54.299738864197934,0.0015543127488665373,False
sigpowexpq,2021_10pct,3,250,6,9,1501.7138056629726,1553.8149153972631,52.1011097342905,0.0015538149153972631,False
sigpowexpq,2021_10pct,4,50,6,9,1648.5053418033788,1683.4644838410245,34.959142037645734,0.0016834644838410245,False
sigpowexpq,2021_10pct,4,70,6,9,1601.204627135059,1647.2213712643709,46.016744129311974,0.0016472213712643707,False
sigpowexpq,2021_10pct,4,90,6,9,1561.5650304880735,1614.2164825302052,52.65145204213172,0.0016142164825302052,False
sigpowexpq,2021_10pct,4,110,6,9,1545.689570809488,1603.313964496196,57.62439368670789,0.0016033139644961959,False
sigpowexpq,2021_10pct,4,130,6,9,1543.288655628105,1601.5283352854717,58.23967965736665,0.0016015283352854715,False
sigpowexpq,2021_10pct,4,150,6,9,1520.7023987993196,1577.3541125808397,56.65171378152013,0.0015773541125808396,False
sigpowexpq,2021_10pct,4,170,6,9,1508.9079335853144,1569.17507763201,60.26714404669565,0.0015691750776320099,False
sigpowexpq,2021_10pct,4,190,6,9,1501.8126462165712,1560.3879262620362,58.57528004546498,0.0015603879262620361,False
sigpowexpq,2021_10pct,4,210,6,9,1502.28258677968,1558.849729106881,56.56714232720083,0.0015588497291068807,False
sigpowexpq,2021_10pct,4,230,6,9,1492.385022953068,1544.970269844926,52.58524689185788,0.0015449702698449258,False
sigpowexpq,2021_10pct,4,250,6,9,1489.9960276349625,1541.30819107007,51.31216343510755,0.00154130819107007,False
sigpowexpq,2021_10pct,5,50,6,9,1645.7102047058172,1678.7824519721923,33.07224726637514,0.0016787824519721923,False
sigpowexpq,2021_10pct,5,70,6,9,1597.8179915600588,1642.5086484659323,44.69065690587354,0.0016425086484659322,False
sigpowexpq,2021_10pct,5,90,6,9,1565.909836132907,1619.933958892893,54.024122759986085,0.001619933958892893,False
sigpowexpq,2021_10pct,5,110,6,9,1547.711315913386,1604.6983637240546,56.98704781066863,0.0016046983637240545,False
sigpowexpq,2021_10pct,5,130,6,9,1536.4468281678128,1595.909406721671,59.46257855385829,0.001595909406721671,False
sigpowexpq,2021_10pct,5,150,6,9,1514.8222349452533,1575.5438581413694,60.72162319611607,0.0015755438581413694,False
sigpowexpq,2021_10pct,5,170,6,9,1504.4765673873162,1563.4926986713783,59.01613128406211,0.0015634926986713782,False
sigpowexpq,2021_10pct,5,190,6,9,1503.923085937023,1561.051866872464,57.128780935441,0.001561051866872464,False
sigpowexpq,2021_10pct,5,210,6,9,1501.9957754907855,1558.5845681972266,56.588792706441154,0.0015585845681972265,False
sigpowexpq,2021_10pct,5,230,6,9,1490.3364524305682,1544.358320319442,54.021867888873885,0.001544358320319442,False
sigpowexpq,2021_10pct,5,250,6,9,1495.2672450759417,1545.7531967637744,50.48595168783277,0.0015457531967637743,False
sigpowexpq,2021_10pct,6,50,6,9,1651.7629988027995,1687.9276478336808,36.164649030881264,0.0016879276478336807,False
sigpowexpq,2021_10pct,6,70,6,9,1592.3735664798326,1639.1507488679938,46.777182388161236,0.0016391507488679937,False
sigpowexpq,2021_10pct,6,90,6,9,1561.1624464596066,1612.3426027996609,51.18015634005428,0.0016123426027996608,False
sigpowexpq,2021_10pct,6,110,6,9,1542.5143827509685,1595.950356594663,53.435973843694455,0.001595950356594663,False
sigpowexpq,2021_10pct,6,130,6,9,1534.6625320961257,1590.8015378479809,56.139005751855166,0.0015908015378479808,False
sigpowexpq,2021_10pct,6,150,6,9,1515.2089482353606,1570.6572758557743,55.44832762041369,0.0015706572758557742,False
sigpowexpq,2021_10pct,6,170,6,9,1507.8951389220597,1564.695272705046,56.80013378298622,0.0015646952727050459,False
sigpowexpq,2021_10pct,6,190,6,9,1229.4085126822738,1563.5973018042878,334.188789122014,0.0015635973018042876,False
sigpowexpq,2021_10pct,6,210,6,9,1497.6770861068735,1550.7768149780734,53.099728871199886,0.0015507768149780733,False
sigpowexpq,2021_10pct,6,230,6,9,1490.3674963407666,1541.6867441688937,51.31924782812712,0.0015416867441688936,False
sigpowexpq,2021_10pct,6,250,6,9,1486.8654690185515,1537.1525066956835,50.28703767713205,0.0015371525066956834,False
sigpowexpq,2021_10pct,7,50,6,9,1661.2761231724064,1693.38984373649,32.11372056408368,0.00169338984373649,False
sigpowexpq,2021_10pct,7,70,6,9,1607.0664182761686,1652.496565009213,45.43014673304447,0.001652496565009213,False
sigpowexpq,2021_10pct,7,90,6,9,1576.4595402872485,1626.929713432558,50.470173145309445,0.0016269297134325579,False
sigpowexpq,2021_10pct,7,110,6,9,1551.043966822092,1605.970259881557,54.926293059465024,0.001605970259881557,False
sigpowexpq,2021_10pct,7,130,6,9,1543.098097118269,1599.803740794374,56.70564367610518,0.001599803740794374,False
sigpowexpq,2021_10pct,7,150,6,9,1528.4651956124355,1586.030257498998,57.56506188656249,0.001586030257498998,False
sigpowexpq,2021_10pct,7,170,6,9,1513.0120887360836,1570.6047030594368,57.592614323353246,0.0015706047030594368,False
sigpowexpq,2021_10pct,7,190,6,9,1514.4176713380384,1570.0961454225758,55.678474084537356,0.0015700961454225757,False
sigpowexpq,2021_10pct,7,210,6,9,1509.6658524919512,1563.25394941755,53.58809692559885,0.00156325394941755,False
sigpowexpq,2021_10pct,7,230,6,9,1511.1859892168318,1562.7041590318504,51.51816981501861,0.0015627041590318502,False
sigpowexpq,2021_10pct,7,250,6,9,1500.7987247574026,1549.1120170274105,48.31329227000788,0.0015491120170274104,False
sigpowexpq,2021_10pct,8,50,6,9,1641.9599228536224,1679.1204723881258,37.16054953450339,0.0016791204723881257,False
sigpowexpq,2021_10pct,8,70,6,9,1591.100447783918,1638.128011648024,47.027563864106014,0.001638128011648024,False
sigpowexpq,2021_10pct,8,90,6,9,1559.443311852251,1611.2642743521274,51.82096249987626,0.0016112642743521272,False
sigpowexpq,2021_10pct,8,110,6,9,1537.479659735041,1592.7182974297805,55.23863769473951,0.0015927182974297804,False
sigpowexpq,2021_10pct,8,130,6,9,1532.858730102745,1588.66134243361,55.802612330864804,0.0015886613424336098,False
sigpowexpq,2021_10pct,8,150,6,9,1517.8720330152498,1573.0213068719588,55.14927385670899,0.0015730213068719588,False
sigpowexpq,2021_10pct,8,170,6,9,1507.444668793171,1563.7736345740254,56.32896578085433,0.0015637736345740253,False
sigpowexpq,2021_10pct,8,190,6,9,1501.1969476513148,1555.308330775517,54.11138312420235,0.001555308330775517,False
sigpowexpq,2021_10pct,8,210,6,9,1495.8177076866411,1549.5990561243873,53.781348437746146,0.0015495990561243873,False
sigpowexpq,2021_10pct,8,230,6,9,1485.367839648433,1538.8168904632885,53.44905081485558,0.0015388168904632883,False
sigpowexpq,2021_10pct,8,250,6,9,1487.4522569657647,1539.923363833677,52.47110686791234,0.001539923363833677,False
sigpowexpq,2021_10pct,9,50,6,9,1635.3899097336405,1671.4454149099686,36.0555051763281,0.0016714454149099685,False
sigpowexpq,2021_10pct,9,70,6,9,1587.7867982028877,1633.2182218607345,45.431423657846835,0.0016332182218607345,False
sigpowexpq,2021_10pct,9,90,6,9,1554.282834312265,1607.3600476419897,53.0772133297246,0.0016073600476419897,False
sigpowexpq,2021_10pct,9,110,6,9,1538.736332721625,1594.4424046387917,55.70607191716658,0.0015944424046387916,False
sigpowexpq,2021_10pct,9,130,6,9,1528.283751469956,1584.6003336680042,56.31658219804808,0.001584600333668004,False
sigpowexpq,2021_10pct,9,150,6,9,1509.674513020792,1565.9776511970715,56.30313817627962,0.0015659776511970714,False
sigpowexpq,2021_10pct,9,170,6,9,1498.909190586492,1554.249663778884,55.34047319239198,0.001554249663778884,False
sigpowexpq,2021_10pct,9,190,6,9,1494.4927818605577,1547.4173341492278,52.92455228867016,0.0015474173341492278,False
sigpowexpq,2021_10pct,9,210,6,9,1491.5198169675284,1544.8885275714772,53.368710603948784,0.001544888527571477,False
sigpowexpq,2021_10pct,9,230,6,9,1484.2952101688793,1537.300225675284,53.00501550640479,0.001537300225675284,False
sigpowexpq,2021_10pct,9,250,6,9,1487.535110261197,1539.3411900503486,51.80607978915168,0.0015393411900503486,False
sigpowexpq,2021_10pct_x10,0,50,6,9,2085.3574768699023,2129.228342946102,43.870866076199945,0.002129228342946102,False
sigpowexpq,2021_10pct_x10,0,70,6,9,2027.4480806983984,2082.838933862163,55.390853163764405,0.0020828389338621626,False
sigpowexpq,2021_10pct_x10,0,90,6,9,1989.8890122094513,2048.6731073258943,58.78409511644304,0.0020486731073258943,False
sigpowexpq,2021_10pct_x10,0,110,6,9,1967.493364022238,2030.7048968446925,63.2115328224545,0.002030704896844692,False
sigpowexpq,2021_10pct_x10,0,130,6,9,1950.053146119408,2016.3992435691243,66.34609744971635,0.0020163992435691244,False
sigpowexpq,2021_10pct_x10,0,150,6,9,1927.3073068729443,1993.679939797781,66.37263292483658,0.0019936799397977808,False
sigpowexpq,2021_10pct_x10,0,170,6,9,1918.230196926534,1983.5726044699663,65.34240754343227,0.001983572604469966,False
sigpowexpq,2021_10pct_x10,0,190,6,9,1905.7800374980277,1970.5232467794772,64.74320928144948,0.001970523246779477,False
sigpowexpq,2021_10pct_x10,0,210,6,9,1902.795368908554,1965.325837628964,62.53046872041,0.001965325837628964,False
sigpowexpq,2021_10pct_x10,0,230,6,9,1888.0583556266504,1949.3909610296785,61.33260540302808,0.0019493909610296784,False
sigpowexpq,2021_10pct_x10,0,250,6,9,1887.5869174451393,1947.5520105492808,59.96509310414149,0.0019475520105492808,False
sigpowexpq,2021_10pct_x10,1,50,6,9,2077.753781695524,2118.6237710387136,40.869989343189445,0.0021186237710387134,False
sigpowexpq,2021_10pct_x10,1,70,6,9,2023.6028088360729,2080.2909846690773,56.68817583300438,0.002080290984669077,False
sigpowexpq,2021_10pct_x10,1,90,6,9,1978.8411347465567,2042.4772483715608,63.6361136250041,0.0020424772483715607,False
sigpowexpq,2021_10pct_x10,1,110,6,9,1952.8290955899145,2019.9945113643023,67.16541577438784,0.0020199945113643022,False
sigpowexpq,2021_10pct_x10,1,130,6,9,1937.4386286426857,2005.2840451422317,67.84541649954599,0.0020052840451422315,False
sigpowexpq,2021_10pct_x10,1,150,6,9,1920.0316487265125,1986.5581788496063,66.52653012309383,0.0019865581788496064,False
sigpowexpq,2021_10pct_x10,1,170,6,9,1909.5540233284785,1974.7251039045573,65.1710805760788,0.0019747251039045574,False
sigpowexpq,2021_10pct_x10,1,190,6,9,1816.7765554845032,1899.1771026642111,82.40054717970793,0.001899177102664211,False
sigpowexpq,2021_10pct_x10,1,210,6,9,1887.367677700057,1953.785700031079,66.41802233102203,0.0019537857000310787,False
sigpowexpq,2021_10pct_x10,1,230,6,9,1879.3956820184703,1945.4148688662729,66.01918684780253,0.0019454148688662727,False
sigpowexpq,2021_10pct_x10,1,250,6,9,1864.0158996208236,1928.3089199608448,64.29302034002126,0.0019283089199608448,False
sigpowexpq,2021_10pct_x10,2,50,6,9,2088.840597167731,2128.633193945812,39.79259677808068,0.0021286331939458117,False
sigpowexpq,2021_10pct_x10,2,70,6,9,2024.165012061833,2077.9733506444577,53.80833858262463,0.002077973350644458,False
sigpowexpq,2021_10pct_x10,2,90,6,9,1983.5824603033063,2048.058376796234,64.47591649292758,0.0020480583767962337,False
sigpowexpq,2021_10pct_x10,2,110,6,9,1964.2684610399629,2032.5759895666788,68.30752852671594,0.0020325759895666786,False
sigpowexpq,2021_10pct_x10,2,130,6,9,1947.757119368437,2019.7456402659757,71.98852089753859,0.0020197456402659755,False
sigpowexpq,2021_10pct_x10,2,150,6,9,1926.3727051384997,1998.759874413329,72.38716927482938,0.0019987598744133288,False
sigpowexpq,2021_10pct_x10,2,170,6,9,1907.5398242070091,1979.0315370847825,71.49171287777335,0.0019790315370847825,False
sigpowexpq,2021_10pct_x10,2,190,6,9,1901.90871959856,1972.6166456875776,70.70792608901752,0.0019726166456875776,False
sigpowexpq,2021_10pct_x10,2,210,6,9,1898.35342691372,1965.5909985551828,67.23757164146264,0.0019655909985551827,False
sigpowexpq,2021_10pct_x10,2,230,6,9,1892.313105368074,1958.1438539016317,65.83074853355765,0.0019581438539016316,False
sigpowexpq,2021_10pct_x10,2,250,6,9,1877.6499006305437,1940.6828670536825,63.03296642313876,0.0019406828670536823,False
sigpowexpq,2021_10pct_x10,3,50,6,9,2071.65840611393,2110.7615137403077,39.10310762637755,0.0021107615137403077,False
sigpowexpq,2021_10pct_x10,3,70,6,9,2018.9228167654992,2070.2253544740083,51.302537708509135,0.002070225354474008,False
sigpowexpq,2021_10pct_x10,3,90,6,9,1977.2292952145667,2037.4562804063544,60.22698519178766,0.0020374562804063544,False
sigpowexpq,2021_10pct_x10,3,110,6,9,1963.226038477432,2026.1686507130985,62.9426122356665,0.0020261686507130985,False
sigpowexpq,2021_10pct_x10,3,130,6,9,1942.532422943521,2012.7698090391405,70.23738609561951,0.0020127698090391406,False
sigpowexpq,2021_10pct_x10,3,150,6,9,1921.433523082722,1990.3702250779568,68.93670199523467,0.0019903702250779567,False
sigpowexpq,2021_10pct_x10,3,170,6,9,1902.0176946503952,1970.6481859103335,68.63049125993825,0.0019706481859103333,False
sigpowexpq,2021_10pct_x10,3,190,6,9,1893.2405157912103,1960.3933734409825,67.15285764977216,0.0019603933734409825,False
sigpowexpq,2021_10pct_x10,3,210,6,9,1886.7341844300488,1951.674725690786,64.94054126073729,0.001951674725690786,False
sigpowexpq,2021_10pct_x10,3,230,6,9,1882.4215127497373,1944.8664552012424,62.444942451505085,0.0019448664552012423,False
sigpowexpq,2021_10pct_x10,3,250,6,9,1879.660751261839,1938.482736693482,58.821985431642815,0.0019384827366934819,False
sigpowexpq,2021_10pct_x10,4,50,6,9,2075.782436493469,2119.058796807754,43.27636031428483,0.002119058796807754,False
sigpowexpq,2021_10pct_x10,4,70,6,9,2014.4555178571748,2069.3924465614527,54.93692870427799,0.0020693924465614525,False
sigpowexpq,2021_10pct_x10,4,90,6,9,1976.5277480108175,2040.0387764291704,63.51102841835291,0.00204003877642917,False
sigpowexpq,2021_10pct_x10,4,110,6,9,1956.2289524064036,2023.5893961339575,67.36044372755396,0.0020235893961339574,False
sigpowexpq,2021_10pct_x10,4,130,6,9,1937.3598983552577,2005.8795106252069,68.51961226994922,0.002005879510625207,False
sigpowexpq,2021_10pct_x10,4,150,6,9,1920.895341880892,1988.4578448998875,67.56250301899559,0.0019884578448998874,False
sigpowexpq,2021_10pct_x10,4,170,6,9,1908.4686873252413,1978.1629743336805,69.69428700843923,0.0019781629743336805,False
sigpowexpq,2021_10pct_x10,4,190,6,9,1896.589526341891,1964.543034781322,67.95350843943083,0.001964543034781322,False
sigpowexpq,2021_10pct_x10,4,210,6,9,1890.6388805035745,1956.7466600979435,66.10777959436905,0.0019567466600979434,False
sigpowexpq,2021_10pct_x10,4,230,6,9,1889.2593409688368,1952.7576675931969,63.49832662436006,0.0019527576675931967,False
sigpowexpq,2021_10pct_x10,4,250,6,9,1876.1036708011168,1937.1356807391328,61.03200993801602,0.0019371356807391328,False
sigpowexpq,2021_10pct_x10,5,50,6,9,2103.556417024952,2141.606495246789,38.050078221836884,0.002141606495246789,False
sigpowexpq,2021_10pct_x10,5,70,6,9,2046.2184862879471,2102.640999388887,56.422513100939796,0.002102640999388887,False
sigpowexpq,2021_10pct_x10,5,90,6,9,2003.728359894264,2066.239089964284,62.510730070020145,0.002066239089964284,False
sigpowexpq,2021_10pct_x10,5,110,6,9,1979.229811696092,2045.8849346273691,66.65512293127722,0.002045884934627369,False
sigpowexpq,2021_10pct_x10,5,130,6,9,1964.2366850767064,2032.9409541333357,68.7042690566293,0.0020329409541333357,False
sigpowexpq,2021_10pct_x10,5,150,6,9,1943.0695252589544,2012.8269100784769,69.75738481952249,0.0020128269100784767,False
sigpowexpq,2021_10pct_x10,5,170,6,9,1927.6633640505993,1995.8012993439656,68.13793529336635,0.0019958012993439656,False
sigpowexpq,2021_10pct_x10,5,190,6,9,1921.9423008736849,1989.0477073964664,67.10540652278155,0.0019890477073964664,False
sigpowexpq,2021_10pct_x10,5,210,6,9,1915.20001044426,1980.011412561986,64.81140211772595,0.0019800114125619857,False
sigpowexpq,2021_10pct_x10,5,230,6,9,1899.5446705633076,1962.617771820794,63.073101257486314,0.0019626177718207937,False
sigpowexpq,2021_10pct_x10,5,250,6,9,1894.00861037168,1956.168511880662,62.159901508981875,0.001956168511880662,False
sigpowexpq,2021_10pct_x10,6,50,6,9,2107.8618568222787,2153.3078368598844,45.44598003760575,0.0021533078368598845,False
sigpowexpq,2021_10pct_x10,6,70,6,9,2048.77985516065,2103.839679878025,55.059824717374795,0.0021038396798780247,False
sigpowexpq,2021_10pct_x10,6,90,6,9,2006.393242095529,2068.736291223314,62.34304912778475,0.002068736291223314,False
sigpowexpq,2021_10pct_x10,6,110,6,9,1984.7329331999224,2051.4866982723956,66.75376507247324,0.0020514866982723956,False
sigpowexpq,2021_10pct_x10,6,130,6,9,1969.5920714742997,2039.2737583992243,69.68168692492463,0.0020392737583992244,False
sigpowexpq,2021_10pct_x10,6,150,6,9,1948.390769282,2019.027085875451,70.63631659345083,0.002019027085875451,False
sigpowexpq,2021_10pct_x10,6,170,6,9,1929.2935766947603,1999.1609380989464,69.86736140418611,0.0019991609380989464,False
sigpowexpq,2021_10pct_x10,6,190,6,9,1921.7541993020784,1989.0638839617384,67.30968465965998,0.001989063883961738,False
sigpowexpq,2021_10pct_x10,6,210,6,9,1921.9243007120729,1986.9696181883205,65.04531747624765,0.0019869696181883203,False
sigpowexpq,2021_10pct_x10,6,230,6,9,1904.1534618018425,1969.3208853195456,65.16742351770313,0.0019693208853195456,False
sigpowexpq,2021_10pct_x10,6,250,6,9,1895.506548759176,1958.233315413141,62.726766653965115,0.001958233315413141,False
sigpowexpq,2021_10pct_x10,7,50,6,9,2076.0546707135577,2120.3852484458803,44.33057773232258,0.00212038524844588,False
sigpowexpq,2021_10pct_x10,7,70,6,9,2016.291477986388,2071.9207166792826,55.62923869289466,0.0020719207166792824,False
sigpowexpq,2021_10pct_x10,7,90,6,9,1977.4904817851357,2041.075681959011,63.585200173875364,0.002041075681959011,False
sigpowexpq,2021_10pct_x10,7,110,6,9,1957.7933995093035,2026.64553295942,68.85213345011653,0.0020266455329594197,False
sigpowexpq,2021_10pct_x10,7,130,6,9,1934.9787831924864,2006.8678535124463,71.88907031995996,0.0020068678535124463,False
sigpowexpq,2021_10pct_x10,7,150,6,9,1915.0815421485688,1986.2404058945883,71.1588637460195,0.001986240405894588,False
sigpowexpq,2021_10pct_x10,7,170,6,9,1902.554680007203,1973.2875151976873,70.73283519048437,0.0019732875151976872,False
sigpowexpq,2021_10pct_x10,7,190,6,9,1897.1849381775396,1966.0821872774573,68.89724909991764,0.001966082187277457,False
sigpowexpq,2021_10pct_x10,7,210,6,9,1891.3163003697712,1957.88387367353,66.56757330375876,0.00195788387367353,False
sigpowexpq,2021_10pct_x10,7,230,6,9,1875.0895594203112,1939.238838758385,64.14927933807394,0.001939238838758385,False
sigpowexpq,2021_10pct_x10,7,250,6,9,1867.6023180288264,1930.2747584620913,62.67244043326491,0.0019302747584620911,False
sigpowexpq,2021_10pct_x10,8,50,6,9,2089.901453482831,2132.803720162235,42.902266679403965,0.002132803720162235,False
sigpowexpq,2021_10pct_x10,8,70,6,9,2027.640223653054,2085.904690776092,58.26446712303823,0.002085904690776092,False
sigpowexpq,2021_10pct_x10,8,90,6,9,1985.5133635777147,2051.5957905789023,66.08242700118763,0.002051595790578902,False
sigpowexpq,2021_10pct_x10,8,110,6,9,1963.7601973654569,2034.1109742979029,70.35077693244602,0.0020341109742979028,False
sigpowexpq,2021_10pct_x10,8,130,6,9,1949.6582420336667,2019.8232965624368,70.16505452877004,0.0020198232965624365,False
sigpowexpq,2021_10pct_x10,8,150,6,9,1931.7738174196909,2004.2495115616173,72.4756941419264,0.0020042495115616173,False
sigpowexpq,2021_10pct_x10,8,170,6,9,1914.7597418018477,1986.617652540168,71.85791073832024,0.0019866176525401677,False
sigpowexpq,2021_10pct_x10,8,190,6,9,1900.964874387136,1972.070203928256,71.10532954112,0.001972070203928256,False
sigpowexpq,2021_10pct_x10,8,210,6,9,1900.6276724331456,1969.1452768509585,68.51760441781289,0.0019691452768509582,False
sigpowexpq,2021_10pct_x10,8,230,6,9,1889.110106977548,1956.0220616061888,66.91195462864084,0.001956022061606189,False
sigpowexpq,2021_10pct_x10,8,250,6,9,1879.2933444518203,1943.4858422827824,64.19249783096211,0.0019434858422827824,False
sigpowexpq,2021_10pct_x10,9,50,6,9,2088.058804072376,2130.011111667445,41.952307595069215,0.002130011111667445,False
sigpowexpq,2021_10pct_x10,9,70,6,9,2029.4204637464047,2084.36242735083,54.941963604425155,0.00208436242735083,False
sigpowexpq,2021_10pct_x10,9,90,6,9,1996.3947733363116,2058.6421283909413,62.24735505462968,0.002058642128390941,False
sigpowexpq,2021_10pct_x10,9,110,6,9,1970.522801468592,2038.354522027642,67.83172055904993,0.0020383545220276416,False
