dataset,mass_GeV,sigma_val,blind_lo,blind_hi,integral_density,density_nsigma,density_window_lo,density_window_hi,density_window_width,density_source_lo,density_source_hi,density_source_n_bins,density_source_bin_width_median,density_window_fully_covered,A_up,eps2_up,p0_analytic,Z_analytic,A_hat,sigma_A,extract_success,cls_statistic,cls_calibration,signal_model,global_method,visibility,kernel_str,ls_lo,ls_hi,ls_init,ls_opt,sigma_x,const_opt,lml,n_train,n_train_low,n_train_high,n_full,n_blind,train_domain_lo,train_domain_hi,bin_width_median,const_init,const_lo,const_hi,const_at_lower,const_at_upper,ls_at_lower,ls_at_upper,optimizer_restarts,ls_lo_over_sigma_x,ls_hi_over_sigma_x,ls_opt_over_sigma_x,ls_lo_over_sigma,ls_hi_over_sigma,ls_opt_over_sigma,attempt_index,attempt_label,attempt_source,row_source,optimizer_repair_applied,interpolated,selected_attempt,selected_minus_raw_lml
2021,0.06,0.0020749,0.055331475,0.064668525,108636802.00867748,1.64,0.056597164,0.063402836,0.006805672,0.0,1.0,8000,0.000125,True,1097.4458374530225,5.467323788592083e-06,0.5,0.0,-6867.758250795753,1362.8757882780938,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.43**2 * RBF(length_scale=0.51),0.0373968740379758,0.5099573732451246,0.1380971094990222,0.5099573732451246,0.0339971582163416,29.468605290152684,1218.018353548692,402,25,377,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,True,12,1.1,15.0,15.0,18.023458498229218,245.77443406676204,245.77443406676204,1,attempt_01,study_results/observed_2021_1pct_vs_10pct_k15_20260803/observed_1pct/raw_scan/results_single.csv,study_results/observed_2021_1pct_vs_10pct_k15_20260803/observed_1pct/raw_scan/results_single.csv,False,False,attempt_01,0.0
2021,0.061,0.002083915875,0.05631118928125,0.06568881071875,115176100.52947238,1.64,0.057582377965,0.064417622035,0.0068352440699999,0.0,1.0,8000,0.000125,True,3585.0446902830463,1.6569991673248083e-05,0.2532368316197453,0.6643385341492829,1129.5209257828856,1701.8753688017118,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,6.35**2 * RBF(length_scale=0.332),0.0369511713028735,0.5038796086755482,0.136451243073103,0.3318349315687833,0.0335919739117032,40.377159415278264,1211.2537538120189,401,26,375,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.878399299815314,17.731604114236877,241.7946015577755,159.23624151516353,1,attempt_01,study_results/observed_2021_1pct_vs_10pct_k15_20260803/observed_1pct/raw_scan/results_single.csv,study_results/observed_2021_1pct_vs_10pct_k15_20260803/observed_1pct/raw_scan/results_single.csv,False,False,attempt_01,0.0
2021,0.062,0.0020931035,0.057290517125,0.066709482875,121363530.1713926,1.64,0.05856731026,0.06543268974,0.0068653794799999,0.0,1.0,8000,0.000125,True,4628.442772504917,1.9974454626396203e-05,0.0839993977264971,1.3786626335833434,2353.912410509367,1708.2531293703566,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,6.34**2 * RBF(length_scale=0.333),0.0365226217287332,0.4980357508463617,0.1348687188919183,0.3329768015156571,0.0332023833897574,40.21093622414159,1216.0040534262714,401,28,373,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,10.028701783450176,17.449028071824063,237.9412918885099,159.08281722124926,1,attempt_01,study_results/observed_2021_1pct_vs_10pct_k15_20260803/observed_1pct/raw_scan/results_single.csv,study_results/observed_2021_1pct_vs_10pct_k15_20260803/observed_1pct/raw_scan/results_single.csv,False,False,attempt_01,0.0
2021,0.063,0.002102462875,0.05826945853125,0.06773054146875,127250039.28021264,1.64,0.059551960885,0.066448039115,0.0068960782299999,0.0,1.0,8000,0.000125,True,5165.620934248653,2.0923964810030096e-05,0.0466080382249284,1.6786715351426973,2896.4656210871235,1729.4197623813552,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,6.32**2 * RBF(length_scale=0.333),0.0361104197174945,0.4924148143294715,0.133346562087477,0.3325905300617869,0.0328276542886314,39.96866543585851,1215.76950939601,401,29,372,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,10.131413202342836,17.17529481584524,234.20856567061688,158.19091695580448,1,attempt_01,study_results/observed_2021_1pct_vs_10pct_k15_20260803/observed_1pct/raw_scan/results_single.csv,study_results/observed_2021_1pct_vs_10pct_k15_20260803/observed_1pct/raw_scan/results_single.csv,False,False,attempt_01,0.0
2021,0.064,0.002111994,0.0592480135,0.0687519865,132715816.4204872,1.64,0.06053632984,0.06746367016,0.00692734032,0.0,1.0,8000,0.000125,True,5427.3860992310965,2.074951657999746e-05,0.0331941137675229,1.8357933353068805,3167.7456427584852,1730.6243164998482,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,6.3**2 * RBF(length_scale=0.338),0.0357138093206567,0.4870064907362281,0.1318819811349368,0.3384387912141707,0.0324670993824152,39.66863758423404,1214.7125028173753,401,31,370,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,10.424053816075592,16.909995634768247,230.59084956502153,160.24609502402504,1,attempt_01,study_results/observed_2021_1pct_vs_10pct_k15_20260803/observed_1pct/raw_scan/results_single.csv,study_results/observed_2021_1pct_vs_10pct_k15_20260803/observed_1pct/raw_scan/results_single.csv,False,False,attempt_01,0.0
2021,0.065,0.002121696875,0.06022618203125,0.06977381796875,137616097.9215072,1.64,0.061520417125,0.068479582875,0.0069591657499999,0.0,1.0,8000,0.000125,True,6066.301515336749,2.2022231235250908e-05,0.014835335964356,2.174459125041924,3797.0241014331023,1751.2629104440807,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,6.26**2 * RBF(length_scale=0.344),0.0353320804721528,0.4818010973475384,0.1304723539415717,0.3441514424656675,0.0321200731565025,39.133290749615355,1210.3501484913138,400,32,368,416,16,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,10.714528599882584,16.652746623927047,227.08290850809607,162.20575451696772,1,attempt_01,study_results/observed_2021_1pct_vs_10pct_k15_20260803/observed_1pct/raw_scan/results_single.csv,study_results/observed_2021_1pct_vs_10pct_k15_20260803/observed_1pct/raw_scan/results_single.csv,False,False,attempt_01,0.0
2021,0.066,0.0021315715,0.061203964125,0.070796035875,142111833.7144397,1.64,0.06250422274,0.06949577726,0.0069915545199999,0.0,1.0,8000,0.000125,True,6593.7407858339175,2.282851246752914e-05,0.0059502195302774,2.515082920649211,4358.5269640996785,1735.4970353948418,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,6.24**2 * RBF(length_scale=0.349),0.0349645655591176,0.4767895303516045,0.1291152151834926,0.348967431557061,0.0317859686901069,38.875865177871546,1214.2847226403676,401,34,367,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,10.978662785434418,16.403186831461046,223.67982042901423,163.7136880264448,1,attempt_01,study_results/observed_2021_1pct_vs_10pct_k15_20260803/observed_1pct/raw_scan/results_single.csv,study_results/observed_2021_1pct_vs_10pct_k15_20260803/observed_1pct/raw_scan/results_single.csv,False,False,attempt_01,0.0
2021,0.067,0.002141617875,0.06218135978125,0.07181864021875,146102649.7339588,1.64,0.063487746685,0.070512253315,0.00702450663,0.0,1.0,8000,0.000125,True,6203.89144722307,2.0580277057525782e-05,0.0142278755994269,2.190945298033148,3903.980364971264,1782.6388511017242,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,6.3**2 * RBF(length_scale=0.345),0.034610636295701,0.4719632222141046,0.1278082447614374,0.3450877540068245,0.0314642148142736,39.655516801376784,1206.8188414630774,400,35,365,416,16,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,10.967626430336871,16.16097656810088,220.37695320137564,161.13413977123463,1,attempt_01,study_results/observed_2021_1pct_vs_10pct_k15_20260803/observed_1pct/raw_scan/results_single.csv,study_results/observed_2021_1pct_vs_10pct_k15_20260803/observed_1pct/raw_scan/results_single.csv,False,False,attempt_01,0.0
2021,0.068,0.002151836,0.063158369,0.072841631,149642271.251155,1.64,0.06447098896,0.07152901104,0.00705802208,0.0,1.0,8000,0.000125,True,4794.651487142319,1.5300786767080663e-05,0.1001278676369905,1.280823307977956,2341.6723903653074,1828.9302172418256,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,6.4**2 * RBF(length_scale=0.334),0.0342697008691363,0.4673141027609495,0.1265492572619316,0.3340611391839565,0.0311542735173966,40.96172902195945,1205.8025047340825,400,37,363,416,16,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,10.722803052923569,15.92579586415336,217.1699436020912,155.24470228398286,1,attempt_01,study_results/observed_2021_1pct_vs_10pct_k15_20260803/observed_1pct/raw_scan/results_single.csv,study_results/observed_2021_1pct_vs_10pct_k15_20260803/observed_1pct/raw_scan/results_single.csv,False,False,attempt_01,0.0
2021,0.069,0.002162225875,0.06413499178125,0.07386500821875,152777515.08758238,1.64,0.065453949565,0.072546050435,0.00709210087,0.0,1.0,8000,0.000125,True,3754.456610117467,1.1565341974858455e-05,0.270079870927614,0.6125714482995768,1112.3673357276489,1816.94640237004,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,6.41**2 * RBF(length_scale=0.333),0.0339412013307978,0.4628345636017883,0.1253361923231284,0.3326025660704387,0.0308556375734525,41.0610502376565,1209.677383249309,401,39,362,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,10.779312703510683,15.697343058942815,214.05467807649293,153.8241540423887,1,attempt_01,study_results/observed_2021_1pct_vs_10pct_k15_20260803/observed_1pct/raw_scan/results_single.csv,study_results/observed_2021_1pct_vs_10pct_k15_20260803/observed_1pct/raw_scan/results_single.csv,False,False,attempt_01,0.0
