variant,dataset,seed,n_restarts,lml,const_opt,ls_opt,ls_lo,ls_hi,const_at_lower,const_at_upper,ls_at_lower,ls_at_upper,bin_width_GeV,n_train,train_domain_lo_GeV,train_domain_hi_GeV,selected
common_0p5MeV,2015,20260806,12,537.18617890973007,53.371843709146603,0.35481349961221975,0.050503159861965852,0.40402527889572681,False,False,False,False,0.00050000000000000044,212,0.014,0.13500000000000001,True
common_0p5MeV,2015,20260807,12,537.18617885862022,53.363813804276994,0.35480998193578756,0.050503159861965852,0.40402527889572681,False,False,False,False,0.00050000000000000044,212,0.014,0.13500000000000001,False
common_0p5MeV,2016,20260907,12,1192.3450127944748,102.96849369525177,0.40344440428944356,0.036155241837688527,0.48206989116918031,False,False,False,False,0.00050000000000000044,336,0.029999999999999999,0.20999999999999999,False
common_0p5MeV,2016,20260908,12,1192.3450136531346,102.99208309910243,0.40343776017924382,0.036155241837688527,0.48206989116918031,False,False,False,False,0.00050000000000000044,336,0.029999999999999999,0.20999999999999999,True
common_0p5MeV,2021,20261008,12,2033.3502386345865,64.356660976521937,0.3184336921880363,0.035332080472152819,0.4818010973475384,False,False,False,False,0.00050000000000000044,500,0.040000000000000001,0.29999999999999999,True
common_0p5MeV,2021,20261009,12,2033.3502370089893,64.369320740268208,0.318436011309367,0.035332080472152819,0.4818010973475384,False,False,False,False,0.00050000000000000044,500,0.040000000000000001,0.29999999999999999,False
common_1p25MeV,2015,20260806,12,190.66429907403258,55.518160687986999,0.36090976681839515,0.050503159861965852,0.40402527889572681,False,False,False,False,0.0012500000000000011,84,0.014,0.13399999999999998,True
common_1p25MeV,2015,20260807,12,190.66429902865448,55.517866227504449,0.3609096747498427,0.050503159861965852,0.40402527889572681,False,False,False,False,0.0012500000000000011,84,0.014,0.13399999999999998,False
common_1p25MeV,2016,20260907,12,506.78041611084228,105.49625705752887,0.40889082273483657,0.036155241837688527,0.48206989116918031,False,False,False,False,0.0012500000000000011,134,0.029999999999999999,0.20999999999999999,False
common_1p25MeV,2016,20260908,12,506.78041613562624,105.49567559344541,0.40889047492615865,0.036155241837688527,0.48206989116918031,False,False,False,False,0.0012500000000000011,134,0.029999999999999999,0.20999999999999999,True
common_1p25MeV,2021,20261008,12,834.33323102019551,76.608124570546437,0.32081651273296335,0.035332080472152819,0.4818010973475384,False,False,False,False,0.0012500000000000011,200,0.040000000000000001,0.29999999999999999,False
common_1p25MeV,2021,20261009,12,834.33323126554876,76.608235664045594,0.32081646588242035,0.035332080472152819,0.4818010973475384,False,False,False,False,0.0012500000000000011,200,0.040000000000000001,0.29999999999999999,True
