mass_GeV,seed,finite_success,warning_free,lml,constant,length,warnings,error,n_train,train_centers_sha256,train_counts_sha256
0.039,2711,True,True,2360.806355872829,79.02729415078582,0.38971988521060286,,,688,dd6e2554360e136150fa2cef795e23618f4fbae6069e2582ec2359acd7a0a6f3,e72a12e0add7355bca380cfeb8bd47b9510c65156ca3e10c8280b1a7f372d468
0.039,6043,True,True,2360.8063568143643,79.03419135767776,0.3897245051211612,,,688,dd6e2554360e136150fa2cef795e23618f4fbae6069e2582ec2359acd7a0a6f3,e72a12e0add7355bca380cfeb8bd47b9510c65156ca3e10c8280b1a7f372d468
0.039,9151,True,True,2360.8063563652004,79.02305580997607,0.3897150950356895,,,688,dd6e2554360e136150fa2cef795e23618f4fbae6069e2582ec2359acd7a0a6f3,e72a12e0add7355bca380cfeb8bd47b9510c65156ca3e10c8280b1a7f372d468
0.04,2711,True,True,2355.974934279234,91.6159917872147,0.39837088871037724,,,688,d42d0c78047c695731f2eb5f4add084af8b0abf9c74f98ee0657760bbf401810,d1adbc789515953d1929b221669c3bbc78cbf18a53981c221d8bada708eb2884
0.04,6043,True,True,2355.974936588825,91.62686755545577,0.3983663074637922,,,688,d42d0c78047c695731f2eb5f4add084af8b0abf9c74f98ee0657760bbf401810,d1adbc789515953d1929b221669c3bbc78cbf18a53981c221d8bada708eb2884
0.04,9151,True,True,2355.974934537733,91.6191437396586,0.39837388014911956,,,688,d42d0c78047c695731f2eb5f4add084af8b0abf9c74f98ee0657760bbf401810,d1adbc789515953d1929b221669c3bbc78cbf18a53981c221d8bada708eb2884
0.041,2711,True,True,2353.247314693692,94.80905408025096,0.40854039610113446,,,688,ef57b69bdf0c42d002e6c320505abb4d4a438a5367d1ac2b7c0982b87b68672f,9bc64dd2b750617bb5cab0be75da9d16cc72f9a5ddd4d23fc96253e60fa2e80c
0.041,6043,True,True,2353.2473137492384,94.7738056281518,0.40853234454784937,,,688,ef57b69bdf0c42d002e6c320505abb4d4a438a5367d1ac2b7c0982b87b68672f,9bc64dd2b750617bb5cab0be75da9d16cc72f9a5ddd4d23fc96253e60fa2e80c
0.041,9151,True,True,2353.2473140263805,94.7902981867494,0.40853793078820994,,,688,ef57b69bdf0c42d002e6c320505abb4d4a438a5367d1ac2b7c0982b87b68672f,9bc64dd2b750617bb5cab0be75da9d16cc72f9a5ddd4d23fc96253e60fa2e80c
0.042,2711,True,True,2339.8741146128878,89.17994726640781,0.3970050693245547,,,686,0c1a9c7bf9263a903eaf3359a714c337a334bf4f377b195a6f6fa42747b39759,d7b9578a13bb43f1dad7b9246159b86573bd77fe6ab2c339b92f87db565357e1
