dataset_set,mass_GeV,sigma_mass_res_GeV,sigma_mass_res_min_GeV,cls_alpha,eps2_obs,p0_analytic,Z_analytic,eps2_lo2,eps2_lo1,eps2_med,eps2_hi1,eps2_hi2,eps2_mean,ul_eps2_obs,toy_eps2_uls_q02,toy_eps2_uls_q16,toy_eps2_uls_q50,toy_eps2_uls_q84,toy_eps2_uls_q97,toy_eps2_uls_mean,p_strong,p_weak,p_two,meta,cls_statistic,cls_calibration,combined_mode,global_method,bands_refit_gp_on_toy,bands_train_exclude_nsigma,bands_refit_restarts,bands_refit_optimize,bands_seed_sequence_index,n_toys_requested,n_toys_finite,gp_lml_by_dataset,gp_ls_opt_by_dataset,gp_const_opt_by_dataset,gp_state_sha256_by_dataset,observed_gp_fit_mode,observed_gp_optimizer_restarts,row_source,band_branch_repair_applied,selected_attempt,bands_n_toys,bands_seed,mvn_trunc_method,mvn_trunc_max_tries,toy_construction,inner_cls,coverage_calibration
2021,0.213,0.005451437875,0.005451437875,0.1,7.436677729459234e-06,0.2583769163881411,0.6483573749169861,3.818446098414776e-06,4.414194649612988e-06,5.668111052595041e-06,7.830647874498673e-06,1.169617273648982e-05,6.258854594568968e-06,7.436677729459234e-06,3.818446098414776e-06,4.414194649612988e-06,5.668111052595041e-06,7.830647874498673e-06,1.169617273648982e-05,6.258854594568968e-06,0.79,0.21,0.42,"[{""const_opt"": 54.154656036832414, ""dens"": 87692400.078589, ""key"": ""2021"", ""lml"": 1568.3401173971208, ""ls_opt"": 0.3016594512188045, ""sigma"": 0.005451437875, ""state_sha256"": ""93f9adf48c471aa515daf3c33ef4bdac57fc29031bb801d5162f154ee55d9abf""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,194,100,100,"{""2021"": 1568.3401173971208}","{""2021"": 0.3016594512188045}","{""2021"": 54.154656036832414}","{""2021"": ""93f9adf48c471aa515daf3c33ef4bdac57fc29031bb801d5162f154ee55d9abf""}",fixed_reviewed_max_lml,0,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/ul_bands_combined_all.csv,False,,100,24680,reject_then_clip,80,conditional GP posterior MVN then Poisson,asymptotic tilde_q_mu at alpha=0.1,False
2021,0.214,0.0054867315,0.0054867315,0.1,7.081020312782583e-06,0.318393714669096,0.4721952507397815,3.835597885538494e-06,4.5416381527415115e-06,5.655260787300386e-06,8.026603005711764e-06,1.119626488564424e-05,6.1552238767767035e-06,7.081020312782583e-06,3.835597885538494e-06,4.5416381527415115e-06,5.655260787300386e-06,8.026603005711764e-06,1.119626488564424e-05,6.1552238767767035e-06,0.73,0.27,0.54,"[{""const_opt"": 53.37000043805919, ""dens"": 85297275.72952412, ""key"": ""2021"", ""lml"": 1567.2598596102268, ""ls_opt"": 0.3003197056007259, ""sigma"": 0.0054867315, ""state_sha256"": ""3239b48f2d6269c44a610aeeb9a6241371df5e512c71b1062472a1c0619aa6f1""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,195,100,100,"{""2021"": 1567.2598596102268}","{""2021"": 0.3003197056007259}","{""2021"": 53.37000043805919}","{""2021"": ""3239b48f2d6269c44a610aeeb9a6241371df5e512c71b1062472a1c0619aa6f1""}",fixed_reviewed_max_lml,0,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/ul_bands_combined_all.csv,False,,100,24680,reject_then_clip,80,conditional GP posterior MVN then Poisson,asymptotic tilde_q_mu at alpha=0.1,False
2021,0.215,0.005522196875,0.005522196875,0.1,6.2779471168885645e-06,0.4605546018989829,0.0990366082395545,3.887040625473197e-06,4.4281445783486385e-06,5.736597692024576e-06,8.007409776390664e-06,1.2063162218352178e-05,6.326001378223003e-06,6.2779471168885645e-06,3.887040625473197e-06,4.4281445783486385e-06,5.736597692024576e-06,8.007409776390664e-06,1.2063162218352178e-05,6.326001378223003e-06,0.64,0.36,0.72,"[{""const_opt"": 53.640006857887464, ""dens"": 82936171.06195708, ""key"": ""2021"", ""lml"": 1564.4436660485346, ""ls_opt"": 0.3006239619785524, ""sigma"": 0.0055221968750000005, ""state_sha256"": ""f75b84491d23155f12f08b5666c883d344635682785ddeb582a3d8d23773e184""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,196,100,100,"{""2021"": 1564.4436660485346}","{""2021"": 0.3006239619785524}","{""2021"": 53.640006857887464}","{""2021"": ""f75b84491d23155f12f08b5666c883d344635682785ddeb582a3d8d23773e184""}",fixed_reviewed_max_lml,0,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/ul_bands_combined_all.csv,False,,100,24680,reject_then_clip,80,conditional GP posterior MVN then Poisson,asymptotic tilde_q_mu at alpha=0.1,False
2021,0.216,0.0055578339999999,0.0055578339999999,0.1,5.645460268490143e-06,0.5,0.0,3.780946394781805e-06,4.538262629594006e-06,5.79749683699084e-06,8.541910127669794e-06,1.069258156716936e-05,6.3542746820099464e-06,5.645460268490143e-06,3.780946394781805e-06,4.538262629594006e-06,5.79749683699084e-06,8.541910127669794e-06,1.069258156716936e-05,6.3542746820099464e-06,0.47,0.53,0.94,"[{""const_opt"": 53.945342500871064, ""dens"": 80666190.61149085, ""key"": ""2021"", ""lml"": 1565.4712782593808, ""ls_opt"": 0.3010850023071955, ""sigma"": 0.005557833999999999, ""state_sha256"": ""35d2f2cf349b599be55bb7a44ba8de7501a684d6971b13576b0eec14487e4d53""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,197,100,100,"{""2021"": 1565.4712782593808}","{""2021"": 0.3010850023071955}","{""2021"": 53.945342500871064}","{""2021"": ""35d2f2cf349b599be55bb7a44ba8de7501a684d6971b13576b0eec14487e4d53""}",fixed_reviewed_max_lml,0,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/ul_bands_combined_all.csv,False,,100,24680,reject_then_clip,80,conditional GP posterior MVN then Poisson,asymptotic tilde_q_mu at alpha=0.1,False
2021,0.217,0.005593642875,0.005593642875,0.1,5.354362756308227e-06,0.5,0.0,4.04573254118828e-06,4.7645814769670366e-06,6.15211154818758e-06,9.122288815266125e-06,1.118731788438602e-05,6.758063476386233e-06,5.354362756308227e-06,4.04573254118828e-06,4.7645814769670366e-06,6.15211154818758e-06,9.122288815266125e-06,1.118731788438602e-05,6.758063476386233e-06,0.32,0.68,0.64,"[{""const_opt"": 53.71200967018618, ""dens"": 78431109.94118327, ""key"": ""2021"", ""lml"": 1567.0386063082472, ""ls_opt"": 0.3008556118943075, ""sigma"": 0.005593642875000001, ""state_sha256"": ""0d98d2e68edb61ad3ccb14bc77801e17233e403ab8db25052e08ad6ef7fed765""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,198,100,100,"{""2021"": 1567.0386063082472}","{""2021"": 0.3008556118943075}","{""2021"": 53.71200967018618}","{""2021"": ""0d98d2e68edb61ad3ccb14bc77801e17233e403ab8db25052e08ad6ef7fed765""}",fixed_reviewed_max_lml,0,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/ul_bands_combined_all.csv,False,,100,24680,reject_then_clip,80,conditional GP posterior MVN then Poisson,asymptotic tilde_q_mu at alpha=0.1,False
2021,0.218,0.0056296235,0.0056296235,0.1,5.157057215578934e-06,0.5,0.0,4.231344215052884e-06,5.068544977271485e-06,6.573511379227672e-06,9.085272737374525e-06,1.1702596753227184e-05,6.9984258288996e-06,5.157057215578934e-06,4.231344215052884e-06,5.068544977271485e-06,6.573511379227672e-06,9.085272737374525e-06,1.1702596753227184e-05,6.9984258288996e-06,0.21,0.79,0.42,"[{""const_opt"": 53.38250652947772, ""dens"": 76236851.52538474, ""key"": ""2021"", ""lml"": 1567.2639764063022, ""ls_opt"": 0.3003500981489427, ""sigma"": 0.0056296235, ""state_sha256"": ""59932dec335a450561f5967ff121dfa1959ed5df99dd261c9a5519dc09afb64e""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,199,100,100,"{""2021"": 1567.2639764063022}","{""2021"": 0.3003500981489427}","{""2021"": 53.38250652947772}","{""2021"": ""59932dec335a450561f5967ff121dfa1959ed5df99dd261c9a5519dc09afb64e""}",fixed_reviewed_max_lml,0,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/ul_bands_combined_all.csv,False,,100,24680,reject_then_clip,80,conditional GP posterior MVN then Poisson,asymptotic tilde_q_mu at alpha=0.1,False
2021,0.219,0.005665775875,0.005665775875,0.1,4.94068779325718e-06,0.5,0.0,4.30758302353071e-06,4.980502329435405e-06,6.428756845612917e-06,9.50786992057829e-06,1.2961297956003998e-05,7.049499840240935e-06,4.94068779325718e-06,4.30758302353071e-06,4.980502329435405e-06,6.428756845612917e-06,9.50786992057829e-06,1.2961297956003998e-05,7.049499840240935e-06,0.14,0.86,0.28,"[{""const_opt"": 53.44605779411441, ""dens"": 74103158.47642389, ""key"": ""2021"", ""lml"": 1564.3636301099407, ""ls_opt"": 0.3002692022533738, ""sigma"": 0.005665775875, ""state_sha256"": ""eda4f40b02ca5a310a74440768772e4f45a0b6114468d66ac847a98cf74222e3""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,200,100,100,"{""2021"": 1564.3636301099407}","{""2021"": 0.3002692022533738}","{""2021"": 53.44605779411441}","{""2021"": ""eda4f40b02ca5a310a74440768772e4f45a0b6114468d66ac847a98cf74222e3""}",fixed_reviewed_max_lml,0,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/ul_bands_combined_all.csv,False,,100,24680,reject_then_clip,80,conditional GP posterior MVN then Poisson,asymptotic tilde_q_mu at alpha=0.1,False
2021,0.22,0.0057021,0.0057021,0.1,4.96544763055723e-06,0.5,0.0,4.262621759657301e-06,5.0618480464548935e-06,6.1904840727670545e-06,9.592660161581295e-06,1.238591542508674e-05,7.0743632875375854e-06,4.96544763055723e-06,4.262621759657301e-06,5.0618480464548935e-06,6.1904840727670545e-06,9.592660161581295e-06,1.238591542508674e-05,7.0743632875375854e-06,0.13,0.87,0.26,"[{""const_opt"": 53.636323201680135, ""dens"": 72056230.15568508, ""key"": ""2021"", ""lml"": 1562.8048969071167, ""ls_opt"": 0.3008070701755048, ""sigma"": 0.005702100000000001, ""state_sha256"": ""a2b36d3506ac76c1c8bc3f5ecfd53fafadaad9c7cf870fd1d82d26bfa57879f5""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,201,100,100,"{""2021"": 1562.8048969071167}","{""2021"": 0.3008070701755048}","{""2021"": 53.636323201680135}","{""2021"": ""a2b36d3506ac76c1c8bc3f5ecfd53fafadaad9c7cf870fd1d82d26bfa57879f5""}",fixed_reviewed_max_lml,0,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/ul_bands_combined_all.csv,False,,100,24680,reject_then_clip,80,conditional GP posterior MVN then Poisson,asymptotic tilde_q_mu at alpha=0.1,False
2021,0.221,0.005738595875,0.005738595875,0.1,4.919345423712733e-06,0.4999655646006563,8.631674575031098e-05,4.443668468069791e-06,4.986684299696392e-06,6.4663319121306616e-06,9.652634219485338e-06,1.228783810117259e-05,7.13878133851686e-06,4.919345423712733e-06,4.443668468069791e-06,4.986684299696392e-06,6.4663319121306616e-06,9.652634219485338e-06,1.228783810117259e-05,7.13878133851686e-06,0.13,0.87,0.26,"[{""const_opt"": 53.79294405196447, ""dens"": 70072537.02592257, ""key"": ""2021"", ""lml"": 1568.169016424454, ""ls_opt"": 0.3009667522220092, ""sigma"": 0.005738595875, ""state_sha256"": ""5bcf96b5030a9c26659fec25bd9b7d3921186d77f0ee4d3362636d83005a3b87""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,202,100,100,"{""2021"": 1568.169016424454}","{""2021"": 0.3009667522220092}","{""2021"": 53.79294405196447}","{""2021"": ""5bcf96b5030a9c26659fec25bd9b7d3921186d77f0ee4d3362636d83005a3b87""}",fixed_reviewed_max_lml,0,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/ul_bands_combined_all.csv,False,,100,24680,reject_then_clip,80,conditional GP posterior MVN then Poisson,asymptotic tilde_q_mu at alpha=0.1,False
2021,0.222,0.0057752635,0.0057752635,0.1,4.924530232980653e-06,0.5,0.0,4.714582145468642e-06,5.3671476448115646e-06,6.9132126590475164e-06,9.240224398878171e-06,1.2098201302139517e-05,7.38184145378738e-06,4.924530232980653e-06,4.714582145468642e-06,5.3671476448115646e-06,6.9132126590475164e-06,9.240224398878171e-06,1.2098201302139517e-05,7.38184145378738e-06,0.08,0.92,0.16,"[{""const_opt"": 53.87289863290136, ""dens"": 68109664.16035153, ""key"": ""2021"", ""lml"": 1566.389386635448, ""ls_opt"": 0.3008048621643082, ""sigma"": 0.005775263500000001, ""state_sha256"": ""5877bdd00288854c56da56a2f53cbf4a94569c204580625278d2c4315e81baa1""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,203,100,100,"{""2021"": 1566.389386635448}","{""2021"": 0.3008048621643082}","{""2021"": 53.87289863290136}","{""2021"": ""5877bdd00288854c56da56a2f53cbf4a94569c204580625278d2c4315e81baa1""}",fixed_reviewed_max_lml,0,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/ul_bands_combined_all.csv,False,,100,24680,reject_then_clip,80,conditional GP posterior MVN then Poisson,asymptotic tilde_q_mu at alpha=0.1,False
