model,scenario,toy_index,status,accepted_rows,raw_primary_rows,excluded_rows,success_marker_sha256,optimizer_attempts_sha256,accepted_rows_sha256,raw_primary_rows_sha256,exclusions_sha256
knot_spline,2021_1pct,11,pass,20,20,0,c400751cb7b582e2936cea94dea37890b08b7bdb23e10672d0a319229197e9c4,7e842d2647d6566009fd44e292c44529547faa572433ba1e6fc875ecd5eefe2b,6228c2256d2bb1bef2611fcfd0b63f40ac23f35e0cc8f4ec0bd34e4ee1f29e1c,8631ee6dd0d1496944678c2c172644476fd2bcc22935b1628628ff4d374ff8ee,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct,12,pass,20,20,0,56c48c308b6b98193f95a605ea86f9c53fc1d42412524b8ababf2a81d9e762af,f37a4a51b9d16e4cca91ba8f54b2d05e25af8e51f357b07d45c122f1f5c5996e,981bf6b3a4b79b172fc90c07958cb055c3c4528435730e18220f397b65f4d35a,e220203acec67e83413e3810f3a8e1eec22b00e8b2acea3987ed05c94713a17b,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct,13,pass,20,20,0,7e0e31ea1dfb37ee376d9aa02c13954cf32662c0851a3a43d42bc688a4f09370,40e6299707e0dc0d4c722ea2b0db4e3797e9097574923adb84d14ff34f36ba08,0ea2b0eb507e3e18268714facbe034b5ebf4a99cfbd5266170b92397a9b5eb10,f390e025a2f63d53af5f7618151c06481d4e85f1b43762b663b0a8b7021acbd5,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct,14,pass,20,20,0,d36e382fc4d292798a202ddf93724e5f746ae3124dc9ec1c9df7c1c24db405e7,db598b356de94b93d0090273278fef1ed34bc005d9688c9f77a54f0ee1122589,2cce818f10c4f97c3bd277a0bdda10174e4fa9b2e9c80aaa18bfffa304ba9a36,5735e602c16a4c68e5a69d7f13c6442a455ce37abec6d75aeb0a67df69137e78,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct,15,pass,20,20,0,9b077421b5616c53fed568b60257e5449f5dfd4398ef1a4e691bd4b98537c371,a33ea040f11e68da1f865dbac22867008ef7e8abe24f45446938d7fb810ae69c,8c6ebde8085cb0940c3a3d807e430e92339a625c841e225a62cfc92e3c10c691,3e4ebc17c08fa72c63c21c060570be9edf4d0297597291d0527a1d8e8911387c,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct,16,pass,20,20,0,b492074dc91746bdfe5fe234b79b250b62156f2f4949b17b02e741d012d42dea,962d65fd30cf5c2be61874f4ca61fe2c4a5f50d1f488225e4e68e62621ddfddf,77e97b13e3861948e94339cad0e3348501fe7cd031d09e669f06811b7fe4ab6e,d2170c328ae7250badf4d44588b7719047bf275e9eede866d1263d4771902371,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct,17,pass,20,20,0,8da50a4a055a89c93b4d041fa06dbc9f19e29d19b8448b733b01ac26ffff23fe,f2fa81a49549e5b06d6386aee499c6e192630ee3763aa2817e23092de45fc44e,0839dde9f41179bdbf22fe1a1cb8ed48d9c9f484fd1a70d28416eb058c54b2da,3637a5b3b20146c46d674c42b042ebb77f87aae322524f2444151d56c76b6f95,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct,18,pass,20,20,0,fed96b41f9c4ac18ed5dc70154f7798736caf6a7b0f06dad4c7ab553edbfa132,5fa2b91096229058b8ed4efc4d923c2d8d4bfa724ef9cbf571c3fbb7bf4910f3,1ca1d9c6d094a7bcc138b70cba0ac78646078890f790b42f7a0d345b8f0beb85,7c7186dde1d7de3a86d96b908a48b793ad0760b0dc1fe3f7f4a947b804a2925f,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct,19,pass,20,20,0,0e0edf621c53ca73ddc70a9b4e0952d611f57a76a0972a04a2cda9316947f5d4,5621dec0430189f6fea4662a5bdb52ca8516a0fe02180434892f1eab7dde3915,5d5ff3dc83da6a2ffe3dc370e57a493267dc01672346076fd1b58eb34dafc174,fd99822a8689617be5541556d7cf87d267e263a57f66d2b318aa65ca228f078d,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct_x10,0,pass,20,20,0,d26946fafe546d9bad3995206a51693c49cbae352207b74f8b8a818beb603ee1,f878be64cf65a45e3fa1a3533f6c94575270986f99c63b5ac222c0f2ee8eb97f,17ce0e974008dcdf2443884950ff86b3636a8f460ffd51cd9391501fcc5741f1,24532f24da1a7dd6daa8875c763788d783cbaf79ddf111d72b76a8355d0f5856,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
