toy_index,toy_hist,dataset,mass_GeV,strength,n_toys,inj_nsigma,inj_nsigma_xerr,sigmaA_ref,integral_density,A_per_eps2_unit,f_win,f_train_frac,kernel_ls_policy,signal_model,inj_background_mode,extract_background_mode,refit_kernel_lock_mode,refit_lock_const_opt,refit_lock_ls_opt,refit_tail_alpha_scale,refit_tail_alpha_threshold,refit_tail_alpha_n_bins,refit_tail_alpha_max,refit_tail_alpha_mean,kernel_ls_res_lower_factor,kernel_ls_res_upper_factor,ls_lo,ls_hi,ls_init,initial_ls_opt,initial_const_opt,refit_ls_opt,refit_const_opt,ls_opt,const_opt,n_train,n_train_low,n_train_high,n_blind,A_hat_mean,A_hat_std,sigma_A_mean,Ahat_over_Ainj,sigmaA_over_sigmaAref,pull_mean,pull_std,pull_std_err,pull_q16,pull_q84,pull_q02,pull_q97,cov_1sigma,cov_2sigma,Zhat_mean,delta_z_minus_pull,ainj_over_sigmaAref,Zhat_q16,Zhat_q84,qmu_tilde_mean,qmu_tilde_q16,qmu_tilde_q84,n_source_toys,source_model,source_label,source_root,container,function_tag,success_rate,refit_ok_rate,refit_fallback_rate
9,fSigPowExpQ_toy_9,2021,0.06,0.0,1,0.0,0.0,9136.915261087206,195836480.00000003,379294502.4971334,0.9761256344476862,0.02387436555231387,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,9.0,0.030018519077251286,0.2456060651775105,0.08586460477414265,0.09165914926236293,20.499350473363208,0.08586460477414264,1.0,0.08586460477414264,1.0,1588,90,1498,12,6101.766565956871,,9167.527124560796,,1.0033503499374632,0.6655847845390693,,,0.6655847845390693,0.6655847845390693,0.6655847845390693,0.6655847845390693,1.0,1.0,0.6655847845390693,0.0,0.0,0.6655847845390693,0.6655847845390693,0.0,0.0,0.0,0,functional_form,fSigPowExpQ,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2021_dataset_mod_toys_2.root,fSigPowExpQ,fSigPowExpQ,1.0,1.0,0.0
9,fSigPowExpQ_toy_9,2021,0.06,9136.915261087206,1,1.0,0.0,9136.915261087206,195836480.00000003,379294502.4971334,0.9761256344476862,0.02387436555231387,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,9.0,0.030018519077251286,0.2456060651775105,0.08586460477414265,0.09165914926236293,20.499350473363208,0.08586460477414264,1.0,0.08586460477414264,1.0,1588,90,1498,12,14873.701393920217,,9212.640490190779,1.6278690311669135,1.008287833140587,0.6227081300894454,,,0.6227081300894454,0.6227081300894454,0.6227081300894454,0.6227081300894454,1.0,1.0,1.61448842053015,-0.008219709559295407,1.0,1.61448842053015,1.61448842053015,0.0,0.0,0.0,0,functional_form,fSigPowExpQ,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2021_dataset_mod_toys_2.root,fSigPowExpQ,fSigPowExpQ,1.0,1.0,0.0
9,fSigPowExpQ_toy_9,2021,0.06,18273.830522174412,1,2.0,0.0,9136.915261087206,195836480.00000003,379294502.4971334,0.9761256344476862,0.02387436555231387,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,9.0,0.030018519077251286,0.2456060651775105,0.08586460477414265,0.09165914926236293,20.499350473363208,0.08586460477414264,1.0,0.08586460477414264,1.0,1588,90,1498,12,24515.05128213543,,9243.772021077626,1.341538724045164,1.0116950586644387,0.6751811647593432,,,0.6751811647593432,0.6751811647593432,0.6751811647593432,0.6751811647593432,1.0,1.0,2.652061434037563,-0.023119730721780196,2.0,2.652061434037563,2.652061434037563,0.0,0.0,0.0,0,functional_form,fSigPowExpQ,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2021_dataset_mod_toys_2.root,fSigPowExpQ,fSigPowExpQ,1.0,1.0,0.0
9,fSigPowExpQ_toy_9,2021,0.06,27410.74578326162,1,3.0,0.0,9136.915261087206,195836480.00000003,379294502.4971334,0.9761256344476862,0.02387436555231387,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,9.0,0.030018519077251286,0.2456060651775105,0.08586460477414265,0.09165914926236293,20.499350473363208,0.08586460477414264,1.0,0.08586460477414264,1.0,1588,90,1498,12,34782.98403478019,,9284.299254468322,1.268954311196466,1.016130607450066,0.7940543545028965,,,0.7940543545028965,0.7940543545028965,0.7940543545028965,0.7940543545028965,1.0,1.0,3.746430730142604,-0.04762362436029266,3.0,3.746430730142604,3.746430730142604,0.0,0.0,0.0,0,functional_form,fSigPowExpQ,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2021_dataset_mod_toys_2.root,fSigPowExpQ,fSigPowExpQ,1.0,1.0,0.0
9,fSigPowExpQ_toy_9,2021,0.06,45684.57630543603,1,5.0,0.0,9136.915261087206,195836480.00000003,379294502.4971334,0.9761256344476862,0.02387436555231387,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,9.0,0.030018519077251286,0.2456060651775105,0.08586460477414265,0.09165914926236293,20.499350473363208,0.08586460477414264,1.0,0.08586460477414264,1.0,1588,90,1498,12,53413.43623312799,,9368.990172248328,1.1691787590634237,1.0253997005038993,0.824940552353811,,,0.824940552353811,0.824940552353811,0.824940552353811,0.824940552353811,1.0,1.0,5.701087870851088,-0.12385268150272266,5.0,5.701087870851088,5.701087870851088,0.0,0.0,0.0,0,functional_form,fSigPowExpQ,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2021_dataset_mod_toys_2.root,fSigPowExpQ,fSigPowExpQ,1.0,1.0,0.0
9,fSigPowExpQ_toy_9,2021,0.105,0.0,1,0.0,0.0,3992.2942577264125,43172666.66666671,146328822.23176122,0.9816220990116901,0.018377900988309936,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,9.0,0.021993600468778542,0.17994764019909715,0.06291022574938399,0.09076803799316775,20.448832858799,0.06291022574938399,1.0,0.06291022574938399,1.0,1584,160,1424,16,2218.57494933496,,4013.480008179809,,1.0053066605529877,0.5527808646893265,,,0.5527808646893265,0.5527808646893265,0.5527808646893265,0.5527808646893265,1.0,1.0,0.5527808646893265,0.0,0.0,0.5527808646893265,0.5527808646893265,0.0,0.0,0.0,0,functional_form,fSigPowExpQ,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2021_dataset_mod_toys_2.root,fSigPowExpQ,fSigPowExpQ,1.0,1.0,0.0
9,fSigPowExpQ_toy_9,2021,0.105,3992.2942577264125,1,1.0,0.0,3992.2942577264125,43172666.66666671,146328822.23176122,0.9816220990116901,0.018377900988309936,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,9.0,0.021993600468778542,0.17994764019909715,0.06291022574938399,0.09076803799316775,20.448832858799,0.06291022574938399,1.0,0.06291022574938399,1.0,1584,160,1424,16,6053.5664230548855,,4038.918707351337,1.5163126844518608,1.0116786104968818,0.5103524766608201,,,0.5103524766608201,0.5103524766608201,0.5103524766608201,0.5103524766608201,1.0,1.0,1.498808681649531,-0.011543795011289104,1.0,1.498808681649531,1.498808681649531,0.0,0.0,0.0,0,functional_form,fSigPowExpQ,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2021_dataset_mod_toys_2.root,fSigPowExpQ,fSigPowExpQ,1.0,1.0,0.0
9,fSigPowExpQ_toy_9,2021,0.105,7984.588515452825,1,2.0,0.0,3992.2942577264125,43172666.66666671,146328822.23176122,0.9816220990116901,0.018377900988309936,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,9.0,0.021993600468778542,0.17994764019909715,0.06291022574938399,0.09076803799316775,20.448832858799,0.06291022574938399,1.0,0.06291022574938399,1.0,1584,160,1424,16,10056.990715554075,,4059.8822344508535,1.2595502819075104,1.016929607980082,0.5104586981650631,,,0.5104586981650631,0.5104586981650631,0.5104586981650631,0.5104586981650631,1.0,1.0,2.47716316257001,-0.03329553559505316,2.0,2.47716316257001,2.47716316257001,0.0,0.0,0.0,0,functional_form,fSigPowExpQ,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2021_dataset_mod_toys_2.root,fSigPowExpQ,fSigPowExpQ,1.0,1.0,0.0
9,fSigPowExpQ_toy_9,2021,0.105,11976.882773179237,1,3.0,0.0,3992.2942577264125,43172666.66666671,146328822.23176122,0.9816220990116901,0.018377900988309936,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,9.0,0.021993600468778542,0.17994764019909715,0.06291022574938399,0.09076803799316775,20.448832858799,0.06291022574938399,1.0,0.06291022574938399,1.0,1584,160,1424,16,14601.416895364238,,4074.963667034908,1.2191333230765458,1.020707243497521,0.644063195806285,,,0.644063195806285,0.644063195806285,0.644063195806285,0.644063195806285,1.0,1.0,3.5832017383332304,-0.0608614574730546,3.0,3.5832017383332304,3.5832017383332304,0.0,0.0,0.0,0,functional_form,fSigPowExpQ,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2021_dataset_mod_toys_2.root,fSigPowExpQ,fSigPowExpQ,1.0,1.0,0.0
9,fSigPowExpQ_toy_9,2021,0.105,19961.471288632063,1,5.0,0.0,3992.2942577264125,43172666.66666671,146328822.23176122,0.9816220990116901,0.018377900988309936,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,9.0,0.021993600468778542,0.17994764019909715,0.06291022574938399,0.09076803799316775,20.448832858799,0.06291022574938399,1.0,0.06291022574938399,1.0,1584,160,1424,16,22770.542789057035,,4130.295647837348,1.1407246720348074,1.0345669385075655,0.6801139046537316,,,0.6801139046537316,0.6801139046537316,0.6801139046537316,0.6801139046537316,1.0,1.0,5.513053962851267,-0.1670599418024642,5.0,5.513053962851267,5.513053962851267,0.0,0.0,0.0,0,functional_form,fSigPowExpQ,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2021_dataset_mod_toys_2.root,fSigPowExpQ,fSigPowExpQ,1.0,1.0,0.0
9,fSigPowExpQ_toy_9,2021,0.22,0.0,1,0.0,0.0,234.19192474350797,253866.66666666645,1802851.9531078972,0.9716331135920422,0.028366886407957814,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,9.0,0.022575153667042925,0.1847058027303512,0.06457369340398762,0.09098183083692876,20.44068518428326,0.06457369340398764,1.0,0.06457369340398764,1.0,1568,336,1232,32,-203.0390120957702,,235.36534055195446,,1.0050104879138408,-0.8626546781256073,,,-0.8626546781256073,-0.8626546781256073,-0.8626546781256073,-0.8626546781256073,1.0,1.0,-0.8626546781256073,0.0,0.0,-0.8626546781256073,-0.8626546781256073,0.0,0.0,0.0,0,functional_form,fSigPowExpQ,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2021_dataset_mod_toys_2.root,fSigPowExpQ,fSigPowExpQ,1.0,1.0,0.0
9,fSigPowExpQ_toy_9,2021,0.22,234.19192474350797,1,1.0,0.0,234.19192474350797,253866.66666666645,1802851.9531078972,0.9716331135920422,0.028366886407957814,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,9.0,0.022575153667042925,0.1847058027303512,0.06457369340398762,0.09098183083692876,20.44068518428326,0.06457369340398764,1.0,0.06457369340398764,1.0,1568,336,1232,32,3.354631310805526,,241.73398640673275,0.014324282592064566,1.0322046188035092,-0.9549227928765633,,,-0.9549227928765633,-0.9549227928765633,-0.9549227928765633,-0.9549227928765633,1.0,1.0,0.013877367269164819,-0.031199839854271882,1.0,0.013877367269164819,0.013877367269164819,0.8917073158809217,0.8917073158809217,0.8917073158809217,0,functional_form,fSigPowExpQ,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2021_dataset_mod_toys_2.root,fSigPowExpQ,fSigPowExpQ,1.0,1.0,0.0
9,fSigPowExpQ_toy_9,2021,0.22,468.38384948701594,1,2.0,0.0,234.19192474350797,253866.66666666645,1802851.9531078972,0.9716331135920422,0.028366886407957814,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,9.0,0.022575153667042925,0.1847058027303512,0.06457369340398762,0.09098183083692876,20.44068518428326,0.06457369340398764,1.0,0.06457369340398764,1.0,1568,336,1232,32,265.95253781873504,,246.29421406646128,0.5678089415551197,1.0516768002833914,-0.8219085147231913,,,-0.8219085147231913,-0.8219085147231913,-0.8219085147231913,-0.8219085147231913,1.0,1.0,1.0798164253544709,-0.09827505992233787,2.0,1.0798164253544709,1.0798164253544709,0.6883920454638428,0.6883920454638428,0.6883920454638428,0,functional_form,fSigPowExpQ,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2021_dataset_mod_toys_2.root,fSigPowExpQ,fSigPowExpQ,1.0,1.0,0.0
9,fSigPowExpQ_toy_9,2021,0.22,702.5757742305238,1,3.0,0.0,234.19192474350797,253866.66666666645,1802851.9531078972,0.9716331135920422,0.028366886407957814,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,9.0,0.022575153667042925,0.1847058027303512,0.06457369340398762,0.09098183083692876,20.44068518428326,0.06457369340398764,1.0,0.06457369340398764,1.0,1568,336,1232,32,648.4451029017106,,248.91999073037763,0.9229539740562527,1.0628888720351914,-0.2174621297790659,,,-0.2174621297790659,-0.2174621297790659,-0.2174621297790659,-0.2174621297790659,1.0,1.0,2.6050342561842936,-0.17750361403664047,2.9999999999999996,2.6050342561842936,2.6050342561842936,0.07896236071974272,0.07896236071974272,0.07896236071974272,0,functional_form,fSigPowExpQ,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2021_dataset_mod_toys_2.root,fSigPowExpQ,fSigPowExpQ,1.0,1.0,0.0
9,fSigPowExpQ_toy_9,2021,0.22,1170.95962371754,1,5.0,0.0,234.19192474350797,253866.66666666645,1802851.9531078972,0.9716331135920422,0.028366886407957814,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,9.0,0.022575153667042925,0.1847058027303512,0.06457369340398762,0.09098183083692876,20.44068518428326,0.06457369340398764,1.0,0.06457369340398764,1.0,1568,336,1232,32,935.7251174016045,,258.1631579878598,0.799109634908574,1.1023572152225387,-0.9111854230067846,,,-0.9111854230067846,-0.9111854230067846,-0.9111854230067846,-0.9111854230067846,1.0,1.0,3.6245493923095227,-0.4642651846836927,5.0,3.6245493923095227,3.6245493923095227,0.9655124281634926,0.9655124281634926,0.9655124281634926,0,functional_form,fSigPowExpQ,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2021_dataset_mod_toys_2.root,fSigPowExpQ,fSigPowExpQ,1.0,1.0,0.0
