dataset,mass_GeV,inj_nsigma,comparison_variant,comparison_label,comparison_role,pull_mean_delta_alt_minus_nominal,pull_width_delta_alt_minus_nominal,eps2_exp_ratio_alt_over_nominal,eps2_obs_ratio_alt_over_nominal,eps_exp_ratio_alt_over_nominal,eps_obs_ratio_alt_over_nominal,sigma_A_ratio_alt_over_nominal,Ahat_delta_alt_minus_nominal,sigma_ratio_delta_alt_minus_nominal,eps2_exp_reach_loss_pct_alt_vs_nominal
2015,0.045,0.0,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,10.15234571474172,19.028090793143008,0.079749814217916,0.6306023834418049,0.2824006454531996,0.788918334400641,0.07948051799804207,14452.271647569301,0.0031143328381411095,-92.02501857820839
2015,0.045,1.0,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,9.802692452888241,19.072827709840503,0.07932198308124679,0.41462920213994364,0.2816421183448156,0.6394713773762917,0.07907609049190753,-5815.056242770523,-0.0020429735723985765,-92.06780169187532
2015,0.045,2.0,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,9.555940435938387,19.093869243123542,0.07894568813306611,0.33147651602575634,0.2809732201465239,0.5724597987267885,0.07865890532458095,-25969.824538230176,-0.007088477904908297,-92.10543118669338
2015,0.045,3.0,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,9.18134343974525,19.159451138870818,0.07851725902368006,0.2726538855232511,0.2802097256809601,0.5196448271351318,0.07823170809087103,-45679.61550574471,-0.013267619205128645,-92.148274097632
2015,0.045,5.0,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,8.733959553065874,19.07596415271071,0.07762517333338441,0.21147187703486808,0.27861321309208115,0.45791254588022107,0.07741204876515122,-85167.93118689107,-0.023575064095310516,-92.23748266666156
2015,0.075,0.0,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,-2.0466446248478585,10.480024023027418,0.13125209929378506,0.12454325862969975,0.36229075563363683,0.3529095110277575,0.13065211989865533,-238.82397416796834,-0.0010534218668087902,-86.87479007062149
2015,0.075,1.0,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,-2.2968570115198115,10.449062739822452,0.1300449019124085,0.08569802692353212,0.36062020097565956,0.29301860853119127,0.12943532225580334,-3188.0334781078022,-0.010426141016643298,-86.99550980875915
2015,0.075,2.0,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,-2.630506962106752,10.504344522131294,0.129077163875108,0.06256928937096354,0.3592753449241899,0.25038962994784675,0.12830897061046284,-6238.372862691727,-0.01874736165248736,-87.0922836124892
2015,0.075,3.0,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,-2.7225259617582127,10.468630387745097,0.1275631384752546,0.060531158104130914,0.3571639365352698,0.24497193070360862,0.1272253104948642,-9027.148321902703,-0.02796433446971469,-87.24368615247454
2015,0.075,5.0,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,-3.1911877735740592,10.48719752422761,0.1257301932978815,0.07606066585615001,0.3545883779748482,0.2755456949708769,0.12493546106680943,-14806.239938033861,-0.04806529137031079,-87.42698067021185
2015,0.105,0.0,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,-2.214251368518934,7.0954291512613565,0.19004315193666252,0.18023751728130138,0.435942658164093,0.42454371274776886,0.19074615730647373,-86.14551388849446,-0.013438522702974742,-80.99568480633374
2015,0.105,1.0,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,-2.36085459548978,7.248887811624918,0.1880600724633948,0.12014450154192598,0.4336635489058612,0.3466191533151387,0.18813922166228358,-577.8880576580555,-0.02544841520197516,-81.19399275366052
2015,0.105,2.0,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,-2.4853375886491227,7.043594200296457,0.18464029089248388,0.09080532884686397,0.4297074940120037,0.3013390526666263,0.185531881650407,-1100.7848879518174,-0.0439252726595567,-81.53597091075162
2015,0.105,3.0,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,-2.807047436611311,7.205145988244558,0.182463167984846,0.08203895385026852,0.427158931577494,0.286050082624259,0.18341077551052992,-1667.4876298149734,-0.054197546423623844,-81.7536832015154
2015,0.105,5.0,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,-3.1227226130197843,7.091313709636497,0.17809893878973151,0.07126067391432937,0.4220181668737948,0.26438538112146454,0.17836753039865472,-2738.041659654524,-0.09012723541966117,-82.19010612102686
2015,0.045,0.0,majd_phi_beta_profiled,Majd_phi beta-basis profile,majd_phi_profile_stress,1.4799332658196824,2.5491328129143613,0.5093361310733795,1.0991209290402244,0.7136786346241335,1.0486279246794876,0.5086311168798597,14523.284202278359,-0.4912021482033566,-49.06638689266205
2015,0.045,1.0,majd_phi_beta_profiled,Majd_phi beta-basis profile,majd_phi_profile_stress,0.9795119858447843,2.5670268961092138,0.5081168877485179,0.94680462627936,0.7128239602169164,0.9731033707974422,0.5074526784851314,9338.642104106293,-0.4950290454745283,-49.188311225148205
2015,0.045,2.0,majd_phi_beta_profiled,Majd_phi beta-basis profile,majd_phi_profile_stress,0.4485701340000754,2.6175716086960374,0.5069823658922982,0.9106413021147984,0.7120275593552962,0.9543515864861509,0.5062383879821399,3725.9231118045864,-0.49880760382855716,-49.301763410770185
2015,0.045,3.0,majd_phi_beta_profiled,Majd_phi beta-basis profile,majd_phi_profile_stress,-0.015053439429681282,2.585584619698323,0.5055059486372064,0.8766170603214863,0.7109900155519326,0.9362711803987478,0.5047905483270736,-767.5632320452714,-0.5039343856968026,-49.44940513627935
2015,0.045,5.0,majd_phi_beta_profiled,Majd_phi beta-basis profile,majd_phi_profile_stress,-1.0082959459520424,2.5248673528041046,0.5026981466636352,0.8451150520677472,0.7090121368785209,0.9193145123832999,0.5024675146465706,-10948.69128533978,-0.5114365300778587,-49.73018533363648
2015,0.075,0.0,majd_phi_beta_profiled,Majd_phi beta-basis profile,majd_phi_profile_stress,-0.09071119291239621,1.4803817087132454,0.5383619632321809,0.5425760920003014,0.7337377163256581,0.736556874248083,0.537588479978676,108.3648240081543,-0.46139132789430937,-46.16380367678191
2015,0.075,1.0,majd_phi_beta_profiled,Majd_phi beta-basis profile,majd_phi_profile_stress,-0.4511761632153252,1.451971896518681,0.5365720690671141,0.6621260505933616,0.7325159760312545,0.8144006412108713,0.5357725543367385,-449.94392244877463,-0.4680739189739531,-46.34279309328859
2015,0.075,2.0,majd_phi_beta_profiled,Majd_phi beta-basis profile,majd_phi_profile_stress,-0.7634383127316433,1.573870862988168,0.5345701887194549,0.7478449134165623,0.7311464270943612,0.8656411000147287,0.533940816164576,-966.2503132320799,-0.474950213259397,-46.54298112805451
2015,0.075,3.0,majd_phi_beta_profiled,Majd_phi beta-basis profile,majd_phi_profile_stress,-1.0848649814019995,1.5556082605861148,0.5329269851474607,0.7391594152151717,0.7300258961717188,0.8598303035007673,0.5327321016553198,-1415.0308183337247,-0.48002939363263764,-46.70730148525393
2015,0.075,5.0,majd_phi_beta_profiled,Majd_phi beta-basis profile,majd_phi_profile_stress,-1.6724392696883232,1.5176872393778043,0.530167319581604,0.7576570921451813,0.7281328084575874,0.870583730602447,0.528972472957299,-2267.9639284538443,-0.49622058346981757,-46.9832680418396
2015,0.105,0.0,majd_phi_beta_profiled,Majd_phi beta-basis profile,majd_phi_profile_stress,-0.28027387956801636,1.247861339072498,0.5138406992418952,0.5127619834544823,0.7168261437761027,0.7160182116860655,0.5120397151165066,-4.519886417401324,-0.48341844601047446,-48.615930075810475
2015,0.105,1.0,majd_phi_beta_profiled,Majd_phi beta-basis profile,majd_phi_profile_stress,-0.4777304659308786,1.2269544908209884,0.5123055255467608,0.45263207042496617,0.7157554396413427,0.6687416782827474,0.5101994633943273,-35.100222393821866,-0.4935115894914839,-48.76944744532392
2015,0.105,2.0,majd_phi_beta_profiled,Majd_phi beta-basis profile,majd_phi_profile_stress,-0.7860984763528265,1.4312891200972468,0.5093926780709565,0.5511160119686748,0.7137206314787898,0.7409218190724189,0.5080235685518626,-130.15769046251933,-0.5083868595861472,-49.060732192904354
2015,0.105,3.0,majd_phi_beta_profiled,Majd_phi beta-basis profile,majd_phi_profile_stress,-0.9929162190858115,1.2830654329469784,0.5074173305345581,0.6660322900673894,0.7123311180386059,0.8156352473030415,0.5058411452489868,-198.07000932051074,-0.5156352136357656,-49.2582669465442
2015,0.105,5.0,majd_phi_beta_profiled,Majd_phi beta-basis profile,majd_phi_profile_stress,-1.4792003204044621,1.4569747556177957,0.5043499545538784,0.7435399831937777,0.7101748280857675,0.8621124977536121,0.5022960668676271,-366.1046102636442,-0.5454510783379061,-49.56500454461216
2015,0.045,0.0,profiled_const1em2_1e2,"profiled nuisance, const=[1e-2,1e2]",constant_bound_stress,0.03520599453590578,0.09381451290772225,1.3320862076549818,1.4601730846948398,1.1540524188098633,1.208685271967018,1.3138320711208948,2510.572333691135,-0.0009663458477064957,33.208620765498175
2015,0.045,1.0,profiled_const1em2_1e2,"profiled nuisance, const=[1e-2,1e2]",constant_bound_stress,-0.07844222248338424,0.11078081664727724,1.3355529124253023,1.2326755008430479,1.15555979643132,1.1101945789089893,1.3188131046789182,5213.93846448882,0.001299490319456087,33.55529124253023
2015,0.045,2.0,profiled_const1em2_1e2,"profiled nuisance, const=[1e-2,1e2]",constant_bound_stress,-0.11668213726991214,0.13447042483956873,1.341419504816126,1.177062262473266,1.1581148260706298,1.0849485060740254,1.3227532440317875,10887.69533678089,0.003516997525236709,34.1419504816126
2015,0.045,3.0,profiled_const1em2_1e2,"profiled nuisance, const=[1e-2,1e2]",constant_bound_stress,-0.15086912655116033,0.11860233184698554,1.34419243288112,1.1509361238612126,1.1593166660480165,1.072812004755973,1.3275581286953835,15806.9220367675,0.006990628105128849,34.419243288111986
2015,0.045,5.0,profiled_const1em2_1e2,"profiled nuisance, const=[1e-2,1e2]",constant_bound_stress,-0.32588636567561224,0.20668828619675006,1.3528228524219001,1.1560455749485308,1.1630506877628808,1.0751996452750587,1.3404154216536233,22377.517287928422,0.01276498108097579,35.282285242190014
2015,0.075,0.0,profiled_const1em2_1e2,"profiled nuisance, const=[1e-2,1e2]",constant_bound_stress,-0.022406838235397603,-0.022357988130901507,1.4370461707419089,1.545067487625589,1.1977839573035112,1.2428084247421347,1.4478152571245162,-373.7319846279213,-0.0007343071629841713,43.704617074190885
2015,0.075,1.0,profiled_const1em2_1e2,"profiled nuisance, const=[1e-2,1e2]",constant_bound_stress,-0.0954569507057399,-0.04946888170020658,1.4522028977682193,1.3644542907395332,1.2039470712492497,1.1691928710431458,1.4648133798295238,655.8814374897088,0.00821087300508161,45.22028977682193
2015,0.075,2.0,profiled_const1em2_1e2,"profiled nuisance, const=[1e-2,1e2]",constant_bound_stress,-0.18900183112984342,-0.02628468722932298,1.476668971677738,1.3281687638496007,1.2140178165684286,1.1532237498952473,1.4812413927929078,1474.915826053937,0.01664221727557358,47.66689716777379
2015,0.075,3.0,profiled_const1em2_1e2,"profiled nuisance, const=[1e-2,1e2]",constant_bound_stress,-0.21767214706690602,0.009298605908814372,1.481384045686198,1.2765130312220747,1.2158906072289652,1.1299265569337589,1.499398679652532,2563.4733887181865,0.02826564212980709,48.1384045686198
2015,0.075,5.0,profiled_const1em2_1e2,"profiled nuisance, const=[1e-2,1e2]",constant_bound_stress,-0.4317071684117084,0.02020997009714287,1.5053848708400377,1.3311459959406855,1.2256314622441566,1.1539388592649424,1.5403948787348938,3729.321588000499,0.038433159032396746,50.53848708400377
2015,0.105,0.0,profiled_const1em2_1e2,"profiled nuisance, const=[1e-2,1e2]",constant_bound_stress,0.24657781422447986,0.17586467096958458,1.4914270497397049,1.4759128841519444,1.2212035062005404,1.2147666583979653,1.4761571319701918,61.90022925299792,0.004667928382270481,49.14270497397049
2015,0.105,1.0,profiled_const1em2_1e2,"profiled nuisance, const=[1e-2,1e2]",constant_bound_stress,0.275764397545284,0.16387767041483936,1.514937885892177,1.3188382727397165,1.2307552221078222,1.1482896169191206,1.5082925103687308,367.69367983379544,0.026502866635543576,51.493788589217694
2015,0.105,2.0,profiled_const1em2_1e2,"profiled nuisance, const=[1e-2,1e2]",constant_bound_stress,0.08680983076883908,0.2029816196092984,1.5559649637235884,1.3171080144127696,1.2474048214323734,1.1475893499226066,1.5313578218837964,462.1997558882899,0.04036740689554685,55.59649637235884
2015,0.105,3.0,profiled_const1em2_1e2,"profiled nuisance, const=[1e-2,1e2]",constant_bound_stress,0.15352953245139817,0.24720435306944333,1.586198131059198,1.3927345049128816,1.2594398457212426,1.1804324379728406,1.5828113911827293,780.8985307816906,0.07701097838987181,58.619813105919796
2015,0.105,5.0,profiled_const1em2_1e2,"profiled nuisance, const=[1e-2,1e2]",constant_bound_stress,0.15586229194159185,0.1846027157529252,1.6645182311239604,1.4844557525308961,1.29001849215988,1.217446665766919,1.641179052772228,1365.6065186316937,0.11621557087207202,66.45182311239604
2015,0.045,0.0,profiled_const1em4_1e4,"profiled nuisance, const=[1e-4,1e4]",constant_bound_stress,0.035214359908233434,0.09381946038870059,1.3320978478034706,1.4601595439779231,1.1540573931670557,1.2086796084022318,1.3138289869010646,2510.9344917795343,-0.0009663091826976888,33.209784780347064
2015,0.045,1.0,profiled_const1em4_1e4,"profiled nuisance, const=[1e-4,1e4]",constant_bound_stress,-0.04903570094930555,0.10103426611845945,1.3366550665897894,1.2315336749496886,1.1560483426574697,1.1096848286799552,1.3186484577305013,6214.236711226302,0.0015969523905852157,33.66550665897894
2015,0.045,2.0,profiled_const1em4_1e4,"profiled nuisance, const=[1e-4,1e4]",constant_bound_stress,-0.09305898040816783,0.08070511390731183,1.3416639728603255,1.2015821673839884,1.1582199475530546,1.096254109315791,1.3242818928663247,11239.71457604014,0.004557025235960799,34.16639728603255
2015,0.045,3.0,profiled_const1em4_1e4,"profiled nuisance, const=[1e-4,1e4]",constant_bound_stress,-0.18522389641427078,0.19138012891485057,1.3452773262154951,1.1521374594453302,1.159788596265088,1.0733744729510728,1.3264393407418824,14533.384212306366,0.0067931748574385775,34.52773262154951
2015,0.045,5.0,profiled_const1em4_1e4,"profiled nuisance, const=[1e-4,1e4]",constant_bound_stress,-0.2871013875895232,0.17837657121122263,1.3516805542157206,1.1615774026481254,1.1625464595077577,1.0777859885045098,1.3388010179955068,23505.4055177438,0.012760070760696518,35.16805542157206
2015,0.075,0.0,profiled_const1em4_1e4,"profiled nuisance, const=[1e-4,1e4]",constant_bound_stress,-0.022404020995116014,-0.022363649490290127,1.4370454508161976,1.5450744016963318,1.1977836646633386,1.242811150448589,1.4478138056909564,-373.71107630160304,-0.0007342752046155532,43.70454508161976
2015,0.075,1.0,profiled_const1em4_1e4,"profiled nuisance, const=[1e-4,1e4]",constant_bound_stress,-0.13991289037852878,-0.033869787897206516,1.4540421763972355,1.292876172572415,1.2047827585527893,1.1381098489300896,1.4624448330430657,402.52153045897876,0.01052890988326971,45.404217639723555
2015,0.075,2.0,profiled_const1em4_1e4,"profiled nuisance, const=[1e-4,1e4]",constant_bound_stress,-0.20895625451676486,-0.05451886004508033,1.4578880429604626,1.3242542713296324,1.2063452363905913,1.1512278608607351,1.4699705944885244,1441.4619556625603,0.011982585896256115,45.78880429604626
2015,0.075,3.0,profiled_const1em4_1e4,"profiled nuisance, const=[1e-4,1e4]",constant_bound_stress,-0.2709294824838772,-0.06674816599562206,1.4798361373307152,1.2787377401202193,1.2150356811457794,1.130569118744459,1.498674098246245,2295.0984477115744,0.027750864432287026,47.983613733071515
2015,0.075,5.0,profiled_const1em4_1e4,"profiled nuisance, const=[1e-4,1e4]",constant_bound_stress,-0.4110979323981476,-0.03165512772719503,1.5127523028316614,1.341211336930238,1.2286206121631602,1.158279881835227,1.5365752659883223,3961.274236370884,0.04552246503624646,51.27523028316614
