dataset,variant,variant_label,variant_role,mode,nuisance_profile,lslb,ls_upper,const_lower,const_upper,mass_GeV,inj_nsigma,n_toys,n_source_toys,success_rate,refit_ok_rate,fallback_rate,pull_mean_correct,pull_mean_err,pull_width_correct,pull_width_err,cov_1sigma,cov_2sigma,delta_z_mean,delta_z_width,recovery_bias_mean,recovery_bias_median,sigma_ratio_median,eps2_95_exp_proxy_median,eps2_95_exp_proxy_q16,eps2_95_exp_proxy_q84,eps2_95_obs_proxy_median,eps2_95_obs_proxy_q16,eps2_95_obs_proxy_q84,eps_95_exp_proxy_median,eps_95_obs_proxy_median,A_per_eps2_unit_mean,sigma_A_mean,A_hat_mean,initial_ls_opt_mean,initial_const_opt_mean,refit_ls_opt_mean,refit_const_opt_mean,ls_lo_median,ls_hi_median,nuisance_pull_norm_median,profile_shift_abs_fraction_observed_median,source_root,container,function_tag
2015,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,fixed,False,1.1,8.0,,,0.045,0.0,10,10,1.0,1.0,0.0,10.333815538490015,6.236099954018445,19.720279571169588,4.648114470556186,0.0,0.0,10.333815538490015,19.72027957116959,,,1.0042954187119686,3.001846856924169e-06,3.000913373116675e-06,3.0026503208917663e-06,2.592300645996527e-05,3.0012252759705435e-06,5.120360948262602e-05,0.0017325838672117835,0.0050566395254593634,972107457.5458819,1774.0414448251734,18346.497338987367,0.1535239600959698,20.630941181843674,0.1480374572850532,1.0,0.054893758337545,0.3992273333639637,,,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail
2015,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,fixed,False,1.1,8.0,,,0.045,1.0,10,10,1.0,1.0,0.0,9.940677017926642,6.247418745869382,19.756072733779902,4.6565509998901415,0.0,0.0,9.93683527959656,19.74942342961983,10.098500020788183,12.106504702624509,1.0046156448403791,3.002823146464209e-06,3.0018389339897566e-06,3.0035878471533536e-06,2.6812950606822662e-05,3.002182231000827e-06,5.237796181655537e-05,0.0017328655881099532,0.005141817307356339,972107457.5458819,1774.5985594797276,19422.401094818437,0.1535239600959698,20.630941181843674,0.1480374572850532,1.0,0.054893758337545,0.3992273333639637,,,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail
2015,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,fixed,False,1.1,8.0,,,0.045,2.0,10,10,1.0,1.0,0.0,9.654760462278835,6.254659644083754,19.77897046444276,4.661948046765305,0.0,0.0,9.64644842085955,19.765680508014864,4.907330295814061,5.980857782489553,1.0049397625261942,3.0037524558186107e-06,3.0027776361422834e-06,3.0045055525363815e-06,2.8368315302550792e-05,3.0030809161132596e-06,5.378051687009842e-05,0.0017331337097151176,0.00529530514679302,972107457.5458819,1775.1585896675158,20688.156371714264,0.1535239600959698,20.630941181843674,0.1480374572850532,1.0,0.054893758337545,0.3992273333639637,,,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail
2015,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,fixed,False,1.1,8.0,,,0.045,3.0,10,10,1.0,1.0,0.0,9.207644478111725,6.261266557483768,19.799863359090292,4.666872549259933,0.0,0.0,9.19420920826929,19.779938282473367,3.122935001472233,3.838486499344044,1.0052526222068705,3.0047330303193013e-06,3.0037597327183093e-06,3.005483856186724e-06,2.937593211107206e-05,3.00411064541237e-06,5.50992070543531e-05,0.0017334165772468196,0.0053938198253568066,972107457.5458819,1775.733468655514,21667.497567829116,0.1535239600959698,20.630941181843674,0.1480374572850532,1.0,0.054893758337545,0.3992273333639637,,,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail
2015,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,fixed,False,1.1,8.0,,,0.045,5.0,10,10,1.0,1.0,0.0,8.64926677296738,6.250752192021357,19.766614016077668,4.659035603955192,0.0,0.0,8.623771814426307,19.733457975865516,1.7626131217289263,2.1930535056552447,1.0058837229944877,3.00656430240505e-06,3.005672664497944e-06,3.007329946583087e-06,3.2012294838928714e-05,3.006010982651127e-06,5.751228987875777e-05,0.001733944722995601,0.005633859539873964,972107457.5458819,1776.84100658531,24220.900010840043,0.1535239600959698,20.630941181843674,0.1480374572850532,1.0,0.054893758337545,0.3992273333639637,,,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail
2015,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,fixed,False,1.1,8.0,,,0.075,0.0,10,10,1.0,1.0,0.0,-2.2676900178093815,3.561528620530578,11.262542392754153,2.6546066997724758,0.1,0.3,-2.267690017809381,11.26254239275415,,,0.9984723933395689,1.0457291555585876e-05,1.043981429419881e-05,1.0482124579715896e-05,1.0462917971551531e-05,1.0449069997294332e-05,8.026902242889513e-05,0.0032337735782560838,0.003234643293610917,72913910.05573976,463.7129503287234,-1042.339673418146,0.15312701209680243,20.646554568025426,0.1503501128485578,1.0,0.0557513139721068,0.4054641016153226,,,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail
2015,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,fixed,False,1.1,8.0,,,0.075,1.0,10,10,1.0,1.0,0.0,-2.5980166132284688,3.5523930481015693,11.233653176149048,2.647797446117597,0.1,0.2,-2.5964214787919904,11.218147443170562,-2.4376686234200307,-2.0018737473910595,0.9996563694016838,1.0470464657762885e-05,1.0453171261713676e-05,1.0495098243156634e-05,1.0475356582870348e-05,1.0461520047779202e-05,8.426220691842399e-05,0.0032358097375676936,0.0032365654665514358,72913910.05573976,464.29084687001534,-732.0621085008517,0.15312701209680243,20.646554568025426,0.1503501128485578,1.0,0.0557513139721068,0.4054641016153226,,,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail
2015,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,fixed,False,1.1,8.0,,,0.075,2.0,10,10,1.0,1.0,0.0,-2.9898009760367823,3.565347970332744,11.274620237309911,2.6574534750349734,0.1,0.2,-2.9891426236006446,11.243794465750096,-1.4163446767061079,-1.0963245157320527,1.000936766712035,1.048403161425955e-05,1.0467157701646152e-05,1.0507445243450774e-05,1.0507406570594719e-05,1.0476188141828715e-05,8.84826996939733e-05,0.003237905433840256,0.0032415123726146815,72913910.05573976,464.87790469056927,-450.97294721266235,0.15312701209680243,20.646554568025426,0.1503501128485578,1.0,0.0557513139721068,0.4054641016153226,,,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail
2015,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,fixed,False,1.1,8.0,,,0.075,3.0,10,10,1.0,1.0,0.0,-3.1816752882488784,3.558826043446512,11.253996093616328,2.6525923177476742,0.1,0.1,-3.1846052350179863,11.207714296835865,-1.0094702634560648,-0.8824516701611749,1.0022963505383038,1.04978593344617e-05,1.0480279595772409e-05,1.0522190100466588e-05,1.2958517919157445e-05,1.0488290321149452e-05,9.267639575479766e-05,0.0032400400202314637,0.0035835247504246498,72913910.05573976,465.4857502676431,-76.90432937659489,0.15312701209680243,20.646554568025426,0.1503501128485578,1.0,0.0557513139721068,0.4054641016153226,,,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail
2015,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,fixed,False,1.1,8.0,,,0.075,5.0,10,10,1.0,1.0,0.0,-3.827414088037598,3.5725503648639942,11.297396208635803,2.66282182295919,0.0,0.1,-3.8439353205180096,11.22050815214797,-0.7366107874659928,-0.6028891897688501,1.0048406257684372,1.0522871861388619e-05,1.0503384843460387e-05,1.0545191585357735e-05,2.3177359994247115e-05,1.0513072948549024e-05,0.00010247682102696613,0.003243897628235434,0.004809169347801142,72913910.05573976,466.5726543785683,548.4061921313355,0.15312701209680243,20.646554568025426,0.1503501128485578,1.0,0.0557513139721068,0.4054641016153226,,,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail
2015,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,fixed,False,1.1,8.0,,,0.105,0.0,10,10,1.0,1.0,0.0,-2.5359579250154427,2.4849510595637128,7.858105222270073,1.8521731633148637,0.0,0.0,-2.5359579250154427,7.858105222270073,,,0.9809188097806711,3.777308699012331e-05,3.765706332026083e-05,3.79371557591727e-05,3.782298333202939e-05,3.765706332026083e-05,0.00017734385134971354,0.006145980550611498,0.0061500350494645434,5472861.362611182,125.79060308014076,-313.5984670681383,0.15310824830041148,20.782015756176968,0.1513406992939121,1.0,0.0561186332569755,0.4081355145961858,,,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail
