dataset,variant,variant_label,variant_role,mode,nuisance_profile,lslb,ls_upper,const_lower,const_upper,n_groups,n_nonzero_groups,n_toy_rows,n_source_toys_median,rms_pull_mean_nonzero,median_abs_pull_mean_nonzero,pull_width_median_nonzero,pull_width_rmse_nonzero,cov1_abs_resid_mean_all,cov2_abs_resid_mean_all,sigma_ratio_median_all,eps2_95_exp_proxy_median_nonzero,eps2_95_obs_proxy_median_nonzero,eps_95_exp_proxy_median_nonzero,eps_95_obs_proxy_median_nonzero,success_rate_min,refit_ok_rate_min,fallback_rate_max,ls_hi_median,refit_ls_opt_mean,refit_const_opt_mean,nuisance_pull_norm_median_all,profile_shift_abs_fraction_observed_median_all,score_lower_is_better,eps2_95_exp_proxy_median_nonzero_ratio_vs_profiled_nominal,eps2_95_obs_proxy_median_nonzero_ratio_vs_profiled_nominal,eps_95_exp_proxy_median_nonzero_ratio_vs_profiled_nominal,eps_95_obs_proxy_median_nonzero_ratio_vs_profiled_nominal,eps2_exp_reach_loss_pct_vs_nominal,rank_within_dataset
2015,profiled_lsub12,"profiled nuisance, ls upper=12 sigma",upper_bound_stress,profiled,True,1.1,12.0,,,15,12,150,10.0,0.4928035008301378,0.328410349079976,0.8073900924062691,0.1804025644225313,0.09910000000000005,0.05276666666666665,1.0060321614448808,4.760350170692243e-05,0.00011905036010043407,0.0068995236304894274,0.010892209128383764,1.0,1.0,0.0,0.608196152422984,0.18360079716705788,1.0,,,0.2764287025762468,0.582240390869498,0.6232799915773058,0.7630570610287565,0.7900295757785382,-41.775960913050206,1.0
2015,profiled_const1em2_1e2,"profiled nuisance, const=[1e-2,1e2]",constant_bound_stress,profiled,True,1.1,8.0,0.01,100.0,15,12,150,10.0,0.4714567857459862,0.3810304555404129,0.8249901503320605,0.17971236436130458,0.08602000000000004,0.047899999999999984,1.036326345640096,0.00012092527084300164,0.00024815927270284817,0.010985582720012987,0.0157292007638083,1.0,1.0,0.0,0.4054641016153226,0.15324699891645127,20.69097947769067,,,0.27968553520420936,1.4790419703807338,1.2992208446037081,1.2149572800907662,1.1408644160517358,47.904197038073384,2.0
2015,profiled_nominal,"profiled nuisance, nominal bounds",profile_nominal,profiled,True,1.1,8.0,,,15,12,150,10.0,0.3867072921858237,0.392140254195682,0.7189122921987146,0.2827278893848083,0.11499333333333345,0.04729999999999999,1.0185202414119991,8.175918822092192e-05,0.00019100622787386265,0.009041949787067644,0.01378709033475106,1.0,1.0,0.0,0.4054641016153226,0.1499094231425077,1.0,,,0.2856622229116855,1.0,1.0,1.0,1.0,0.0,3.0
2015,profiled_const1em4_1e4,"profiled nuisance, const=[1e-4,1e4]",constant_bound_stress,profiled,True,1.1,8.0,0.0001,10000.0,15,12,150,10.0,0.48019701804818204,0.38184954912844843,0.781411423369428,0.2033643050407434,0.11038000000000006,0.04609999999999999,1.0316667142607785,0.00012009885649739108,0.0002480687207573733,0.010947131071090542,0.015720981296638563,1.0,1.0,0.0,0.4054641016153226,0.15326278942986116,20.69068921724839,,,0.29171542721336907,1.4689340624673441,1.2987467661064633,1.2107046963197923,1.1402682447806287,46.893406246734415,4.0
2015,profiled_lsub6,"profiled nuisance, ls upper=6 sigma",upper_bound_stress,profiled,True,1.1,6.0,,,15,12,150,10.0,0.5499988376054112,0.3819689711836653,0.7465564090762786,0.2605566584218467,0.1414066666666667,0.04729999999999999,1.0376651111040358,0.00013350765436188694,0.00029307896290192226,0.011554436005451712,0.017091676554793232,1.0,1.0,0.0,0.304098076211492,0.12982536870808248,1.0,,,0.3319918656790199,1.6329376216546478,1.5343948004431915,1.2778699591959226,1.239686992672616,63.293762165464784,5.0
2015,majd_phi_beta_profiled,Majd_phi beta-basis profile,majd_phi_profile_stress,beta_profiled,True,1.1,8.0,,,15,12,150,10.0,1.3200630723176499,1.1201144387724298,2.334429945121671,1.623707896761912,0.42936666666666673,0.4678333333333334,0.5261864166254095,4.363841063029365e-05,0.00013554553935703548,0.0066059067897148585,0.011601859245723148,1.0,1.0,0.0,0.4054641016153226,0.1499094231425077,1.0,0.4425524445970406,0.00631005906257215,1.1374561294756553,0.5337431985305195,0.7096393707463168,0.7305843258677498,0.8415016485733812,-46.62568014694804,6.0
2015,fixed_no_nuisance,"fixed bkg, no nuisance profile",no_profile_baseline,fixed,False,1.1,8.0,,,15,12,150,10.0,6.005470845229575,3.4727160776904515,11.26430816546312,12.972763573645139,0.6493666666666668,0.8811666666666665,1.0022963505383038,1.0490945474360625e-05,2.8872123706811427e-05,0.00323897272703586,0.005344562486074914,1.0,1.0,0.0,0.4054641016153226,0.1499094231425077,1.0,,,5.880953513378496,0.1283151863740744,0.15115802258488711,0.3582161816103468,0.38764977644366866,-87.16848136259256,7.0
2016,profiled_nominal,"profiled nuisance, nominal bounds",profile_nominal,profiled,True,0.9,8.0,,,15,12,150,10.0,0.4140156570333251,0.37488021751024314,1.01595402967793,0.1139838892129789,0.09884666666666668,0.04909999999999999,1.0296705411227025,0.00014296870453032936,0.0003109297957729813,0.011956600518256467,0.017629912064449638,1.0,1.0,0.0,0.3282532244372333,0.11146191522444764,1.0,,,0.24644223997142606,1.0,1.0,1.0,1.0,0.0,1.0
2016,profiled_lsub12,"profiled nuisance, ls upper=12 sigma",upper_bound_stress,profiled,True,0.9,12.0,,,15,12,150,10.0,0.9171394069141464,0.32208891850257726,0.9080607384124468,0.10852614543347097,0.16526000000000002,0.1218333333333334,1.008223800652618,6.901350754975885e-05,0.00017778008004960567,0.008307274291177433,0.013332184589231645,1.0,1.0,0.0,0.49237983665585,0.13651240902662623,1.0,,,0.3979829988324247,0.48271758337936355,0.5717691982771826,0.6947856356405905,0.7562252460757151,-51.728241662063645,2.0
2016,profiled_lsub6,"profiled nuisance, ls upper=6 sigma",upper_bound_stress,profiled,True,0.9,6.0,,,15,12,150,10.0,1.1806096199386,0.8606467215058797,1.0938386042830137,0.1714615233351338,0.23859333333333332,0.17756666666666673,1.0587549886806942,0.00024806677135348745,0.0004562666760017,0.01574940197588308,0.02134078728316037,1.0,1.0,0.0,0.246189918327925,0.09652885013883906,1.0,,,0.6167826938839074,1.7351123951806013,1.467426673816855,1.3172140318508931,1.2104874491231092,73.51123951806014,3.0
