phase,block,mass_GeV,seed,finite_success,warning_free,lml,constant,length,warnings,error
control,L1,0.039,2711,True,True,78.26845841903267,103.16012257465921,0.35815531146052415,,
control,L1,0.039,6043,True,True,78.26845841886012,103.16000063436307,0.35815519663182926,,
control,L1,0.039,9151,True,True,78.26845841773302,103.16007496974024,0.3581525313955426,,
control,L2,0.039,2711,True,True,78.73119696110365,78.32251151420571,0.3215970188740479,,
control,L2,0.039,6043,True,True,78.73119696586816,78.32067155789919,0.3215958188480845,,
control,L2,0.039,9151,True,True,78.73119696206926,78.32349159203744,0.32159757864787925,,
control,L3,0.039,2711,True,True,73.16769890065945,74.76007801963456,0.3124905673624307,,
control,L3,0.039,6043,True,True,73.1676988982052,74.76126797446433,0.3124940524120595,,
control,L3,0.039,9151,True,True,73.16769889588275,74.7582894323622,0.3124913969493521,,
control,L4,0.039,2711,True,True,74.59275513073834,79.54362469561175,0.3180751416145204,,
control,L4,0.039,6043,True,True,74.59275513027913,79.54366106571717,0.31807485932685875,,
control,L4,0.039,9151,True,True,74.59275513464738,79.5436247709953,0.31807552815638224,,
control,L1,0.065,2711,True,True,78.26845841675977,103.15988267346385,0.35815212644513555,,
control,L1,0.065,6043,True,True,78.26845841747185,103.15549042980841,0.3581515794864399,,
control,L1,0.065,9151,True,True,78.26845841623089,103.15916476412696,0.3581544597802346,,
control,L2,0.065,2711,True,True,78.73119696227933,78.32102897916911,0.32159117930327336,,
control,L2,0.065,6043,True,True,78.73119696086117,78.31383986004799,0.32159084895180806,,
control,L2,0.065,9151,True,True,78.73119696532952,78.32232971416002,0.3215969224596883,,
control,L3,0.065,2711,True,True,73.16769889638636,74.7591720370856,0.3124916264315075,,
control,L3,0.065,6043,True,True,73.16769889669894,74.75917007353898,0.3124916832881382,,
control,L3,0.065,9151,True,True,73.16769889549388,74.7595404775567,0.31249194406952113,,
control,L4,0.065,2711,True,True,74.5927551360297,79.54354593696775,0.31807486949707386,,
control,L4,0.065,6043,True,True,74.5927551348309,79.54177808835321,0.3180731422232742,,
control,L4,0.065,9151,True,True,74.59275513294295,79.54206481161759,0.3180744594050047,,
control,L1,0.1,2711,True,True,78.26845841677812,103.16030518849983,0.35815532318428367,,
control,L1,0.1,6043,True,True,78.26845841666051,103.16221737010187,0.35815553487068863,,
control,L1,0.1,9151,True,True,78.26845842003836,103.16052559060417,0.3581556485143676,,
control,L2,0.1,2711,True,True,78.73119696178512,78.3235351673673,0.3215981929093613,,
control,L2,0.1,6043,True,True,78.73119696254913,78.32278530369229,0.3215947534064066,,
control,L2,0.1,9151,True,True,78.73119696321687,78.32247950341564,0.32159719327903313,,
control,L3,0.1,2711,True,True,73.16769889883426,74.75917000193078,0.31249164005512614,,
control,L3,0.1,6043,True,False,73.1676988998612,74.7585266514864,0.3124908624710248,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
control,L3,0.1,9151,True,True,73.16769889899763,74.75959079763885,0.31249248699924537,,
control,L4,0.1,2711,True,True,74.59275513216085,79.54136237392943,0.31807108528534594,,
control,L4,0.1,6043,True,True,74.59275513289694,79.54308982971632,0.3180744802770136,,
control,L4,0.1,9151,True,True,74.59275513293647,79.54337061405877,0.3180745201020417,,
control,L1,0.14,2711,True,True,78.26845841859743,103.15843972692772,0.35815507304344135,,
control,L1,0.14,6043,True,True,78.26845842002835,103.15886237580862,0.3581523148575987,,
control,L1,0.14,9151,True,True,78.26845841950531,103.1594675535757,0.3581548481665005,,
control,L2,0.14,2711,True,True,78.73119696336524,78.32231492866808,0.3215968477663852,,
control,L2,0.14,6043,True,True,78.73119695754227,78.32047815756754,0.3215967940925268,,
control,L2,0.14,9151,True,True,78.73119696016006,78.32241523616703,0.32159625695357386,,
control,L3,0.14,2711,True,True,73.16769889687995,74.75919108684754,0.31249166593691613,,
control,L3,0.14,6043,True,True,73.16769889689985,74.76110298336721,0.3124938699855188,,
control,L3,0.14,9151,True,True,73.16769889621096,74.75762390362297,0.3124901859357093,,
control,L4,0.14,2711,True,True,74.59275513668152,79.5432214043548,0.318074552082252,,
control,L4,0.14,6043,True,True,74.59275513475842,79.54323465958883,0.3180745608129368,,
control,L4,0.14,9151,True,True,74.59275513535138,79.54364387524835,0.31807459135804933,,
control,L1,0.18,2711,True,True,78.26845841620747,103.16399136499777,0.358160993011668,,
control,L1,0.18,6043,True,True,78.26845841235995,103.15794226963233,0.35815408745689137,,
control,L1,0.18,9151,True,True,78.26845841805441,103.16019620352989,0.3581553700039644,,
control,L2,0.18,2711,True,True,78.73119696572456,78.3197290013426,0.3215937825028505,,
control,L2,0.18,6043,True,True,78.73119696256852,78.32236878377593,0.32159665185674846,,
control,L2,0.18,9151,True,True,78.73119696170791,78.32130869354805,0.32159604235812883,,
control,L3,0.18,2711,True,True,73.16769889876616,74.7584428584319,0.31249052280116046,,
control,L3,0.18,6043,True,True,73.16769889620579,74.75986296273906,0.31249249440516,,
control,L3,0.18,9151,True,True,73.1676989007708,74.76117459517374,0.31249343982957656,,
control,L4,0.18,2711,True,True,74.59275513582858,79.5438691526955,0.31807509395465333,,
control,L4,0.18,6043,True,True,74.59275513487356,79.54392585731263,0.31807621399239855,,
control,L4,0.18,9151,True,True,74.59275513426212,79.5433667911942,0.31807476417290986,,
