mass_GeV,mass_MeV,dataset_set,n_active_datasets,hps_v4p2_eps2_obs_ee_channel,N_eff_BR,BR_ee_minimal,dimuon_correction_applied,hps_v4p2_eps2_obs_minimal_visible,density_2015_counts_per_GeV,density_2016_counts_per_GeV,density_2021_10pct_counts_per_GeV,density_current_counts_per_GeV,density_2021_100pct_equivalent_counts_per_GeV,full2021_projection_scale_eps2,hps_v4p2_projected_full2021_eps2_minimal_visible,gp_state_sha256_by_dataset,babar_visible2014_eps2_90_log_interp,hps_v4p2_observed_over_babar,hps_v4p2_projected_full2021_over_babar,hps_v4p2_observed_below_babar_on_grid,hps_v4p2_projected_full2021_below_babar_on_grid
0.019,19,2015,1,9.0910923610199042e-06,1,1,False,9.0910923610199042e-06,282453695.05657667,,,282453695.05657667,282453695.05657667,1,9.0910923610199042e-06,"{""2015"": ""e909a220efc26c8fe70dd4d638bab27f5914adeec07510ade7665d69253917c9""}",,,,False,False
0.02,20,2015,1,1.3250739100729953e-05,1,1,False,1.3250739100729953e-05,379153831.15514982,,,379153831.15514982,379153831.15514982,1,1.3250739100729953e-05,"{""2015"": ""e1092c305c354145dc00de9883b29055e0eccc96cfab187dd8faad042f80ae5e""}",,,,False,False
0.021000000000000001,21,2015,1,2.62940119494728e-05,1,1,False,2.62940119494728e-05,472707141.1161992,,,472707141.1161992,472707141.1161992,1,2.62940119494728e-05,"{""2015"": ""10b61e71bf72b2ea9aa39a77a33752d65d305e476bafa628d60acf1cebcc5ba9""}",3.5698334113537242e-06,7.3656131588229465,7.3656131588229465,False,False
0.021999999999999902,22,2015,1,1.6849498786461963e-05,1,1,False,1.6849498786461963e-05,557319166.63764083,,,557319166.63764083,557319166.63764083,1,1.6849498786461963e-05,"{""2015"": ""3cf40bdb1595310c0228000bd55b8c6425bb46ef11536672b0e3f8620e3c09ff""}",3.1084728006613603e-06,5.4205070679328626,5.4205070679328626,False,False
0.023,23,2015,1,6.6946280075886937e-06,1,1,False,6.6946280075886937e-06,630016895.05618072,,,630016895.05618072,630016895.05618072,1,6.6946280075886937e-06,"{""2015"": ""1f9790410d346ff75881ec048c7061459dd27584dec811a380f4aef92bcb905f""}",2.9031426911024984e-06,2.3059934422466641,2.3059934422466641,False,False
0.024,24,2015,1,6.0227291849163151e-06,1,1,False,6.0227291849163151e-06,691123382.26357746,,,691123382.26357746,691123382.26357746,1,6.0227291849163151e-06,"{""2015"": ""d1042ab0a6b2181ce628bb596c4a9a11734396eb10cd73d26e2067ca3719d160""}",2.4689122565692652e-06,2.4394261759975784,2.4394261759975784,False,False
0.025000000000000001,25,2015,1,7.0867398434493366e-06,1,1,False,7.0867398434493366e-06,738967301.35860705,,,738967301.35860705,738967301.35860705,1,7.0867398434493366e-06,"{""2015"": ""508b43006dc6809282276b8fb42c5b7ed9bd5074000698589894cdac20aba907""}",1.9211849055878185e-06,3.6887338760768738,3.6887338760768738,False,False
0.025999999999999902,26,2015,1,8.504925358416046e-06,1,1,False,8.504925358416046e-06,775313630.78009462,,,775313630.78009462,775313630.78009462,1,8.504925358416046e-06,"{""2015"": ""5aaecaedb9e5a87742e9d072eae446b6e837aacb18f091d5eb0884f60394e72b""}",1.7786138294063034e-06,4.7817717470773111,4.7817717470773111,False,False
0.027,27,2015,1,7.7211668935564625e-06,1,1,False,7.7211668935564625e-06,800922607.86220169,,,800922607.86220169,800922607.86220169,1,7.7211668935564625e-06,"{""2015"": ""504196692d0311568f7937c10e261523e600133d46b878ba55b1ce7dd24ed850""}",1.8577642695975956e-06,4.1561607249712686,4.1561607249712686,False,False
0.028000000000000001,28,2015,1,7.5277366317360178e-06,1,1,False,7.5277366317360178e-06,816392166.02914715,,,816392166.02914715,816392166.02914715,1,7.5277366317360178e-06,"{""2015"": ""bc028c41cb84f3730368cf1626644037b73bd19525e0114d8382c5d8286a34b7""}",2.5011030264802794e-06,3.0097667117414013,3.0097667117414013,False,False
