method,mass_MeV,dataset_set,observed_r,asimov_r,response_sd,z_standardized,p_asymptotic,p_local_common_truth,p_global_gp,gp_k,gp_n,p_global_gp_low,p_global_gp_high,p_global_gp_upper95,p_global_direct,direct_k,direct_n,p_global_direct_low,p_global_direct_high,p_global_direct_upper95,p_global_raw_ordering,raw_gp_k,raw_gp_low,raw_gp_high,raw_gp_upper95
profiled,19,2015,-3.2106186896115254,2.434945801467021,0.9766574822652863,-5.780495817207143,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,20,2015,0.0379656684705785,2.8420797246653087,0.9507856960373088,-2.9492598257228058,0.4848575274371633,0.9984073197437096,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,21,2015,2.5157388880992775,0.20417730885967306,0.9558118731006457,2.41842735405757,0.005939157409582324,0.007793878870490966,0.46799,93598,200000,0.46580116603387955,0.47017976183168353,0.4698280638727251,0.479,479,1000,0.4476384312327394,0.5104855322311783,0.5055052781961478,1.0,200000,0.9999815557728263,1.0,1.0
profiled,22,2015,1.425381870113801,-1.80278238565564,0.9690223146850048,3.3313621439345327,0.07702342293369148,0.0004321104649041315,0.043825,8765,200000,0.04293197166814724,0.044731280093958825,0.044585309004810614,0.04,40,1000,0.028727625285890793,0.054072696819368486,0.051753401352160444,1.0,200000,0.9999815557728263,1.0,1.0
profiled,23,2015,-1.2388229223996416,-1.7577564146466857,0.9485359142613653,0.5470889235133948,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,24,2015,-1.6021946542633738,-0.1865734731215008,0.9562347257160657,-1.480411810062431,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,25,2015,-0.3835725896719329,0.9777830084629738,0.970907960189615,-1.4021469119163867,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,26,2015,0.2952389032830797,1.601691425236315,0.9696130020479402,-1.3473958364768719,0.3839056926344714,0.9110736095891865,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,27,2015,0.1418305444011273,1.1424075152769877,0.9588260932637386,-1.0435437436522053,0.44360692850195427,0.8516517338976501,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,28,2015,0.0980875859786121,0.15550100106152265,0.9615085940854797,-0.05971180646338185,0.4609313724716886,0.5238074158412636,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
