method,mass_MeV,dataset_set,observed_r,asimov_r,response_sd,z_standardized,p_asymptotic,p_local_common_truth,p_global_gp,gp_k,gp_n,p_global_gp_low,p_global_gp_high,p_global_gp_upper95,p_global_direct,direct_k,direct_n,p_global_direct_low,p_global_direct_high,p_global_direct_upper95,p_global_raw_ordering,raw_gp_k,raw_gp_low,raw_gp_high,raw_gp_upper95
profiled,29,2015,0.5157312280073695,-0.6566619317039409,0.9687514047008587,1.2102105390735762,0.30302107041935444,0.1130990575298485,0.999405,199881,200000,0.9992880354496192,0.9995070679010085,0.9994917642293143,0.998,998,1000,0.9927941610885425,0.9997576988831227,0.9996445238665224,1.0,200000,0.9999815557728263,1.0,1.0
profiled,30,2015,1.130478017962521,-1.1228528248997707,0.9690933589050094,2.3251948041500956,0.12913742796095246,0.010030773030862273,0.547935,109587,200000,0.5457506055335389,0.5501180049816609,0.5497675100296222,0.543,543,1000,0.5115367755816964,0.5742093796781235,0.5692920863362156,1.0,200000,0.9999815557728263,1.0,1.0
profiled,31,2015,0.6815264271780445,-1.1301280954129336,0.9621349598649039,1.8829525982980158,0.24776922533836954,0.029853396063835903,0.880415,176083,200000,0.878984933345847,0.8818340306932236,0.8816068459895006,0.893,893,1000,0.872171355882932,0.9114795633574836,0.9087044323863548,1.0,200000,0.9999815557728263,1.0,1.0
profiled,32,2015,-0.0202055444115131,-0.6775103491568718,0.960477124345755,0.684352378712916,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,33,2015,-0.9640901255957576,0.03405670844619521,0.9647945601327514,-1.0345693013698296,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,34,2015,-1.470860325624459,0.4973832173817114,0.9705889866245629,-2.0278857169512823,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,35,2015,-1.7135461529836604,0.7774650009803517,0.9715491425587424,-2.56395795626303,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,36,2015,-0.6415887743974512,0.9043164775934841,0.9670995346735752,-1.5984965317067639,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,37,2015,0.3166513617554132,0.6582346787387107,0.9634239202294831,-0.3545514179281888,0.37575407929542776,0.6385371613307318,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,38,2015,1.604740157854616,0.05868364975532434,0.9642783094749676,1.603330172324515,0.05427550019332956,0.05443088923408668,0.974075,194815,200000,0.9733691430085053,0.974767070666976,0.9746568954886328,0.967,967,1000,0.9539660181829768,0.9771776166505404,0.9757514552729238,1.0,200000,0.9999815557728263,1.0,1.0
profiled,39,2015+2016,1.6135048868724318,2.612173526435649,0.9622264983948403,-1.0378727266700396,0.05331743120495331,0.850335343786079,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,40,2015+2016,1.2432391332114332,-0.6685852317629674,0.9675191697260165,1.9760067033253657,0.10688986304367837,0.024077008998384396,0.826485,165297,200000,0.8248181120635979,0.828142419652992,0.8278768302552757,0.838,838,1000,0.813675345075231,0.8603148884154221,0.8569093521685762,1.0,200000,0.9999815557728263,1.0,1.0
profiled,41,2015+2016,0.2153358545875182,-4.2996501110924585,0.9705214856382969,4.652123659797744,0.4147527386664089,1.64266978164022e-06,0.00024,48,200000,0.00017696219009022746,0.0003181927378733322,0.00030525937381050355,0.0,0,1000,0.0,0.003682083896865671,0.002991249545095295,1.0,200000,0.9999815557728263,1.0,1.0
profiled,42,2015+2016,-0.435548625093287,-5.980184194283927,0.9667370305580458,5.735412417159625,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,43,2015+2016,-1.100240015024094,-5.801114737096173,0.9586641061702056,4.903568092114908,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,44,2015+2016,-1.3040193072767474,-3.977306487561402,0.9568053675370916,2.7939717637307484,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,45,2015+2016,-0.4029607730607632,-1.9151798514564669,0.960588511511603,1.5742631316879305,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,46,2015+2016,-0.8932968386858194,2.153685258256189,0.973326216404128,-3.130483948330117,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,47,2015+2016,-0.1595838838578659,4.637351666798232,0.9779723481763676,-4.904980759017349,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,48,2015+2016,0.3964924981959722,6.154517961605337,0.97696547814819,-5.89378600595339,0.34587087047749365,0.9999999981127704,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,49,2015+2016,0.6996023208623032,6.5549158162135255,0.9727486888072728,-6.019348638270243,0.24208784638026026,0.9999999991243984,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,50,2015+2016+2021,1.4678193101410568,6.086100421468634,0.9653022580682359,-4.784284997498802,0.07107665537343182,0.9999991420146787,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,51,2015+2016+2021,1.221408819224686,3.9079405444433677,0.9681853392071758,-2.774811408958764,0.11096563484153427,0.9972383136678518,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,52,2015+2016+2021,0.8936985675655945,1.16692340337198,0.9709899604813754,-0.281387910201391,0.1857415960049354,0.6107935550330853,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,53,2015+2016+2021,0.4234632353962886,-1.3426648775952743,0.9712932923849846,1.8183262736787595,0.33597865831319146,0.03450713969215025,0.910665,182133,200000,0.9094065024644411,0.9119115802040606,0.9117121645892355,0.916,916,1000,0.897057001008265,0.9324472580294167,0.9300042000455343,1.0,200000,0.9999815557728263,1.0,1.0
profiled,54,2015+2016+2021,0.1394787853569337,-3.7032118790960573,0.9703397862045212,3.9601495466692698,0.4445359094495577,3.7451420932735903e-05,0.00438,876,200000,0.004095290768432387,0.004679217544937262,0.0046307816144690464,0.004,4,1000,0.0010909079877259714,0.010209664683929871,0.009129952563871467,1.0,200000,0.9999815557728263,1.0,1.0
profiled,55,2015+2016+2021,-0.5683086290002352,-5.625989682079866,0.9698067453020754,5.215143200003485,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,56,2015+2016+2021,-0.3651531244495694,-5.756690464852594,0.9689852955434233,5.564106457755233,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,57,2015+2016+2021,-0.7604204827546351,-6.298373618728128,0.9707318824675331,5.704925568012045,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,58,2015+2016+2021,-1.0793006382795192,-5.545973030434334,0.9697912630736969,4.6058080354301785,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,59,2015+2016+2021,-1.2825878749977144,-4.164612554434173,0.9686518878544219,2.9752945465477647,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,60,2015+2016+2021,-1.3918691954880849,-2.261546830392524,0.9692733855020202,0.8972469975062847,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,61,2015+2016+2021,-1.2259822364173314,-0.24342534953050682,0.9717595097556926,-1.011111161787186,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,62,2015+2016+2021,-0.4267586506774395,2.194645501476228,0.9751565129941274,-2.6881881187512042,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,63,2015+2016+2021,0.1689430802693185,4.211972320373547,0.9782436116502714,-4.132947245404182,0.43292070652168346,0.9999820929524137,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,64,2015+2016+2021,1.6457703874752494,6.7928349804198245,0.9799476928031716,-5.2523870720295625,0.04990552058195059,0.9999999249297402,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,65,2015+2016+2021,2.5628618256353413,8.363273275875594,0.9816748022440641,-5.9086893510771334,0.005190667715017133,0.9999999982757986,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,66,2015+2016+2021,2.7601586408223695,8.987000526031471,0.980225984740507,-6.35245543593452,0.0028886649746267417,0.9999999998940476,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,67,2015+2016+2021,2.054371869573021,8.0122315640541,0.9767233117556281,-6.099843858310313,0.01996985677803682,0.9999999994691394,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,68,2015+2016+2021,1.0108553422609914,6.345107368122638,0.9755914419839803,-5.46771096619484,0.1560428353485137,0.999999977205777,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,69,2015+2016+2021,-0.552938489756725,3.652371482634545,0.9758493203889718,-4.309384537681535,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,70,2015+2016+2021,-1.7563198625565672,-0.08464989671747514,0.9758553284728162,-1.713030525185741,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,71,2015+2016+2021,-2.9060527262286913,-4.34712294566344,0.975463305745411,1.477318737616213,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,72,2015+2016+2021,-3.49033909388161,-7.160215369020897,0.9779350133398793,3.7526790891817976,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,73,2015+2016+2021,-3.004738294039544,-9.635880549201715,0.9803807555860368,6.763843759048809,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,74,2015+2016+2021,-1.452419347117753,-11.43844229479664,0.9790972357542234,10.199214728643781,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,75,2015+2016+2021,-0.665900785269954,-10.831120507857815,0.9789990101824114,10.383278856118386,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,76,2015+2016+2021,0.1655686465492273,-8.700091018061123,0.9793535499525367,9.052562953429856,0.43424821155712423,6.982564722193575e-20,0.0,0,200000,0.0,1.8444227173720117e-05,1.4978549188181866e-05,0.0,0,1000,0.0,0.003682083896865671,0.002991249545095295,1.0,200000,0.9999815557728263,1.0,1.0
profiled,77,2015+2016+2021,0.8832856323477757,-5.599486469840698,0.9797907413645813,6.616486386837805,0.18854098230276223,1.8391836509114908e-11,0.0,0,200000,0.0,1.8444227173720117e-05,1.4978549188181866e-05,0.0,0,1000,0.0,0.003682083896865671,0.002991249545095295,1.0,200000,0.9999815557728263,1.0,1.0
profiled,78,2015+2016+2021,1.5294371511854,-1.839116112526774,0.9802235294226622,3.43651540959867,0.06307805420232838,0.00029462441641963066,0.0307,6140,200000,0.029948290949167126,0.03146535143675794,0.03134201802303561,0.026,26,1000,0.01705278634562942,0.037865122478921445,0.03589434150359929,1.0,200000,0.9999815557728263,1.0,1.0
profiled,79,2015+2016+2021,1.8651951116169123,2.2187027767888994,0.9812762736662021,-0.3602529426817047,0.031077030256543993,0.6406710068622503,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,80,2015+2016+2021,1.6570491396701763,5.424543353669543,0.9815286322995821,-3.838394612261757,0.04875477031386549,0.9999380793269237,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,81,2015+2016+2021,1.3827593588556413,7.484830856300552,0.9826277791339486,-6.209952157899554,0.0833693321569926,0.9999999997349963,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,82,2015+2016+2021,0.2618156358537285,8.155927523006088,0.9832840611084567,-8.02831267116577,0.39673179188790686,0.9999999999999996,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,83,2015+2016+2021,-0.6760956729013468,7.706822817228085,0.9825024950848191,-8.532210892152225,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,84,2015+2016+2021,-1.3270416647831007,6.884834245294654,0.9828107433720794,-8.355500756841895,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,85,2015+2016+2021,-1.0180680119036123,4.464011516990753,0.9833456259500999,-5.574926439112015,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,86,2015+2016+2021,-1.0099740001042337,2.6133916815117835,0.9830228928847451,-3.6859423191895493,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,87,2015+2016+2021,-0.949658483524674,0.781513014340776,0.9829148816369692,-1.761262882684528,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,88,2015+2016+2021,-0.4964457173011144,-0.9051526377483918,0.9828371805837142,0.4158439755042065,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,89,2015+2016+2021,0.1718499694253169,-2.0997997746346266,0.9829921986725254,2.3109539904056984,0.4317777399618308,0.010417698192947843,0.560545,112109,200000,0.5583664538919872,0.5627217910916141,0.5623723135620842,0.552,552,1000,0.5205633067622517,0.5831297072680905,0.5782278150328115,1.0,200000,0.9999815557728263,1.0,1.0
profiled,90,2015+2016+2021,1.2484501533736982,-2.8233144431116357,0.9833133381557005,4.140861756357666,0.10593312600405358,1.7300172755104466e-05,0.00222,444,200000,0.002018479406695422,0.0024361579137191424,0.0024010690865220842,0.002,2,1000,0.00024230111687723182,0.007205838911457497,0.006282284546723426,1.0,200000,0.9999815557728263,1.0,1.0
profiled,91,2016+2021,1.984180313650248,-3.0382250268653297,0.9832060855288097,5.108191878017431,0.023617871173766264,1.6262813345056245e-07,5e-05,10,200000,2.3977195520032403e-05,9.194985144442981e-05,8.480961999544005e-05,0.0,0,1000,0.0,0.003682083896865671,0.002991249545095295,1.0,200000,0.9999815557728263,1.0,1.0
profiled,92,2016+2021,2.4158559091818677,-2.998816289584117,0.9843073960535228,5.5009971686442105,0.007849136100718843,1.888246376943138e-08,1e-05,2,200000,1.2110486870274128e-06,3.612296650749235e-05,3.147863004319031e-05,0.0,0,1000,0.0,0.003682083896865671,0.002991249545095295,1.0,200000,0.9999815557728263,1.0,1.0
profiled,93,2016+2021,2.373015821150732,-2.814741294132769,0.9837898363079703,5.273237152715919,0.008821754079419286,6.701908754391846e-08,2.5e-05,5,200000,8.117480179060692e-06,5.8340687798037695e-05,5.2564450062278393e-05,0.0,0,1000,0.0,0.003682083896865671,0.002991249545095295,1.0,200000,0.9999815557728263,1.0,1.0
profiled,94,2016+2021,1.8639506557824324,-1.8795447790949167,0.9831268768740112,3.80774396767619,0.03116431705577949,7.012017933703142e-05,0.00803,1606,200000,0.007643496404701364,0.008430862967325009,0.008366092860763102,0.008,8,1000,0.00345997616532931,0.015702049176074682,0.0143882249520919,1.0,200000,0.9999815557728263,1.0,1.0
profiled,95,2016+2021,1.0134285496017446,-1.3424828290249482,0.9830946167651908,2.396423842069918,0.15542775420087412,0.008277966797096244,0.48631,97262,200000,0.4841172268756941,0.48850316995177634,0.48815095080749493,0.491,491,1000,0.45958074434991225,0.5224723820615839,0.5174977401437697,1.0,200000,0.9999815557728263,1.0,1.0
profiled,96,2016+2021,0.0449384817559687,-0.6884698198194571,0.9826993710285697,0.7463201088729542,0.4820781719039108,0.2277370334489185,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,97,2016+2021,-0.8415079821276258,-0.07706812745648534,0.982612506027604,-0.7779667467917057,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,98,2016+2021,-1.2797564800260286,0.5820413622844132,0.9831730091225297,-1.8936624836477909,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,99,2016+2021,-1.448726068861244,0.9918410545242756,0.9837924561356342,-2.480774383015844,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,100,2016+2021,-1.195323446110317,1.347732600573632,0.984490958671824,-2.5831177262559972,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,101,2016+2021,-0.9714647683474004,1.4490348972736937,0.985448874130565,-2.4562407337028374,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,102,2016+2021,-1.1240895940760678,1.3471259446142,0.9855686588246388,-2.507400693562404,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,103,2016+2021,-0.8331084991854485,1.3667019500698452,0.9863329310067357,-2.230292003948382,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,104,2016+2021,-0.7528591216616587,1.2304839552010258,0.9866673762985948,-2.010143564595234,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,105,2016+2021,-0.7796963830001178,0.9447464946971695,0.9864798184103387,-1.7480771988586021,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,106,2016+2021,-0.8600768077992208,0.5396329920730415,0.9857060544008415,-1.4200073070699275,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,107,2016+2021,-0.9231643243403598,0.15572210827743022,0.9853813679884467,-1.0948922596539696,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,108,2016+2021,-0.9754219729173128,-0.12267151840157074,0.984719276225179,-0.8659833062115673,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,109,2016+2021,-0.8100255477709092,-0.43879776201582016,0.984330502562489,-0.37713733831134844,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,110,2016+2021,-0.660404585064365,-0.4836491413902404,0.9847380080473075,-0.17949489329108245,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,111,2016+2021,-0.6090345446468115,-0.847735460795053,0.9837732837142165,0.24263813634685316,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
profiled,112,2016+2021,-0.6845073829674013,-0.6305852289153279,0.9844095106026229,-0.05477614089594086,0.5,1.0,1.0,200000,200000,0.9999815557728263,1.0,1.0,1.0,1000,1000,0.9963179161031344,1.0,1.0,1.0,200000,0.9999815557728263,1.0,1.0
