method,mass_MeV,asimov_r,response_sd,toy_r_mean,toy_r_sd,z_mean,z_sd,z_skew,z_excess_kurtosis,normality_KS,normality_p,normality_holm_p
profiled,19,2.434945801467021,0.9766574822652863,2.438953007097134,0.9622489727857984,0.004102979501901396,0.9852471211851381,-0.046927797204907355,-0.16578448598675521,0.01490533690117779,0.9770339984565537,1.0
profiled,20,2.8420797246653087,0.9507856960373088,2.822202197731216,0.9429573761915728,-0.02090642193812753,0.9917664728462335,-0.11119759623018692,-0.024281968592668512,0.025291050455200526,0.5360579431392355,1.0
profiled,21,0.20417730885967306,0.9558118731006457,0.18139499438715637,0.9411843971646835,-0.02383556337149384,0.9846962814047173,0.04998713785940748,-0.2500077159456424,0.022391474322946414,0.6890450378937795,1.0
profiled,22,-1.80278238565564,0.9690223146850048,-1.7596054715720577,0.9545559649646382,0.04455719278004193,0.9850711903109589,0.07585650847220654,0.033189452043909995,0.023730521666354476,0.617707705269806,1.0
profiled,23,-1.7577564146466857,0.9485359142613653,-1.7171616902201394,0.9174394521407311,0.04279724554041558,0.9672163577012798,0.013506931700833025,-0.13011720863940157,0.03336139253560577,0.21091700457471607,1.0
profiled,24,-0.1865734731215008,0.9562347257160657,-0.20587711892650407,0.9243947966317151,-0.02018714159386751,0.9667028102744254,-0.019411859667229834,0.10493533445557768,0.030394564133092827,0.307763683572046,1.0
profiled,25,0.9777830084629738,0.970907960189615,0.9259910229029035,0.9481166955628305,-0.053343867476331554,0.9765258237018332,0.09975262420550406,0.09866587622681866,0.03324175907013166,0.21431073837065262,1.0
profiled,26,1.601691425236315,0.9696130020479402,1.584790267801266,0.9438146300425105,-0.017430827968840754,0.9733931249365052,-0.05490451254113361,0.04558415600828303,0.022918960486730366,0.6609628024129608,1.0
profiled,27,1.1424075152769877,0.9588260932637386,1.1742556766033225,0.9314728082847475,0.033215784958383086,0.971472110353314,0.04053957154903475,0.13834584055972377,0.028210121436496205,0.39645392228944765,1.0
profiled,28,0.15550100106152265,0.9615085940854797,0.19259403736797373,0.9353753242577174,0.03857795607300983,0.9728205551271037,-0.16502855859817364,-0.07145761199807188,0.03633591903714639,0.1391497724178301,1.0
profiled,29,-0.6566619317039409,0.9687514047008587,-0.6524738946100531,0.9630634188717676,0.0043231287960619515,0.9941285392707663,0.05753917902203404,0.10700981392693798,0.01767389711364148,0.9080122267095954,1.0
profiled,30,-1.1228528248997707,0.9690933589050094,-1.1494041862525153,0.9556749242431781,-0.027398146018403412,0.9861536202487313,0.06385216865712305,0.0303466845229865,0.026047688012760972,0.49789382288557527,1.0
profiled,31,-1.1301280954129336,0.9621349598649039,-1.160482453638853,0.9383301240370527,-0.031548960896485546,0.975258319444921,-0.06393896291469335,-0.10075128625438357,0.03198387134475278,0.25255053298035324,1.0
profiled,32,-0.6775103491568718,0.960477124345755,-0.685637295201769,0.9602014883592083,-0.008461363460824774,0.9997130218101399,-0.09836811858415889,0.08439058520329601,0.02816678045677401,0.39836036598533486,1.0
profiled,33,0.03405670844619521,0.9647945601327514,0.05351912838574617,0.9703442065590143,0.02017260538541286,1.005752153521159,-0.14117711373854056,-0.1723834260537589,0.029047413349877038,0.36072599670798466,1.0
