group,scope_key,scope_label,dataset_set,source_state,source_file,mass_GeV,mass_MeV,A90_events,eps2_90,p0_local_asymptotic,Z_local_asymptotic,gp_support,edge_diagnostic,yield_coordinate,limit_method,pvalue_method,limit_coordinate
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.066,66.0,49577.55212658862,8.102623167684557e-06,4.437467718164273e-05,3.9194552034965895,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.067,67.0,41230.105253170856,6.592579487979944e-06,0.0017399450499956,2.9218232053358104,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.068,68.0,28389.855883864075,4.45319175224651e-06,0.0531374960412513,1.61516488789517,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.069,69.0,14724.680738363104,2.27011275334688e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.07,70.0,10322.827656596086,1.5676550290582404e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.0709999999999999,71.0,8623.861112567447,1.2926410285515583e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.0719999999999999,72.0,7652.832539933334,1.1339702931939487e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.0729999999999999,73.0,7758.6581130790355,1.1384917259747678e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.0739999999999999,74.0,8872.191903757333,1.2912182897063789e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.0749999999999999,75.0,10612.383506386392,1.5345605161825208e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
