dataset,mass_GeV,mass_MeV,eps2_observed_raw,p0_analytic,Z_analytic,eps2_observed_v3_review,dimuon_factor,eps2_observed_dimuon_v3_review
2015,0.04,40.0,1.4371025945135568e-05,0.0089909664543959,2.3659899423813537,1.4371025945135568e-05,1.0,1.4371025945135568e-05
2015,0.041,41.0,1.1890910457502907e-05,0.0502028539866697,1.6428899344324412,1.1890910457502907e-05,1.0,1.1890910457502907e-05
2015,0.042,42.0,8.012647117827452e-06,0.3174336424027744,0.4748873269564001,8.012647117827452e-06,1.0,8.012647117827452e-06
2015,0.043,43.0,5.5514252878472615e-06,0.5,0.0,5.5514252878472615e-06,1.0,5.5514252878472615e-06
2015,0.044,44.0,4.698987592999117e-06,0.5,0.0,4.698987592999117e-06,1.0,4.698987592999117e-06
2015,0.045,45.0,4.418832775437375e-06,0.5,0.0,4.418832775437375e-06,1.0,4.418832775437375e-06
2015,0.046,46.0,4.587379771727482e-06,0.5,0.0,4.587379771727482e-06,1.0,4.587379771727482e-06
2015,0.047,47.0,5.329556643259648e-06,0.4999311292015692,0.0001726334915006,5.329556643259648e-06,1.0,5.329556643259648e-06
2015,0.048,48.0,6.984617958184813e-06,0.5,0.0,6.984617958184813e-06,1.0,6.984617958184813e-06
2015,0.049,49.0,1.0772801975381895e-05,0.2340361186679675,0.7256192165048988,1.0772801975381895e-05,1.0,1.0772801975381895e-05
2015,0.05,50.0,1.5212366445816556e-05,0.048955028595449,1.655071194426931,1.5212366445816556e-05,1.0,1.5212366445816556e-05
2015,0.051,51.0,1.827117337426123e-05,0.0157451750243658,2.150820757526953,1.827117337426123e-05,1.0,1.827117337426123e-05
2015,0.052,52.0,1.7275677848256536e-05,0.031569274371113,1.8582145772360128,1.7275677848256536e-05,1.0,1.7275677848256536e-05
2015,0.053,53.0,1.4437864801279932e-05,0.1218897028529472,1.165592094319983,1.4437864801279932e-05,1.0,1.4437864801279932e-05
2015,0.054,54.0,1.1245283433099365e-05,0.3530428582371622,0.3771182671939436,1.1245283433099365e-05,1.0,1.1245283433099365e-05
2015,0.055,55.0,8.941471305479681e-06,0.5,0.0,8.941471305479681e-06,1.0,8.941471305479681e-06
2015,0.056,56.0,8.130392827247795e-06,0.5,0.0,8.130392827247795e-06,1.0,8.130392827247795e-06
2015,0.057,57.0,8.206100482610672e-06,0.5,0.0,8.206100482610672e-06,1.0,8.206100482610672e-06
2015,0.058,58.0,8.58945435559265e-06,0.5,0.0,8.58945435559265e-06,1.0,8.58945435559265e-06
2015,0.059,59.0,9.472601511016242e-06,0.5,0.0,9.472601511016242e-06,1.0,9.472601511016242e-06
2015,0.06,60.0,1.1468309305590302e-05,0.5,0.0,1.1468309305590302e-05,1.0,1.1468309305590302e-05
2015,0.061,61.0,1.4033178033104598e-05,0.4196845655945884,0.2027005014804796,1.4033178033104598e-05,1.0,1.4033178033104598e-05
2015,0.062,62.0,1.7321715554560126e-05,0.259183845260322,0.6458636066560697,1.7321715554560126e-05,1.0,1.7321715554560126e-05
