kind,label,mass_MeV,minimum_p_value,N_eff,sidak_equivalent_global_p_value,local_Z
asymptotic p0,combined,51.0,0.0038954425561395,35.381377775674636,0.1289842945244111,2.6610004581119906
asymptotic p0,2015,40.0,0.0089909664543959,13.624095156707055,0.11577858158274103,2.3659899423813573
asymptotic p0,2016,41.0,0.0277096973185426,16.06241837200038,0.36324331744830307,1.9155735838766788
asymptotic p0,2021,53.0,0.0030697475925385,26.40156050119432,0.07796378506632307,2.740236699367742
background-only upper-limit toys,p_strong,45.0,0.0031,,,
background-only upper-limit toys,p_weak,51.0,0.004,,,
background-only upper-limit toys,p_two,45.0,0.0062,,,
