dataset,mass_GeV,sigma_mass_res_GeV,cls_alpha,eps2_obs,A_obs,p0_analytic,Z_analytic,eps2_lo2,eps2_lo1,eps2_med,eps2_hi1,eps2_hi2,eps2_mean,A_lo2,A_lo1,A_med,A_hi1,A_hi2,A_mean,ul_eps2_obs,ul_A_obs,toy_eps2_uls_q02,toy_eps2_uls_q16,toy_eps2_uls_q50,toy_eps2_uls_q84,toy_eps2_uls_q97,toy_eps2_uls_mean,toy_A_uls_q02,toy_A_uls_q16,toy_A_uls_q50,toy_A_uls_q84,toy_A_uls_q97,toy_A_uls_mean,p_strong,p_weak,p_two,cls_statistic,cls_calibration,global_method,bands_refit_gp_on_toy,bands_train_exclude_nsigma,bands_refit_restarts,bands_refit_optimize,bands_full_toy_bkg_mode,mass_MeV,dataset_set,dimuon_threshold_GeV,dimuon_threshold_MeV,N_eff_dimuon,BR_ee_minimal,eps2_obs_ee_channel,eps2_obs_dimuon,ul_eps2_obs_ee_channel,ul_eps2_obs_dimuon,eps2_lo2_ee_channel,eps2_lo2_dimuon,eps2_lo1_ee_channel,eps2_lo1_dimuon,eps2_med_ee_channel,eps2_med_dimuon,eps2_hi1_ee_channel,eps2_hi1_dimuon,eps2_hi2_ee_channel,eps2_hi2_dimuon,eps2_mean_ee_channel,eps2_mean_dimuon,toy_eps2_uls_q02_ee_channel,toy_eps2_uls_q02_dimuon,toy_eps2_uls_q16_ee_channel,toy_eps2_uls_q16_dimuon,toy_eps2_uls_q50_ee_channel,toy_eps2_uls_q50_dimuon,toy_eps2_uls_q84_ee_channel,toy_eps2_uls_q84_dimuon,toy_eps2_uls_q97_ee_channel,toy_eps2_uls_q97_dimuon,toy_eps2_uls_mean_ee_channel,toy_eps2_uls_mean_dimuon
2021,0.05,0.0019941875,0.1,3.728277480841303e-05,2880.257159983389,0.5,0.0,3.703206775618648e-05,4.3839383568418514e-05,5.806926986048379e-05,8.361640174031034e-05,0.0001143110424985,6.315135179561244e-05,2860.8889454139385,3386.783818024791,4486.104673006375,6459.73216967291,8831.027205283248,4878.71769487763,3.728277480841303e-05,2880.257159983389,3.703206775618648e-05,4.3839383568418514e-05,5.806926986048379e-05,8.361640174031034e-05,0.0001143110424985,6.315135179561244e-05,2860.8889454139385,3386.783818024791,4486.104673006375,6459.73216967291,8831.027205283248,4878.71769487763,0.0283,0.9717,0.0566,tilde_q_mu,asymptotic,sidak_approx,False,2.25,0,True,poisson,50.0,2021,0.211316749,211.316749,1.0,1.0,3.728277480841303e-05,3.728277480841303e-05,3.728277480841303e-05,3.728277480841303e-05,3.703206775618648e-05,3.703206775618648e-05,4.3839383568418514e-05,4.3839383568418514e-05,5.806926986048379e-05,5.806926986048379e-05,8.361640174031034e-05,8.361640174031034e-05,0.0001143110424985,0.0001143110424985,6.315135179561244e-05,6.315135179561244e-05,3.703206775618648e-05,3.703206775618648e-05,4.3839383568418514e-05,4.3839383568418514e-05,5.806926986048379e-05,5.806926986048379e-05,8.361640174031034e-05,8.361640174031034e-05,0.0001143110424985,0.0001143110424985,6.315135179561244e-05,6.315135179561244e-05
2021,0.051,0.002001485875,0.1,7.078464553266381e-05,5834.783599923107,0.276677756805792,0.5927394828938312,3.684162594180782e-05,4.322309234361467e-05,5.729373306501983e-05,8.284192088278362e-05,0.0001141353990268,6.237698637184014e-05,3036.8579685910363,3562.882719079346,4722.726681055254,6828.6657044845015,9408.189437143015,5141.739629494807,7.078464553266381e-05,5834.783599923107,3.684162594180782e-05,4.322309234361467e-05,5.729373306501983e-05,8.284192088278362e-05,0.0001141353990268,6.237698637184014e-05,3036.8579685910363,3562.882719079346,4722.726681055254,6828.6657044845015,9408.189437143015,5141.739629494807,0.7135,0.2865,0.573,tilde_q_mu,asymptotic,sidak_approx,False,2.25,0,True,poisson,51.0,2021,0.211316749,211.316749,1.0,1.0,7.078464553266381e-05,7.078464553266381e-05,7.078464553266381e-05,7.078464553266381e-05,3.684162594180782e-05,3.684162594180782e-05,4.322309234361467e-05,4.322309234361467e-05,5.729373306501983e-05,5.729373306501983e-05,8.284192088278362e-05,8.284192088278362e-05,0.0001141353990268,0.0001141353990268,6.237698637184014e-05,6.237698637184014e-05,3.684162594180782e-05,3.684162594180782e-05,4.322309234361467e-05,4.322309234361467e-05,5.729373306501983e-05,5.729373306501983e-05,8.284192088278362e-05,8.284192088278362e-05,0.0001141353990268,0.0001141353990268,6.237698637184014e-05,6.237698637184014e-05
2021,0.052,0.002008956,0.1,7.983956645662537e-05,7288.191743358983,0.0198131867925723,2.0576226196344094,2.5328414933694736e-05,2.9691140225752404e-05,3.942602123497096e-05,5.716776159702576e-05,7.943701809031612e-05,4.3077084806696274e-05,2312.1160695732424,2710.3694652676218,3599.0225797921585,5218.585552867601,7251.44492959426,3932.311606259799,7.983956645662537e-05,7288.191743358983,2.5328414933694736e-05,2.9691140225752404e-05,3.942602123497096e-05,5.716776159702576e-05,7.943701809031612e-05,4.3077084806696274e-05,2312.1160695732424,2710.3694652676218,3599.0225797921585,5218.585552867601,7251.44492959426,3932.311606259799,0.9758,0.0242,0.0484,tilde_q_mu,asymptotic,sidak_approx,False,2.25,0,True,poisson,52.0,2021,0.211316749,211.316749,1.0,1.0,7.983956645662537e-05,7.983956645662537e-05,7.983956645662537e-05,7.983956645662537e-05,2.5328414933694736e-05,2.5328414933694736e-05,2.9691140225752404e-05,2.9691140225752404e-05,3.942602123497096e-05,3.942602123497096e-05,5.716776159702576e-05,5.716776159702576e-05,7.943701809031612e-05,7.943701809031612e-05,4.3077084806696274e-05,4.3077084806696274e-05,2.5328414933694736e-05,2.5328414933694736e-05,2.9691140225752404e-05,2.9691140225752404e-05,3.942602123497096e-05,3.942602123497096e-05,5.716776159702576e-05,5.716776159702576e-05,7.943701809031612e-05,7.943701809031612e-05,4.3077084806696274e-05,4.3077084806696274e-05
2021,0.053,0.002016597875,0.1,8.46154559189173e-05,8505.527138714564,0.0030697475925385,2.740236699367742,2.1860694498156698e-05,2.621578359698567e-05,3.455603567126089e-05,5.003219002104137e-05,6.871618107041184e-05,3.762976078764275e-05,2197.432233933641,2635.204838469455,3473.5651544552825,5029.224807830316,6907.3355052684165,3782.5353314804656,8.46154559189173e-05,8505.527138714564,2.1860694498156698e-05,2.621578359698567e-05,3.455603567126089e-05,5.003219002104137e-05,6.871618107041184e-05,3.762976078764275e-05,2197.432233933641,2635.204838469455,3473.5651544552825,5029.224807830316,6907.3355052684165,3782.5353314804656,0.9964,0.0036,0.0072,tilde_q_mu,asymptotic,sidak_approx,False,2.25,0,True,poisson,53.0,2021,0.211316749,211.316749,1.0,1.0,8.46154559189173e-05,8.46154559189173e-05,8.46154559189173e-05,8.46154559189173e-05,2.1860694498156698e-05,2.1860694498156698e-05,2.621578359698567e-05,2.621578359698567e-05,3.455603567126089e-05,3.455603567126089e-05,5.003219002104137e-05,5.003219002104137e-05,6.871618107041184e-05,6.871618107041184e-05,3.762976078764275e-05,3.762976078764275e-05,2.1860694498156698e-05,2.1860694498156698e-05,2.621578359698567e-05,2.621578359698567e-05,3.455603567126089e-05,3.455603567126089e-05,5.003219002104137e-05,5.003219002104137e-05,6.871618107041184e-05,6.871618107041184e-05,3.762976078764275e-05,3.762976078764275e-05
2021,0.054,0.0020244115,0.1,8.244447159099805e-05,9062.974566419853,0.0053086177598005,2.555050623966915,2.222225962410437e-05,2.608992415034121e-05,3.467233596114184e-05,5.066549357718751e-05,6.932919879769445e-05,3.799728479593916e-05,2442.853594608121,2868.019097598089,3811.4684091019594,5569.567865788782,7621.235885055714,4176.974138508631,8.244447159099805e-05,9062.974566419853,2.222225962410437e-05,2.608992415034121e-05,3.467233596114184e-05,5.066549357718751e-05,6.932919879769445e-05,3.799728479593916e-05,2442.853594608121,2868.019097598089,3811.4684091019594,5569.567865788782,7621.235885055714,4176.974138508631,0.9948,0.0052,0.0104,tilde_q_mu,asymptotic,sidak_approx,False,2.25,0,True,poisson,54.0,2021,0.211316749,211.316749,1.0,1.0,8.244447159099805e-05,8.244447159099805e-05,8.244447159099805e-05,8.244447159099805e-05,2.222225962410437e-05,2.222225962410437e-05,2.608992415034121e-05,2.608992415034121e-05,3.467233596114184e-05,3.467233596114184e-05,5.066549357718751e-05,5.066549357718751e-05,6.932919879769445e-05,6.932919879769445e-05,3.799728479593916e-05,3.799728479593916e-05,2.222225962410437e-05,2.222225962410437e-05,2.608992415034121e-05,2.608992415034121e-05,3.467233596114184e-05,3.467233596114184e-05,5.066549357718751e-05,5.066549357718751e-05,6.932919879769445e-05,6.932919879769445e-05,3.799728479593916e-05,3.799728479593916e-05
2021,0.055,0.002032396875,0.1,5.226486591417688e-05,6459.659869041816,0.09606045242088,1.304330545695138,2.0828488550530056e-05,2.4534762342855488e-05,3.25723860962671e-05,4.7015367096104494e-05,6.424508326263449e-05,3.5485000457073266e-05,2574.290573013037,3032.3663311959726,4025.773942489333,5810.849693131913,7940.351111133736,4385.757609746595,5.226486591417688e-05,6459.659869041816,2.0828488550530056e-05,2.4534762342855488e-05,3.25723860962671e-05,4.7015367096104494e-05,6.424508326263449e-05,3.5485000457073266e-05,2574.290573013037,3032.3663311959726,4025.773942489333,5810.849693131913,7940.351111133736,4385.757609746595,0.9023,0.0977,0.1954,tilde_q_mu,asymptotic,sidak_approx,False,2.25,0,True,poisson,55.0,2021,0.211316749,211.316749,1.0,1.0,5.226486591417688e-05,5.226486591417688e-05,5.226486591417688e-05,5.226486591417688e-05,2.0828488550530056e-05,2.0828488550530056e-05,2.4534762342855488e-05,2.4534762342855488e-05,3.25723860962671e-05,3.25723860962671e-05,4.7015367096104494e-05,4.7015367096104494e-05,6.424508326263449e-05,6.424508326263449e-05,3.5485000457073266e-05,3.5485000457073266e-05,2.0828488550530056e-05,2.0828488550530056e-05,2.4534762342855488e-05,2.4534762342855488e-05,3.25723860962671e-05,3.25723860962671e-05,4.7015367096104494e-05,4.7015367096104494e-05,6.424508326263449e-05,6.424508326263449e-05,3.5485000457073266e-05,3.5485000457073266e-05
2021,0.056,0.002040554,0.1,2.2777456862351636e-05,3133.6146908945907,0.5,0.0,1.7264023236771647e-05,2.033887900064985e-05,2.6901877708142137e-05,3.908821950641556e-05,5.393974213406425e-05,2.9364665832335785e-05,2375.102592252604,2798.126692453922,3701.0329866202815,5377.572203360119,7420.774382137004,4039.85171836772,2.2777456862351636e-05,3133.6146908945907,1.7264023236771647e-05,2.033887900064985e-05,2.6901877708142137e-05,3.908821950641556e-05,5.393974213406425e-05,2.9364665832335785e-05,2375.102592252604,2798.126692453922,3701.0329866202815,5377.572203360119,7420.774382137004,4039.85171836772,0.2999,0.7001,0.5998,tilde_q_mu,asymptotic,sidak_approx,False,2.25,0,True,poisson,56.0,2021,0.211316749,211.316749,1.0,1.0,2.2777456862351636e-05,2.2777456862351636e-05,2.2777456862351636e-05,2.2777456862351636e-05,1.7264023236771647e-05,1.7264023236771647e-05,2.033887900064985e-05,2.033887900064985e-05,2.6901877708142137e-05,2.6901877708142137e-05,3.908821950641556e-05,3.908821950641556e-05,5.393974213406425e-05,5.393974213406425e-05,2.9364665832335785e-05,2.9364665832335785e-05,1.7264023236771647e-05,1.7264023236771647e-05,2.033887900064985e-05,2.033887900064985e-05,2.6901877708142137e-05,2.6901877708142137e-05,3.908821950641556e-05,3.908821950641556e-05,5.393974213406425e-05,5.393974213406425e-05,2.9364665832335785e-05,2.9364665832335785e-05
2021,0.057,0.002048882875,0.1,1.4475609035243656e-05,2201.53838646817,0.5,0.0,1.3983205872606894e-05,1.6369151234147427e-05,2.1493719514537976e-05,3.147854829959306e-05,4.372293300141718e-05,2.363387804578835e-05,2126.650728095811,2489.519764463008,3268.8951783671087,4787.448477167299,6649.648739285368,3594.3834633990987,1.4475609035243656e-05,2201.53838646817,1.3983205872606894e-05,1.6369151234147427e-05,2.1493719514537976e-05,3.147854829959306e-05,4.372293300141718e-05,2.363387804578835e-05,2126.650728095811,2489.519764463008,3268.8951783671087,4787.448477167299,6649.648739285368,3594.3834633990987,0.0449,0.9551,0.0898,tilde_q_mu,asymptotic,sidak_approx,False,2.25,0,True,poisson,57.0,2021,0.211316749,211.316749,1.0,1.0,1.4475609035243656e-05,1.4475609035243656e-05,1.4475609035243656e-05,1.4475609035243656e-05,1.3983205872606894e-05,1.3983205872606894e-05,1.6369151234147427e-05,1.6369151234147427e-05,2.1493719514537976e-05,2.1493719514537976e-05,3.147854829959306e-05,3.147854829959306e-05,4.372293300141718e-05,4.372293300141718e-05,2.363387804578835e-05,2.363387804578835e-05,1.3983205872606894e-05,1.3983205872606894e-05,1.6369151234147427e-05,1.6369151234147427e-05,2.1493719514537976e-05,2.1493719514537976e-05,3.147854829959306e-05,3.147854829959306e-05,4.372293300141718e-05,4.372293300141718e-05,2.363387804578835e-05,2.363387804578835e-05
2021,0.058,0.0020573835,0.1,1.2303466133865236e-05,2100.408598656321,0.5,0.0,1.2066122992734864e-05,1.4212870812762843e-05,1.8793267391723276e-05,2.7302490760931903e-05,3.74978014993856e-05,2.051663788142332e-05,2059.890132637207,2426.376091250313,3208.3268240786447,4660.994368176498,6401.505384180229,3502.535151703743,1.2303466133865236e-05,2100.408598656321,1.2066122992734864e-05,1.4212870812762843e-05,1.8793267391723276e-05,2.7302490760931903e-05,3.74978014993856e-05,2.051663788142332e-05,2059.890132637207,2426.376091250313,3208.3268240786447,4660.994368176498,6401.505384180229,3502.535151703743,0.0355,0.9645,0.071,tilde_q_mu,asymptotic,sidak_approx,False,2.25,0,True,poisson,58.0,2021,0.211316749,211.316749,1.0,1.0,1.2303466133865236e-05,1.2303466133865236e-05,1.2303466133865236e-05,1.2303466133865236e-05,1.2066122992734864e-05,1.2066122992734864e-05,1.4212870812762843e-05,1.4212870812762843e-05,1.8793267391723276e-05,1.8793267391723276e-05,2.7302490760931903e-05,2.7302490760931903e-05,3.74978014993856e-05,3.74978014993856e-05,2.051663788142332e-05,2.051663788142332e-05,1.2066122992734864e-05,1.2066122992734864e-05,1.4212870812762843e-05,1.4212870812762843e-05,1.8793267391723276e-05,1.8793267391723276e-05,2.7302490760931903e-05,2.7302490760931903e-05,3.74978014993856e-05,3.74978014993856e-05,2.051663788142332e-05,2.051663788142332e-05
2021,0.059,0.002066055875,0.1,1.2622499176784352e-05,2292.843200351994,0.5,0.0,1.1695613860206884e-05,1.3739710673649644e-05,1.8205889323908704e-05,2.654638702376566e-05,3.605401297587692e-05,1.9881030673370936e-05,2124.4769627427663,2495.7816793383117,3307.051080618041,4822.080170407237,6549.114984232589,3611.3360244275136,1.2622499176784352e-05,2292.843200351994,1.1695613860206884e-05,1.3739710673649644e-05,1.8205889323908704e-05,2.654638702376566e-05,3.605401297587692e-05,1.9881030673370936e-05,2124.4769627427663,2495.7816793383117,3307.051080618041,4822.080170407237,6549.114984232589,3611.3360244275136,0.0722,0.9278,0.1444,tilde_q_mu,asymptotic,sidak_approx,False,2.25,0,True,poisson,59.0,2021,0.211316749,211.316749,1.0,1.0,1.2622499176784352e-05,1.2622499176784352e-05,1.2622499176784352e-05,1.2622499176784352e-05,1.1695613860206884e-05,1.1695613860206884e-05,1.3739710673649644e-05,1.3739710673649644e-05,1.8205889323908704e-05,1.8205889323908704e-05,2.654638702376566e-05,2.654638702376566e-05,3.605401297587692e-05,3.605401297587692e-05,1.9881030673370936e-05,1.9881030673370936e-05,1.1695613860206884e-05,1.1695613860206884e-05,1.3739710673649644e-05,1.3739710673649644e-05,1.8205889323908704e-05,1.8205889323908704e-05,2.654638702376566e-05,2.654638702376566e-05,3.605401297587692e-05,3.605401297587692e-05,1.9881030673370936e-05,1.9881030673370936e-05
