dataset_set,mass_GeV,sigma_mass_res_GeV,sigma_mass_res_min_GeV,cls_alpha,eps2_obs,p0_analytic,Z_analytic,eps2_lo2,eps2_lo1,eps2_med,eps2_hi1,eps2_hi2,eps2_mean,ul_eps2_obs,toy_eps2_uls_q02,toy_eps2_uls_q16,toy_eps2_uls_q50,toy_eps2_uls_q84,toy_eps2_uls_q97,toy_eps2_uls_mean,p_strong,p_weak,p_two,meta,cls_statistic,cls_calibration,combined_mode,global_method,bands_refit_gp_on_toy,bands_train_exclude_nsigma,bands_refit_restarts,bands_refit_optimize,mass_MeV,eps2_obs_raw,observed_source,expected_band_source,dimuon_threshold_GeV,dimuon_threshold_MeV,N_eff_dimuon,BR_ee_minimal,eps2_obs_ee_channel,eps2_obs_dimuon,ul_eps2_obs_ee_channel,ul_eps2_obs_dimuon,eps2_lo2_ee_channel,eps2_lo2_dimuon,eps2_lo1_ee_channel,eps2_lo1_dimuon,eps2_med_ee_channel,eps2_med_dimuon,eps2_hi1_ee_channel,eps2_hi1_dimuon,eps2_hi2_ee_channel,eps2_hi2_dimuon,eps2_mean_ee_channel,eps2_mean_dimuon,toy_eps2_uls_q02_ee_channel,toy_eps2_uls_q02_dimuon,toy_eps2_uls_q16_ee_channel,toy_eps2_uls_q16_dimuon,toy_eps2_uls_q50_ee_channel,toy_eps2_uls_q50_dimuon,toy_eps2_uls_q84_ee_channel,toy_eps2_uls_q84_dimuon,toy_eps2_uls_q97_ee_channel,toy_eps2_uls_q97_dimuon,toy_eps2_uls_mean_ee_channel,toy_eps2_uls_mean_dimuon
2015,0.019,0.0009189342902331,0.0009189342902331,0.1,2.969927122714948e-05,0.5,0.0,2.0466034056747365e-05,2.4183789561435007e-05,3.207259533224177e-05,4.7079783252026064e-05,6.472722759887404e-05,3.514509920941457e-05,2.969927122714948e-05,2.0466034056747365e-05,2.4183789561435007e-05,3.207259533224177e-05,4.7079783252026064e-05,6.472722759887404e-05,3.514509920941457e-05,0.415,0.585,0.83,"[{'key': '2015', 'sigma': 0.0009189342902331, 'dens': 368123999.9999997}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,19.0,2.9699247526530056e-05,observed scan CSV,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,2.969927122714948e-05,2.969927122714948e-05,2.969927122714948e-05,2.969927122714948e-05,2.0466034056747365e-05,2.0466034056747365e-05,2.4183789561435007e-05,2.4183789561435007e-05,3.207259533224177e-05,3.207259533224177e-05,4.7079783252026064e-05,4.7079783252026064e-05,6.472722759887404e-05,6.472722759887404e-05,3.514509920941457e-05,3.514509920941457e-05,2.0466034056747365e-05,2.0466034056747365e-05,2.4183789561435007e-05,2.4183789561435007e-05,3.207259533224177e-05,3.207259533224177e-05,4.7079783252026064e-05,4.7079783252026064e-05,6.472722759887404e-05,6.472722759887404e-05,3.514509920941457e-05,3.514509920941457e-05
2015,0.02,0.0009721533740987,0.0009721533740987,0.1,2.830441847813019e-05,0.1765426153543053,0.9286215866540648,1.306603306217306e-05,1.5270626206665326e-05,2.0351289772340013e-05,2.975260874959811e-05,4.118154201429272e-05,2.2324147775826388e-05,2.830441847813019e-05,1.306603306217306e-05,1.5270626206665326e-05,2.0351289772340013e-05,2.975260874959811e-05,4.118154201429272e-05,2.2324147775826388e-05,0.805,0.195,0.39,"[{'key': '2015', 'sigma': 0.0009721533740987999, 'dens': 415730545.4545451}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,20.0,2.8304372815964463e-05,observed scan CSV,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,2.830441847813019e-05,2.830441847813019e-05,2.830441847813019e-05,2.830441847813019e-05,1.306603306217306e-05,1.306603306217306e-05,1.5270626206665326e-05,1.5270626206665326e-05,2.0351289772340013e-05,2.0351289772340013e-05,2.975260874959811e-05,2.975260874959811e-05,4.118154201429272e-05,4.118154201429272e-05,2.2324147775826388e-05,2.2324147775826388e-05,1.306603306217306e-05,1.306603306217306e-05,1.5270626206665326e-05,1.5270626206665326e-05,2.0351289772340013e-05,2.0351289772340013e-05,2.975260874959811e-05,2.975260874959811e-05,4.118154201429272e-05,4.118154201429272e-05,2.2324147775826388e-05,2.2324147775826388e-05
2015,0.021,0.0010253724579645,0.0010253724579645,0.1,1.8167526983828886e-05,0.5,0.0,1.309667685305675e-05,1.5420727701309616e-05,2.037048920511872e-05,2.970890161477481e-05,4.144096222296658e-05,2.229665569313826e-05,1.8167526983828886e-05,1.309667685305675e-05,1.5420727701309616e-05,2.037048920511872e-05,2.970890161477481e-05,4.144096222296658e-05,2.229665569313826e-05,0.3613,0.6387,0.7226,"[{'key': '2015', 'sigma': 0.0010253724579645, 'dens': 472304571.42857146}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,21.0,1.81674623800154e-05,observed scan CSV,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,1.8167526983828886e-05,1.8167526983828886e-05,1.8167526983828886e-05,1.8167526983828886e-05,1.309667685305675e-05,1.309667685305675e-05,1.5420727701309616e-05,1.5420727701309616e-05,2.037048920511872e-05,2.037048920511872e-05,2.970890161477481e-05,2.970890161477481e-05,4.144096222296658e-05,4.144096222296658e-05,2.229665569313826e-05,2.229665569313826e-05,1.309667685305675e-05,1.309667685305675e-05,1.5420727701309616e-05,1.5420727701309616e-05,2.037048920511872e-05,2.037048920511872e-05,2.970890161477481e-05,2.970890161477481e-05,4.144096222296658e-05,4.144096222296658e-05,2.229665569313826e-05,2.229665569313826e-05
2015,0.022,0.0010785915418301,0.0010785915418301,0.1,1.1663117980490549e-05,0.5,0.0,8.586189113655952e-06,1.0073642579061202e-05,1.3349375611615518e-05,1.9071386862543652e-05,2.6062642064539145e-05,1.445511987840788e-05,1.1663117980490549e-05,8.586189113655952e-06,1.0073642579061202e-05,1.3349375611615518e-05,1.9071386862543652e-05,2.6062642064539145e-05,1.445511987840788e-05,0.3427,0.6573,0.6854,"[{'key': '2015', 'sigma': 0.0010785915418301997, 'dens': 555681750.0}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,22.0,1.1663113942070897e-05,observed scan CSV,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,1.1663117980490549e-05,1.1663117980490549e-05,1.1663117980490549e-05,1.1663117980490549e-05,8.586189113655952e-06,8.586189113655952e-06,1.0073642579061202e-05,1.0073642579061202e-05,1.3349375611615518e-05,1.3349375611615518e-05,1.9071386862543652e-05,1.9071386862543652e-05,2.6062642064539145e-05,2.6062642064539145e-05,1.445511987840788e-05,1.445511987840788e-05,8.586189113655952e-06,8.586189113655952e-06,1.0073642579061202e-05,1.0073642579061202e-05,1.3349375611615518e-05,1.3349375611615518e-05,1.9071386862543652e-05,1.9071386862543652e-05,2.6062642064539145e-05,2.6062642064539145e-05,1.445511987840788e-05,1.445511987840788e-05
2015,0.023,0.0011318106256958,0.0011318106256958,0.1,1.067661860540974e-05,0.4999513009912829,0.0001220703125,7.203251566036256e-06,8.472356990881615e-06,1.1146719901481336e-05,1.6135018958910156e-05,2.188494383636654e-05,1.2147178447797774e-05,1.067661860540974e-05,7.203251566036256e-06,8.472356990881615e-06,1.1146719901481336e-05,1.6135018958910156e-05,2.188494383636654e-05,1.2147178447797774e-05,0.4526,0.5474,0.9052,"[{'key': '2015', 'sigma': 0.0011318106256958998, 'dens': 628787250.0000005}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,23.0,1.0676363639550506e-05,observed scan CSV,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,1.067661860540974e-05,1.067661860540974e-05,1.067661860540974e-05,1.067661860540974e-05,7.203251566036256e-06,7.203251566036256e-06,8.472356990881615e-06,8.472356990881615e-06,1.1146719901481336e-05,1.1146719901481336e-05,1.6135018958910156e-05,1.6135018958910156e-05,2.188494383636654e-05,2.188494383636654e-05,1.2147178447797774e-05,1.2147178447797774e-05,7.203251566036256e-06,7.203251566036256e-06,8.472356990881615e-06,8.472356990881615e-06,1.1146719901481336e-05,1.1146719901481336e-05,1.6135018958910156e-05,1.6135018958910156e-05,2.188494383636654e-05,2.188494383636654e-05,1.2147178447797774e-05,1.2147178447797774e-05
2015,0.024,0.0011850297095615,0.0011850297095615,0.1,1.1332939434466676e-05,0.3803753289848781,0.30449518834777,6.515630458805526e-06,7.664292727166364e-06,1.0111645505413854e-05,1.4576525439613817e-05,1.9874778714589847e-05,1.0992602680122589e-05,1.1332939434466676e-05,6.515630458805526e-06,7.664292727166364e-06,1.0111645505413854e-05,1.4576525439613817e-05,1.9874778714589847e-05,1.0992602680122589e-05,0.6197,0.3803,0.7606,"[{'key': '2015', 'sigma': 0.0011850297095615998, 'dens': 690630250.0000006}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,24.0,1.1332939434466676e-05,lower of observed scan and combined-band table,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,1.1332939434466676e-05,1.1332939434466676e-05,1.1332939434466676e-05,1.1332939434466676e-05,6.515630458805526e-06,6.515630458805526e-06,7.664292727166364e-06,7.664292727166364e-06,1.0111645505413854e-05,1.0111645505413854e-05,1.4576525439613817e-05,1.4576525439613817e-05,1.9874778714589847e-05,1.9874778714589847e-05,1.0992602680122589e-05,1.0992602680122589e-05,6.515630458805526e-06,6.515630458805526e-06,7.664292727166364e-06,7.664292727166364e-06,1.0111645505413854e-05,1.0111645505413854e-05,1.4576525439613817e-05,1.4576525439613817e-05,1.9874778714589847e-05,1.9874778714589847e-05,1.0992602680122589e-05,1.0992602680122589e-05
2015,0.025,0.0012382487934273,0.0012382487934273,0.1,1.036784538393328e-05,0.2839024981249894,0.5712871714503625,5.377304483587258e-06,6.361121701213362e-06,8.403515088039045e-06,1.2170762373961665e-05,1.6427936700493036e-05,9.146398960359829e-06,1.036784538393328e-05,5.377304483587258e-06,6.361121701213362e-06,8.403515088039045e-06,1.2170762373961665e-05,1.6427936700493036e-05,9.146398960359829e-06,0.7151,0.2849,0.5698,"[{'key': '2015', 'sigma': 0.0012382487934273, 'dens': 737331777.7777783}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,25.0,1.0367844189274037e-05,observed scan CSV,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,1.036784538393328e-05,1.036784538393328e-05,1.036784538393328e-05,1.036784538393328e-05,5.377304483587258e-06,5.377304483587258e-06,6.361121701213362e-06,6.361121701213362e-06,8.403515088039045e-06,8.403515088039045e-06,1.2170762373961665e-05,1.2170762373961665e-05,1.6427936700493036e-05,1.6427936700493036e-05,9.146398960359829e-06,9.146398960359829e-06,5.377304483587258e-06,5.377304483587258e-06,6.361121701213362e-06,6.361121701213362e-06,8.403515088039045e-06,8.403515088039045e-06,1.2170762373961665e-05,1.2170762373961665e-05,1.6427936700493036e-05,1.6427936700493036e-05,9.146398960359829e-06,9.146398960359829e-06
2015,0.026,0.0012914678772929,0.0012914678772929,0.1,7.789753695505146e-06,0.5,0.0,5.093175583244902e-06,5.970424979899972e-06,7.879167201486526e-06,1.1325744477586716e-05,1.5484020598176742e-05,8.581318499038393e-06,7.789753695505146e-06,5.093175583244902e-06,5.970424979899972e-06,7.879167201486526e-06,1.1325744477586716e-05,1.5484020598176742e-05,8.581318499038393e-06,0.4869,0.5131,0.9738,"[{'key': '2015', 'sigma': 0.0012914678772929999, 'dens': 774238000.0000005}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,26.0,7.789772361615492e-06,observed scan CSV,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,7.789753695505146e-06,7.789753695505146e-06,7.789753695505146e-06,7.789753695505146e-06,5.093175583244902e-06,5.093175583244902e-06,5.970424979899972e-06,5.970424979899972e-06,7.879167201486526e-06,7.879167201486526e-06,1.1325744477586716e-05,1.1325744477586716e-05,1.5484020598176742e-05,1.5484020598176742e-05,8.581318499038393e-06,8.581318499038393e-06,5.093175583244902e-06,5.093175583244902e-06,5.970424979899972e-06,5.970424979899972e-06,7.879167201486526e-06,7.879167201486526e-06,1.1325744477586716e-05,1.1325744477586716e-05,1.5484020598176742e-05,1.5484020598176742e-05,8.581318499038393e-06,8.581318499038393e-06
2015,0.027,0.0013446869611586,0.0013446869611586,0.1,5.556899169596376e-06,0.5,0.0,4.834490543770792e-06,5.6804007947481656e-06,7.5766150332182594e-06,1.0893517276848588e-05,1.4784517787143303e-05,8.22276872227839e-06,5.556899169596376e-06,4.834490543770792e-06,5.6804007947481656e-06,7.5766150332182594e-06,1.0893517276848588e-05,1.4784517787143303e-05,8.22276872227839e-06,0.134,0.866,0.268,"[{'key': '2015', 'sigma': 0.0013446869611586998, 'dens': 800600222.2222228}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,27.0,5.556910759311228e-06,observed scan CSV,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,5.556899169596376e-06,5.556899169596376e-06,5.556899169596376e-06,5.556899169596376e-06,4.834490543770792e-06,4.834490543770792e-06,5.6804007947481656e-06,5.6804007947481656e-06,7.5766150332182594e-06,7.5766150332182594e-06,1.0893517276848588e-05,1.0893517276848588e-05,1.4784517787143303e-05,1.4784517787143303e-05,8.22276872227839e-06,8.22276872227839e-06,4.834490543770792e-06,4.834490543770792e-06,5.6804007947481656e-06,5.6804007947481656e-06,7.5766150332182594e-06,7.5766150332182594e-06,1.0893517276848588e-05,1.0893517276848588e-05,1.4784517787143303e-05,1.4784517787143303e-05,8.22276872227839e-06,8.22276872227839e-06
2015,0.028,0.0013979060450244,0.0013979060450244,0.1,5.5599641181944735e-06,0.4999513009912829,0.0001220703125,4.610721527480231e-06,5.485900019153065e-06,7.294637545209183e-06,1.0469400828031286e-05,1.4308073333252955e-05,7.910737617963088e-06,5.5599641181944735e-06,4.610721527480231e-06,5.485900019153065e-06,7.294637545209183e-06,1.0469400828031286e-05,1.4308073333252955e-05,7.910737617963088e-06,0.175,0.825,0.35,"[{'key': '2015', 'sigma': 0.0013979060450244, 'dens': 815046400.0000004}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,28.0,5.559945881174169e-06,observed scan CSV,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,5.5599641181944735e-06,5.5599641181944735e-06,5.5599641181944735e-06,5.5599641181944735e-06,4.610721527480231e-06,4.610721527480231e-06,5.485900019153065e-06,5.485900019153065e-06,7.294637545209183e-06,7.294637545209183e-06,1.0469400828031286e-05,1.0469400828031286e-05,1.4308073333252955e-05,1.4308073333252955e-05,7.910737617963088e-06,7.910737617963088e-06,4.610721527480231e-06,4.610721527480231e-06,5.485900019153065e-06,5.485900019153065e-06,7.294637545209183e-06,7.294637545209183e-06,1.0469400828031286e-05,1.0469400828031286e-05,1.4308073333252955e-05,1.4308073333252955e-05,7.910737617963088e-06,7.910737617963088e-06
2015,0.029,0.0014511251288901,0.0014511251288901,0.1,7.27311833523971e-06,0.4148576348312297,0.2150667593683033,4.2821278960125e-06,5.080251978428158e-06,6.811800226377802e-06,9.812620219712313e-06,1.328083636440588e-05,7.374004081183615e-06,7.27311833523971e-06,4.2821278960125e-06,5.080251978428158e-06,6.811800226377802e-06,9.812620219712313e-06,1.328083636440588e-05,7.374004081183615e-06,0.5667,0.4333,0.8666,"[{'key': '2015', 'sigma': 0.0014511251288901, 'dens': 822314000.0000004}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,29.0,7.273128739380704e-06,observed scan CSV,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,7.27311833523971e-06,7.27311833523971e-06,7.27311833523971e-06,7.27311833523971e-06,4.2821278960125e-06,4.2821278960125e-06,5.080251978428158e-06,5.080251978428158e-06,6.811800226377802e-06,6.811800226377802e-06,9.812620219712313e-06,9.812620219712313e-06,1.328083636440588e-05,1.328083636440588e-05,7.374004081183615e-06,7.374004081183615e-06,4.2821278960125e-06,4.2821278960125e-06,5.080251978428158e-06,5.080251978428158e-06,6.811800226377802e-06,6.811800226377802e-06,9.812620219712313e-06,9.812620219712313e-06,1.328083636440588e-05,1.328083636440588e-05,7.374004081183615e-06,7.374004081183615e-06
2015,0.03,0.0015043442127557,0.0015043442127557,0.1,1.0944291509261416e-05,0.0792497071023702,1.4101363891301917,4.2233107794698815e-06,4.951845923897588e-06,6.5838086411971646e-06,9.474983093203169e-06,1.293766924857458e-05,7.1655403565071175e-06,1.0944291509261416e-05,4.2233107794698815e-06,4.951845923897588e-06,6.5838086411971646e-06,9.474983093203169e-06,1.293766924857458e-05,7.1655403565071175e-06,0.9213,0.0787,0.1574,"[{'key': '2015', 'sigma': 0.0015043442127557999, 'dens': 821810999.9999999}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,30.0,1.0944298810843038e-05,observed scan CSV,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,1.0944291509261416e-05,1.0944291509261416e-05,1.0944291509261416e-05,1.0944291509261416e-05,4.2233107794698815e-06,4.2233107794698815e-06,4.951845923897588e-06,4.951845923897588e-06,6.5838086411971646e-06,6.5838086411971646e-06,9.474983093203169e-06,9.474983093203169e-06,1.293766924857458e-05,1.293766924857458e-05,7.1655403565071175e-06,7.1655403565071175e-06,4.2233107794698815e-06,4.2233107794698815e-06,4.951845923897588e-06,4.951845923897588e-06,6.5838086411971646e-06,6.5838086411971646e-06,9.474983093203169e-06,9.474983093203169e-06,1.293766924857458e-05,1.293766924857458e-05,7.1655403565071175e-06,7.1655403565071175e-06
2015,0.031,0.0015575632966214,0.0015575632966214,0.1,1.1008699058502884e-05,0.0687334780647482,1.4852902401637185,4.146754980002639e-06,4.883468916882247e-06,6.472959086903949e-06,9.29898393831861e-06,1.2647281218164575e-05,7.035931773933927e-06,1.1008699058502884e-05,4.146754980002639e-06,4.883468916882247e-06,6.472959086903949e-06,9.29898393831861e-06,1.2647281218164575e-05,7.035931773933927e-06,0.9286,0.0714,0.1428,"[{'key': '2015', 'sigma': 0.0015575632966214998, 'dens': 813179090.9090912}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,31.0,1.1008586835071033e-05,observed scan CSV,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,1.1008699058502884e-05,1.1008699058502884e-05,1.1008699058502884e-05,1.1008699058502884e-05,4.146754980002639e-06,4.146754980002639e-06,4.883468916882247e-06,4.883468916882247e-06,6.472959086903949e-06,6.472959086903949e-06,9.29898393831861e-06,9.29898393831861e-06,1.2647281218164575e-05,1.2647281218164575e-05,7.035931773933927e-06,7.035931773933927e-06,4.146754980002639e-06,4.146754980002639e-06,4.883468916882247e-06,4.883468916882247e-06,6.472959086903949e-06,6.472959086903949e-06,9.29898393831861e-06,9.29898393831861e-06,1.2647281218164575e-05,1.2647281218164575e-05,7.035931773933927e-06,7.035931773933927e-06
2015,0.032,0.0016107823804872,0.0016107823804872,0.1,8.30445248103405e-06,0.2319358589791996,0.7324864371772443,4.071530850947823e-06,4.796650258668077e-06,6.348350391709876e-06,9.112297023591244e-06,1.2477017575358604e-05,6.905611349134183e-06,8.30445248103405e-06,4.071530850947823e-06,4.796650258668077e-06,6.348350391709876e-06,9.112297023591244e-06,1.2477017575358604e-05,6.905611349134183e-06,0.7638,0.2362,0.4724,"[{'key': '2015', 'sigma': 0.0016107823804872, 'dens': 799925818.1818174}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,32.0,8.30447928563834e-06,observed scan CSV,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,8.30445248103405e-06,8.30445248103405e-06,8.30445248103405e-06,8.30445248103405e-06,4.071530850947823e-06,4.071530850947823e-06,4.796650258668077e-06,4.796650258668077e-06,6.348350391709876e-06,6.348350391709876e-06,9.112297023591244e-06,9.112297023591244e-06,1.2477017575358604e-05,1.2477017575358604e-05,6.905611349134183e-06,6.905611349134183e-06,4.071530850947823e-06,4.071530850947823e-06,4.796650258668077e-06,4.796650258668077e-06,6.348350391709876e-06,6.348350391709876e-06,9.112297023591244e-06,9.112297023591244e-06,1.2477017575358604e-05,1.2477017575358604e-05,6.905611349134183e-06,6.905611349134183e-06
2015,0.033,0.0016640014643529,0.0016640014643529,0.1,5.188738048394698e-06,0.5,0.0,4.036476036475361e-06,4.773445096493257e-06,6.336706114984295e-06,9.08599342729377e-06,1.2334399364512805e-05,6.874993360647066e-06,5.188738048394698e-06,4.036476036475361e-06,4.773445096493257e-06,6.336706114984295e-06,9.08599342729377e-06,1.2334399364512805e-05,6.874993360647066e-06,0.2623,0.7377,0.5246,"[{'key': '2015', 'sigma': 0.0016640014643529, 'dens': 781708363.636364}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,33.0,5.188741402051055e-06,observed scan CSV,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,5.188738048394698e-06,5.188738048394698e-06,5.188738048394698e-06,5.188738048394698e-06,4.036476036475361e-06,4.036476036475361e-06,4.773445096493257e-06,4.773445096493257e-06,6.336706114984295e-06,6.336706114984295e-06,9.08599342729377e-06,9.08599342729377e-06,1.2334399364512805e-05,1.2334399364512805e-05,6.874993360647066e-06,6.874993360647066e-06,4.036476036475361e-06,4.036476036475361e-06,4.773445096493257e-06,4.773445096493257e-06,6.336706114984295e-06,6.336706114984295e-06,9.08599342729377e-06,9.08599342729377e-06,1.2334399364512805e-05,1.2334399364512805e-05,6.874993360647066e-06,6.874993360647066e-06
2015,0.034,0.0017172205482186,0.0017172205482186,0.1,4.184918222049177e-06,0.5,0.0,3.949052511710769e-06,4.681185541565811e-06,6.197517749574764e-06,8.946194446091195e-06,1.2106685809988423e-05,6.737819382090387e-06,4.184918222049177e-06,3.949052511710769e-06,4.681185541565811e-06,6.197517749574764e-06,8.946194446091195e-06,1.2106685809988423e-05,6.737819382090387e-06,0.0574,0.9426,0.1148,"[{'key': '2015', 'sigma': 0.0017172205482186, 'dens': 758596833.3333335}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,34.0,4.184915399754296e-06,observed scan CSV,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,4.184918222049177e-06,4.184918222049177e-06,4.184918222049177e-06,4.184918222049177e-06,3.949052511710769e-06,3.949052511710769e-06,4.681185541565811e-06,4.681185541565811e-06,6.197517749574764e-06,6.197517749574764e-06,8.946194446091195e-06,8.946194446091195e-06,1.2106685809988423e-05,1.2106685809988423e-05,6.737819382090387e-06,6.737819382090387e-06,3.949052511710769e-06,3.949052511710769e-06,4.681185541565811e-06,4.681185541565811e-06,6.197517749574764e-06,6.197517749574764e-06,8.946194446091195e-06,8.946194446091195e-06,1.2106685809988423e-05,1.2106685809988423e-05,6.737819382090387e-06,6.737819382090387e-06
2015,0.035,0.0017704396320843,0.0017704396320843,0.1,3.952102532244309e-06,0.5,0.0,3.98290078017166e-06,4.658874133447128e-06,6.18093338643527e-06,8.927799937761038e-06,1.2214087123069623e-05,6.739348733743356e-06,3.952102532244309e-06,3.98290078017166e-06,4.658874133447128e-06,6.18093338643527e-06,8.927799937761038e-06,1.2214087123069623e-05,6.739348733743356e-06,0.0215,0.9785,0.043,"[{'key': '2015', 'sigma': 0.0017704396320843, 'dens': 732871000.0000002}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,35.0,3.952112156986721e-06,observed scan CSV,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,3.952102532244309e-06,3.952102532244309e-06,3.952102532244309e-06,3.952102532244309e-06,3.98290078017166e-06,3.98290078017166e-06,4.658874133447128e-06,4.658874133447128e-06,6.18093338643527e-06,6.18093338643527e-06,8.927799937761038e-06,8.927799937761038e-06,1.2214087123069623e-05,1.2214087123069623e-05,6.739348733743356e-06,6.739348733743356e-06,3.98290078017166e-06,3.98290078017166e-06,4.658874133447128e-06,4.658874133447128e-06,6.18093338643527e-06,6.18093338643527e-06,8.927799937761038e-06,8.927799937761038e-06,1.2214087123069623e-05,1.2214087123069623e-05,6.739348733743356e-06,6.739348733743356e-06
2015,0.036,0.0018236587159499,0.0018236587159499,0.1,4.333674025563979e-06,0.5,0.0,3.956826839318644e-06,4.660850594760393e-06,6.159544122492504e-06,8.964392026600104e-06,1.2221786678627744e-05,6.730155023606296e-06,4.333674025563979e-06,3.956826839318644e-06,4.660850594760393e-06,6.159544122492504e-06,8.964392026600104e-06,1.2221786678627744e-05,6.730155023606296e-06,0.0834,0.9166,0.1668,"[{'key': '2015', 'sigma': 0.0018236587159499997, 'dens': 704211333.3333335}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,36.0,4.33366358445534e-06,observed scan CSV,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,4.333674025563979e-06,4.333674025563979e-06,4.333674025563979e-06,4.333674025563979e-06,3.956826839318644e-06,3.956826839318644e-06,4.660850594760393e-06,4.660850594760393e-06,6.159544122492504e-06,6.159544122492504e-06,8.964392026600104e-06,8.964392026600104e-06,1.2221786678627744e-05,1.2221786678627744e-05,6.730155023606296e-06,6.730155023606296e-06,3.956826839318644e-06,3.956826839318644e-06,4.660850594760393e-06,4.660850594760393e-06,6.159544122492504e-06,6.159544122492504e-06,8.964392026600104e-06,8.964392026600104e-06,1.2221786678627744e-05,1.2221786678627744e-05,6.730155023606296e-06,6.730155023606296e-06
