mass_GeV,datasets,n_datasets,eps2_up,p0_analytic,Z_analytic,cls_statistic,cls_calibration,signal_model,global_method
0.039,2015+2016,2,1.406997688551788e-05,0.0099868363646613,2.326842063365362,tilde_q_mu,asymptotic,default,sidak_approx
0.04,2015+2016,2,1.491794944711683e-05,0.0058129483541152,2.523300618926422,tilde_q_mu,asymptotic,default,sidak_approx
0.041,2015+2016,2,1.2676562773752196e-05,0.0303311334902643,1.875949118719766,tilde_q_mu,asymptotic,default,sidak_approx
0.042,2015+2016,2,8.435452464509066e-06,0.2596728768924866,0.6443542352988172,tilde_q_mu,asymptotic,default,sidak_approx
0.043,2015+2016,2,5.481613317517565e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.044,2015+2016,2,4.6886713781936095e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.045,2015+2016,2,4.1360732509544565e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.046,2015+2016,2,4.243566352283391e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.047,2015+2016,2,4.9390695398174855e-06,0.4999513009912829,0.0001220703125,tilde_q_mu,asymptotic,default,sidak_approx
0.048,2015+2016,2,6.782149594137673e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.049,2015+2016,2,1.1215384593232116e-05,0.1561744539908648,1.010305581262357,tilde_q_mu,asymptotic,default,sidak_approx
0.05,2015+2016+2021,3,1.4485871348498711e-05,0.0376562411211253,1.7785566153055787,tilde_q_mu,asymptotic,default,sidak_approx
0.051,2015+2016+2021,3,1.8837594045444382e-05,0.0038954565175826,2.660999251347458,tilde_q_mu,asymptotic,default,sidak_approx
0.052,2015+2016+2021,3,1.844816799533248e-05,0.0071801760092146,2.448120750212225,tilde_q_mu,asymptotic,default,sidak_approx
0.053,2015+2016+2021,3,1.592317192312297e-05,0.0268737734003779,1.9288656206514168,tilde_q_mu,asymptotic,default,sidak_approx
0.054,2015+2016+2021,3,1.157259388268104e-05,0.1817498626601273,0.9087166267679022,tilde_q_mu,asymptotic,default,sidak_approx
0.055,2015+2016+2021,3,7.804369425712333e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.056,2015+2016+2021,3,5.9431846239638455e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.057,2015+2016+2021,3,5.314725200351802e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.058,2015+2016+2021,3,5.186909977858632e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.059,2015+2016+2021,3,5.553902844741917e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.06,2015+2016+2021,3,6.453474007517272e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.061,2015+2016+2021,3,8.237355244059027e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.062,2015+2016+2021,3,1.0758145591599218e-05,0.2423018934587358,0.6989171853628887,tilde_q_mu,asymptotic,default,sidak_approx
0.063,2015+2016+2021,3,1.2707299243806687e-05,0.1118244652062088,1.21688248530644,tilde_q_mu,asymptotic,default,sidak_approx
0.064,2015+2016+2021,3,1.300133529317006e-05,0.1007995032635324,1.2770091793982037,tilde_q_mu,asymptotic,default,sidak_approx
0.065,2015+2016+2021,3,1.3250347873158572e-05,0.0899762086441847,1.3409015550331846,tilde_q_mu,asymptotic,default,sidak_approx
0.066,2015+2016+2021,3,1.2929357010870554e-05,0.0970656835514491,1.2984540185439946,tilde_q_mu,asymptotic,default,sidak_approx
0.067,2015+2016+2021,3,1.154434765939841e-05,0.1711010510068701,0.9498231870719338,tilde_q_mu,asymptotic,default,sidak_approx
0.068,2015+2016+2021,3,9.365591307379548e-06,0.3371355120933204,0.4202935459160122,tilde_q_mu,asymptotic,default,sidak_approx
0.069,2015+2016+2021,3,7.188420059991552e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.07,2015+2016+2021,3,6.0362634082088025e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.071,2015+2016+2021,3,5.345923642280819e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.072,2015+2016+2021,3,5.106803051489232e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.073,2015+2016+2021,3,5.313594634806888e-06,0.4999513009912829,0.0001220703125,tilde_q_mu,asymptotic,default,sidak_approx
0.074,2015+2016+2021,3,5.731716427093388e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.075,2015+2016+2021,3,6.828080197742652e-06,0.4999513009912829,0.0001220703125,tilde_q_mu,asymptotic,default,sidak_approx
0.076,2015+2016+2021,3,8.79490266560959e-06,0.3329327541613445,0.4318292645750176,tilde_q_mu,asymptotic,default,sidak_approx
0.077,2015+2016+2021,3,1.015678911023815e-05,0.1991194933036021,0.8447705031416131,tilde_q_mu,asymptotic,default,sidak_approx
0.078,2015+2016+2021,3,1.124095739949154e-05,0.1259976156283803,1.1455165800911935,tilde_q_mu,asymptotic,default,sidak_approx
0.079,2015+2016+2021,3,1.1248773251608177e-05,0.12594893661297,1.1457517775497448,tilde_q_mu,asymptotic,default,sidak_approx
0.08,2015+2016+2021,3,1.0674622979793806e-05,0.1497394090198935,1.0375516921689691,tilde_q_mu,asymptotic,default,sidak_approx
0.081,2015+2016+2021,3,1.0282236854145208e-05,0.1798071770006888,0.9161001788646872,tilde_q_mu,asymptotic,default,sidak_approx
0.082,2015+2016+2021,3,9.707933771624932e-06,0.2194995326910596,0.7738845525403709,tilde_q_mu,asymptotic,default,sidak_approx
0.083,2015+2016+2021,3,8.56315254381393e-06,0.3268388983162298,0.4486588181168885,tilde_q_mu,asymptotic,default,sidak_approx
