mass_GeV,mass_MeV,dataset_set,band_eps2_obs_raw,scan_eps2_obs,eps2_obs_used,band_A_obs_raw,scan_A_obs,A_obs_used,scan_over_band,hard_mismatch,plotted_value_changed,observed_source_used,repair_type,column,raw_value,corrected_value,raw_over_log_linear_neighbors,detection_min_band_ratio,correction
0.173,173.0,2021,,,,,,,,,,,2021_expected_eps2,eps2_lo2,3.5126651158031184e-05,8.725878544283721e-06,4.025571864169766,3.9818735386105226,log_linear_neighbors_same_dataset_set
0.173,173.0,2021,,,,,,,,,,,2021_expected_eps2,eps2_mean,5.945958734710186e-05,1.48073702867749e-05,4.015539977426497,3.9818735386105226,log_linear_neighbors_same_dataset_set
0.173,173.0,2021,,,,,,,,,,,2021_expected_eps2,eps2_med,5.464608188555407e-05,1.3568621904415418e-05,4.027386293944227,3.9818735386105226,log_linear_neighbors_same_dataset_set
0.173,173.0,2021,,,,,,,,,,,2021_expected_eps2,toy_eps2_uls_mean,5.945958734710186e-05,1.48073702867749e-05,4.015539977426497,3.9818735386105226,log_linear_neighbors_same_dataset_set
0.173,173.0,2021,,,,,,,,,,,2021_expected_eps2,toy_eps2_uls_q02,3.5126651158031184e-05,8.725878544283721e-06,4.025571864169766,3.9818735386105226,log_linear_neighbors_same_dataset_set
0.173,173.0,2021,,,,,,,,,,,2021_expected_eps2,toy_eps2_uls_q16,4.116851390467375e-05,1.0338980760056867e-05,3.9818735386105226,3.9818735386105226,log_linear_neighbors_same_dataset_set
0.173,173.0,2021,,,,,,,,,,,2021_expected_eps2,toy_eps2_uls_q50,5.464608188555407e-05,1.3568621904415418e-05,4.027386293944227,3.9818735386105226,log_linear_neighbors_same_dataset_set
0.173,173.0,2021,,,,,,,,,,,2021_expected_eps2,toy_eps2_uls_q84,7.91319861384665e-05,1.9586737474456623e-05,4.040079989925008,3.9818735386105226,log_linear_neighbors_same_dataset_set
0.173,173.0,2021,,,,,,,,,,,2021_expected_eps2,toy_eps2_uls_q97,0.0001072698304198,2.6804148665764533e-05,4.001986101383248,3.9818735386105226,log_linear_neighbors_same_dataset_set
0.181,181.0,2021,,,,,,,,,,,2021_expected_eps2,eps2_hi1,8.334811521180173e-05,2.1458097122084846e-05,3.8842267670612403,3.8842267670612403,log_linear_neighbors_same_dataset_set
