dataset,mass_GeV,sigma_val,blind_lo,blind_hi,A_up,eps2_up,p0_analytic,Z_analytic,A_hat,sigma_A,extract_success,cls_statistic,cls_calibration,signal_model,global_method,visibility,kernel_str,ls_lo,ls_hi,ls_init,ls_opt,sigma_x,const_opt,lml,n_train,ls_lo_over_sigma_x,ls_hi_over_sigma_x,ls_opt_over_sigma_x,ls_lo_over_sigma,ls_hi_over_sigma,ls_opt_over_sigma
2015,0.019,0.0009189342902331,0.0169323978469755,0.0210676021530244,10601.250557648866,2.969927122714948e-05,0.5,0.0,-1529.7060367539214,6961.952918202116,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.2**2 * RBF(length_scale=0.378),0.047231772072573,0.377854176580584,0.133591625279895,0.377854176580584,0.047231772072573,27.028034201265072,932.9538796292215,276,1.0,8.0,8.0,51.39842160051731,411.1873728041385,411.1873728041385
2015,0.02,0.0009721533740987,0.0178126549082777,0.0221873450917223,12010.462748340537,2.830441847813019e-05,0.1765426018360572,0.9286216388053108,4983.667319256547,5358.174990133362,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.25**2 * RBF(length_scale=0.38),0.0474632544091071,0.3797060352728572,0.1342463561994478,0.3797060352728572,0.0474632544091071,27.60844973966481,912.1128897681672,271,1.0,8.0,8.0,48.82280478952847,390.58243831622775,390.58243831622775
2015,0.021,0.0010253724579645,0.0186929119695798,0.0233070880304201,9196.039561629696,1.8167526983828886e-05,0.5,0.0,-1963.8613622244304,6320.08734849111,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.27**2 * RBF(length_scale=0.381),0.0476726446466191,0.381381157172953,0.1348386012268838,0.381381157172953,0.0476726446466191,27.721886269208728,894.3031144438307,267,1.0,8.0,8.0,46.49300288526926,371.9440230821541,371.9440230821541
2015,0.022,0.0010785915418301,0.019573169030882,0.0244268309691179,7276.575779449447,1.1663117980490549e-05,0.4999655646006563,8.631674575031098e-05,-2066.689005346581,5054.846779024649,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.13**2 * RBF(length_scale=0.383),0.0478629613687942,0.3829036909503536,0.1353768982061765,0.3829036909503536,0.0478629613687942,26.28785794351537,876.7121592058627,264,1.0,8.0,8.0,44.37542805831604,355.0034244665283,355.0034244665283
2015,0.023,0.0011318106256958,0.0204534260921842,0.0255465739078157,7880.048037935702,1.067661860540974e-05,0.5,0.0,-588.2617113623273,4989.0454727278775,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.23**2 * RBF(length_scale=0.384),0.0480366971834635,0.3842935774677087,0.1358682972969273,0.3842935774677087,0.0480366971834635,27.311703118852467,876.0939715499876,264,1.0,8.0,8.0,42.44234511752173,339.53876094017386,339.53876094017386
2015,0.024,0.0011850297095615,0.0213336831534864,0.0266663168465136,40189.907436667054,4.7511265055461615e-05,0.5,0.0,-22270.87122139373,30693.51532530743,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,1**2 * RBF(length_scale=0.136),0.0481959285020039,0.3855674280160315,0.1363186714773959,0.1363186714773959,0.0481959285020039,1.0,523.8450671757356,262,1.0,8.0,2.8284271247461903,40.670649953437845,325.3651996275028,115.03396950936096
2015,0.025,0.0012382487934273,0.0222139402147885,0.0277860597852114,9753.377763671528,1.036784538393328e-05,0.2839013932479691,0.5712904318768645,2737.2480096909358,4792.6400440176185,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.4**2 * RBF(length_scale=0.387),0.0483423989252425,0.38673919140194,0.1367329523954569,0.38673919140194,0.0483423989252425,29.135173713160096,868.586774383161,262,1.0,8.0,8.0,39.04094167654102,312.32753341232814,312.32753341232814
2015,0.026,0.0012914678772929,0.0230941972760907,0.0289058027239092,8002.674079197146,7.789753695505146e-06,0.5,0.0,-143.51408191896604,4913.387559921356,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.45**2 * RBF(length_scale=0.388),0.0484775833538493,0.3878206668307946,0.1371153117001718,0.3878206668307946,0.0484775833538493,29.6852069688725,858.8875022951174,260,1.0,8.0,8.0,37.53680924334059,300.29447394672474,300.29447394672474
2015,0.027,0.0013446869611586,0.0239744543373929,0.030025545662607,6130.212935728609,5.556899169596376e-06,0.5,0.0,-5508.329315471256,5053.441801560976,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.47**2 * RBF(length_scale=0.389),0.0486027378287419,0.3888219026299353,0.1374693020117413,0.3888219026299353,0.0486027378287419,29.8958956990347,857.9153782230699,260,1.0,8.0,8.0,36.14427687084997,289.1542149667997,289.1542149667997
2015,0.028,0.0013979060450244,0.0248547113986951,0.0311452886013049,6475.539052586384,5.5599641181944735e-06,0.5,0.0,-4638.302649107352,5101.576690177959,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.38**2 * RBF(length_scale=0.39),0.0487189386746029,0.3897515093968238,0.1377979676360932,0.3897515093968238,0.0487189386746029,28.92665669743653,848.212387493199,258,1.0,8.0,8.0,34.85136847931193,278.81094783449544,278.81094783449544
