dataset,mass_GeV,mass_MeV,state_source,selected_seed,const_opt,ls_opt,lml,warning_free_repeat_count,reproduced_warning_free_count,archived_const_opt,archived_ls_opt,archived_lml,delta_lml_vs_archived,n_train,n_train_low,n_train_high,train_centers_sha256,train_counts_sha256,query_centers_sha256,fixed_lml,recorded_lml_difference,analytic_lml_difference,gradient_constant_log,gradient_length_log,gradient_infinity,prediction_closure_pass,prediction_mean_max_abs_difference,prediction_covariance_max_abs_difference,prediction_mean_sha256,prediction_covariance_sha256,polish_success,polish_status,polish_message,polish_warning_count,polish_lml_improvement,polish_constant_relative_movement,polish_length_relative_movement,coordinates_interior,length_lower,length_upper,covariance_ok,minimum_eigenvalue,maximum_diagonal,median_diagonal,jitter_relative_median_diagonal,nlpd_per_bin,mahalanobis_per_bin,poisson_deviance_per_bin,max_abs_marginal_standardized_residual,fixed_certificate_pass,state_resolved
2016,0.107,107,v4p9p11_robust_repeat,6043.0,153.06959306101905,0.4649656359796572,2170.8817414754585,3,3,153.05265307963757,0.4649412861714054,2170.8817349110914,6.564367140526883e-06,640,268,372,107fc5acffe0bafb7bdf684c31ed66f42ee7da70fbe2a337632ddda9aceaecc3,1ab52235d1d92bf3cf09763550755ab107da65d7a74567653e256aee15365adf,528f31fbc5757eaa17ec656c851f87a9b8dcd3c874f0ba1bc82c3e78a6fa4a25,2170.8817414754585,0.0,0.0,0.001382154589798309,-0.03220240143129544,0.03220240143129544,True,6.475602276623249e-10,6.821210263296962e-13,04b1586c6d7ebef717aa32b41aabe113c148d806df936bbc87d097f5f6e47c29,e7365ea414d2fabc763c16819da714c65f8dc90f4487ed58a09debcaf772c289,False,2.0,ABNORMAL_TERMINATION_IN_LNSRCH,0.0,-1.0699925496737706e-05,0.0,0.0,True,0.03703481780450388,0.49379757072671837,True,48887.24665604474,136799.55016984994,86976.66019185248,0.0,,,,,False,False
2016,0.108,108,v4p9p11_robust_repeat,9151.0,150.27778621516222,0.461450716495704,2164.5119651610776,3,3,150.27451347780436,0.4614549420411319,2164.5119623096043,2.8514732548501343e-06,638,271,367,a50b0a0916358475d52819615e5927a8a0a014ffb9e35529ccdfbacd267ab127,dd7033c294cde161ef6110787518b3700a202bc45dd4908b50816e1f2e3f02f8,f51759e30db128b8b2fb1e0650bdbdb9bf66d8fec2a26ea7b5492a416b8f0d7f,2164.5119651610776,0.0,0.0,8.847432819200459e-07,-1.4327391569715184e-06,1.4327391569715184e-06,True,6.693881005048752e-10,8.242295734817162e-13,820b77b3c2729690ad9099c132ad60a0cd9e6c7155d425534e79272a73f9c8f2,21e6f18ab1079865e3452e025cc6e25426ae0bb9d9bc4036b9bdb65ccb899182,True,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0,4.693853043136187e-06,3.593428495176966e-15,4.932178278463588e-15,True,0.037088620623421845,0.4945149416456246,True,45677.33303948055,132227.79400813492,82830.17440417456,0.0,,,,,True,True
2016,0.109,109,v4p9p11_robust_repeat,2711.0,143.2380131333746,0.4526233625188276,2163.1565569357876,2,2,143.23901514358988,0.4526249807561671,2163.1565596861783,-2.7503906494530383e-06,638,275,363,e2e737578cbb6b3bbd7a8e3b990f394329644e657f8afea3c6c989c02a3587db,beaddd2b9c5046d86222b416e437cc1e2714bf785e5f94b86021fca6aa9be972,c4a1882d2913ac2534423112e6e98dcf65a8d7629f1b59c0e319386548dc5db9,2163.1565569357876,0.0,0.0,8.01457680204115e-06,0.0008923970395983974,0.0008923970395983974,True,6.039044819772243e-10,7.958078640513122e-13,5cb108cea75f3d91105d6cd3593f30a7fb8f0329ec00e9157946931558b2a8b1,6f5c283644b002dbcdc967c56ef97bca7df416723bd34769c6433922660fd90b,True,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0,0.0,0.0,0.0,True,0.037142751926443014,0.4952366923525735,True,43250.98015580098,126217.15694362845,78689.5408365257,0.0,,,,,True,True
2016,0.11,110,v4p9p11_robust_repeat,2711.0,116.4649005763689,0.42022573996153295,2159.855450697466,3,3,116.31776445285018,0.4200894577301393,2159.855451119788,-4.223220457788557e-07,636,278,358,6e39cd0550622c688a77d51c99f4951d55bd0061e5eb1ecdabac49b623c9c6b3,e1a5ea10802df6b7eb952379642911ecc02f2a56be84d79a0cdd013bbd85de23,0b1d2c09ebc93b43d5455e9fc9db898099d582fc40a1c2b443f3eab14c720efc,2159.855450697466,0.0,0.0,-0.00011125926595085044,-0.004537571216106402,0.004537571216106402,True,4.656612873077393e-10,3.836930773104541e-13,30546280fffcf2addb7528918e05d4792e1dbdbdb116df78dec66015e76ee25c,ef5488ee5f46a497f959ff25df18f3ceb752ae07429b7b8523a4afaefcf9bf46,False,2.0,ABNORMAL_TERMINATION_IN_LNSRCH,0.0,0.0,0.0,0.0,True,0.03719713987889577,0.4959618650519436,True,40354.71724702598,122180.57843842995,75390.10579680199,0.0,,,,,False,False
2016,0.111,111,v4p9p11_robust_repeat,6043.0,153.57568017838972,0.45407249714270886,2160.3703675919187,2,2,153.52482438045908,0.4541092569066018,2160.3703702878893,-2.6959705792251043e-06,636,282,354,02a257c7e01786676fcd1378451789bbe5d71f89bf223e69adeb7ddb94bdd78e,230ec29142db929d28c981fee6fbc2ddbb16eca4a894f52ad6447157c3e8c4eb,3c3a20542fa08cdd6117bb2f1fed90f1c252c7a1c755d17fec90f5b477e137bc,2160.3703675919187,0.0,0.0,-0.0007455625512566008,0.010035468300506946,0.010035468300506946,True,5.784386303275824e-10,7.673861546209082e-13,cdf97250b73aa4d919eeaad8c7ec220175a111630279b6a1c2ef6daa8c057d24,c6b68b0d8adebc58fd900ead6ccf7e5b74d9e4dfd6d1539eb91e2585e619aa26,True,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0,1.0156400094274431e-06,1.6114311488185394e-10,2.1690295501755126e-09,True,0.0372517131752488,0.4966895090033173,True,38193.58589521411,116126.97924890433,70807.80802339298,0.0,,,,,False,False
2016,0.112,112,v4p9p11_robust_repeat,2711.0,103.13224490555622,0.4084081472558769,2150.575111498628,2,2,103.1334314658598,0.4084066793813759,2150.575111466719,3.1908712117001414e-08,634,285,349,5839776982b4247cf491c347eef323853d0f47c130beb7f6686c217b35628636,b64e0485ce28b248d31248388e39ab7079bc28d4bf73103bc470fbae040e6dd3,844f6621bb0710bdf588651c145874ab3c644d8716fa1a494b5a3e3742a4a8e7,2150.575111498628,0.0,0.0,-0.00014294224109179634,-0.0017780907457026695,0.0017780907457026695,True,4.69299266114831e-10,3.694822225952521e-13,5e35841802431973d03f49aaee834944d2d7994091d0a4f1f9061033c81a0277,f732d961e4ce9168ebed6a3ea125e80fc5f8a8741a6b31e578f8bae8c3b44eb5,True,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0,2.9492175599443726e-06,2.491446335338954e-10,3.0991662525325117e-09,True,0.03730640101626986,0.4974186802169315,True,35668.54147895433,112449.11932562063,68144.12629859705,0.0,,,,,True,True
2016,0.113,113,v4p9p11_robust_repeat,9151.0,98.93729810711234,0.40497646165930573,2149.292020604482,3,3,98.93357099503731,0.404975546010704,2149.2920217514147,-1.1469328455859795e-06,634,289,345,f7654a9cc074e3358355ebca842f344348aa5dc5854f0bf9bf9fb2ac5325652e,f98c9ff06bd556734607188162772f886f557d424f6d92e0fda80310871311b3,62613bec0046bd03dc361cb69a8a81be1284c73802f35d10685265e049e9c38f,2149.292020604482,0.0,0.0,0.000526942856621721,2.6720682896866925e-05,0.000526942856621721,True,4.5929482439532876e-10,3.979039320256561e-13,22d292131618e294e73b94800e5974fafd5b4e1c5ba575a89f36d45e837d2fea,b3cca3e79b24b00f6164e9260a853dfa0041c59c801d8dbfd92f6e124078e1ee,True,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0,1.5173282008618116e-07,8.248884123554122e-06,4.182900500775297e-07,True,0.03736113308735128,0.4981484411646837,True,33746.10562809981,107059.66419150202,64554.92994651254,0.0,,,,,True,True
2016,0.114,114,v4p9p11_robust_repeat,9151.0,102.94435936156492,0.4086050748381921,2139.4987220793328,3,3,102.91078778569032,0.4086124348988825,2139.4987195254575,2.55387521974626e-06,632,292,340,75747932e57ab71db61d38fafcd6157a2852371c15eab94417f02908bb779975,3a94592535b972603a1bcf4f4d7b78b45f3725b77393921ade09b88856f6bf2e,e2241bd6d60e548936d5bb28fad74ade944e1c3cd991b9e41317aba171146473,2139.4987220793328,0.0,0.0,-0.0023742109158321977,0.016603709655609974,0.016603709655609974,True,5.238689482212067e-10,3.836930773104541e-13,0d2e9c4231afa506363e9e09e8a021a1c480d14c35b05e515774f378971e5d5d,cf7a2e66b7d5d4cf1252e808fa51b40c472bdfd24a6775b0da2de66d81a6b0f9,True,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0,0.0,0.0,0.0,True,0.037415839537923906,0.498877860505652,True,31488.108483956996,103186.47825090101,61260.1146961936,0.0,,,,,False,False
2016,0.115,115,v4p9p11_robust_repeat,6043.0,98.92913155945779,0.40470153373004897,2141.7363348003605,2,2,98.91745236388304,0.4047050880674044,2141.7363379358676,-3.135507085971767e-06,632,296,336,9269c2cf24663605df13f2ef531b21f98298b968a3396a8423066671436f78a0,88772ea3a7c8bfeebfbbe56d232765d2aefff39ddf01d9a52a186bf54ba6d950,9b8eafa2535eea3af391654cb3b0ad83af2f1282c6f07451141ae736c21d11e3,2141.7363348003605,0.0,0.0,-0.0014081710400759523,0.010306678026646893,0.010306678026646893,True,3.41970007866621e-10,3.694822225952521e-13,1376b1f076272c9a38fdc61aea467e0630bae82885a51491d067f1fa9d672f86,de47acf42dad18bd8642307c297da50b2bf31e0cf53f5ff09d13d2f77307d914,True,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0,0.0,0.0,0.0,True,0.03747045096189454,0.4996060128252605,True,29822.48666294888,98242.52022733493,58103.40369259073,0.0,,,,,False,False
2016,0.116,116,v4p9p11_robust_repeat,6043.0,120.95716156540452,0.4235533108589809,2145.0201598171684,2,2,120.82644715259592,0.4235175892751405,2145.020158939698,8.774704838288017e-07,632,300,332,75e887bc9ad208b48831295d2abde883c5bebc54a19caa240598598dc842237b,5f3a11cec7fa502f844d7d7d16f265a0d375b9146b71a26e3f7d546be81d9cb8,8ff2c5fd0e1854f8418d6d0c7b97dc1e6288e54fd23105ec682c4c5fb689c6df,2145.0201598171684,0.0,0.0,-0.0036916853563762815,0.01735323361585495,0.01735323361585495,True,4.474713932722807e-10,3.552713678800501e-13,0d10fb9062293370f04604145b36c22b176cdcfb1758bbd2598f3fe439f2828d,3fdb105576e18b4095cd9481b8b08cbf5afb5c0d9d2c117a201c745db6f571c8,False,2.0,ABNORMAL_TERMINATION_IN_LNSRCH,0.0,0.0,0.0,0.0,True,0.037524898379042486,0.5003319783872332,True,28203.680037236816,93281.80845946744,54573.343483125565,0.0,,,,,False,False
