method,mass_MeV,asimov_r,response_sd,toy_r_mean,toy_r_sd,z_mean,z_sd,z_skew,z_excess_kurtosis,normality_KS,normality_p,normality_holm_p
profiled,39,6.819725871015563,0.9429742915136121,6.794875628596681,0.9557711435965707,-0.02635304338890581,1.013570732731661,0.07359688067607112,0.24777541469747622,0.023440417432319283,0.633149317312675,1.0
profiled,40,-0.37291087326354605,0.9613251852333657,-0.37187788789277687,0.9670373053395203,0.0010745431271712569,1.0059419228726103,-0.055409644038656294,-0.218358313300544,0.018722831066829926,0.8679256920986552,1.0
profiled,41,-6.7980115942044685,0.975314686589677,-6.765986480927691,0.99876515935693,0.032835672134455554,1.024044006605961,0.03779142576789031,0.04342256355443075,0.03966997437792885,0.08364304359681285,1.0
profiled,42,-9.214925715798083,0.9673753441123677,-9.176442112569843,0.9888149898132222,0.03978145966036644,1.0221626960324557,0.022335709604397774,0.10161702868737255,0.0318389291697031,0.25726262459473703,1.0
profiled,43,-8.512425764251187,0.95120635826823,-8.500472227500865,0.9613910437922384,0.012566712413577036,1.0107071251526858,-0.04624180215318478,0.0696309980819323,0.026928157741307746,0.4551031877240572,1.0
profiled,44,-5.7288312797915655,0.9481698643354021,-5.747173956413264,0.9620072781440172,-0.01934534866762007,1.0145938131226244,0.04339766434655475,-0.03626205746246969,0.0181471188562517,0.89078100152052,1.0
profiled,45,-2.8453227907827623,0.9566763200941707,-2.8826351578186067,0.9736488746512184,-0.039002080695560014,1.0177411672062469,0.030184671869685077,-0.1776806363334793,0.03194907687946896,0.2536758578006231,1.0
profiled,46,2.5231933143132546,0.9783855232018677,2.4902681007388536,0.9738434026672158,-0.033652596848172796,0.9953575350136137,-0.0725297481691116,0.005660894086818136,0.02150619408603771,0.7355965061783221,1.0
profiled,47,5.517582436943182,0.98453005950968,5.50283079664482,0.988177512827735,-0.014983433117023218,1.0037047658248968,0.005871420849274391,0.09415514704926942,0.021179749632570966,0.7524374436276833,1.0
profiled,48,7.230541694664042,0.9819217416360384,7.243403648481957,0.9860996837873787,0.01309875652257688,1.0042548626577705,0.019987886602320183,-0.04843677732011065,0.012319905294185585,0.9976908476600834,1.0
profiled,49,7.6190218913770495,0.9758054961396334,7.6469350636054525,0.9596705910734415,0.028605262358973458,0.9834650397748087,-0.018385528317123964,0.05993257046451017,0.028777098587902783,0.37202910334814965,1.0
profiled,50,6.388546695206249,0.9696646913278417,6.4230769619951,0.9318656803789364,0.03561052299590848,0.9610184723781743,0.09121925391353257,0.07922490677974903,0.035132317086566583,0.16537642357343207,1.0
profiled,51,4.1055467470253735,0.9692493503982099,4.131934121566045,0.9457197014059235,0.027224547047495374,0.9757238434231404,0.11331744760309002,0.10760305000199732,0.02854369810343027,0.3819671204819727,1.0
profiled,52,1.2516959054151442,0.9741075365448663,1.2721402906213548,0.962807483304811,0.020987811344449735,0.988399583396987,-0.012796080933012599,-0.11859469218959795,0.02723141178582511,0.44081903722650806,1.0
profiled,53,-1.5180425548695617,0.9776436342569219,-1.5055891160308188,0.954402085415494,0.012738219124403724,0.9762269726646425,0.01705125433311168,-0.09096161459856633,0.01973819934309784,0.8232057415903663,1.0
profiled,54,-4.1683885845255295,0.978969456237748,-4.1592442332023385,0.946052431143356,0.009340793285149062,0.9663758405488005,0.05764458400961712,0.04226442296814925,0.021667495134373715,0.7271983663110484,1.0
profiled,55,-6.45971015758938,0.9770961084408945,-6.4633933363345495,0.9507751541101438,-0.003769515315178488,0.973062062059842,-0.060493066554816656,-0.004817998256876788,0.020288296864479527,0.797030768064577,1.0
profiled,56,-6.945293888377133,0.9700866116581085,-6.973513143952801,0.9592952117274323,-0.02908941865245926,0.9888758387127607,-0.09914767556656388,-0.04971610842729124,0.02607159332992115,0.49670774027283615,1.0
profiled,57,-7.885925951206951,0.9697158910821317,-7.933923000993963,0.9697674521730096,-0.04949599179348374,1.0000531713374525,-0.05380173897725694,-0.13943209898589837,0.02705560810446464,0.44907018375717256,1.0
