fit_id,panel,bin,low_MeV,high_MeV,observed,gp_mean,profiled_background,signal,total,null_background
2015_m019,2015,7,20.5,21.0,227263.0,227050.8241819819,227427.78535758605,-316.8479932938918,227110.93736429216,226681.19493519046
2016_m090,2016,0,82.49999999999999,84.24999999999999,1593723.0,1590926.5232373087,1591467.670134674,715.9622227912969,1592183.6323574653,1593035.6404130396
2016_m090,2016,1,84.24999999999999,86.0,1500893.0,1497313.1212446797,1497872.0110336444,1474.1435642955985,1499346.15459794,1499633.028278967
2016_m090,2016,2,86.0,87.75000000000001,1407111.0,1404873.9065598785,1405426.8226131923,2436.1965682569444,1407863.019181449,1407296.1229269998
2016_m090,2016,3,87.75000000000001,89.5,1316445.0,1314310.6163076612,1314836.6406721123,3231.6746455527727,1318068.3153176652,1316728.994715785
2016_m090,2016,4,89.5,91.25,1229430.0,1226226.723601154,1226708.9974737414,3441.097944158929,1230150.0954179005,1228545.9398740057
2016_m090,2016,5,91.25,93.0,1145923.0,1141122.7320602,1141549.117965314,2941.189945110964,1144490.3079104251,1143264.2952605884
2016_m090,2016,6,93.0,94.74999999999999,1062477.0,1059396.1661839704,1059759.3700296846,2017.898962818606,1061777.2689925032,1061301.8322357275
2016_m090,2016,7,94.74999999999999,96.5,982749.0,981345.6553276028,981642.9258411475,1111.2480733790237,982754.1739145265,982978.4630481863
2016_m090,2016,8,96.5,98.24999999999999,907263.0,907178.2415134809,907410.7509773328,491.17297974564343,907901.9239570784,908521.5648671268
2016_m117,2016,0,107.5,109.99999999999999,746474.0,745612.5872689425,745502.534375082,559.7808462922983,746062.3152213744,746629.4521002749
2016_m117,2016,1,109.99999999999999,112.49999999999999,655695.0,655105.1698174215,654986.9519618574,1114.5932378181283,656101.5451996756,656207.0618219874
2016_m117,2016,2,112.49999999999999,115.0,576798.0,574408.3893046321,574287.5860536424,1735.3012096430043,576022.8872632855,575527.8882705155
2016_m117,2016,3,115.0,117.5,504052.0,502754.50173171656,502636.2546381247,2112.6046830573837,504748.8593211821,503832.4513907553
2016_m117,2016,4,117.5,120.0,441809.0,439365.25961272005,439253.8906680142,2011.2111889622233,441265.1018569764,440355.0324873917
2016_m117,2016,5,120.0,122.49999999999999,384783.0,383476.20005456184,383374.9815578052,1497.236426181374,384872.2179839866,384345.54045222874
2016_m117,2016,6,122.49999999999999,124.99999999999999,335047.0,334352.67967337975,334263.7715889922,871.564791831127,335135.3363808233,335083.58010147966
2016_m117,2016,7,124.99999999999999,127.5,291709.0,291299.7828438568,291224.28113251703,396.69385518413674,291620.97498770116,291886.92172750697
2016_m102,2016,0,93.0,95.25,1351326.0,1352654.8011146728,1351916.0576266898,-760.7647522070862,1351155.2928744825,1350025.099916682
2016_m102,2016,1,95.25,97.5,1221418.0,1225335.083956802,1224527.9669083604,-1727.5063385641115,1222800.460569796,1222414.4631547325
2016_m102,2016,2,97.5,99.75,1101295.0,1106176.2070692806,1105345.3061311985,-2984.2193978748783,1102361.0867333235,1103136.1913089897
2016_m102,2016,3,99.75,102.00000000000001,990973.0,995461.7133082444,994648.1562900085,-3922.1628470840697,990725.9934429243,992463.2821794678
2016_m102,2016,4,102.00000000000001,104.25,889155.0,893258.1182841617,892496.2135312393,-3922.1628470840396,888574.0506841553,890437.6176818418
2016_m102,2016,5,104.25,106.5,796518.0,799456.5420919067,798771.8964552323,-2984.219397874872,795787.6770573573,796917.3906773408
2016_m102,2016,6,106.5,108.75,710910.0,713812.414315627,713221.3745395335,-1727.5063385641029,711493.8682009694,711622.1476712617
2016_m102,2016,7,108.75,111.0,634033.0,635981.166777143,635491.3135929327,-760.7647522070829,634730.5488407256,634172.7988619308
2021_m078,2021,0,73.5,74.75,2299242.0,2294405.430243452,2295732.0037339358,1005.1362766828513,2296737.1400106186,2297494.550087207
2021_m078,2021,1,74.75,76.0,2307010.0,2305575.3005075105,2307094.4167730184,2177.842623838343,2309272.259396857,2309135.240258878
2021_m078,2021,2,76.0,77.25,2317832.0,2311066.923575463,2312704.475743843,3504.6146825262044,2316209.0904263686,2314912.2649776274
2021_m078,2021,3,77.25,78.5,2315929.0,2311550.1373572974,2313225.083178914,4189.0332570624705,2317414.1164359767,2315478.4822533606
2021_m078,2021,4,78.5,79.75,2312477.0,2307580.9034666987,2309213.6091649113,3719.3340935328083,2312932.9432584443,2311394.315389488
2021_m078,2021,5,79.75,81.0,2304562.0,2299615.0941128097,2301134.5086745564,2452.9141005419774,2303587.4227750986,2303138.401610824
2021_m078,2021,6,81.0,82.25,2293972.0,2288027.79200295,2289376.836150583,1201.499242453789,2290578.3353930363,2291122.1651968574
2021_m065,2021,0,61.0,62.25,1696052.0,1693312.193497608,1693166.0000305579,1158.8087530181297,1694324.808783576,1694899.835494528
2021_m065,2021,1,62.25,63.5,1800107.0,1799396.3769608575,1799237.691361459,2433.650384978476,1801671.3417464374,1801389.6676797946
2021_m065,2021,2,63.5,64.75,1899018.0,1895833.2733720588,1895677.150388225,3647.498207601307,1899324.6485958262,1898077.6817108602
2021_m065,2021,3,64.75,66.0,1984998.0,1981776.8703211136,1981636.9494946687,3901.9546197319396,1985538.904114401,1984084.1354339442
2021_m065,2021,4,66.0,67.25,2061929.0,2056821.8507631654,2056708.1986963165,2979.4057935575493,2059687.604489874,2059003.3164941247
2021_m065,2021,5,67.25,68.5,2121358.0,2120975.20216715,2120893.136456757,1623.6682121078327,2122516.8046688642,2122871.4023958864
2021_m065,2021,6,68.5,69.74999999999999,2175217.0,2174586.962774398,2174536.9511200488,631.3889215465915,2175168.3400415955,2176088.1681474764
2021_m071,2021,0,66.0,67.25,2061929.0,2062158.1657732236,2061368.5052277383,-897.9101020298087,2060470.5951257085,2059041.808760988
2021_m071,2021,1,67.25,68.5,2121358.0,2127068.295415523,2126025.057841244,-2338.1093182581285,2123686.948522986,2123096.116255502
2021_m071,2021,2,68.5,69.74999999999999,2175217.0,2181050.173477078,2179800.5639507156,-4424.738656468484,2175375.8252942474,2176444.495966085
2021_m071,2021,3,69.74999999999999,71.0,2218101.0,2224674.825277318,2223287.571220749,-6086.660702114155,2217200.9105186346,2219723.0682224566
2021_m071,2021,4,71.0,72.25000000000001,2251378.0,2258730.412603299,2257285.8091683644,-6086.660702114214,2251199.14846625,2253743.514191347
2021_m071,2021,5,72.25000000000001,73.5,2278177.0,2284125.484773554,2282705.0305490755,-4424.73865646846,2278280.2918926068,2279398.2685544915
2021_m071,2021,6,73.5,74.75,2299242.0,2301804.349504209,2300481.610598922,-2338.1093182581085,2298143.5012806635,2297583.5889705694
2021_m071,2021,7,74.75,76.0,2307010.0,2312681.5852061315,2311515.354396657,-897.9101020297994,2310617.4442946278,2309144.960250235
combined_m066,2015,0,59.50000000000001,61.25000000000001,146908.0,146229.72160872773,146623.6204951894,39.00121532914844,146662.62171051852,146707.52905448098
combined_m066,2015,1,61.25000000000001,63.0,120415.0,119855.23974526276,120233.74860669803,78.17482287425082,120311.92342957229,120333.26981032592
combined_m066,2015,2,63.0,64.75,98543.0,98168.29705395646,98496.22543879291,121.27632908144926,98617.50176787438,98600.76243803118
combined_m066,2015,3,64.75,66.5,81063.0,80439.84432716502,80697.52391425185,145.62415629639685,80843.14807054825,80797.81991884919
combined_m066,2015,4,66.5,68.25,66724.0,66007.29834884548,66189.29861008303,135.34767755175397,66324.64628763478,66278.5863831011
combined_m066,2015,5,68.25,70.0,54698.0,54284.83069382832,54396.42250758094,97.36962199645336,54493.7921295774,54470.731857321574
combined_m066,2015,6,70.0,71.75000000000001,44173.0,44767.68675048903,44820.69494955017,54.21636587402759,44874.91131542419,44878.58226216404
combined_m066,2015,7,71.75000000000001,73.50000000000001,36951.0,37030.96688001143,37040.06196844057,23.363335861438078,37063.42530430201,37082.04145419571
combined_m066,2016,0,60.0,61.24999999999999,1777390.0,1774172.097278797,1774738.0709301806,320.93688152355736,1775059.0078117042,1775607.5030574189
combined_m066,2016,1,61.24999999999999,62.5,1766487.0,1765601.5626644269,1766275.4619707512,713.3811226492335,1766988.8430934004,1767327.405356528
combined_m066,2016,2,62.5,63.75,1752608.0,1751873.2393652527,1752633.254844048,1285.0241095695694,1753918.2789536174,1753819.5263161187
combined_m066,2016,3,63.75,65.0,1736678.0,1733521.7480898958,1734340.6475759712,1875.896156029951,1736216.5437320012,1735605.0184405851
combined_m066,2016,4,65.0,66.25,1714202.0,1711033.4038186101,1711881.1306676618,2219.3579320265744,1714100.4885996883,1713165.130453866
combined_m066,2016,5,66.25,67.49999999999999,1685974.0,1684845.8316932702,1685692.0545546866,2128.006053280271,1687820.060607967,1686940.1564945844
combined_m066,2016,6,67.49999999999999,68.75,1657013.0,1655350.3861473708,1656166.7471310585,1653.6509305420377,1657820.3980616005,1657330.5142722146
combined_m066,2016,7,68.75,69.99999999999999,1627061.0,1622896.822856878,1623658.719758253,1041.4332643435414,1624700.1530225966,1624699.6927732385
combined_m066,2016,8,69.99999999999999,71.25,1591713.0,1587799.5068387906,1588487.336298253,531.5200525712256,1589018.8563508242,1589378.6215939142
combined_m066,2021,0,61.0,62.25,1696052.0,1693105.8329016813,1693700.2032142957,442.5522918789162,1694142.7555061746,1694875.0019809287
combined_m066,2021,1,62.25,63.5,1800107.0,1799188.9147433261,1799768.4268367183,1206.538438838822,1800974.965275557,1801365.3452164568
combined_m066,2021,2,63.5,64.75,1899018.0,1895648.6251302832,1896145.4031969837,2354.2193798232356,1898499.622576807,1898060.6101417658
combined_m066,2021,3,64.75,66.0,1984998.0,1981633.2191422088,1981994.8796611903,3288.3324161757437,1985283.212077366,1984078.8200963694
combined_m066,2021,4,66.0,67.25,2061929.0,2056728.791365065,2056926.483358204,3288.3324161757437,2060214.8157743798,2059010.99374142
combined_m066,2021,5,67.25,68.5,2121358.0,2120933.1505140085,2120964.014243724,2354.2193798232347,2123318.2336235475,2122890.0113740484
combined_m066,2021,6,68.5,69.74999999999999,2175217.0,2174588.5397788277,2174473.030370936,1206.5384388388152,2175679.5688097747,2176113.174688262
combined_m066,2021,7,69.74999999999999,71.0,2218101.0,2218291.9426836655,2218067.434756785,442.552291878922,2218509.987048664,2219340.324943796
combined_m066,sum,0,61.0,62.25,3555845.0,3551408.594029815,3552933.918944815,1107.757449885778,3554041.676394701,3555196.4928651005
combined_m066,sum,1,62.25,63.5,3635737.0,3632723.8904940337,3634305.97448353,2437.860790570837,3636743.8352741003,3637140.2968487367
combined_m066,sum,2,63.5,64.75,3706824.0,3701279.9910287433,3702814.163614167,4213.5726801089295,3707027.736294275,3706057.545184672
combined_m066,sum,3,64.75,66.0,3762759.0,3756535.7561925612,3757933.6068028533,5574.1533093533235,3763507.7601122065,3761374.7447108403
combined_m066,sum,4,66.0,67.25,3806577.0,3798351.8360081012,3799551.4744889955,5574.153309353302,3805125.627798349,3802963.102960506
combined_m066,sum,5,67.25,68.5,3828833.0,3826967.8211709443,3827937.9980111904,4213.572680108935,3832151.5706912996,3831109.0267158365
combined_m066,sum,6,68.5,69.75,3847963.0,3842940.036730257,3843678.5893590427,2437.8607905708373,3846116.450149614,3846439.898029318
combined_m066,sum,7,69.75,71.0,3851664.0,3847058.0370155293,3847586.05691212,1107.7574498857894,3848693.814362006,3849826.4576856466
combined_m021,2015,0,19.000000000000004,19.5,152187.0,152468.10277053143,152218.05067005474,407.274972554907,152625.32564260962,152845.4726954913
combined_m021,2015,1,19.5,20.0,177903.0,177217.68400506087,176967.87574319827,819.6902890391681,177787.56603223743,177853.4806208482
combined_m021,2015,2,20.0,20.5,203264.0,201745.5380946765,201525.81039263553,1306.5899884529313,202832.40038108846,202615.37045328325
combined_m021,2015,3,20.5,21.0,227263.0,225642.60596438922,225476.43879481748,1649.5993731113679,227126.03816792887,226682.94138720943
combined_m021,2015,4,21.0,21.5,249751.0,248576.8774105655,248477.77307219873,1649.5993731113679,250127.3724453101,249699.6340080261
combined_m021,2015,5,21.5,22.000000000000004,271104.0,270290.7558520185,270261.22176455334,1306.5899884529315,271567.8117530063,271400.7692079715
combined_m021,2015,6,22.000000000000004,22.5,291792.0,290595.43389482435,290628.1987961186,819.6902890391647,291447.8890851578,291606.47612982796
combined_m021,2015,7,22.5,23.000000000000004,310499.0,309363.1550459696,309443.86734402156,407.2749725549123,309851.14231657656,310209.6399418799
combined_m092,2016,0,84.0,86.0,1722144.0,1719513.1355967983,1721101.384141702,212.84898540209338,1721314.2331271041,1721612.59647629
combined_m092,2016,1,86.0,88.0,1600126.0,1598747.5140375558,1600441.3553120065,481.8706491861847,1600923.225961193,1601029.3878020723
combined_m092,2016,2,88.0,90.0,1483428.0,1480804.7213747094,1482502.8106021495,830.7464691874754,1483333.557071337,1483130.7221059536
combined_m092,2016,3,90.0,92.0,1370448.0,1366705.5669937828,1368317.6667189035,1090.7544658938334,1369408.4211847973,1368948.5273280402
combined_m092,2016,4,92.0,94.0,1261862.0,1257269.9807220646,1258724.6467124694,1090.7544658938336,1259815.401178363,1259325.5025616046
combined_m092,2016,5,94.0,95.99999999999999,1155355.0,1153117.3071862576,1154365.7662568563,830.7464691874709,1155196.5127260438,1154910.3468677895
combined_m092,2016,6,95.99999999999999,97.99999999999999,1054627.0,1054677.18828869,1055693.8262482192,481.8706491861868,1056175.6968974054,1056163.9310217719
combined_m092,2016,7,97.99999999999999,100.0,963261.0,962208.2683197395,962988.4896557343,212.8489854020964,963201.3386411363,963374.1953852233
combined_m092,2021,0,87.25000000000001,88.5,2183578.0,2186048.1933857133,2184726.4535846515,705.4602816244044,2185431.9138662755,2185912.952521881
combined_m092,2021,1,88.5,89.75,2158361.0,2157898.1697653867,2156510.5406425376,1440.8368888801087,2157951.3775314176,2157832.561913289
combined_m092,2021,2,89.75,91.0,2127222.0,2127992.002053191,2126595.6793978307,2280.184187775289,2128875.863585606,2127998.2306706775
combined_m092,2021,3,91.0,92.25000000000001,2097414.0,2096552.3082395042,2095201.7044554385,2796.189486114695,2097997.8939415533,2096626.929096004
combined_m092,2021,4,92.25000000000001,93.5,2064720.0,2063784.4887894047,2062527.471940896,2657.160305938059,2065184.632246834,2063919.2168461913
combined_m092,2021,5,93.5,94.75,2032998.0,2029876.166818213,2028751.2840876472,1956.6815941191298,2030707.9656817662,2030059.0285429535
combined_m092,2021,6,94.75,96.0,1995131.0,1994997.1252299189,1994031.9048719348,1116.4891182399506,1995148.3939901749,1995213.789126277
combined_m092,2021,7,96.0,97.25,1958053.0,1959299.7966578007,1958510.1246850758,493.6123055306422,1959003.7369906064,1959534.9430685795
combined_m092,sum,0,87.25,88.5,3151703.0,3152705.256707688,3152452.419716985,1100.2103722323882,3153552.630089217,3154020.8521248037
combined_m092,sum,1,88.5,89.75,3081091.0,3078805.538382535,3078478.834846015,1974.8034601200643,3080453.6383061353,3080194.6678611776
combined_m092,sum,2,89.75,91.0,3006044.0,3004105.79902635,3003740.4968809765,2928.596096429595,3006669.092977406,3005539.6841653967
combined_m092,sum,3,91.0,92.25,2931886.0,2928957.64836453,2928589.04525025,3503.05025841471,2932092.0955086644,2930405.2367919553
combined_m092,sum,4,92.25,93.5,2857344.0,2853676.0826120526,2853336.2252263194,3348.9326033156667,2856685.157829635,2855105.6343387817
combined_m092,sum,5,93.5,94.75,2784132.0,2778539.298415995,2778254.4589842013,2564.4508651374085,2780818.9098493387,2779920.009161789
combined_m092,sum,6,94.75,96.0,2704964.0,2703789.373192642,2703578.406023371,1595.8471341217241,2705174.2531574927,2705092.89774918
combined_m092,sum,7,96.0,97.25,2629039.0,2629633.799849405,2629507.4056078643,833.0232425205627,2630340.428850385,2630835.5729407994
combined_m072,2015,0,64.75,66.5,81063.0,80676.48230134608,80845.33237200342,-19.530103467153193,80825.80226853627,80798.84673042182
combined_m072,2015,1,66.5,68.25,66724.0,66166.00536269434,66332.9756416493,-38.39252153234486,66294.58312011696,66278.40386308455
combined_m072,2015,2,68.25,70.0,54698.0,54373.20642651759,54527.31399303707,-60.865871474421866,54466.448121562644,54469.573625221514
combined_m072,2015,3,70.0,71.75000000000001,44173.0,44799.30679380038,44933.31919889018,-77.8221620119428,44855.49703687823,44876.77342090377
combined_m072,2015,4,71.75000000000001,73.50000000000001,36951.0,37021.60782906903,37131.887929928635,-80.24984900570061,37051.63808092293,37079.910877800976
combined_m072,2015,5,73.50000000000001,75.25,30855.0,30689.058159045264,30774.949210646795,-66.74178256100667,30708.207428085792,30729.777489092216
combined_m072,2015,6,75.25,77.0,25867.0,25515.16589213611,25578.19613909762,-44.7669056688507,25533.429233428767,25540.980895419118
combined_m072,2015,7,77.0,78.75000000000001,21126.0,21269.506416165463,21312.597779292468,-24.216264112054,21288.381515180412,21283.573925987213
combined_m072,2015,8,78.75000000000001,80.5,17772.0,17768.87285442574,17795.65489812177,-10.56392904583862,17785.09096907593,17774.362257149238
combined_m072,2016,0,66.0,67.49999999999999,2027853.0,2028208.5132410824,2028633.621008412,-548.9836992513049,2028084.6373091605,2027512.2272576327
combined_m072,2016,1,67.49999999999999,68.99999999999999,1984883.0,1986043.3533815416,1986351.7495542672,-1181.112393233726,1985170.6371610332,1985059.7388160345
combined_m072,2016,2,68.99999999999999,70.5,1941591.0,1938648.0302175682,1938814.2774161382,-1968.2747566062721,1936846.0026595322,1937419.174843034
combined_m072,2016,3,70.5,72.0,1883654.0,1886656.8731640233,1886671.0872824644,-2540.825633078053,1884130.2616493865,1885244.1864239105
combined_m072,2016,4,72.0,73.5,1828982.0,1830658.5262969532,1830525.5678483085,-2540.8256330780523,1827984.7422152306,1829134.871406969
combined_m072,2016,5,73.5,75.0,1765601.0,1771212.295177079,1770949.3939717738,-1968.2747566062726,1768981.1192151678,1769653.9779704334
combined_m072,2016,6,75.0,76.50000000000001,1707575.0,1708860.4677942456,1708493.9560053325,-1181.1123932337332,1707312.8436120986,1707340.1023263973
combined_m072,2016,7,76.50000000000001,78.0,1640906.0,1644136.0345908173,1643697.618924256,-548.9836992513005,1643148.6352250047,1642716.7909111264
combined_m072,2021,0,67.25,68.5,2121358.0,2126417.448225989,2124771.798385881,-781.8353033053254,2123989.9630825752,2123070.807636995
combined_m072,2021,1,68.5,69.74999999999999,2175217.0,2180218.087426332,2178477.2108184667,-1893.5290901046392,2176583.681728362,2176393.7405914175
combined_m072,2021,2,69.74999999999999,71.0,2218101.0,2223709.548634913,2221996.0235924223,-3343.3183238293705,2218652.7052685926,2219657.9959638156
combined_m072,2021,3,71.0,72.25000000000001,2251378.0,2257693.1918833754,2256118.685787705,-4304.277755611562,2251814.408032093,2253677.305127554
combined_m072,2021,4,72.25000000000001,73.5,2278177.0,2283081.7373257466,2281734.322712304,-4040.828546195286,2277693.494166109,2279343.324225352
combined_m072,2021,5,73.5,74.75,2299242.0,2300815.315883868,2299751.948862914,-2766.1797978368213,2296985.7690650774,2297549.284937795
combined_m072,2021,6,74.75,76.0,2307010.0,2311797.8104676036,2311042.0937926974,-1380.6525197067083,2309661.441272991,2309136.31181019
combined_m072,sum,0,67.25,68.5,3828833.0,3835361.4607576,3834117.3920119014,-1643.586383371112,3832473.8056285297,3831329.50994426
combined_m072,sum,1,68.5,69.75,3847963.0,3851566.773286904,3850125.893948898,-3304.951305527168,3846820.942643371,3846866.3849326633
combined_m072,sum,2,69.75,71.0,3851664.0,3855462.2539151106,3853935.041933723,-5282.654394674859,3848652.3875390477,3850374.477039069
combined_m072,sum,3,71.0,72.25,3838563.0,3848029.897643742,3846524.3332521245,-6538.055572246579,3839986.2776798783,3842856.3291957406
combined_m072,sum,4,72.25,73.5,3823532.0,3830361.3722166875,3828969.5381627046,-6197.034419537116,3822772.503743168,3825387.3305833344
combined_m072,sum,5,73.5,74.75,3797682.0,3803578.324242932,3802367.6494823564,-4510.533855874182,3797857.1156264828,3799043.6682869783
combined_m072,sum,6,74.75,76.0,3760612.0,3768771.5744589525,3767781.102874374,-2563.892801207706,3765217.210073167,3764851.8721975842
combined_m076,2015,0,68.0,70.0,63442.0,63597.157617162826,63159.28987777836,0.6027452982970318,63159.89262307666,63160.84632355782
combined_m076,2015,1,70.0,72.00000000000001,49896.0,51098.1652503744,50614.465158058185,1.278659633064402,50615.74381769124,50616.32633649362
combined_m076,2015,2,72.00000000000001,74.00000000000001,40649.0,41201.74622477615,40713.6943578715,2.110948299488049,40715.80530617098,40715.67130217441
combined_m076,2015,3,74.00000000000001,76.0,33221.0,33335.85334409127,32877.36542534006,2.7122604719016694,32880.077685811964,32879.29067232972
combined_m076,2015,4,76.0,78.0,26686.0,27051.737287159922,26646.630839619334,2.712260471901687,26649.343100091235,26648.376678300552
combined_m076,2015,5,78.0,80.0,21597.0,22002.778364751644,21664.501985177165,2.1109482994880433,21666.612933476652,21665.986893964393
combined_m076,2015,6,80.0,82.0,17628.0,17924.004642489937,17656.8319704748,1.2786596330643967,17658.110630107865,17658.018584280864
combined_m076,2015,7,82.0,84.0,14257.0,14613.820524507093,14414.840436583305,0.6027452982970287,14415.443181881601,14415.728243675876
combined_m076,2016,0,68.99999999999999,70.5,1941591.0,1938030.4346658345,1937205.4259980973,15.098389847705931,1937220.524387945,1937249.7070826641
combined_m076,2016,1,70.5,72.0,1883654.0,1886015.1814268308,1884958.6244266734,35.08580302659512,1884993.7102297002,1885011.7209674949
combined_m076,2016,2,72.0,73.5,1828982.0,1830052.1887418604,1828819.1276916456,64.77836431064938,1828883.9060559564,1828878.3655909267
combined_m076,2016,3,73.5,75.0,1765601.0,1770692.7090128749,1769349.671623934,95.02850124256409,1769444.7001251767,1769412.0393206975
combined_m076,2016,4,75.0,76.50000000000001,1707575.0,1708465.4305279444,1707082.8409456206,110.76962428452003,1707193.610569905,1707145.306848667
combined_m076,2016,5,76.50000000000001,78.0,1640906.0,1643886.8170561877,1642532.0643274551,102.5976654772004,1642634.6619929324,1642591.8497902658
combined_m076,2016,6,78.0,79.5,1576442.0,1577466.8447964522,1576198.77484683,75.50934744701149,1576274.284194277,1576253.5606464937
combined_m076,2016,7,79.5,81.0,1511134.0,1509710.346974317,1508575.4108187375,44.15666780965161,1508619.567486547,1508623.467190834
combined_m076,2016,8,81.0,82.49999999999999,1438292.0,1441114.6425998462,1440144.8559918064,20.5163408950036,1440165.3723327012,1440185.0967668518
combined_m076,2021,0,71.0,72.25000000000001,2251378.0,2252736.0602049916,2253367.9303482487,33.36630048970232,2253401.296648738,2253449.9816114246
combined_m076,2021,1,72.25000000000001,73.5,2278177.0,2278131.6932731345,2279075.624459451,82.95489799247085,2279158.5793574434,2279175.6528362324
combined_m076,2021,2,73.5,74.75,2299242.0,2296140.2619938147,2297357.6355595067,152.22217817510406,2297509.857737682,2297469.98539884
combined_m076,2021,3,74.75,76.0,2307010.0,2307613.3297054702,2309037.743032938,206.19568186186655,2309243.9387147995,2309155.732987391
combined_m076,2021,4,76.0,77.25,2317832.0,2313308.6603440815,2314855.5595755316,206.19568186186655,2315061.755257394,2314972.3164013624
combined_m076,2021,5,77.25,78.5,2315929.0,2313879.576046019,2315457.0351584805,152.22217817510412,2315609.2573366556,2315566.2464521267
combined_m076,2021,6,78.5,79.75,2312477.0,2309878.7558967657,2311397.8324696305,82.95489799247144,2311480.787367623,2311494.3345452724
combined_m076,2021,7,79.75,81.0,2304562.0,2301770.972134621,2303154.392577297,33.36630048970173,2303187.758877787,2303234.548435753
combined_m076,sum,0,71.0,72.25,3838563.0,3842896.0200773138,3842298.8286158578,69.05018586349094,3842367.878801721,3842427.8622308634
combined_m076,sum,1,72.25,73.5,3823532.0,3825255.147863254,3824854.8707336895,140.4701746737036,3824995.3409083635,3825005.8486529975
combined_m076,sum,2,73.5,74.75,3797682.0,3798789.2174240444,3798594.7268046113,231.32104708837187,3798826.0478517,3798760.194060106
combined_m076,sum,3,74.75,76.0,3760612.0,3764531.9529622765,3764524.6783210915,298.9665295546727,3764823.644850646,3764696.1514805946
combined_m076,sum,4,76.0,77.25,3728224.0,3723428.8383198828,3723569.46546125,298.9665295546727,3723868.4319908055,3723738.3796340087
combined_m076,sum,5,77.25,78.5,3675156.0,3676327.36912214,3676564.232583599,231.32104708837193,3676795.5536306878,3676722.7850960167
combined_m076,sum,6,78.5,79.75,3626011.0,3623980.525206903,3624258.252028096,140.4701746737042,3624398.7222027695,3624400.0555443615
combined_m076,sum,7,79.75,81.0,3571129.0,3567058.1228856156,3567325.218252776,69.05018586349036,3567394.2684386396,3567445.717438112
combined_m083,2015,0,74.75,77.0,34071.0,33687.29997639811,33747.88181863683,-1.5877174007954347,33746.29410123604,33744.31573161467
